distMean,outcome,is_oddball
71,80,-1
71,86,-1
71,85,-1
71,66,-1
71,77,-1
71,73,-1
71,85,-1
71,78,-1
71,85,-1
21,32,-1
21,16,-1
21,24,-1
21,33,-1
99,106,-1
99,92,-1
99,107,-1
99,115,-1
99,114,-1
239,244,-1
239,230,-1
239,243,-1
239,241,-1
239,245,-1
239,253,-1
287,292,-1
287,274,-1
287,264,-1
287,287,-1
287,289,-1
287,294,-1
287,279,-1
287,303,-1
287,284,-1
233,255,-1
233,231,-1
233,230,-1
233,226,-1
233,247,-1
233,208,-1
233,236,-1
272,268,-1
272,272,-1
272,285,-1
272,278,-1
272,286,-1
272,276,-1
272,272,-1
272,250,-1
272,252,-1
272,270,-1
272,266,-1
215,205,-1
215,207,-1
215,218,-1
215,226,-1
215,201,-1
124,122,-1
124,116,-1
124,129,-1
124,140,-1
124,122,-1
124,140,-1
124,121,-1
164,161,-1
164,150,-1
164,158,-1
164,170,-1
164,149,-1
164,174,-1
164,167,-1
281,295,-1
281,280,-1
281,267,-1
281,267,-1
281,276,-1
281,289,-1
281,286,-1
281,292,-1
281,282,-1
281,278,-1
281,288,-1
281,291,-1
281,286,-1
281,265,-1
126,124,-1
126,123,-1
126,115,-1
302,303,-1
302,287,-1
302,283,-1
302,312,-1
302,304,-1
302,305,-1
159,157,-1
159,174,-1
159,174,-1
159,154,-1
159,157,-1
159,169,-1
159,136,-1
159,181,-1
159,166,-1
159,149,-1
159,128,-1
226,212,-1
226,249,-1
226,233,-1
226,214,-1
226,223,-1
226,226,-1
226,234,-1
142,145,-1
142,147,-1
142,150,-1
142,127,-1
142,127,-1
142,137,-1
142,126,-1
142,138,-1
142,158,-1
301,306,-1
301,300,-1
301,301,-1
301,296,-1
301,295,-1
234,237,-1
234,248,-1
234,232,-1
234,240,-1
234,239,-1
234,231,-1
234,241,-1
234,232,-1
234,230,-1
234,242,-1
234,230,-1
234,248,-1
234,251,-1
234,232,-1
234,240,-1
130,132,-1
130,132,-1
130,126,-1
130,131,-1
130,123,-1
130,125,-1
130,133,-1
130,157,-1
130,121,-1
287,283,-1
287,279,-1
287,278,-1
287,296,-1
287,294,-1
287,288,-1
287,285,-1
287,292,-1
287,274,-1
295,305,-1
295,313,-1
295,293,-1
295,293,-1
295,292,-1
295,300,-1
295,280,-1
295,297,-1
295,294,-1
333,330,-1
333,334,-1
333,328,-1
333,325,-1
333,358,-1
55,66,-1
55,58,-1
55,49,-1
55,44,-1
206,206,-1
206,208,-1
206,209,-1
206,212,-1
206,202,-1
206,196,-1
206,207,-1
206,206,-1
206,220,-1
206,194,-1
206,217,-1
138,135,-1
138,147,-1
138,135,-1
138,149,-1
138,136,-1
138,132,-1
138,131,-1
138,128,-1
138,135,-1
138,138,-1
136,129,-1
136,134,-1
136,152,-1
136,126,-1
136,135,-1
136,139,-1
107,110,-1
107,91,-1
107,103,-1
107,91,-1
107,98,-1
107,97,-1
107,120,-1
107,108,-1
107,111,-1
107,116,-1
107,102,-1
107,97,-1
306,301,-1
306,288,-1
306,319,-1
306,310,-1
306,281,-1
306,311,-1
203,176,-1
203,206,-1
203,210,-1
101,105,-1
101,100,-1
101,116,-1
101,109,-1
101,111,-1
101,78,-1
101,96,-1
101,87,-1
101,112,-1
101,106,-1
101,86,-1
216,216,-1
216,206,-1
216,208,-1
216,209,-1
216,219,-1
216,209,-1
216,228,-1
216,238,-1
216,231,-1
88,96,-1
88,90,-1
88,82,-1
88,84,-1
88,75,-1
88,89,-1
88,74,-1
88,83,-1
88,94,-1
88,70,-1
88,109,-1
88,95,-1
88,90,-1
88,88,-1
88,85,-1
147,136,-1
147,150,-1
147,135,-1
147,144,-1
147,161,-1
147,150,-1
147,154,-1
147,148,-1
147,142,-1
147,166,-1
147,151,-1
147,155,-1
222,225,-1
222,206,-1
222,218,-1
222,228,-1
222,215,-1
165,178,-1
165,174,-1
165,168,-1
165,179,-1
165,170,-1
165,163,-1
165,167,-1
165,184,-1
165,159,-1
165,165,-1
192,205,-1
192,189,-1
192,181,-1
192,192,-1
192,202,-1
192,184,-1
192,175,-1
192,195,-1
192,188,-1
192,161,-1
192,187,-1
192,188,-1
192,206,-1
192,197,-1
218,216,-1
218,223,-1
218,229,-1
218,200,-1
218,209,-1
218,233,-1
218,220,-1
218,222,-1
218,235,-1
218,224,-1
218,223,-1
218,232,-1
59,54,-1
59,32,-1
59,47,-1
59,58,-1
59,50,-1
59,50,-1
59,64,-1
59,44,-1
59,52,-1
59,58,-1
59,49,-1
59,66,-1
59,49,-1
116,111,-1
116,137,-1
116,104,-1
116,116,-1
116,127,-1
116,133,-1
116,120,-1
116,135,-1
116,137,-1
293,313,-1
293,300,-1
293,287,-1
293,294,-1
293,282,-1
293,303,-1
293,298,-1
293,282,-1
293,305,-1
206,208,-1
206,198,-1
206,204,-1
206,207,-1
206,223,-1
206,196,-1
206,203,-1
128,117,-1
128,127,-1
128,140,-1
128,128,-1
128,140,-1
128,127,-1
128,117,-1
284,281,-1
284,287,-1
284,285,-1
284,301,-1
284,287,-1
284,281,-1
284,276,-1
284,292,-1
284,284,-1
284,283,-1
284,279,-1
284,288,-1
284,274,-1
284,273,-1
284,290,-1
213,219,-1
213,196,-1
213,207,-1
213,205,-1
213,196,-1
41,28,-1
41,45,-1
41,45,-1
41,42,-1
41,50,-1
41,41,-1
41,28,-1
41,33,-1
41,43,-1
271,262,-1
271,265,-1
271,267,-1
271,256,-1
271,271,-1
271,257,-1
271,270,-1
271,283,-1
271,275,-1
271,260,-1
271,243,-1
271,279,-1
271,282,-1
271,272,-1
271,255,-1
89,70,-1
89,87,-1
89,81,-1
89,85,-1
89,82,-1
89,115,-1
199,198,-1
199,208,-1
199,212,-1
199,186,-1
199,203,-1
199,204,-1
199,207,-1
199,195,-1
201,194,-1
201,210,-1
201,212,-1
201,193,-1
201,201,-1
201,183,-1
147,159,-1
147,138,-1
147,137,-1
147,155,-1
147,147,-1
147,132,-1
147,155,-1
97,81,-1
97,101,-1
97,124,-1
97,99,-1
97,84,-1
97,100,-1
97,103,-1
97,99,-1
97,91,-1
97,88,-1
97,82,-1
97,97,-1
97,95,-1
164,170,-1
164,174,-1
164,169,-1
164,164,-1
164,155,-1
164,176,-1
164,159,-1
164,146,-1
164,162,-1
164,158,-1
164,162,-1
164,165,-1
164,165,-1
164,156,-1
164,163,-1
254,240,-1
254,259,-1
254,258,-1
254,256,-1
254,257,-1
178,176,-1
178,177,-1
178,191,-1
178,204,-1
178,194,-1
178,176,-1
178,184,-1
178,159,-1
178,174,-1
178,173,-1
178,183,-1
178,178,-1
149,147,-1
149,132,-1
149,154,-1
149,160,-1
149,123,-1
149,141,-1
149,160,-1
149,136,-1
149,142,-1
149,154,-1
149,144,-1
294,302,-1
294,302,-1
294,291,-1
294,280,-1
294,283,-1
294,278,-1
294,305,-1
294,306,-1
152,159,-1
152,142,-1
152,170,-1
152,153,-1
152,146,-1
232,243,-1
232,228,-1
232,231,-1
232,235,-1
232,232,-1
232,231,-1
232,228,-1
232,234,-1
232,239,-1
232,237,-1
232,226,-1
232,214,-1
38,26,-1
38,34,-1
38,20,-1
38,41,-1
38,34,-1
38,17,-1
38,40,-1
38,55,-1
38,54,-1
38,44,-1
38,46,-1
38,55,-1
38,52,-1
226,226,-1
226,209,-1
226,235,-1
226,211,-1
226,223,-1
226,212,-1
226,224,-1
226,212,-1
226,228,-1
226,227,-1
226,233,-1
226,218,-1
226,233,-1
54,48,-1
54,69,-1
54,59,-1
54,56,-1
54,49,-1
216,220,-1
216,224,-1
216,220,-1
216,228,-1
216,216,-1
216,204,-1
216,229,-1
139,150,-1
139,134,-1
139,155,-1
139,130,-1
139,140,-1
139,124,-1
135,137,-1
135,142,-1
135,146,-1
135,110,-1
135,123,-1
135,145,-1
135,132,-1
135,112,-1
162,162,-1
162,162,-1
162,151,-1
162,158,-1
162,166,-1
210,209,-1
210,210,-1
210,217,-1
210,223,-1
210,212,-1
210,202,-1
210,203,-1
210,194,-1
210,214,-1
