distMean,outcome,is_oddball
283,273,0
283,296,0
283,294,0
283,266,0
283,266,0
283,281,0
283,302,0
283,274,0
283,459,1
283,276,0
283,281,0
283,295,0
283,277,0
283,295,0
129,127,0
129,126,0
129,134,0
129,138,0
129,255,1
129,130,0
129,135,0
129,132,0
129,142,0
129,113,0
129,146,0
129,127,0
323,316,0
323,333,0
323,323,0
323,326,0
323,312,0
323,320,0
323,473,1
323,324,0
49,67,0
49,35,0
49,53,0
49,45,0
49,34,0
49,52,0
49,45,0
49,45,0
49,41,0
49,48,0
175,188,0
175,329,1
175,159,0
175,174,0
175,157,0
175,195,0
175,169,0
175,162,0
175,176,0
175,180,0
70,78,0
70,65,0
70,69,0
70,241,1
70,73,0
70,67,0
70,65,0
70,83,0
70,64,0
70,66,0
192,289,1
192,177,0
192,182,0
192,185,0
192,172,0
71,83,0
71,63,0
71,71,0
71,71,0
71,128,1
71,68,0
71,80,0
71,67,0
71,62,0
209,203,0
209,208,0
209,217,0
209,187,0
209,192,0
209,211,0
209,216,0
209,224,0
36,28,0
36,195,1
36,38,0
36,32,0
300,311,0
300,314,0
300,302,0
300,301,0
300,290,0
300,301,0
300,291,0
300,451,1
161,155,0
161,158,0
161,166,0
161,158,0
161,158,0
161,154,0
161,170,0
161,302,1
173,164,0
173,162,0
173,185,0
173,163,0
173,171,0
285,284,0
285,260,0
285,283,0
285,286,0
285,274,0
285,265,0
285,274,0
285,271,0
285,274,0
204,348,1
204,216,0
204,210,0
204,188,0
204,189,0
204,204,0
224,223,0
224,205,0
224,235,0
224,231,0
224,410,1
224,223,0
224,220,0
224,219,0
224,216,0
224,221,0
224,204,0
224,209,0
224,223,0
224,294,1
224,210,0
89,92,0
89,89,0
89,116,0
89,77,0
89,97,0
89,96,0
68,74,0
68,61,0
68,82,0
68,86,0
68,60,0
68,77,0
68,68,0
68,185,1
68,77,0
68,79,0
68,72,0
68,75,0
68,71,0
68,63,0
174,172,0
174,182,0
174,166,0
174,198,0
328,325,0
328,431,1
328,318,0
328,349,0
328,341,0
328,326,0
328,335,0
328,312,0
328,327,0
328,315,0
328,321,0
328,327,0
147,144,0
147,153,0
147,166,0
147,254,1
147,160,0
147,145,0
147,135,0
147,160,0
147,118,0
147,142,0
147,145,0
147,128,0
189,241,1
189,177,0
189,185,0
175,150,0
175,169,0
175,178,0
175,177,0
175,357,1
175,181,0
175,182,0
175,160,0
175,161,0
175,169,0
175,171,0
175,329,1
175,189,0
133,111,0
133,155,0
133,150,0
133,149,0
133,115,0
133,276,1
133,132,0
133,113,0
133,125,0
133,132,0
133,143,0
133,125,0
133,142,0
133,191,1
133,146,0
218,225,0
218,214,0
218,219,0
218,225,0
218,295,1
218,223,0
218,214,0
218,227,0
218,216,0
218,209,0
218,219,0
126,131,0
126,136,0
126,154,0
206,223,0
206,200,0
206,195,0
206,198,0
206,203,0
206,386,1
206,205,0
206,212,0
206,206,0
206,201,0
206,222,0
206,218,0
206,218,0
46,35,0
46,64,0
46,215,1
46,45,0
46,44,0
46,41,0
46,38,0
46,49,0
46,37,0
46,58,0
46,53,0
46,43,0
46,41,0
46,41,0
219,218,0
219,384,1
219,217,0
219,199,0
219,218,0
219,219,0
205,214,0
205,364,1
205,215,0
205,205,0
72,82,0
72,79,0
72,81,0
72,62,0
72,211,1
72,71,0
72,85,0
72,57,0
72,77,0
72,71,0
217,224,0
217,201,0
217,209,0
217,371,1
217,208,0
217,202,0
217,217,0
217,221,0
217,228,0
217,209,0
217,315,1
217,224,0
93,87,0
93,93,0
93,95,0
93,93,0
93,100,0
93,100,0
93,177,1
93,101,0
93,97,0
151,163,0
151,157,0
151,136,0
151,153,0
151,161,0
151,153,0
151,149,0
151,323,1
151,155,0
151,158,0
151,164,0
310,311,0
310,300,0
310,317,0
310,309,0
310,313,0
310,319,0
135,121,0
135,121,0
135,127,0
135,157,0
135,142,0
135,332,1
98,120,0
98,113,0
98,96,0
98,114,0
98,99,0
98,113,0
98,87,0
98,99,0
98,113,0
98,100,0
98,209,1
151,155,0
151,144,0
151,146,0
151,147,0
151,146,0
151,146,0
151,138,0
151,149,0
