distMean,outcome,is_oddball
278,318,-1
278,276,-1
278,279,-1
278,269,-1
278,306,-1
278,305,-1
278,293,-1
278,299,-1
278,296,-1
278,288,-1
341,3,-1
341,27,-1
341,324,-1
341,345,-1
341,353,-1
337,332,-1
337,332,-1
337,342,-1
337,340,-1
337,350,-1
24,353,-1
24,30,-1
24,30,-1
24,21,-1
24,55,-1
222,226,-1
222,195,-1
222,212,-1
222,236,-1
222,219,-1
222,232,-1
222,205,-1
222,222,-1
192,179,-1
192,182,-1
192,188,-1
192,224,-1
280,279,-1
280,258,-1
280,264,-1
280,314,-1
280,297,-1
280,312,-1
280,249,-1
30,14,-1
30,33,-1
30,38,-1
30,38,-1
30,45,-1
33,55,-1
33,28,-1
33,28,-1
33,34,-1
33,41,-1
33,31,-1
33,30,-1
33,16,-1
33,28,-1
33,21,-1
343,2,-1
119,134,-1
119,119,-1
119,129,-1
119,124,-1
119,107,-1
119,108,-1
119,122,-1
79,82,-1
79,65,-1
79,82,-1
79,89,-1
251,247,-1
251,225,-1
251,250,-1
251,272,-1
327,319,-1
327,292,-1
327,304,-1
327,316,-1
340,337,-1
340,321,-1
340,356,-1
340,318,-1
340,327,-1
169,141,-1
169,201,-1
169,198,-1
169,149,-1
169,167,-1
4,327,-1
4,347,-1
4,340,-1
4,314,-1
217,232,-1
217,207,-1
217,223,-1
217,209,-1
217,229,-1
217,213,-1
217,223,-1
