distMean,outcome,rule,is_oddball
261.4828347,259,1,0
262.1986741,250,1,0
235.4495626,230,1,0
252.0300692,268,-1,0
264.0958601,252,-1,0
278.8451019,174,-1,1
256.8134028,272,-1,0
232.459875,204,-1,0
225.8546417,209,-1,0
227.5008983,244,-1,0
221.1105203,218,-1,0
216.9072342,189,-1,0
204.6779111,223,-1,0
197.0615946,187,-1,0
190.5635628,219,-1,0
182.1991328,176,-1,0
199.8802759,196,-1,0
203.2112911,226,-1,0
192.5766279,189,-1,0
187.2824792,356,-1,1
181.0916049,180,-1,0
172.5647632,158,-1,0
171.6176815,169,-1,0
159.2364453,150,-1,0
150.0946885,158,-1,0
129.6477377,129,-1,0
124.295207,74,-1,0
128.9999116,124,-1,0
122.3693736,119,-1,0
118.8651351,147,-1,0
113.3518867,84,-1,0
122.4847738,107,-1,0
123.5798634,305,-1,1
125.7043071,141,-1,0
118.0168201,143,-1,0
118.1173394,139,-1,0
118.2287968,86,-1,0
111.0715457,96,-1,0
123.8039309,146,-1,0
119.0277092,117,-1,0
125.719947,85,-1,1
126.3399571,106,-1,0
123.9735673,147,-1,0
114.356169,118,-1,0
98.80251852,96,-1,0
110.9787604,131,-1,0
119.4085056,68,-1,1
125.9331368,122,-1,0
113.5794788,135,-1,0
120.4888909,135,-1,0
116.1097475,105,-1,0
113.5196373,144,-1,0
122.678201,142,-1,0
104.3547091,27,-1,1
83.5331812,94,-1,0
77.8459016,94,-1,0
75.11492345,98,-1,0
79.34604173,54,-1,0
82.17635271,94,-1,0
71.07817848,48,-1,0
102.8008369,75,-1,0
89.66834256,122,-1,0
98.75859045,101,-1,0
85.36560416,43,-1,1
61.40188257,34,-1,0
62.45671024,63,-1,0
89.69516889,99,-1,0
91.51338405,73,-1,0
91.3270218,91,-1,0
84.26311787,94,-1,0
90.32864089,101,-1,0
93.77228935,65,-1,0
92.57310198,94,-1,0
92.46726854,63,-1,0
93.76269691,46,-1,1
89.84503382,89,-1,0
90.38458695,119,-1,0
91.45598581,87,-1,0
81.5518833,51,-1,0
101.7085545,116,-1,0
103.995474,100,-1,0
96.77953483,113,-1,0
103.4568285,1,-1,1
87.25263654,77,-1,0
102.1282993,82,-1,0
121.3760399,129,-1,0
107.4923896,110,-1,0
116.5417302,106,-1,0
110.7746505,87,-1,0
115.6356033,55,-1,1
94.18206545,92,-1,0
105.1813961,103,-1,0
92.47027186,124,-1,0
109.6133809,100,-1,0
116.0205829,119,-1,0
128.6540644,146,-1,0
107.1199446,280,-1,1
116.26532,111,-1,0
102.5564477,129,-1,0
128.4048447,153,-1,0
130.7684702,135,-1,0
140.3532793,150,-1,0
140.997808,135,-1,0
145.8595529,342,-1,1
144.101706,142,-1,0
144.1879841,143,-1,0
147.1702015,130,-1,0
139.8385785,123,-1,0
144.0817276,161,-1,0
137.7242159,129,-1,0
119.502859,132,-1,0
115.5449968,108,-1,0
137.0431218,128,-1,0
132.6548633,144,-1,0
126.8809074,128,-1,0
118.9515173,113,-1,0
117.8437616,127,-1,0
128.1307972,141,-1,0
123.7297939,152,-1,0
135.3948043,36,-1,1
350.4856815,3,-1,0
352.1993837,4,-1,0
9.244938491,23,-1,0
11.84641837,28,-1,0
12.63576711,189,-1,1
20.74344306,31,-1,0
7.961575412,332,-1,0
12.9255457,21,-1,0
354.8629074,170,-1,1
341.2130718,352,-1,0
348.8746125,342,-1,0
355.6278109,345,-1,0
355.3133229,18,-1,0
5.691858584,109,-1,1
341.4559723,326,-1,0
330.7383754,347,-1,0
328.8115316,356,-1,0
324.6163396,14,-1,1
324.8419955,333,-1,0
327.2369229,349,-1,0
321.4190717,353,-1,0
325.0611703,321,-1,0
315.862092,204,-1,1
317.842616,320,-1,0
308.41508,305,-1,0
308.2699368,315,-1,0
311.9615905,323,-1,0
305.1030354,310,-1,0
305.4089049,289,-1,0
296.0457561,287,-1,0
304.087262,324,-1,0
317.2530404,294,-1,0
320.2746253,185,-1,1
320.5704634,309,-1,0
329.005275,350,-1,0
329.578588,320,-1,0
331.2978394,351,-1,1
319.0825601,352,-1,0
301.967459,305,-1,0
300.245155,310,-1,0
301.713196,295,-1,0
294.3149417,278,-1,0
289.6752605,294,-1,0
295.891994,305,-1,0
298.3755698,312,-1,1
283.3974308,270,-1,0
283.276472,304,-1,0
