distMean,outcome,pred,is_oddball,rule,is_changepoint
253.0,247,0.0,-1,1,1
253.0,265,248.25,-1,1,0
253.0,290,268.5,-1,1,0
253.0,221,312.75,-1,1,0
253.0,257,294.75,-1,1,0
73.0,39,295.5,-1,1,1
73.0,63,328.5,-1,1,0
73.0,54,79.5,-1,1,0
73.0,85,38.25,-1,1,0
73.0,83,111.75,-1,1,0
73.0,98,123.0,-1,1,0
73.0,57,123.0,-1,1,0
316.0,314,31.5,-1,1,1
316.0,320,339.0,-1,1,0
316.0,315,297.0,-1,1,0
316.0,324,297.0,-1,1,0
316.0,319,336.0,-1,1,0
247.0,263,318.0,-1,1,1
247.0,220,271.5,-1,1,0
247.0,251,201.0,-1,1,0
247.0,241,273.75,-1,1,0
247.0,255,239.25,-1,1,0
247.0,257,274.5,-1,1,0
247.0,247,274.5,-1,1,0
42.0,71,231.75,-1,1,1
42.0,12,37.5,-1,1,0
42.0,39,37.5,-1,1,0
42.0,21,17.25,-1,1,0
154.0,159,29.25,-1,1,1
154.0,153,154.5,-1,1,0
154.0,116,131.25,-1,1,0
154.0,161,96.0,-1,1,0
154.0,164,109.5,-1,1,0
154.0,146,105.0,-1,1,0
154.0,160,123.75,-1,1,0
154.0,169,168.75,-1,1,0
107.0,99,182.25,-1,1,1
107.0,95,114.75,-1,1,0
107.0,72,80.25,-1,1,0
107.0,112,50.25,-1,1,0
107.0,149,102.0,-1,1,0
107.0,97,122.25,-1,1,0
330.0,344,106.5,-1,1,1
330.0,352,106.5,-1,1,0
330.0,301,321.75,-1,1,0
330.0,337,284.25,-1,1,0
330.0,356,335.25,-1,1,0
330.0,321,335.25,-1,1,0
330.0,319,344.25,-1,1,0
273.0,242,341.25,-1,1,1
273.0,243,197.25,-1,1,0
273.0,299,197.25,-1,1,0
273.0,258,297.0,-1,1,0
273.0,262,282.0,-1,1,0
273.0,250,282.0,-1,1,0
273.0,213,237.0,-1,1,0
308.0,284,214.5,-1,1,1
308.0,358,251.25,-1,1,0
308.0,293,318.75,-1,1,0
308.0,329,334.5,-1,1,0
319.0,326,0.0,-1,1,1
319.0,323,321.75,-1,1,0
319.0,334,321.75,-1,1,0
319.0,337,345.0,-1,1,0
319.0,317,324.0,-1,1,0
319.0,307,342.0,-1,1,0
183.0,186,309.0,-1,1,1
183.0,184,210.75,-1,1,0
183.0,187,187.5,-1,1,0
183.0,193,182.25,-1,1,0
183.0,158,198.0,-1,1,0
183.0,169,147.75,-1,1,0
183.0,186,159.0,-1,1,0
183.0,195,171.75,-1,1,0
84.0,125,189.75,-1,1,1
84.0,78,138.75,-1,1,0
84.0,103,112.5,-1,1,0
84.0,136,90.75,-1,1,0
84.0,89,120.75,-1,1,0
84.0,56,126.75,-1,1,0
84.0,64,75.0,-1,1,0
178.0,188,66.0,-1,1,1
178.0,159,183.0,-1,1,0
178.0,173,171.0,-1,1,0
178.0,176,182.25,-1,1,0
178.0,192,202.5,-1,1,0
178.0,206,165.75,-1,1,0
178.0,175,210.0,-1,1,0
178.0,210,181.5,-1,1,0
178.0,172,187.5,-1,1,0
178.0,201,157.5,-1,1,0
178.0,191,182.25,-1,1,0
178.0,178,201.0,-1,1,0
169.0,176,194.25,-1,1,1
169.0,190,188.25,-1,1,0
169.0,165,204.75,-1,1,0
169.0,153,172.5,-1,1,0
235.0,264,144.75,-1,1,1
235.0,214,234.75,-1,1,0
235.0,239,225.75,-1,1,0
235.0,250,253.5,-1,1,0
235.0,211,238.5,-1,1,0
235.0,225,224.25,-1,1,0
235.0,220,195.0,-1,1,0
235.0,268,211.5,-1,1,0
235.0,267,251.25,-1,1,0
235.0,228,264.0,-1,1,0
235.0,212,244.5,-1,1,0
235.0,239,213.0,-1,1,0
235.0,270,226.5,-1,1,0
235.0,219,240.75,-1,1,0
235.0,216,240.75,-1,1,0
235.0,222,213.75,-1,1,0
235.0,225,267.75,-1,1,0
235.0,263,243.0,-1,1,0
235.0,240,254.25,-1,1,0
235.0,217,264.0,-1,1,0
235.0,233,204.75,-1,1,0
235.0,192,222.0,-1,1,0
235.0,226,209.25,-1,1,0
233.0,221,0.0,-1,1,1
233.0,252,231.75,-1,1,0
233.0,234,243.75,-1,1,0
233.0,232,260.25,-1,1,0
233.0,236,220.5,-1,1,0
205.0,215,247.5,-1,1,1
205.0,233,205.5,-1,1,0
205.0,180,224.25,-1,1,0
205.0,193,198.75,-1,1,0
205.0,196,198.75,-1,1,0
205.0,206,198.75,-1,1,0
205.0,175,210.75,-1,1,0
205.0,236,192.75,-1,1,0
295.0,311,211.5,-1,1,1
295.0,271,271.5,-1,1,0
295.0,280,290.25,-1,1,0
295.0,267,290.25,-1,1,0
166.0,153,275.25,-1,1,1
166.0,172,206.25,-1,1,0
166.0,138,163.5,-1,1,0
166.0,169,147.0,-1,1,0
166.0,157,160.5,-1,1,0
166.0,183,160.5,-1,1,0
166.0,137,173.25,-1,1,0
166.0,128,156.75,-1,1,0
166.0,180,122.25,-1,1,0
166.0,179,133.5,-1,1,0
166.0,196,133.5,-1,1,0
166.0,128,171.0,-1,1,0
166.0,172,184.5,-1,1,0
166.0,166,138.0,-1,1,0
166.0,187,159.75,-1,1,0
166.0,181,173.25,-1,1,0
166.0,159,168.0,-1,1,0
166.0,164,146.25,-1,1,0
166.0,139,165.75,-1,1,0
166.0,137,133.5,-1,1,0
166.0,174,145.5,-1,1,0
166.0,173,159.0,-1,1,0
166.0,156,189.75,-1,1,0
166.0,164,184.5,-1,1,0
319.0,287,168.75,-1,1,1
319.0,347,230.25,-1,1,0
319.0,293,310.5,-1,1,0
319.0,319,291.75,-1,1,0
246.0,254,307.5,-1,1,1
246.0,235,279.75,-1,1,0
246.0,254,229.5,-1,1,0
246.0,253,243.0,-1,1,0
246.0,254,267.0,-1,1,0
24.0,6,255.0,-1,1,1
24.0,3,255.0,-1,1,0
24.0,21,350.25,-1,1,0
24.0,35,359.25,-1,1,0
307.0,329,6.75,-1,1,1
307.0,302,18.0,-1,1,0
307.0,357,336.0,-1,1,0
307.0,280,318.75,-1,1,0
307.0,308,305.25,-1,1,0
307.0,338,289.5,-1,1,0
122.0,122,0.0,-1,1,1
122.0,99,104.25,-1,1,0
122.0,143,77.25,-1,1,0
122.0,132,161.25,-1,1,0
122.0,137,113.25,-1,1,0
122.0,123,129.0,-1,1,0
122.0,87,106.5,-1,1,0
93.0,100,84.0,-1,1,1
93.0,97,97.5,-1,1,0
93.0,68,53.25,-1,1,0
93.0,67,99.0,-1,1,0
93.0,94,56.25,-1,1,0
93.0,98,91.5,-1,1,0
93.0,103,116.25,-1,1,0
93.0,81,114.75,-1,1,0
93.0,80,71.25,-1,1,0
93.0,134,90.0,-1,1,0
93.0,125,114.0,-1,1,0
93.0,92,96.75,-1,1,0
93.0,93,96.75,-1,1,0
309.0,319,96.75,-1,1,1
309.0,335,314.25,-1,1,0
309.0,307,328.5,-1,1,0
309.0,299,313.5,-1,1,0
262.0,244,300.0,-1,1,1
262.0,260,245.25,-1,1,0
262.0,287,270.0,-1,1,0
262.0,253,266.25,-1,1,0
262.0,242,266.25,-1,1,0
262.0,265,255.0,-1,1,0
262.0,259,246.75,-1,1,0
262.0,268,273.0,-1,1,0
125.0,153,284.25,-1,1,1
125.0,81,159.0,-1,1,0
125.0,112,118.5,-1,1,0
125.0,130,118.5,-1,1,0
125.0,125,142.5,-1,1,0
207.0,177,112.5,-1,1,1
207.0,211,154.5,-1,1,0
207.0,188,196.5,-1,1,0
207.0,202,174.75,-1,1,0
207.0,187,187.5,-1,1,0
207.0,218,187.5,-1,1,0
207.0,199,202.5,-1,1,0
207.0,187,213.75,-1,1,0
207.0,209,189.75,-1,1,0
207.0,213,183.75,-1,1,0
147.0,139,200.25,-1,1,1
147.0,161,140.25,-1,1,0
147.0,118,162.75,-1,1,0
147.0,140,132.75,-1,1,0
147.0,136,145.5,-1,1,0
147.0,134,145.5,-1,1,0
147.0,132,145.5,-1,1,0
165.0,138,117.0,-1,1,1
165.0,143,144.75,-1,1,0
165.0,171,144.75,-1,1,0
165.0,177,144.75,-1,1,0
165.0,144,161.25,-1,1,0
165.0,163,161.25,-1,1,0
39.39328902,69,0.0,1,-1,-1
43.28158011,54,66.0,0,-1,-1
50.89991222,50,57.75,0,-1,-1
39.07609769,13,44.25,0,-1,-1
41.39138482,2,24.75,0,-1,-1
60.84269262,27,15.0,1,-1,-1
70.8681205,42,48.0,0,-1,-1
78.16874192,63,62.25,0,-1,-1
84.36942169,49,45.75,0,-1,-1
79.85303763,328,31.5,1,-1,-1
80.97174621,110,15.75,0,-1,-1
70.58953898,66,39.0,0,-1,-1
67.79064029,62,48.75,0,-1,-1
78.12460354,249,45.75,1,-1,-1
76.52701421,114,33.75,0,-1,-1
80.14092786,57,62.25,0,-1,-1
82.66292958,76,35.25,0,-1,-1
87.162569,93,49.5,1,-1,-1
82.13730409,91,63.0,0,-1,-1
87.72990287,84,81.0,0,-1,-1
96.77022902,125,70.5,0,-1,-1
88.23230966,105,59.25,0,-1,-1
76.72140051,27,120.0,0,-1,-1
84.92043377,220,15.0,1,-1,-1
91.88422653,95,31.5,0,-1,-1
99.55860965,100,95.25,0,-1,-1
99.92730329,99,107.25,0,-1,-1
111.2172382,99,92.25,0,-1,-1
112.351898,111,88.5,1,-1,-1
126.7428608,122,100.5,0,-1,-1
150.8600333,139,127.5,0,-1,-1
144.4226298,133,150.75,0,-1,-1
145.4222882,149,118.5,1,-1,-1
136.0733689,132,108.0,0,-1,-1
138.7775598,170,150.0,0,-1,-1
140.368202,137,180.75,0,-1,-1
154.7597611,9,153.75,1,-1,-1
151.5911548,178,120.75,0,-1,-1
147.5352987,142,195.75,0,-1,-1
146.3161288,150,159.0,0,-1,-1
144.5878562,6,173.25,1,-1,-1
157.5618619,157,149.25,0,-1,-1
155.3939742,154,190.5,0,-1,-1
145.1146243,149,147.0,0,-1,-1
119.5757511,123,154.5,0,-1,-1
111.2831151,129,143.25,0,-1,-1
119.2716479,319,112.5,1,-1,-1
124.7666104,121,311.25,0,-1,-1
130.5375551,135,132.75,0,-1,-1
121.9570596,126,146.25,0,-1,-1
109.5582554,70,146.25,0,-1,-1
112.7206325,116,128.25,0,-1,-1
136.178639,150,141.0,0,-1,-1
123.0520379,124,126.75,0,-1,-1
113.0452987,102,154.5,0,-1,-1
115.9532329,80,124.5,0,-1,-1
103.9070289,57,102.0,1,-1,-1
97.7255226,95,38.25,0,-1,-1
105.286283,118,120.0,0,-1,-1
92.05048663,80,143.25,0,-1,-1
239.1003738,239,0.0,0,-1,-1
237.987272,199,0.0,0,-1,-1
246.3332988,195,226.5,1,-1,-1
238.7867926,245,174.75,0,-1,-1
234.0250638,248,192.75,0,-1,-1
226.1109447,243,231.0,0,-1,-1
226.1007089,235,201.0,0,-1,-1
226.0800677,240,207.0,0,-1,-1
221.0928167,231,235.5,0,-1,-1
196.7383253,189,228.75,0,-1,-1
210.3759568,241,210.0,0,-1,-1
214.1961345,207,240.0,0,-1,-1
211.1161407,199,225.0,0,-1,-1
206.9764297,209,186.75,0,-1,-1
204.2050274,300,218.25,1,-1,-1
199.1499936,240,218.25,0,-1,-1
205.8093536,220,247.5,0,-1,-1
199.9719281,182,231.75,0,-1,-1
197.3079612,221,231.75,0,-1,-1
179.7907925,100,244.5,1,-1,-1
168.3097016,188,211.5,0,-1,-1
174.0561606,208,233.25,0,-1,-1
165.5295221,167,227.25,0,-1,-1
158.8293635,164,189.0,0,-1,-1
170.8246702,163,174.75,0,-1,-1
173.0890765,154,160.5,0,-1,-1
200.9541151,228,160.5,0,-1,-1
206.2330435,209,204.75,0,-1,-1
197.5968549,45,189.0,1,-1,-1
204.3803539,177,189.0,0,-1,-1
213.4123875,199,155.25,0,-1,-1
219.7012038,191,161.25,0,-1,-1
216.3109524,58,183.0,1,-1,-1
226.2894829,196,192.75,0,-1,-1
240.1975962,220,203.25,0,-1,-1
259.2290184,261,224.25,0,-1,-1
272.7819809,293,201.0,0,-1,-1
270.4329677,297,222.75,0,-1,-1
272.3219242,356,312.0,1,-1,-1
272.1044681,286,324.0,0,-1,-1
291.6450518,325,299.25,0,-1,-1
296.1240043,288,287.25,0,-1,-1
308.1381159,317,312.75,1,-1,-1
315.3738918,319,336.0,0,-1,-1
318.7338955,313,294.0,0,-1,-1
328.0850959,0,302.25,0,-1,-1
314.2647113,283,302.25,0,-1,-1
327.4884515,329,297.0,0,-1,-1
319.3839913,117,345.75,1,-1,-1
320.2130996,331,345.75,0,-1,-1
311.3120817,286,354.75,0,-1,-1
293.6985342,262,311.25,0,-1,-1
289.7120054,271,288.75,0,-1,-1
278.1719092,305,306.0,0,-1,-1
293.6829821,163,333.0,1,-1,-1
295.207287,303,318.75,0,-1,-1
281.0877469,287,287.25,0,-1,-1
301.8436443,317,321.0,0,-1,-1
312.1906168,289,321.0,0,-1,-1
303.9316663,331,273.0,0,-1,-1
19.03426951,245,0.0,1,-1,-1
2.295759462,355,227.25,0,-1,-1
12.98467696,17,212.25,0,-1,-1
24.55746878,24,34.5,0,-1,-1
27.18958722,18,51.0,0,-1,-1
22.01891029,23,12.75,0,-1,-1
32.15025851,352,33.75,1,-1,-1
28.16905622,75,11.25,0,-1,-1
45.81516871,46,32.25,0,-1,-1
53.9680045,73,17.25,0,-1,-1
59.69640362,44,82.5,0,-1,-1
54.54467433,81,63.0,0,-1,-1
64.32022723,79,43.5,0,-1,-1
58.55343155,76,55.5,0,-1,-1
59.83128901,43,84.75,0,-1,-1
41.46012306,56,61.5,0,-1,-1
43.28209744,60,73.5,0,-1,-1
36.54732004,43,69.0,0,-1,-1
20.99598944,26,36.0,0,-1,-1
46.27406418,57,14.25,0,-1,-1
35.32498272,359,38.25,0,-1,-1
28.12244817,182,47.25,1,-1,-1
29.9511813,5,63.75,0,-1,-1
31.92730463,26,177.0,0,-1,-1
13.62636243,28,39.75,0,-1,-1
7.97176282,88,7.5,1,-1,-1
9.940988928,22,28.5,0,-1,-1
6.976230818,11,9.0,0,-1,-1
4.726691764,9,30.0,0,-1,-1
29.04620012,46,30.0,0,-1,-1
37.31159017,45,66.75,0,-1,-1
33.37213777,44,60.75,0,-1,-1
59.505358,59,33.0,0,-1,-1
51.01688462,63,80.25,0,-1,-1
70.56603233,68,76.5,0,-1,-1
51.53708488,77,80.25,0,-1,-1
58.35890794,54,84.75,0,-1,-1
64.11035306,98,33.75,0,-1,-1
88.8989089,148,33.75,1,-1,-1
90.47876402,87,39.75,0,-1,-1
91.94260907,78,107.25,0,-1,-1
92.37170126,93,62.25,0,-1,-1
84.16476166,84,105.75,0,-1,-1
64.32743002,101,105.75,0,-1,-1
65.79903907,60,105.75,0,-1,-1
70.63050217,76,105.75,0,-1,-1
78.1737929,70,62.25,0,-1,-1
95.13299122,94,82.5,0,-1,-1
92.73318955,84,108.75,0,-1,-1
110.1193498,77,72.75,0,-1,-1
99.26251819,83,60.0,0,-1,-1
96.31069029,96,98.25,0,-1,-1
104.9675393,108,118.5,0,-1,-1
106.0822801,211,142.5,1,-1,-1
99.43930704,86,113.25,0,-1,-1
111.1073899,104,93.75,0,-1,-1
111.2478126,135,116.25,0,-1,-1
112.9823631,232,128.25,1,-1,-1
114.6567074,121,128.25,0,-1,-1
91.06530606,74,101.25,0,-1,-1
206.063334,171,0.0,0,-1,-1
221.5648994,209,0.0,0,-1,-1
230.8620831,260,193.5,0,-1,-1
247.5256611,247,207.0,0,-1,-1
239.405542,258,228.0,0,-1,-1
229.0712453,263,267.0,0,-1,-1
215.9831408,212,267.0,0,-1,-1
213.0286752,224,246.75,0,-1,-1
214.1406242,227,241.5,0,-1,-1
214.3024562,192,241.5,0,-1,-1
214.8070871,216,246.0,0,-1,-1
214.9853679,242,229.5,0,-1,-1
223.0286193,231,254.25,0,-1,-1
213.0295573,198,254.25,0,-1,-1
213.3952521,126,225.75,1,-1,-1
214.6874118,218,225.75,0,-1,-1
207.1320664,190,237.0,0,-1,-1
202.653782,155,193.5,0,-1,-1
197.3006936,186,202.5,0,-1,-1
192.0091711,204,213.75,0,-1,-1
194.4893143,231,225.0,0,-1,-1
173.4135965,195,204.0,0,-1,-1
177.0154464,174,150.0,0,-1,-1
168.7340995,160,208.5,0,-1,-1
191.5940178,190,177.0,0,-1,-1
185.8703281,184,204.75,1,-1,-1
167.1301298,137,216.0,0,-1,-1
156.7560251,159,166.5,0,-1,-1
148.4077969,157,188.25,0,-1,-1
136.5038953,99,133.5,1,-1,-1
128.3791599,142,143.25,0,-1,-1
138.4959963,111,169.5,0,-1,-1
130.8835487,133,127.5,0,-1,-1
144.0817548,125,147.0,0,-1,-1
133.2993058,250,114.75,1,-1,-1
110.2622306,130,98.25,0,-1,-1
122.376943,95,135.0,0,-1,-1
120.6595475,156,135.0,0,-1,-1
120.0782916,145,106.5,0,-1,-1
109.8823574,114,132.0,0,-1,-1
122.3171846,310,127.5,1,-1,-1
120.2731183,120,115.5,0,-1,-1
115.5908681,106,125.25,0,-1,-1
114.5244947,101,100.5,0,-1,-1
118.2924618,121,115.5,0,-1,-1
120.0506988,103,139.5,0,-1,-1
90.81381988,139,112.5,0,-1,-1
92.51316203,98,102.75,0,-1,-1
95.54677205,85,87.75,0,-1,-1
60.70776978,88,115.5,0,-1,-1
63.3475182,109,107.25,0,-1,-1
75.519837,68,130.5,0,-1,-1
90.55681871,103,87.75,0,-1,-1
105.2545769,88,111.75,1,-1,-1
111.5453227,123,80.25,0,-1,-1
106.8242941,118,106.5,0,-1,-1
97.67579831,122,130.5,0,-1,-1
89.92571014,85,109.5,0,-1,-1
88.18828469,158,90.75,1,-1,-1
106.4637595,96,139.5,0,-1,-1
