distMean,outcome,pred,is_oddball,rule
355,297,0.0,-1.0,1
355,352,302.24999999999966,-1.0,1
355,342,341.2499999999999,-1.0,1
355,340,348.74999999999994,-1.0,1
355,4,338.9999999999999,-1.0,1
355,353,355.49999999999994,-1.0,1
150,172,354.74999999999994,-1.0,1
150,157,158.25000000000048,-1.0,1
150,144,148.50000000000043,-1.0,1
150,164,146.25000000000043,-1.0,1
150,174,156.75000000000048,-1.0,1
150,110,177.0000000000006,-1.0,1
196,207,118.50000000000026,-1.0,1
196,187,159.75000000000048,-1.0,1
196,215,174.75000000000057,-1.0,1
196,178,210.0000000000008,-1.0,1
269,307,207.7500000000008,-1.0,1
269,278,291.00000000000125,-1.0,1
269,312,291.00000000000125,-1.0,1
269,250,303.7500000000013,-1.0,1
269,274,258.000000000001,-1.0,1
269,242,269.25000000000114,-1.0,1
269,281,246.750000000001,-1.0,1
269,280,273.00000000000114,-1.0,1
269,262,279.00000000000114,-1.0,1
269,246,265.5000000000011,-1.0,1
269,276,246.750000000001,-1.0,1
269,253,294.00000000000125,-1.0,1
269,251,261.7500000000011,-1.0,1
269,284,245.25000000000097,-1.0,1
239,239,258.750000000001,-1.0,1
239,225,223.50000000000085,-1.0,1
239,248,245.25000000000097,-1.0,1
239,230,227.25000000000088,-1.0,1
239,259,260.2500000000011,-1.0,1
239,257,222.00000000000085,-1.0,1
239,253,228.75000000000088,-1.0,1
239,225,221.25000000000085,-1.0,1
239,255,254.25000000000105,-1.0,1
63,93,225.00000000000085,-1.0,1
63,65,111.0000000000002,-1.0,1
63,45,93.75000000000011,-1.0,1
63,89,32.999999999999986,-1.0,1
63,56,32.999999999999986,-1.0,1
226,206,95.25000000000011,-1.0,1
226,240,174.75000000000057,-1.0,1
226,222,271.50000000000114,-1.0,1
226,191,190.50000000000065,-1.0,1
226,242,231.7500000000009,-1.0,1
226,211,186.75000000000065,-1.0,1
260,261,186.75000000000065,-1.0,1
260,260,199.5000000000007,-1.0,1
260,278,258.000000000001,-1.0,1
260,246,298.50000000000125,-1.0,1
260,259,225.00000000000085,-1.0,1
260,251,247.500000000001,-1.0,1
260,247,211.5000000000008,-1.0,1
260,298,255.00000000000105,-1.0,1
120,141,282.0000000000012,-1.0,1
120,106,120.00000000000028,-1.0,1
262,242,50.99999999999995,-1.0,1
262,270,266.9999999999995,-1.0,1
262,283,286.4999999999996,-1.0,1
