distMean,outcome,pred,is_oddball,rule,is_changepoint
197,200,305.24999999999966,-1.0,1,1
197,186,220.4999999999992,-1.0,1,0
197,207,170.99999999999892,-1.0,1,0
197,167,190.49999999999903,-1.0,1,0
38,44,203.99999999999912,-1.0,1,1
38,46,192.74999999999903,-1.0,1,0
38,38,58.499999999998295,-1.0,1,0
38,51,23.24999999999836,-1.0,1,0
38,19,38.99999999999834,-1.0,1,0
124,86,38.24999999999834,-1.0,1,1
124,135,99.74999999999852,-1.0,1,0
124,121,115.49999999999862,-1.0,1,0
124,162,106.49999999999856,-1.0,1,0
124,106,175.49999999999895,-1.0,1,0
124,107,128.2499999999987,-1.0,1,0
52,81,118.49999999999864,-1.0,1,1
52,63,95.99999999999852,-1.0,1,0
52,68,52.4999999999983,-1.0,1,0
52,28,74.99999999999838,-1.0,1,0
307,304,20.99999999999836,-1.0,1,1
307,312,287.9999999999996,-1.0,1,0
307,272,299.24999999999966,-1.0,1,0
307,295,278.99999999999955,-1.0,1,0
343,352,308.9999999999997,-1.0,1,1
343,354,11.999999999999998,-1.0,1,0
343,21,26.25000000000001,-1.0,1,0
343,319,3.0,-1.0,1,0
343,345,342.7499999999999,-1.0,1,0
343,340,18.75,-1.0,1,0
343,8,353.99999999999994,-1.0,1,0
343,326,29.25000000000001,-1.0,1,0
343,343,3.75,-1.0,1,0
317,277,331.49999999999983,-1.0,1,1
317,344,256.49999999999943,-1.0,1,0
317,315,296.99999999999966,-1.0,1,0
317,305,284.24999999999955,-1.0,1,0
240,239,273.7499999999995,-1.0,1,1
240,245,224.24999999999923,-1.0,1,0
240,234,251.9999999999993,-1.0,1,0
240,261,238.4999999999993,-1.0,1,0
240,266,249.7499999999993,-1.0,1,0
32,23,271.4999999999995,-1.0,1,1
32,20,9.75,-1.0,1,0
32,20,34.5,-1.0,1,0
32,45,24.750000000000007,-1.0,1,0
32,57,34.5,-1.0,1,0
32,47,63.749999999999964,-1.0,1,0
343,324,30.00000000000001,-1.0,1,1
343,0,344.2499999999999,-1.0,1,0
343,316,330.74999999999983,-1.0,1,0
343,336,306.7499999999997,-1.0,1,0
343,322,354.74999999999994,-1.0,1,0
343,335,336.7499999999999,-1.0,1,0
343,333,343.4999999999999,-1.0,1,0
343,321,327.74999999999983,-1.0,1,0
32,55,311.2499999999997,-1.0,1,1
32,36,61.49999999999995,-1.0,1,0
32,357,28.50000000000001,-1.0,1,0
32,21,5.249999999999997,-1.0,1,0
67,58,29.25000000000001,-1.0,1,1
277,274,227.9999999999993,-1.0,1,1
277,323,263.99999999999943,-1.0,1,0
277,258,310.4999999999997,-1.0,1,0
277,256,276.74999999999955,-1.0,1,0
273,241,263.99999999999943,-1.0,1,1
273,277,248.2499999999993,-1.0,1,0
273,278,293.2499999999996,-1.0,1,0
273,251,286.4999999999996,-1.0,1,0
273,257,258.74999999999943,-1.0,1,0
273,267,272.9999999999995,-1.0,1,0
273,271,285.7499999999996,-1.0,1,0
273,270,260.99999999999943,-1.0,1,0
273,224,244.4999999999993,-1.0,1,0
273,243,197.9999999999991,-1.0,1,0
127,126,251.9999999999993,-1.0,1,1
127,130,149.2499999999988,-1.0,1,0
127,132,141.74999999999875,-1.0,1,0
127,128,149.2499999999988,-1.0,1,0
127,155,120.74999999999864,-1.0,1,0
