distMean,outcome,pred,is_oddball,rule
322.0,310,344.9999999999999,-1.0,1
322.0,327,321.7499999999998,-1.0,1
322.0,311,326.99999999999983,-1.0,1
322.0,339,317.2499999999998,-1.0,1
322.0,323,329.99999999999983,-1.0,1
322.0,316,325.4999999999998,-1.0,1
322.0,295,322.4999999999998,-1.0,1
86.0,92,298.49999999999966,-1.0,1
86.0,122,88.5000000000001,-1.0,1
86.0,94,114.00000000000024,-1.0,1
86.0,86,97.50000000000016,-1.0,1
86.0,91,88.5000000000001,-1.0,1
86.0,103,88.5000000000001,-1.0,1
86.0,132,100.50000000000016,-1.0,1
86.0,97,126.75000000000033,-1.0,1
86.0,76,101.25000000000016,-1.0,1
224.0,214,83.25000000000006,-1.0,1
224.0,214,189.00000000000065,-1.0,1
224.0,207,209.2500000000008,-1.0,1
224.0,252,209.2500000000008,-1.0,1
352.0,9,13.499999999999996,-1.0,1
352.0,352,6.750000000000001,-1.0,1
44.0,46,359.25,-1.0,1
44.0,39,59.99999999999994,-1.0,1
139.0,127,44.999999999999964,-1.0,1
139.0,149,119.25000000000028,-1.0,1
139.0,137,143.2500000000004,-1.0,1
139.0,146,139.50000000000037,-1.0,1
139.0,134,144.7500000000004,-1.0,1
265.0,269,135.00000000000034,-1.0,1
265.0,267,259.5000000000011,-1.0,1
265.0,268,263.2500000000011,-1.0,1
265.0,277,267.7500000000011,-1.0,1
265.0,260,275.25000000000114,-1.0,1
32.0,17,262.5000000000011,-1.0,1
32.0,19,346.50000000000153,-1.0,1
32.0,30,12.749999999999996,-1.0,1
32.0,14,24.75000000000001,-1.0,1
163.0,173,17.25,-1.0,1
163.0,167,155.25000000000043,-1.0,1
163.0,161,163.5000000000005,-1.0,1
163.0,162,163.5000000000005,-1.0,1
163.0,153,163.5000000000005,-1.0,1
163.0,151,159.00000000000048,-1.0,1
163.0,199,153.00000000000043,-1.0,1
163.0,210,191.25000000000068,-1.0,1
320.0,302,206.2500000000008,-1.0,1
320.0,314,296.25000000000125,-1.0,1
320.0,337,311.25000000000136,-1.0,1
320.0,325,325.5000000000014,-1.0,1
320.0,316,325.5000000000014,-1.0,1
320.0,324,321.7500000000014,-1.0,1
320.0,301,321.7500000000014,-1.0,1
320.0,303,309.0000000000013,-1.0,1
320.0,342,304.5000000000013,-1.0,1
170.0,193,164.2500000000005,-1.0,1
170.0,176,186.75000000000065,-1.0,1
170.0,171,178.5000000000006,-1.0,1
170.0,147,174.75000000000057,-1.0,1
170.0,147,153.75000000000043,-1.0,1
170.0,189,143.2500000000004,-1.0,1
170.0,189,191.25000000000068,-1.0,1
170.0,203,191.25000000000068,-1.0,1
145.0,152,203.2500000000008,-1.0,1
145.0,140,156.00000000000048,-1.0,1
145.0,155,142.5000000000004,-1.0,1
145.0,144,150.75000000000043,-1.0,1
145.0,172,145.50000000000043,-1.0,1
145.0,123,168.00000000000054,-1.0,1
145.0,119,129.7500000000003,-1.0,1
145.0,126,115.50000000000024,-1.0,1
145.0,175,121.50000000000028,-1.0,1
145.0,132,165.0000000000005,-1.0,1
135.0,109,137.25000000000037,-1.0,1
135.0,129,115.50000000000024,-1.0,1
135.0,127,125.2500000000003,-1.0,1
135.0,134,125.2500000000003,-1.0,1
135.0,110,132.00000000000034,-1.0,1
135.0,130,113.25000000000024,-1.0,1
135.0,150,125.2500000000003,-1.0,1
135.0,136,146.25000000000043,-1.0,1
135.0,127,137.25000000000037,-1.0,1
135.0,140,123.75000000000028,-1.0,1
185.0,176,140.25000000000037,-1.0,1
185.0,179,169.50000000000054,-1.0,1
185.0,191,179.2500000000006,-1.0,1
185.0,179,189.75000000000065,-1.0,1
185.0,151,183.00000000000065,-1.0,1
185.0,157,156.00000000000048,-1.0,1
185.0,208,156.00000000000048,-1.0,1
185.0,161,202.5000000000008,-1.0,1
37.0,47,169.50000000000054,-1.0,1
37.0,57,53.99999999999993,-1.0,1
37.0,43,53.99999999999993,-1.0,1
37.0,6,43.49999999999996,-1.0,1
244.0,273,12.74999999999998,-1.0,1
244.0,259,280.49999999999955,-1.0,1
244.0,261,263.24999999999943,-1.0,1
244.0,224,263.24999999999943,-1.0,1
244.0,210,229.4999999999993,-1.0,1
244.0,247,214.4999999999992,-1.0,1
244.0,242,255.7499999999994,-1.0,1
244.0,243,245.2499999999993,-1.0,1
244.0,242,245.2499999999993,-1.0,1
244.0,246,245.2499999999993,-1.0,1
95.0,92,245.2499999999993,-1.0,1
95.0,97,97.49999999999852,-1.0,1
95.0,96,97.49999999999852,-1.0,1
95.0,125,97.49999999999852,-1.0,1
122.0,94,116.99999999999862,-1.0,1
122.0,121,95.99999999999852,-1.0,1
122.0,122,111.7499999999986,-1.0,1
98.0,105,344.2499999999999,-1.0,1
98.0,36,99.75000000000016,-1.0,1
98.0,111,44.99999999999996,-1.0,1
98.0,64,90.7500000000001,-1.0,1
140.0,113,76.50000000000003,-1.0,1
140.0,156,106.5000000000002,-1.0,1
140.0,158,144.7500000000004,-1.0,1
140.0,138,156.00000000000048,-1.0,1
140.0,118,140.25000000000037,-1.0,1
140.0,166,117.75000000000026,-1.0,1
140.0,196,155.25000000000043,-1.0,1
158.0,208,187.50000000000065,-1.0,1
158.0,141,199.5000000000007,-1.0,1
158.0,153,144.7500000000004,-1.0,1
158.0,157,148.50000000000043,-1.0,1
158.0,175,153.75000000000043,-1.0,1
178.0,186,170.25000000000054,-1.0,1
178.0,192,182.25000000000065,-1.0,1
178.0,181,187.50000000000065,-1.0,1
178.0,149,183.75000000000065,-1.0,1
178.0,153,154.50000000000043,-1.0,1
178.0,176,154.50000000000043,-1.0,1
178.0,191,170.25000000000054,-1.0,1
200.0,222,183.75000000000065,-1.0,1
200.0,206,215.2500000000008,-1.0,1
200.0,171,209.2500000000008,-1.0,1
200.0,180,174.75000000000057,-1.0,1
55.0,39,178.5000000000006,-1.0,1
55.0,39,70.49999999999999,-1.0,1
55.0,45,46.49999999999995,-1.0,1
55.0,45,46.49999999999995,-1.0,1
55.0,48,46.49999999999995,-1.0,1
268.0,273,46.49999999999995,-1.0,1
268.0,269,288.7499999999996,-1.0,1
268.0,261,277.49999999999955,-1.0,1
268.0,260,263.24999999999943,-1.0,1
268.0,257,263.24999999999943,-1.0,1
268.0,284,262.49999999999943,-1.0,1
171.0,207,277.49999999999955,-1.0,1
171.0,178,224.99999999999923,-1.0,1
171.0,207,188.24999999999903,-1.0,1
171.0,179,201.7499999999991,-1.0,1
85.0,127,183.749999999999,-1.0,1
85.0,102,134.99999999999872,-1.0,1
85.0,70,113.9999999999986,-1.0,1
85.0,75,75.7499999999984,-1.0,1
85.0,53,75.7499999999984,-1.0,1
260.0,252,66.74999999999834,-1.0,1
260.0,253,239.2499999999993,-1.0,1
260.0,265,245.2499999999993,-1.0,1
260.0,289,263.99999999999943,-1.0,1
192.0,226,280.49999999999955,-1.0,1
192.0,189,235.4999999999993,-1.0,1
192.0,162,205.49999999999912,-1.0,1
192.0,182,171.74999999999892,-1.0,1
61.0,78,176.99999999999895,-1.0,1
61.0,75,86.24999999999845,-1.0,1
61.0,46,79.49999999999841,-1.0,1
61.0,62,50.24999999999831,-1.0,1
61.0,81,61.49999999999831,-1.0,1
301.0,320,342.7499999999999,-1.0,1
301.0,307,326.99999999999983,-1.0,1
301.0,310,314.9999999999997,-1.0,1
