distMean,outcome,pred,is_oddball,rule
109.0,99,0.0,-1.0,1
109.0,95,69.0,-1.0,1
109.0,113,69.0,-1.0,1
109.0,99,92.25000000000011,-1.0,1
109.0,112,75.75000000000003,-1.0,1
109.0,99,75.75000000000003,-1.0,1
109.0,94,75.75000000000003,-1.0,1
109.0,93,75.75000000000003,-1.0,1
109.0,91,75.75000000000003,-1.0,1
109.0,114,75.75000000000003,-1.0,1
237.0,240,88.5000000000001,-1.0,1
237.0,208,246.750000000001,-1.0,1
237.0,257,208.5000000000008,-1.0,1
237.0,225,246.750000000001,-1.0,1
237.0,240,234.7500000000009,-1.0,1
237.0,263,234.7500000000009,-1.0,1
237.0,225,273.75000000000114,-1.0,1
237.0,223,237.0000000000009,-1.0,1
237.0,227,237.0000000000009,-1.0,1
237.0,220,237.0000000000009,-1.0,1
237.0,233,231.00000000000088,-1.0,1
237.0,207,231.00000000000088,-1.0,1
237.0,251,231.00000000000088,-1.0,1
237.0,238,262.5000000000011,-1.0,1
237.0,247,252.75000000000105,-1.0,1
237.0,243,252.75000000000105,-1.0,1
212.0,182,264.7500000000011,-1.0,1
212.0,203,156.00000000000048,-1.0,1
212.0,205,213.7500000000008,-1.0,1
212.0,227,213.7500000000008,-1.0,1
212.0,219,238.5000000000009,-1.0,1
212.0,211,231.7500000000009,-1.0,1
212.0,234,231.7500000000009,-1.0,1
206.0,182,246.750000000001,-1.0,1
206.0,222,206.2500000000008,-1.0,1
206.0,187,234.0000000000009,-1.0,1
206.0,178,212.2500000000008,-1.0,1
206.0,218,212.2500000000008,-1.0,1
206.0,190,234.0000000000009,-1.0,1
206.0,215,213.0000000000008,-1.0,1
206.0,206,213.0000000000008,-1.0,1
197.0,212,230.25000000000088,-1.0,1
197.0,195,223.50000000000085,-1.0,1
197.0,202,207.0000000000008,-1.0,1
197.0,174,207.0000000000008,-1.0,1
197.0,186,193.50000000000068,-1.0,1
89.0,111,193.50000000000068,-1.0,1
89.0,61,96.75000000000014,-1.0,1
89.0,54,71.25,-1.0,1
89.0,112,71.25,-1.0,1
89.0,76,96.75000000000014,-1.0,1
89.0,79,96.75000000000014,-1.0,1
89.0,86,86.25000000000009,-1.0,1
89.0,70,86.25000000000009,-1.0,1
89.0,79,86.25000000000009,-1.0,1
89.0,93,86.25000000000009,-1.0,1
89.0,79,65.24999999999996,-1.0,1
320.0,334,65.24999999999996,-1.0,1
320.0,330,323.9999999999998,-1.0,1
320.0,327,323.9999999999998,-1.0,1
231.0,222,0.0,-1.0,1
231.0,239,240.7499999999993,-1.0,1
231.0,229,257.99999999999943,-1.0,1
231.0,243,246.7499999999993,-1.0,1
298.0,323,246.7499999999993,-1.0,1
298.0,308,295.4999999999996,-1.0,1
298.0,286,301.49999999999966,-1.0,1
298.0,311,314.2499999999997,-1.0,1
298.0,287,314.2499999999997,-1.0,1
124.0,110,302.99999999999966,-1.0,1
124.0,120,131.99999999999872,-1.0,1
124.0,139,111.7499999999986,-1.0,1
124.0,109,91.49999999999848,-1.0,1
124.0,145,91.49999999999848,-1.0,1
124.0,129,128.2499999999987,-1.0,1
124.0,118,128.2499999999987,-1.0,1
