distMean,outcome,pred,is_oddball,rule
119,141,0.0,-1.0,1
119,126,138.4500000000005,-1.0,1
119,85,133.90000000000114,-1.0,1
119,107,124.55000000000166,-1.0,1
119,106,119.05000000000231,-1.0,1
119,85,112.60000000000367,-1.0,1
119,117,96.60000000000468,-1.0,1
119,107,103.60000000000424,-1.0,1
119,122,103.60000000000424,-1.0,1
119,97,109.60000000000387,-1.0,1
119,113,103.20000000000428,-1.0,1
119,122,107.500000000004,-1.0,1
224,241,113.40000000000364,-1.0,1
224,220,116.75000000000315,-1.0,1
224,204,209.5500000000034,-1.0,1
224,285,206.6500000000036,-1.0,1
215,195,216.55000000000297,-1.0,1
215,210,199.5500000000033,-1.0,1
215,223,215.3000000000034,-1.0,1
215,185,222.40000000000296,-1.0,1
215,219,189.4000000000028,-1.0,1
234,221,208.7000000000027,-1.0,1
234,238,214.3000000000024,-1.0,1
234,254,231.3000000000013,-1.0,1
234,230,245.5000000000004,-1.0,1
234,221,238.6000000000008,-1.0,1
234,226,226.5000000000016,-1.0,1
234,231,230.00000000000136,-1.0,1
234,221,230.00000000000136,-1.0,1
135,141,224.7000000000017,-1.0,1
135,126,148.5500000000017,-1.0,1
135,120,137.05000000000285,-1.0,1
135,134,125.25000000000232,-1.0,1
135,163,129.75000000000236,-1.0,1
135,145,139.600000000002,-1.0,1
135,148,139.600000000002,-1.0,1
135,139,146.35000000000204,-1.0,1
58,103,144.100000000002,-1.0,1
58,69,111.10000000000184,-1.0,1
58,64,81.10000000000167,-1.0,1
58,43,72.85000000000163,-1.0,1
58,46,50.350000000001565,-1.0,1
58,94,50.350000000001565,-1.0,1
266,245,89.35000000000171,-1.0,1
266,289,245.9999999999993,-1.0,1
266,256,283.49999999999955,-1.0,1
266,250,276.74999999999955,-1.0,1
266,250,264.2999999999997,-1.0,1
266,269,244.79999999999964,-1.0,1
266,237,270.34999999999974,-1.0,1
266,283,241.65000000000012,-1.0,1
148,161,271.6500000000004,-1.0,1
148,131,165.89999999999975,-1.0,1
148,149,141.8999999999996,-1.0,1
148,150,141.8999999999996,-1.0,1
161,156,141.8999999999996,-1.0,1
161,151,150.89999999999966,-1.0,1
161,177,156.3500000000002,-1.0,1
161,151,162.35000000000022,-1.0,1
161,169,168.35000000000025,-1.0,1
43,55,0.0,-1.0,1
43,20,50.99999999999995,-1.0,1
43,61,27.00000000000001,-1.0,1
43,61,46.499999999999964,-1.0,1
302,308,57.74999999999993,-1.0,1
302,330,8.249999999999996,-1.0,1
302,286,338.2499999999999,-1.0,1
302,320,294.7499999999996,-1.0,1
302,318,318.7499999999998,-1.0,1
302,287,318.7499999999998,-1.0,1
302,283,288.7499999999996,-1.0,1
302,305,288.7499999999996,-1.0,1
302,307,301.49999999999966,-1.0,1
302,334,304.7000000000004,-1.0,1
302,311,332.50000000000097,-1.0,1
302,297,314.1000000000011,-1.0,1
218,237,296.5000000000013,-1.0,1
218,210,257.3500000000016,-1.0,1
218,225,219.10000000000133,-1.0,1
218,235,224.35000000000136,-1.0,1
218,254,234.10000000000144,-1.0,1
218,213,252.8500000000016,-1.0,1
218,208,216.1000000000013,-1.0,1
249,249,216.1000000000013,-1.0,1
249,248,249.8500000000015,-1.0,1
249,242,249.1500000000016,-1.0,1
249,225,241.65000000000225,-1.0,1
249,240,225.000000000002,-1.0,1
249,249,237.00000000000205,-1.0,1
249,269,249.0000000000021,-1.0,1
249,244,268.5000000000022,-1.0,1
249,222,244.45000000000184,-1.0,1
249,247,209.20000000000164,-1.0,1
249,241,232.90000000000168,-1.0,1
249,251,238.3000000000017,-1.0,1
249,267,249.55000000000163,-1.0,1
136,132,261.5500000000017,-1.0,1
136,123,155.25000000000043,-1.0,1
136,140,123.75000000000009,-1.0,1
136,118,147.6000000000002,-1.0,1
136,129,118.50000000000026,-1.0,1
136,131,127.75000000000004,-1.0,1
136,104,128.70000000000033,-1.0,1
107,119,106.95000000000012,-1.0,1
107,72,118.15000000000012,-1.0,1
107,116,80.40000000000009,-1.0,1
107,80,115.64999999999948,-1.0,1
107,84,84.8999999999993,-1.0,1
107,128,85.4499999999992,-1.0,1
107,117,122.19999999999942,-1.0,1
107,87,114.69999999999938,-1.0,1
107,98,91.69999999999948,-1.0,1
107,113,99.19999999999952,-1.0,1
107,124,118.5499999999995,-1.0,1
107,120,118.5499999999995,-1.0,1
139,139,118.5499999999995,-1.0,1
139,132,139.09999999999948,-1.0,1
139,140,135.65000000000038,-1.0,1
139,115,134.05000000000035,-1.0,1
139,160,115.65000000000008,-1.0,1
129,134,0.0,-1.0,1
129,119,133.50000000000034,-1.0,1
129,90,120.00000000000028,-1.0,1
129,131,90.7500000000001,-1.0,1
129,119,130.50000000000034,-1.0,1
289,290,118.50000000000026,-1.0,1
289,260,288.0000000000012,-1.0,1
289,299,271.50000000000114,-1.0,1
289,294,291.75000000000125,-1.0,1
170,167,291.75000000000125,-1.0,1
170,142,170.25000000000054,-1.0,1
170,148,145.30000000000143,-1.0,1
170,173,145.30000000000143,-1.0,1
170,217,172.60000000000147,-1.0,1
238,213,213.1000000000017,-1.0,1
238,236,213.1000000000017,-1.0,1
238,236,236.35000000000184,-1.0,1
238,269,236.35000000000184,-1.0,1
14,51,261.850000000002,-1.0,1
14,4,44.24999999999997,-1.0,1
14,17,10.700000000000005,-1.0,1
14,48,15.749999999999996,-1.0,1
179,203,47.24999999999996,-1.0,1
179,199,200.15000000000043,-1.0,1
179,189,200.15000000000043,-1.0,1
179,173,189.1500000000001,-1.0,1
179,176,167.6499999999998,-1.0,1
179,179,176.14999999999978,-1.0,1
179,246,182.1499999999998,-1.0,1
179,179,245.15000000000012,-1.0,1
179,191,180.39999999999972,-1.0,1
179,211,188.79999999999976,-1.0,1
179,146,248.8000000000001,-1.0,1
179,171,146.89999999999807,-1.0,1
329,314,168.59999999999815,-1.0,1
329,338,320.099999999999,-1.0,1
329,316,332.39999999999884,-1.0,1
329,287,315.4999999999986,-1.0,1
7,26,290.0000000000004,-1.0,1
7,30,28.350000000000275,-1.0,1
7,359,34.350000000000264,-1.0,1
7,6,2.85000000000026,-1.0,1
7,341,2.85000000000026,-1.0,1
7,353,354.4500000000013,-1.0,1
7,15,353.24999999999994,-1.0,1
281,245,10.499999999999998,-1.0,1
281,302,249.74999999999932,-1.0,1
281,277,277.49999999999955,-1.0,1
281,260,277.49999999999955,-1.0,1
281,282,261.74999999999943,-1.0,1
132,111,272.84999999999934,-1.0,1
132,151,103.4000000000006,-1.0,1
132,119,150.0500000000005,-1.0,1
132,123,150.0500000000005,-1.0,1
132,136,124.55000000000034,-1.0,1
132,163,135.29999999999993,-1.0,1
132,121,163.8000000000001,-1.0,1
132,162,127.2999999999998,-1.0,1
132,120,157.29999999999998,-1.0,1
106,101,121.39999999999998,-1.0,1
347,348,2.500000000000001,-1.0,1
347,330,351.74999999999994,-1.0,1
347,326,332.99999999999983,-1.0,1
347,4,332.99999999999983,-1.0,1
347,321,357.0,-1.0,1
347,356,331.49999999999983,-1.0,1
347,347,347.24999999999994,-1.0,1
347,7,342.7499999999999,-1.0,1
347,7,8.25,-1.0,1
347,13,5.25,-1.0,1
347,327,8.25,-1.0,1
347,342,8.25,-1.0,1
347,2,344.9999999999999,-1.0,1
286,299,357.75,-1.0,1
286,285,298.49999999999966,-1.0,1
286,263,285.0000000000003,-1.0,1
286,286,271.5000000000002,-1.0,1
286,330,282.0000000000003,-1.0,1
286,278,330.0000000000005,-1.0,1
286,284,279.7500000000002,-1.0,1
286,292,310.5000000000004,-1.0,1
286,283,303.0000000000004,-1.0,1
286,319,288.7500000000003,-1.0,1
286,269,315.75000000000045,-1.0,1
248,260,276.7500000000002,-1.0,1
248,255,262.05,-1.0,1
248,264,258.3,-1.0,1
248,249,259.05,-1.0,1
248,236,249.29999999999995,-1.0,1
118,125,238.7999999999999,-1.0,1
118,104,127.79999999999929,-1.0,1
118,112,100.79999999999912,-1.0,1
118,110,115.0499999999992,-1.0,1
118,145,115.0499999999992,-1.0,1
118,131,142.79999999999936,-1.0,1
35,18,130.0499999999993,-1.0,1
35,34,24.75000000000001,-1.0,1
35,15,30.00000000000001,-1.0,1
35,49,19.5,-1.0,1
35,12,45.749999999999964,-1.0,1
35,50,12.749999999999996,-1.0,1
35,46,49.49999999999996,-1.0,1
35,23,11.999999999999996,-1.0,1
35,8,32.25,-1.0,1
333,316,10.499999999999996,-1.0,1
333,325,320.9999999999998,-1.0,1
333,319,329.24999999999983,-1.0,1
333,338,321.7499999999998,-1.0,1
333,336,335.99999999999983,-1.0,1
341,359,335.99999999999983,-1.0,1
341,340,359.25,-1.0,1
341,358,343.4999999999999,-1.0,1
341,5,355.49999999999994,-1.0,1
74,104,1.5,-1.0,1
74,57,99.00000000000016,-1.0,1
74,58,63.749999999999964,-1.0,1
74,62,62.24999999999996,-1.0,1
74,78,61.49999999999995,-1.0,1
74,79,79.50000000000006,-1.0,1
74,79,79.50000000000006,-1.0,1
