distMean,outcome,pred,is_oddball,rule
292,323,0.0,-1.0,1
292,332,321.8500000000002,-1.0,1
292,301,328.1499999999998,-1.0,1
292,306,314.7500000000006,-1.0,1
292,295,310.75000000000085,-1.0,1
226,250,304.55000000000126,-1.0,1
226,242,304.55000000000126,-1.0,1
226,233,245.3000000000009,-1.0,1
226,248,239.0000000000013,-1.0,1
226,222,242.60000000000107,-1.0,1
226,231,231.80000000000177,-1.0,1
197,224,231.80000000000177,-1.0,1
197,218,228.40000000000165,-1.0,1
197,176,228.40000000000165,-1.0,1
197,212,228.40000000000165,-1.0,1
197,200,228.40000000000165,-1.0,1
197,210,208.9000000000016,-1.0,1
197,209,210.50000000000145,-1.0,1
197,169,210.50000000000145,-1.0,1
197,195,210.50000000000145,-1.0,1
19,19,206.00000000000173,-1.0,1
19,50,19.200000000000003,-1.0,1
19,4,40.94999999999997,-1.0,1
19,31,12.449999999999994,-1.0,1
19,10,21.450000000000003,-1.0,1
19,46,18.55,-1.0,1
19,7,38.04999999999998,-1.0,1
19,8,23.050000000000004,-1.0,1
19,30,20.45,-1.0,1
52,63,24.350000000000005,-1.0,1
52,66,26.95000000000001,-1.0,1
52,35,37.44999999999999,-1.0,1
52,61,37.44999999999999,-1.0,1
52,61,32.95,-1.0,1
52,94,38.19999999999998,-1.0,1
140,128,87.7000000000001,-1.0,1
140,130,110.95000000000024,-1.0,1
140,138,120.70000000000029,-1.0,1
140,187,128.95000000000033,-1.0,1
140,145,138.7000000000004,-1.0,1
140,130,141.10000000000022,-1.0,1
140,164,139.40000000000035,-1.0,1
140,150,143.4000000000001,-1.0,1
140,124,144.8,-1.0,1
140,142,144.8,-1.0,1
295,311,144.8,-1.0,1
295,295,311.7499999999999,-1.0,1
295,316,304.25000000000034,-1.0,1
295,274,310.1500000000005,-1.0,1
295,296,285.05000000000064,-1.0,1
295,305,290.7500000000003,-1.0,1
73,66,296.44999999999993,-1.0,1
73,76,62.24999999999996,-1.0,1
73,37,72.75000000000001,-1.0,1
73,94,51.74999999999995,-1.0,1
73,61,69.75,-1.0,1
73,73,68.15000000000009,-1.0,1
