distMean,outcome,pred,is_oddball,rule
45,55,9.8,-1.0,1
45,43,51.79999999999996,-1.0,1
45,46,45.04999999999997,-1.0,1
45,51,51.04999999999996,-1.0,1
290,281,46.54999999999997,-1.0,1
290,291,46.54999999999997,-1.0,1
290,294,296.99999999999966,-1.0,1
290,253,289.4999999999996,-1.0,1
290,317,289.4999999999996,-1.0,1
45,62,294.7499999999996,-1.0,1
45,65,294.7499999999996,-1.0,1
45,30,56.249999999999936,-1.0,1
45,39,33.19999999999996,-1.0,1
45,58,39.949999999999946,-1.0,1
45,16,56.449999999999896,-1.0,1
257,232,19.699999999999964,-1.0,1
257,253,235.4999999999993,-1.0,1
257,251,247.49999999999915,-1.0,1
257,247,253.4999999999992,-1.0,1
257,256,248.24999999999915,-1.0,1
257,260,258.5999999999993,-1.0,1
257,253,259.3499999999993,-1.0,1
257,291,252.59999999999928,-1.0,1
257,250,288.59999999999945,-1.0,1
257,274,253.64999999999912,-1.0,1
257,240,270.14999999999924,-1.0,1
216,175,270.14999999999924,-1.0,1
216,219,218.69999999999905,-1.0,1
216,206,219.44999999999905,-1.0,1
216,219,209.69999999999897,-1.0,1
216,204,218.69999999999905,-1.0,1
216,216,218.69999999999905,-1.0,1
216,188,212.69999999999897,-1.0,1
216,196,212.69999999999897,-1.0,1
216,220,200.6999999999989,-1.0,1
216,222,200.6999999999989,-1.0,1
7,352,220.19999999999905,-1.0,1
7,340,345.4499999999997,-1.0,1
7,19,339.4499999999997,-1.0,1
7,45,14.249999999999996,-1.0,1
11,52,44.24999999999997,-1.0,1
11,11,49.49999999999996,-1.0,1
11,8,16.80000000000001,-1.0,1
11,337,5.550000000000011,-1.0,1
95,82,336.7499999999999,-1.0,1
95,67,80.25000000000006,-1.0,1
95,56,69.75,-1.0,1
95,103,58.499999999999936,-1.0,1
3,345,101.25000000000016,-1.0,1
3,14,101.25000000000016,-1.0,1
3,24,21.0,-1.0,1
3,321,24.000000000000004,-1.0,1
3,15,326.24999999999983,-1.0,1
225,235,14.999999999999996,-1.0,1
225,215,344.2499999999999,-1.0,1
225,245,216.7499999999992,-1.0,1
225,233,232.44999999999945,-1.0,1
225,206,238.44999999999948,-1.0,1
184,182,238.44999999999948,-1.0,1
184,168,195.6999999999992,-1.0,1
39,29,12.749999999999996,-1.0,1
39,27,30.00000000000001,-1.0,1
39,34,30.00000000000001,-1.0,1
39,18,30.00000000000001,-1.0,1
39,25,23.250000000000004,-1.0,1
39,351,23.250000000000004,-1.0,1
15,6,355.49999999999994,-1.0,1
15,10,3.0,-1.0,1
15,7,11.249999999999998,-1.0,1
15,42,11.249999999999998,-1.0,1
15,8,37.49999999999999,-1.0,1
15,32,10.499999999999996,-1.0,1
15,53,24.000000000000004,-1.0,1
15,357,54.749999999999936,-1.0,1
241,300,54.749999999999936,-1.0,1
241,251,344.2499999999999,-1.0,1
241,241,247.4999999999993,-1.0,1
241,212,241.4999999999993,-1.0,1
241,229,212.24999999999915,-1.0,1
162,166,216.5499999999993,-1.0,1
162,203,208.29999999999924,-1.0,1
162,160,208.29999999999924,-1.0,1
162,142,180.5499999999991,-1.0,1
162,171,143.7999999999989,-1.0,1
162,168,167.04999999999902,-1.0,1
181,157,169.29999999999905,-1.0,1
181,160,160.299999999999,-1.0,1
181,147,160.299999999999,-1.0,1
181,203,147.5499999999989,-1.0,1
181,210,203.0499999999992,-1.0,1
157,152,208.29999999999924,-1.0,1
157,138,146.7999999999989,-1.0,1
157,154,140.04999999999887,-1.0,1
157,187,153.54999999999893,-1.0,1
157,136,170.04999999999905,-1.0,1
157,163,154.29999999999896,-1.0,1
157,159,159.549999999999,-1.0,1
65,63,159.549999999999,-1.0,1
65,34,159.549999999999,-1.0,1
65,50,38.04999999999846,-1.0,1
65,55,43.29999999999844,-1.0,1
65,46,47.049999999998434,-1.0,1
65,105,45.54999999999844,-1.0,1
65,30,45.54999999999844,-1.0,1
65,58,37.29999999999846,-1.0,1
65,70,56.799999999998406,-1.0,1
243,254,68.79999999999846,-1.0,1
243,249,68.79999999999846,-1.0,1
243,266,248.04999999999947,-1.0,1
243,239,263.0499999999996,-1.0,1
243,221,263.0499999999996,-1.0,1
243,245,224.7499999999996,-1.0,1
243,237,245.7499999999997,-1.0,1
243,232,235.2499999999997,-1.0,1
239,226,235.2499999999997,-1.0,1
239,255,228.49999999999963,-1.0,1
239,264,249.7999999999996,-1.0,1
239,219,264.7999999999997,-1.0,1
239,235,222.79999999999947,-1.0,1
239,241,234.0499999999996,-1.0,1
208,190,0.0,-1.0,1
208,182,198.7499999999991,-1.0,1
208,187,180.74999999999892,-1.0,1
208,236,188.24999999999903,-1.0,1
208,228,234.7499999999993,-1.0,1
309,306,230.2499999999993,-1.0,1
309,286,230.2499999999993,-1.0,1
309,296,283.49999999999955,-1.0,1
309,307,292.4999999999996,-1.0,1
309,279,307.4999999999997,-1.0,1
309,336,287.64999999999947,-1.0,1
309,320,309.3999999999996,-1.0,1
309,281,319.5499999999997,-1.0,1
309,319,282.5999999999995,-1.0,1
309,299,304.3499999999996,-1.0,1
309,3,294.5999999999996,-1.0,1
118,99,357.6,-1.0,1
118,117,357.6,-1.0,1
118,114,102.75000000000018,-1.0,1
118,122,114.75000000000024,-1.0,1
118,128,121.50000000000028,-1.0,1
118,98,126.75000000000033,-1.0,1
118,121,98.25000000000014,-1.0,1
118,126,120.00000000000028,-1.0,1
245,259,126.0000000000003,-1.0,1
245,243,257.250000000001,-1.0,1
245,250,247.500000000001,-1.0,1
245,277,249.000000000001,-1.0,1
245,288,275.5000000000011,-1.0,1
261,258,286.75000000000114,-1.0,1
261,244,262.0000000000009,-1.0,1
261,281,244.7500000000008,-1.0,1
261,262,278.50000000000097,-1.0,1
186,178,263.5000000000009,-1.0,1
186,160,263.5000000000009,-1.0,1
186,205,169.00000000000037,-1.0,1
186,179,197.5000000000005,-1.0,1
