distMean,outcome,pred,is_oddball,rule
332,349,0.0,-1.0,1
332,333,339.7499999999999,-1.0,1
332,350,326.24999999999983,-1.0,1
332,322,342.7499999999999,-1.0,1
332,1,342.7499999999999,-1.0,1
278,274,333.74999999999983,-1.0,1
278,283,11.249999999999998,-1.0,1
278,317,353.99999999999994,-1.0,1
278,266,326.24999999999983,-1.0,1
278,277,326.24999999999983,-1.0,1
133,175,283.49999999999955,-1.0,1
133,148,3.0,-1.0,1
133,132,142.5000000000004,-1.0,1
133,162,120.75000000000028,-1.0,1
133,176,144.7500000000004,-1.0,1
133,126,169.50000000000054,-1.0,1
258,255,141.0000000000004,-1.0,1
258,297,176.2500000000006,-1.0,1
258,258,270.00000000000114,-1.0,1
258,272,246.750000000001,-1.0,1
258,242,264.0000000000011,-1.0,1
258,269,249.750000000001,-1.0,1
258,270,261.7500000000011,-1.0,1
258,252,273.75000000000114,-1.0,1
258,247,253.50000000000105,-1.0,1
42,38,240.7500000000009,-1.0,1
42,25,240.7500000000009,-1.0,1
42,27,18.0,-1.0,1
42,14,36.74999999999999,-1.0,1
42,29,17.749999999999993,-1.0,1
98,96,26.60000000000001,-1.0,1
98,70,75.90000000000003,-1.0,1
98,67,63.999999999999964,-1.0,1
98,117,53.49999999999994,-1.0,1
98,75,94.00000000000011,-1.0,1
170,160,73.75000000000001,-1.0,1
170,199,139.7500000000004,-1.0,1
170,191,184.75000000000065,-1.0,1
170,176,184.75000000000065,-1.0,1
312,301,184.75000000000065,-1.0,1
312,308,290.5000000000012,-1.0,1
312,339,295.00000000000125,-1.0,1
312,327,324.2500000000014,-1.0,1
312,324,324.2500000000014,-1.0,1
312,311,324.2500000000014,-1.0,1
312,298,313.00000000000136,-1.0,1
115,74,299.50000000000125,-1.0,1
115,121,68.24999999999999,-1.0,1
115,88,90.75000000000011,-1.0,1
115,86,78.75000000000004,-1.0,1
115,119,89.30000000000025,-1.0,1
115,82,108.80000000000037,-1.0,1
115,93,93.80000000000028,-1.0,1
14,14,87.05000000000024,-1.0,1
14,38,27.80000000000016,-1.0,1
14,360,45.05000000000012,-1.0,1
14,356,12.800000000000145,-1.0,1
14,28,2.300000000000145,-1.0,1
14,16,24.05000000000016,-1.0,1
14,8,8.300000000000146,-1.0,1
65,61,0.0,-1.0,1
65,33,51.74999999999995,-1.0,1
65,48,38.75,-1.0,1
65,68,50.749999999999964,-1.0,1
65,60,58.99999999999996,-1.0,1
65,84,52.249999999999964,-1.0,1
65,69,68.75000000000001,-1.0,1
188,213,68.75000000000001,-1.0,1
188,182,191.00000000000068,-1.0,1
188,189,170.75000000000057,-1.0,1
188,191,194.7500000000007,-1.0,1
188,199,185.75000000000065,-1.0,1
188,207,194.0000000000007,-1.0,1
147,123,203.0000000000008,-1.0,1
147,153,128.00000000000034,-1.0,1
147,131,149.00000000000043,-1.0,1
147,146,128.00000000000034,-1.0,1
147,133,128.00000000000034,-1.0,1
147,101,128.00000000000034,-1.0,1
147,145,107.7500000000002,-1.0,1
147,166,133.25000000000037,-1.0,1
147,162,160.2500000000005,-1.0,1
147,162,168.50000000000057,-1.0,1
147,135,155.75000000000048,-1.0,1
147,160,143.00000000000043,-1.0,1
147,130,155.00000000000048,-1.0,1
147,163,155.00000000000048,-1.0,1
147,138,167.00000000000054,-1.0,1
147,118,167.00000000000054,-1.0,1
147,144,127.25000000000033,-1.0,1
147,172,137.7500000000004,-1.0,1
147,102,137.7500000000004,-1.0,1
147,131,110.00000000000024,-1.0,1
147,172,128.00000000000034,-1.0,1
147,150,166.25000000000054,-1.0,1
147,136,153.50000000000048,-1.0,1
152,148,145.25000000000043,-1.0,1
152,124,159.00000000000054,-1.0,1
152,146,139.90000000000052,-1.0,1
152,137,149.65000000000057,-1.0,1
152,130,142.15000000000052,-1.0,1
152,165,133.15000000000046,-1.0,1
109,112,151.15000000000057,-1.0,1
109,124,127.90000000000045,-1.0,1
109,98,120.4000000000004,-1.0,1
109,120,108.40000000000032,-1.0,1
109,119,125.25000000000024,-1.0,1
109,71,104.25000000000011,-1.0,1
109,98,86.25000000000003,-1.0,1
109,111,95.25000000000009,-1.0,1
109,126,105.35000000000016,-1.0,1
109,120,118.10000000000024,-1.0,1
109,92,109.8500000000002,-1.0,1
107,97,94.85000000000012,-1.0,1
107,99,102.35000000000016,-1.0,1
107,90,96.35000000000012,-1.0,1
107,126,83.60000000000004,-1.0,1
107,129,117.35000000000024,-1.0,1
107,128,113.6000000000002,-1.0,1
107,86,129.3500000000003,-1.0,1
140,140,350.24999999999994,-1.0,1
140,141,127.50000000000033,-1.0,1
140,147,134.69999999999987,-1.0,1
140,170,153.30000000000013,-1.0,1
30,40,169.0500000000002,-1.0,1
30,13,46.79999999999962,-1.0,1
30,45,21.29999999999966,-1.0,1
30,33,38.54999999999964,-1.0,1
52,63,50.549999999999606,-1.0,1
52,58,63.29999999999962,-1.0,1
52,43,48.79999999999959,-1.0,1
52,61,39.79999999999961,-1.0,1
52,25,55.54999999999957,-1.0,1
52,60,42.7999999999996,-1.0,1
52,53,39.79999999999961,-1.0,1
52,68,49.54999999999959,-1.0,1
52,34,61.54999999999958,-1.0,1
52,74,49.54999999999959,-1.0,1
52,34,63.04999999999959,-1.0,1
52,50,42.049999999999606,-1.0,1
52,47,53.29999999999957,-1.0,1
52,46,38.54999999999963,-1.0,1
220,197,50.5499999999996,-1.0,1
220,222,177.30000000000024,-1.0,1
220,224,204.7,-1.0,1
220,230,215.95,-1.0,1
220,202,226.45000000000007,-1.0,1
220,205,210.55000000000013,-1.0,1
220,206,214.30000000000013,-1.0,1
220,204,211.7000000000004,-1.0,1
114,95,208.00000000000057,-1.0,1
114,99,96.99999999999991,-1.0,1
114,123,96.99999999999991,-1.0,1
114,129,105.99999999999996,-1.0,1
114,134,120.25000000000004,-1.0,1
114,98,128.50000000000009,-1.0,1
114,106,109.0,-1.0,1
114,123,99.99999999999991,-1.0,1
114,114,115.0,-1.0,1
114,123,110.5,-1.0,1
114,107,123.25000000000009,-1.0,1
114,102,111.25,-1.0,1
309,302,102.99999999999996,-1.0,1
309,336,102.99999999999996,-1.0,1
309,326,338.9999999999999,-1.0,1
309,307,329.24999999999983,-1.0,1
309,330,318.7499999999998,-1.0,1
309,270,324.7499999999998,-1.0,1
309,325,278.24999999999955,-1.0,1
309,288,293.2499999999996,-1.0,1
309,328,293.2499999999996,-1.0,1
309,325,319.4999999999998,-1.0,1
236,192,319.4999999999998,-1.0,1
236,235,215.9999999999992,-1.0,1
236,270,228.7499999999993,-1.0,1
236,222,257.99999999999943,-1.0,1
236,234,237.7499999999993,-1.0,1
236,234,245.9999999999993,-1.0,1
236,243,227.24999999999923,-1.0,1
279,247,227.24999999999923,-1.0,1
257,257,0.0,-1.0,1
257,270,247.4999999999993,-1.0,1
257,254,263.99999999999943,-1.0,1
257,240,242.9999999999993,-1.0,1
302,323,258.74999999999943,-1.0,1
302,286,305.9999999999997,-1.0,1
302,259,318.7499999999998,-1.0,1
302,272,269.2499999999995,-1.0,1
302,1,284.24999999999955,-1.0,1
302,300,329.99999999999983,-1.0,1
169,144,309.0499999999996,-1.0,1
169,156,165.04999999999873,-1.0,1
169,175,153.04999999999868,-1.0,1
169,171,168.79999999999876,-1.0,1
169,170,176.2999999999988,-1.0,1
169,183,170.29999999999876,-1.0,1
165,188,177.04999999999882,-1.0,1
165,178,183.79999999999885,-1.0,1
165,212,175.49999999999935,-1.0,1
165,159,207.7499999999996,-1.0,1
165,156,162.8499999999994,-1.0,1
170,160,160.59999999999937,-1.0,1
170,188,162.8499999999994,-1.0,1
170,159,177.84999999999943,-1.0,1
170,201,162.8499999999994,-1.0,1
170,159,190.5999999999996,-1.0,1
170,209,169.59999999999943,-1.0,1
307,304,195.8499999999996,-1.0,1
307,302,289.6000000000001,-1.0,1
307,309,311.3500000000002,-1.0,1
307,328,316.60000000000025,-1.0,1
307,307,323.3500000000003,-1.0,1
307,18,308.60000000000014,-1.0,1
307,293,8.25,-1.0,1
54,50,8.25,-1.0,1
54,67,34.5,-1.0,1
54,83,51.74999999999995,-1.0,1
54,52,72.00000000000001,-1.0,1
54,52,62.24999999999996,-1.0,1
54,50,53.24999999999994,-1.0,1
54,43,41.24999999999998,-1.0,1
54,50,47.24999999999996,-1.0,1
54,24,51.74999999999995,-1.0,1
248,220,35.60000000000001,-1.0,1
248,243,218.60000000000085,-1.0,1
248,237,235.85000000000096,-1.0,1
248,261,250.10000000000105,-1.0,1
248,232,238.85000000000096,-1.0,1
345,357,238.85000000000096,-1.0,1
345,357,349.1000000000016,-1.0,1
345,321,3.75,-1.0,1
345,318,331.49999999999983,-1.0,1
345,337,324.7499999999998,-1.0,1
103,111,336.7499999999999,-1.0,1
103,137,103.50000000000018,-1.0,1
103,105,126.75000000000033,-1.0,1
103,111,112.50000000000024,-1.0,1
282,256,112.50000000000024,-1.0,1
282,308,240.0000000000009,-1.0,1
282,312,257.250000000001,-1.0,1
