distMean,outcome,pred,is_oddball
253.0,247.0,125.4058464506815,-1.0
253.0,265.0,245.2811094259776,-1.0
253.0,290.0,256.599153218357,-1.0
253.0,221.0,270.3532812999565,-1.0
253.0,257.0,236.4607098326525,-1.0
73.0,39.0,251.0783275235697,-1.0
73.0,63.0,45.03129422270808,-1.0
73.0,54.0,55.01417834493776,-1.0
73.0,85.0,54.7323232741075,-1.0
73.0,83.0,59.44120229449505,-1.0
73.0,98.0,64.05337185422573,-1.0
73.0,57.0,72.3957605090361,-1.0
316.0,314.0,65.9432326230917,-1.0
316.0,320.0,306.2087907532872,-1.0
316.0,315.0,314.32509753500506,-1.0
316.0,324.0,314.086356562345,-1.0
316.0,319.0,315.76099148195317,-1.0
247.0,263.0,315.5286917437228,-1.0
247.0,220.0,298.41939409867825,-1.0
247.0,251.0,221.23612689635556,-1.0
247.0,241.0,240.57407705955544,-1.0
247.0,255.0,234.40190620971364,-1.0
247.0,257.0,240.91726406230958,-1.0
247.0,247.0,244.1121532463625,-1.0
42.0,71.0,241.93650269920568,-1.0
42.0,12.0,66.60646303684017,-1.0
42.0,39.0,17.249009400013776,-1.0
42.0,21.0,42.89317592068285,-1.0
154.0,159.0,32.58255347693125,-1.0
154.0,153.0,165.18627749679496,-1.0
154.0,116.0,155.8764858031317,-1.0
154.0,161.0,141.3175963669454,-1.0
154.0,164.0,153.71975072030259,-1.0
154.0,146.0,157.51294987362095,-1.0
154.0,160.0,155.58993138669345,-1.0
154.0,169.0,157.06520064772604,-1.0
107.0,99.0,160.3307577894112,-1.0
107.0,95.0,108.57356972448557,-1.0
107.0,72.0,99.51024173843905,-1.0
107.0,112.0,91.05046531058089,-1.0
107.0,149.0,97.92223524582798,-1.0
107.0,97.0,139.48723657618447,-1.0
330.0,344.0,107.14383593182964,-1.0
330.0,352.0,340.5556380352653,-1.0
330.0,301.0,346.00211718936464,-1.0
330.0,337.0,321.8878641556611,-1.0
330.0,356.0,329.98574446168993,-1.0
330.0,321.0,338.53658531852074,-1.0
330.0,319.0,330.27427630464774,-1.0
273.0,242.0,325.58869964181065,-1.0
273.0,243.0,235.60217216005384,-1.0
273.0,299.0,236.34373494467832,-1.0
273.0,258.0,300.0735816488732,-1.0
273.0,262.0,258.1361198208309,-1.0
273.0,250.0,262.3938745280781,-1.0
273.0,213.0,256.21341523460893,-1.0
308.0,284.0,227.87716781273375,-1.0
308.0,358.0,275.4853067018703,-1.0
308.0,293.0,13.393279382940941,-1.0
308.0,329.0,289.40247549007694,-1.0
319.0,326.0,314.8282979260355,-1.0
319.0,323.0,318.50334276725783,-1.0
319.0,334.0,318.99713549844495,-1.0
319.0,337.0,322.812471962406,-1.0
319.0,317.0,326.68718778126515,-1.0
319.0,307.0,322.7784868428476,-1.0
183.0,186.0,317.64668515353657,-1.0
183.0,184.0,191.30179310028268,-1.0
183.0,187.0,183.886483571199,-1.0
183.0,193.0,183.66028521284963,-1.0
183.0,158.0,185.7747619380404,-1.0
183.0,169.0,173.99052651658567,-1.0
183.0,186.0,175.21204041549657,-1.0
183.0,195.0,177.49885453737747,-1.0
84.0,125.0,179.1196494961814,-1.0
84.0,78.0,128.37948870780224,-1.0
84.0,103.0,93.23001806184837,-1.0
84.0,136.0,99.67313301605128,-1.0
84.0,89.0,121.60388535094918,-1.0
84.0,56.0,105.68970003621214,-1.0
84.0,64.0,72.19251488618588,-1.0
178.0,188.0,67.4233717070593,-1.0
178.0,159.0,190.47758318557558,-1.0
178.0,173.0,170.87106907256228,-1.0
178.0,176.0,172.48076898504607,-1.0
178.0,192.0,172.41826316733662,-1.0
178.0,206.0,176.1769214117999,-1.0
178.0,175.0,188.27155218363038,-1.0
178.0,210.0,181.9698799303962,-1.0
178.0,172.0,194.10248211671544,-1.0
178.0,201.0,180.92554899628078,-1.0
178.0,191.0,187.2170351256722,-1.0
178.0,178.0,186.65418305663482,-1.0
169.0,176.0,182.33255935378966,-1.0
169.0,190.0,179.04456314810636,-1.0
169.0,165.0,178.997207961398,-1.0
169.0,153.0,174.71802222698346,-1.0
235.0,264.0,164.86805233296496,-1.0
235.0,214.0,265.38683137906213,-1.0
235.0,239.0,226.81161633820943,-1.0
235.0,250.0,237.78845608816852,-1.0
235.0,211.0,241.70556505211647,-1.0
235.0,225.0,228.954082869978,-1.0
235.0,220.0,227.90081114916,-1.0
235.0,268.0,224.93902495738865,-1.0
235.0,267.0,265.0273297984068,-1.0
235.0,228.0,263.48091930759074,-1.0
235.0,212.0,236.491244200712,-1.0
235.0,239.0,219.8490778775525,-1.0
235.0,270.0,225.89001491719992,-1.0
235.0,219.0,264.9664874318038,-1.0
235.0,216.0,221.42594274825822,-1.0
235.0,222.0,215.23917931273127,-1.0
235.0,225.0,213.89859536145903,-1.0
235.0,263.0,213.67463218816656,-1.0
235.0,240.0,268.64786741939525,-1.0
235.0,217.0,237.21554484624403,-1.0
235.0,233.0,217.89614834831022,-1.0
235.0,192.0,221.70025332356795,-1.0
235.0,226.0,200.94621781632054,-1.0
233.0,221.0,208.565220112618,-1.0
233.0,252.0,208.4893244105588,-1.0
233.0,234.0,237.34210561226868,-1.0
233.0,232.0,226.30931686858943,-1.0
233.0,236.0,225.98810558780463,-1.0
205.0,215.0,227.78410286467073,-1.0
205.0,233.0,221.25176046970418,-1.0
205.0,180.0,223.4904772490773,-1.0
205.0,193.0,183.33346426988945,-1.0
205.0,196.0,187.33543414886216,-1.0
205.0,206.0,188.10074086283714,-1.0
205.0,175.0,191.58543003093385,-1.0
205.0,236.0,185.84104581820455,-1.0
295.0,311.0,224.26087403248528,-1.0
295.0,271.0,301.971571227576,-1.0
295.0,280.0,282.41722854768574,-1.0
295.0,267.0,282.00808529531605,-1.0
166.0,153.0,279.60902657136813,-1.0
166.0,172.0,142.62669498918152,-1.0
166.0,138.0,160.66973039691317,-1.0
166.0,169.0,150.99585157970304,-1.0
166.0,157.0,158.14318491994132,-1.0
166.0,183.0,156.89634258894355,-1.0
166.0,137.0,166.57310913018108,-1.0
166.0,128.0,152.75064267528927,-1.0
166.0,180.0,142.1104090358314,-1.0
166.0,179.0,174.11469955208705,-1.0
166.0,196.0,176.59795632056995,-1.0
166.0,128.0,183.94335078558126,-1.0
166.0,172.0,134.78871473341417,-1.0
166.0,166.0,172.21064275173967,-1.0
166.0,187.0,168.84270836516063,-1.0
166.0,181.0,174.80202660466713,-1.0
166.0,159.0,175.32913064022344,-1.0
166.0,164.0,171.39074019602833,-1.0
166.0,139.0,170.8524625805317,-1.0
166.0,137.0,152.56002453984001,-1.0
166.0,174.0,145.29286382523506,-1.0
166.0,173.0,163.08470911578027,-1.0
166.0,156.0,165.64723309369634,-1.0
166.0,164.0,162.57535778361392,-1.0
319.0,287.0,163.91746621773635,-1.0
319.0,347.0,282.1201326064077,-1.0
319.0,293.0,329.51783812515936,-1.0
319.0,319.0,297.0574844080457,-1.0
246.0,254.0,307.71692284530377,-1.0
246.0,235.0,279.70956167183033,-1.0
246.0,254.0,247.49261100662463,-1.0
246.0,253.0,250.96599149924106,-1.0
246.0,254.0,249.32526672358802,-1.0
24.0,6.0,249.6834017233587,-1.0
24.0,3.0,11.52582902227018,-1.0
24.0,21.0,2.8687746373531247,-1.0
24.0,35.0,8.428966108911737,-1.0
307.0,329.0,16.930372816888035,-1.0
307.0,302.0,354.3591937513506,-1.0
307.0,357.0,323.2502076279628,-1.0
307.0,280.0,355.1346191645474,-1.0
307.0,308.0,290.6448241524743,-1.0
307.0,338.0,300.1698337758609,-1.0
122.0,122.0,320.0469264880615,-1.0
122.0,99.0,123.7864989198082,-1.0
122.0,143.0,113.03635697342402,-1.0
122.0,132.0,130.08045796897397,-1.0
122.0,137.0,132.64441335422802,-1.0
122.0,123.0,135.09845517256107,-1.0
122.0,87.0,135.42726975317635,-1.0
93.0,100.0,111.69500414853471,-1.0
93.0,97.0,107.5962599900533,-1.0
93.0,68.0,101.86597151127842,-1.0
93.0,67.0,84.80071474965861,-1.0
93.0,94.0,76.60294313173664,-1.0
93.0,98.0,82.72534079632818,-1.0
93.0,103.0,87.27975047701786,-1.0
93.0,81.0,91.26754635462122,-1.0
93.0,80.0,89.93724492501283,-1.0
93.0,134.0,88.88775184806435,-1.0
93.0,125.0,114.41818746932024,-1.0
93.0,92.0,120.11606598238683,-1.0
93.0,93.0,105.15904554686668,-1.0
309.0,319.0,100.9272544294455,-1.0
309.0,335.0,318.57621135400956,-1.0
309.0,307.0,327.8228758406898,-1.0
309.0,299.0,318.36286982596573,-1.0
262.0,244.0,311.2140874449956,-1.0
262.0,260.0,261.3350646544001,-1.0
262.0,287.0,262.8863170282561,-1.0
262.0,253.0,277.2788513784625,-1.0
262.0,242.0,267.20964435475844,-1.0
262.0,265.0,257.45952372803646,-1.0
262.0,259.0,261.365352198443,-1.0
262.0,268.0,258.4197115365981,-1.0
125.0,153.0,262.07843792653705,-1.0
125.0,81.0,143.6461814540643,-1.0
125.0,112.0,87.77381951582224,-1.0
125.0,130.0,106.5052472846456,-1.0
125.0,125.0,123.65105107300563,-1.0
207.0,177.0,126.82521577031798,-1.0
207.0,211.0,172.32299001131986,-1.0
207.0,188.0,199.87862789287917,-1.0
207.0,202.0,195.20074702878512,-1.0
207.0,187.0,196.77403086433682,-1.0
207.0,218.0,194.826085311296,-1.0
207.0,199.0,198.09767553948953,-1.0
207.0,187.0,197.20580202294659,-1.0
207.0,209.0,194.62115396024072,-1.0
207.0,213.0,193.96124014798443,-1.0
147.0,139.0,195.1525602916786,-1.0
147.0,161.0,134.44711783183988,-1.0
147.0,118.0,149.4065611362881,-1.0
147.0,140.0,137.41267140946215,-1.0
147.0,136.0,140.10539259957264,-1.0
147.0,134.0,141.42718495942896,-1.0
147.0,132.0,142.52203964058774,-1.0
165.0,138.0,143.5218883747359,-1.0
165.0,143.0,144.59100632782625,-1.0
165.0,171.0,146.18729821509612,-1.0
165.0,177.0,157.77506906296435,-1.0
165.0,144.0,163.79946753410417,-1.0
165.0,163.0,156.31986533717892,-1.0
