distMean,outcome,pred,is_oddball
285.0,284.0,72.68087357257686,-1.0
285.0,295.0,279.9984315196497,-1.0
285.0,298.0,284.0372134610088,-1.0
285.0,275.0,292.9657478582405,-1.0
285.0,269.0,287.4309951425417,-1.0
285.0,285.0,279.9090935839668,-1.0
169.0,176.0,283.94808964088304,-1.0
169.0,162.0,182.629371417254,-1.0
169.0,177.0,167.5295228888766,-1.0
169.0,168.0,173.94906469022385,-1.0
169.0,169.0,174.24529264131215,-1.0
169.0,175.0,173.90407691848884,-1.0
169.0,177.0,175.84645594929103,-1.0
169.0,159.0,176.7230473996094,-1.0
169.0,168.0,168.60987858860514,-1.0
169.0,145.0,170.4964634257482,-1.0
51.0,44.0,159.3670641103076,-1.0
51.0,38.0,42.64573031367455,-1.0
51.0,37.0,38.76405220298699,-1.0
51.0,61.0,35.92917548471033,-1.0
51.0,58.0,45.184953117322415,-1.0
51.0,57.0,53.49752805540465,-1.0
160.0,170.0,56.93078497954721,-1.0
160.0,154.0,167.31594006883597,-1.0
160.0,153.0,155.71439426059098,-1.0
160.0,150.0,154.4623706742405,-1.0
160.0,152.0,153.310902897752,-1.0
160.0,162.0,153.67746241606812,-1.0
160.0,160.0,159.54025426923374,-1.0
160.0,148.0,161.43569311140698,-1.0
160.0,168.0,156.64018502919458,-1.0
160.0,164.0,165.97167971919794,-1.0
160.0,170.0,166.8812739525773,-1.0
160.0,178.0,172.5344740159531,-1.0
278.0,268.0,174.32683191687786,-1.0
278.0,286.0,268.58557576919833,-1.0
278.0,276.0,277.6730671903732,-1.0
278.0,287.0,275.1781134658588,-1.0
278.0,279.0,280.4418412290372,-1.0
278.0,299.0,281.07227034349086,-1.0
278.0,276.0,288.83896313361817,-1.0
278.0,298.0,287.26809598877924,-1.0
278.0,278.0,290.56565709825816,-1.0
278.0,285.0,288.3166789992606,-1.0
278.0,279.0,287.34697411717445,-1.0
278.0,270.0,284.5823022397543,-1.0
278.0,283.0,278.497080148732,-1.0
278.0,279.0,282.421627219965,-1.0
278.0,262.0,281.4912069836005,-1.0
175.0,169.0,275.8500430046872,-1.0
175.0,174.0,174.39284134388083,-1.0
175.0,165.0,173.70307154915,-1.0
175.0,170.0,170.97413791831897,-1.0
175.0,174.0,173.7141311267153,-1.0
175.0,185.0,176.21735419361062,-1.0
175.0,184.0,176.44462280087913,-1.0
175.0,169.0,180.54954151621743,-1.0
175.0,190.0,175.36463001682029,-1.0
175.0,169.0,179.99754418714562,-1.0
175.0,179.0,174.4947770526643,-1.0
175.0,184.0,174.54231032115086,-1.0
282.0,266.0,178.7336588647179,-1.0
282.0,271.0,265.72862074665295,-1.0
282.0,277.0,269.8473042379122,-1.0
282.0,284.0,271.9819532617856,-1.0
282.0,280.0,276.62786803650346,-1.0
282.0,288.0,278.8419694774727,-1.0
282.0,265.0,283.36002738105765,-1.0
282.0,259.0,276.53988144857124,-1.0
282.0,270.0,272.47274489970727,-1.0
282.0,285.0,271.266978278188,-1.0
282.0,289.0,276.53674379653654,-1.0
282.0,279.0,281.0236394526638,-1.0
282.0,280.0,281.77009669118365,-1.0
163.0,164.0,282.0642966970595,-1.0
163.0,156.0,164.23747863312602,-1.0
163.0,158.0,157.09193819691814,-1.0
163.0,162.0,158.10157590437385,-1.0
163.0,150.0,161.65631409336103,-1.0
163.0,144.0,157.768395215022,-1.0
163.0,179.0,152.8282176319812,-1.0
163.0,172.0,175.26487491787424,-1.0
278.0,282.0,176.33976711294494,-1.0
278.0,283.0,283.0865442761398,-1.0
278.0,291.0,282.20773377698436,-1.0
278.0,273.0,285.27559288818543,-1.0
278.0,274.0,281.92060658751785,-1.0
278.0,282.0,279.8385648534892,-1.0
278.0,269.0,282.06027358077404,-1.0
278.0,291.0,276.5362666613284,-1.0
29.0,34.0,284.4993527872603,-1.0
29.0,22.0,34.846155984325335,-1.0
29.0,30.0,24.842415700200203,-1.0
29.0,25.0,23.18822202569323,-1.0
29.0,26.0,23.721460080708965,-1.0
29.0,28.0,23.124496611907727,-1.0
29.0,35.0,24.67246610417539,-1.0
137.0,143.0,28.803572547243196,-1.0
137.0,129.0,135.54804808726192,-1.0
137.0,144.0,134.7990248279447,-1.0
137.0,133.0,142.772456898858,-1.0
137.0,120.0,140.1280710341697,-1.0
