distMean,outcome,pred,is_oddball
30.0,41.0,67.81330729105765,-1.0
30.0,65.0,45.487547493189375,-1.0
30.0,32.0,52.2419108257807,-1.0
30.0,49.0,34.877846532435,-1.0
30.0,3.0,40.90250713113836,-1.0
30.0,19.0,20.698853929705464,-1.0
30.0,3.0,20.7873584877078,-1.0
32.0,39.0,11.022834273729334,-1.0
32.0,43.0,28.62995054631666,-1.0
32.0,17.0,36.68615099245592,-1.0
32.0,54.0,21.37773818077808,-1.0
32.0,37.0,42.79311053909225,-1.0
32.0,27.0,38.617917385859336,-1.0
32.0,63.0,32.158244086800586,-1.0
32.0,7.0,53.99281491881108,-1.0
32.0,357.0,19.89864457569048,-1.0
32.0,41.0,4.886432509324355,-1.0
218.0,207.0,28.988834414853702,-1.0
218.0,236.0,209.8946504426671,-1.0
218.0,226.0,222.1689264550133,-1.0
218.0,225.0,223.36463075231006,-1.0
218.0,208.0,223.86772217953694,-1.0
218.0,223.0,214.9394495373295,-1.0
218.0,219.0,213.7135359997327,-1.0
218.0,227.0,214.91715446798923,-1.0
218.0,213.0,219.07671753680592,-1.0
218.0,206.0,214.28584008632544,-1.0
218.0,206.0,210.807505120796,-1.0
218.0,245.0,205.9260450163274,-1.0
218.0,210.0,233.36120449553636,-1.0
255.0,239.0,217.6898305843055,-1.0
255.0,279.0,228.5725790103031,-1.0
255.0,252.0,258.6870142672973,-1.0
255.0,249.0,256.9709707401294,-1.0
255.0,230.0,249.10440709683644,-1.0
255.0,244.0,239.18664415657184,-1.0
87.0,74.0,240.983316363705,-1.0
87.0,58.0,76.39729202535152,-1.0
87.0,81.0,65.46980100220819,-1.0
87.0,74.0,70.66861473268715,-1.0
87.0,83.0,76.06327838749066,-1.0
245.0,259.0,78.15106975960589,-1.0
245.0,273.0,259.892937444282,-1.0
245.0,263.0,268.23762777944756,-1.0
245.0,228.0,266.2490839164463,-1.0
245.0,262.0,239.8581598203529,-1.0
245.0,250.0,253.4924814223535,-1.0
260.0,266.0,251.31437612399083,-1.0
260.0,246.0,258.6472647889225,-1.0
260.0,264.0,250.66483296009625,-1.0
260.0,278.0,256.3004744025569,-1.0
260.0,252.0,268.9115328482948,-1.0
260.0,284.0,260.2491362417928,-1.0
260.0,260.0,271.72638436738896,-1.0
181.0,171.0,268.46899075054654,-1.0
181.0,202.0,176.25526560749014,-1.0
181.0,146.0,184.12775387298575,-1.0
181.0,163.0,144.33242723961877,-1.0
181.0,154.0,158.92002521855073,-1.0
181.0,197.0,157.2262078809148,-1.0
281.0,276.0,185.4046554468498,-1.0
281.0,285.0,282.42489080685147,-1.0
281.0,308.0,284.2996713443845,-1.0
281.0,295.0,295.1500296716292,-1.0
281.0,309.0,300.14755673787755,-1.0
259.0,284.0,301.73076651324595,-1.0
259.0,266.0,292.7497646780487,-1.0
259.0,236.0,276.79204925229146,-1.0
