distMean_true,outcome_true,outcome_pre,is_oddball
222.0,241.0,164.30103,-1.0
222.0,201.0,233.7026,-1.0
222.0,238.0,212.15034,-1.0
222.0,208.0,231.7642,-1.0
222.0,237.0,212.72575,-1.0
222.0,204.0,224.90533,-1.0
222.0,232.0,205.48676,-1.0
222.0,222.0,213.30054,-1.0
222.0,220.0,206.06648,-1.0
222.0,229.0,202.04756,-1.0
222.0,213.0,205.06029,-1.0
97.0,115.0,196.91667,-1.0
97.0,92.0,117.4332,-1.0
97.0,90.0,99.265915,-1.0
97.0,89.0,96.572426,-1.0
97.0,93.0,97.949066,-1.0
97.0,81.0,103.02916,-1.0
97.0,106.0,100.77391,-1.0
258.0,254.0,114.74187,-1.0
258.0,252.0,251.25415,-1.0
258.0,259.0,252.19661,-1.0
258.0,265.0,255.97394,-1.0
258.0,245.0,259.50687,-1.0
258.0,260.0,247.14456,-1.0
258.0,272.0,251.45085,-1.0
258.0,254.0,260.45682,-1.0
258.0,256.0,249.98212,-1.0
258.0,254.0,245.17458,-1.0
258.0,261.0,240.12831,-1.0
258.0,272.0,239.62265,-1.0
258.0,276.0,244.59915,-1.0
258.0,246.0,249.71422,-1.0
258.0,253.0,232.24849,-1.0
193.0,186.0,229.91057,-1.0
193.0,193.0,193.73558,-1.0
193.0,190.0,190.45418,-1.0
193.0,173.0,186.3262,-1.0
193.0,192.0,176.6299,-1.0
193.0,186.0,181.08583,-1.0
193.0,182.0,179.53177,-1.0
193.0,189.0,178.47371,-1.0
193.0,183.0,180.19887,-1.0
193.0,181.0,178.71288,-1.0
193.0,214.0,178.13454,-1.0
193.0,186.0,192.81783,-1.0
74.0,57.0,181.32841,-1.0
74.0,68.0,61.092754,-1.0
74.0,84.0,68.01582,-1.0
74.0,91.0,75.818214,-1.0
74.0,76.0,87.35411,-1.0
74.0,93.0,91.10408,-1.0
74.0,66.0,102.02045,-1.0
74.0,72.0,95.78769,-1.0
74.0,76.0,102.00134,-1.0
74.0,83.0,109.44556,-1.0
74.0,73.0,121.6015,-1.0
244.0,238.0,134.31688,-1.0
244.0,243.0,236.06715,-1.0
244.0,256.0,242.58449,-1.0
244.0,229.0,251.69046,-1.0
244.0,244.0,234.00688,-1.0
244.0,256.0,240.13634,-1.0
244.0,249.0,243.64015,-1.0
244.0,232.0,237.89087,-1.0
244.0,245.0,225.7513,-1.0
244.0,240.0,230.56763,-1.0
244.0,245.0,226.3845,-1.0
244.0,259.0,227.11214,-1.0
244.0,249.0,231.33858,-1.0
204.0,208.0,227.53836,-1.0
204.0,212.0,203.86195,-1.0
204.0,202.0,198.811,-1.0
204.0,209.0,191.91476,-1.0
204.0,209.0,193.04166,-1.0
204.0,195.0,192.65692,-1.0
