distMean_true,outcome_true,outcome_pre,is_oddball
222.0,241.0,149.5286,-1.0
222.0,201.0,243.07004,-1.0
222.0,238.0,208.25493,-1.0
222.0,208.0,227.57414,-1.0
222.0,237.0,205.14972,-1.0
222.0,204.0,217.35292,-1.0
222.0,232.0,199.07472,-1.0
222.0,222.0,211.75117,-1.0
222.0,220.0,207.3452,-1.0
222.0,229.0,205.5151,-1.0
222.0,213.0,209.92268,-1.0
97.0,115.0,201.74255,-1.0
97.0,92.0,112.00984,-1.0
97.0,90.0,97.94047,-1.0
97.0,89.0,93.52685,-1.0
97.0,93.0,94.5359,-1.0
97.0,81.0,101.36788,-1.0
97.0,106.0,97.87098,-1.0
258.0,254.0,110.62564,-1.0
258.0,252.0,255.34653,-1.0
258.0,259.0,253.98909,-1.0
258.0,265.0,257.1105,-1.0
258.0,245.0,261.59717,-1.0
258.0,260.0,253.02539,-1.0
258.0,272.0,252.84752,-1.0
258.0,254.0,253.89261,-1.0
258.0,256.0,242.8497,-1.0
258.0,254.0,235.95453,-1.0
258.0,261.0,228.98659,-1.0
258.0,272.0,228.23637,-1.0
258.0,276.0,232.82913,-1.0
258.0,246.0,236.31068,-1.0
258.0,253.0,223.20752,-1.0
193.0,186.0,223.59047,-1.0
193.0,193.0,188.33734,-1.0
193.0,190.0,189.30135,-1.0
193.0,173.0,187.68777,-1.0
193.0,192.0,179.141,-1.0
193.0,186.0,186.93459,-1.0
193.0,182.0,184.01912,-1.0
193.0,189.0,182.53758,-1.0
193.0,183.0,185.20457,-1.0
193.0,181.0,182.65903,-1.0
193.0,214.0,182.0306,-1.0
193.0,186.0,197.35072,-1.0
74.0,57.0,183.53944,-1.0
74.0,68.0,60.72262,-1.0
74.0,84.0,70.54543,-1.0
74.0,91.0,82.32998,-1.0
74.0,76.0,92.091545,-1.0
74.0,93.0,89.2432,-1.0
74.0,66.0,100.2309,-1.0
74.0,72.0,93.27826,-1.0
74.0,76.0,99.32676,-1.0
74.0,83.0,107.23239,-1.0
74.0,73.0,120.00926,-1.0
244.0,238.0,126.73316,-1.0
244.0,243.0,240.15244,-1.0
244.0,256.0,242.50143,-1.0
244.0,229.0,249.42874,-1.0
244.0,244.0,232.80156,-1.0
244.0,256.0,234.43878,-1.0
244.0,249.0,235.04053,-1.0
244.0,232.0,228.85893,-1.0
244.0,245.0,218.50087,-1.0
244.0,240.0,221.59763,-1.0
244.0,245.0,219.00671,-1.0
244.0,259.0,220.93831,-1.0
244.0,249.0,228.24522,-1.0
204.0,208.0,224.39445,-1.0
204.0,212.0,204.18587,-1.0
204.0,202.0,202.05107,-1.0
204.0,209.0,195.44841,-1.0
204.0,209.0,196.2675,-1.0
204.0,195.0,195.63908,-1.0
204.0,205.0,189.31026,-1.0
204.0,193.0,192.14803,-1.0
204.0,177.0,187.12038,-1.0
204.0,199.0,180.77272,-1.0
204.0,184.0,189.23251,-1.0
54.0,52.0,182.95555,-1.0
54.0,42.0,54.08967,-1.0
54.0,49.0,48.472073,-1.0
54.0,54.0,52.120045,-1.0
54.0,55.0,59.776306,-1.0
54.0,60.0,67.11171,-1.0
54.0,51.0,75.887886,-1.0
54.0,59.0,74.355446,-1.0
54.0,60.0,81.43217,-1.0
54.0,56.0,85.793495,-1.0
54.0,44.0,91.22724,-1.0
54.0,57.0,93.80805,-1.0
254.0,250.0,110.2138,-1.0
254.0,245.0,249.66898,-1.0
254.0,262.0,246.88786,-1.0
254.0,248.0,255.85037,-1.0
254.0,272.0,249.03996,-1.0
254.0,257.0,259.80066,-1.0
254.0,242.0,252.59808,-1.0
254.0,265.0,238.81116,-1.0
254.0,242.0,241.191,-1.0
103.0,90.0,227.32149,-1.0
103.0,93.0,85.48274,-1.0
103.0,107.0,89.97587,-1.0
103.0,103.0,101.78235,-1.0
103.0,109.0,106.53605,-1.0
239.0,243.0,113.711006,-1.0
239.0,257.0,243.27162,-1.0
239.0,221.0,252.84059,-1.0
239.0,244.0,229.21767,-1.0
239.0,249.0,238.1504,-1.0
239.0,254.0,236.31273,-1.0
239.0,237.0,235.31395,-1.0
239.0,238.0,223.83746,-1.0
310.0,317.0,219.6221,-1.0
310.0,312.0,286.31824,-1.0
310.0,312.0,303.524,-1.0
310.0,306.0,310.60474,-1.0
310.0,303.0,305.205,-1.0
310.0,300.0,300.03555,-1.0
310.0,307.0,290.45175,-1.0
310.0,324.0,282.6854,-1.0
310.0,303.0,281.53888,-1.0
310.0,304.0,270.1447,-1.0
310.0,322.0,267.1523,-1.0
310.0,304.0,270.88885,-1.0
310.0,311.0,264.7056,-1.0
310.0,310.0,264.88394,-1.0
87.0,83.0,263.63184,-1.0
87.0,81.0,80.07409,-1.0
87.0,90.0,76.2426,-1.0
87.0,93.0,85.29664,-1.0
87.0,90.0,94.94613,-1.0
87.0,91.0,98.87423,-1.0
87.0,87.0,102.25504,-1.0
87.0,79.0,104.34885,-1.0
87.0,73.0,104.83891,-1.0
87.0,94.0,106.03259,-1.0
87.0,83.0,120.46537,-1.0
87.0,103.0,128.40488,-1.0
87.0,79.0,141.15547,-1.0
312.0,326.0,134.88542,-1.0
312.0,304.0,310.3843,-1.0
312.0,314.0,306.67505,-1.0
312.0,323.0,311.805,-1.0
312.0,321.0,313.50412,-1.0
191.0,180.0,308.51175,-1.0
191.0,178.0,190.30432,-1.0
191.0,190.0,176.46527,-1.0
191.0,188.0,180.87355,-1.0
191.0,190.0,183.59962,-1.0
191.0,197.0,185.19356,-1.0
191.0,208.0,187.77638,-1.0
191.0,191.0,192.85747,-1.0
87.0,96.0,185.52242,-1.0
87.0,77.0,107.33139,-1.0
87.0,86.0,83.951935,-1.0
87.0,73.0,86.90615,-1.0
87.0,103.0,83.37384,-1.0
87.0,82.0,101.111336,-1.0
87.0,91.0,99.66842,-1.0
87.0,76.0,106.02848,-1.0
87.0,84.0,105.52865,-1.0
87.0,74.0,113.55578,-1.0
87.0,87.0,117.57748,-1.0
87.0,113.0,131.02406,-1.0
87.0,83.0,144.8324,-1.0
263.0,267.0,136.42798,-1.0
263.0,260.0,268.85678,-1.0
263.0,247.0,262.4432,-1.0
263.0,274.0,251.25111,-1.0
263.0,256.0,264.1003,-1.0
149.0,134.0,256.91647,-1.0
149.0,142.0,136.82938,-1.0
149.0,160.0,136.54356,-1.0
149.0,145.0,150.65535,-1.0
149.0,155.0,148.23344,-1.0
149.0,149.0,157.99727,-1.0
149.0,128.0,158.94237,-1.0
149.0,165.0,150.02179,-1.0
149.0,148.0,169.94292,-1.0
149.0,143.0,165.20016,-1.0
149.0,144.0,164.23915,-1.0
159.0,155.0,164.905,-1.0
159.0,158.0,169.97667,-1.0
159.0,174.0,172.1552,-1.0
159.0,162.0,178.96692,-1.0
159.0,164.0,174.93742,-1.0
159.0,146.0,176.16685,-1.0
159.0,174.0,168.99828,-1.0
159.0,160.0,179.60173,-1.0
159.0,165.0,174.44728,-1.0
159.0,161.0,176.6454,-1.0
159.0,155.0,175.31435,-1.0
159.0,160.0,173.09853,-1.0
159.0,149.0,174.8549,-1.0
308.0,294.0,170.44487,-1.0
308.0,303.0,291.69037,-1.0
308.0,310.0,302.92905,-1.0
308.0,311.0,309.9456,-1.0
308.0,286.0,308.1259,-1.0
308.0,310.0,293.9103,-1.0
308.0,300.0,294.39536,-1.0
308.0,318.0,280.67184,-1.0
204.0,228.0,277.31195,-1.0
204.0,198.0,233.56602,-1.0
204.0,195.0,201.14008,-1.0
204.0,212.0,196.69875,-1.0
204.0,190.0,200.54004,-1.0
204.0,194.0,190.6205,-1.0
204.0,208.0,189.59166,-1.0
204.0,210.0,194.34071,-1.0
204.0,206.0,195.39146,-1.0
204.0,215.0,193.60316,-1.0
72.0,82.0,198.00504,-1.0
72.0,55.0,83.46548,-1.0
72.0,81.0,64.9144,-1.0
72.0,56.0,80.390564,-1.0
72.0,59.0,68.86031,-1.0
72.0,87.0,71.922325,-1.0
72.0,68.0,90.96609,-1.0
72.0,64.0,88.61943,-1.0
72.0,67.0,91.03367,-1.0
72.0,82.0,95.67072,-1.0
72.0,62.0,109.50036,-1.0
72.0,92.0,112.271095,-1.0
205.0,195.0,132.17632,-1.0
205.0,199.0,201.0132,-1.0
205.0,206.0,196.02565,-1.0
205.0,198.0,194.91835,-1.0
205.0,204.0,187.71457,-1.0
205.0,213.0,189.2555,-1.0
205.0,194.0,194.16023,-1.0
205.0,202.0,185.1587,-1.0
205.0,212.0,187.74347,-1.0
205.0,197.0,193.02377,-1.0
205.0,204.0,186.18126,-1.0
205.0,203.0,188.71114,-1.0
205.0,197.0,188.32088,-1.0
55.0,48.0,185.74214,-1.0
