distMean_true,outcome_true,outcome_pre,is_oddball
222.0,241.0,173.71732,-1.0
222.0,201.0,242.15286,-1.0
222.0,238.0,211.65479,-1.0
222.0,208.0,229.8536,-1.0
222.0,237.0,213.93002,-1.0
222.0,204.0,222.68027,-1.0
222.0,232.0,208.19026,-1.0
222.0,222.0,214.46823,-1.0
222.0,220.0,211.48239,-1.0
222.0,229.0,208.71541,-1.0
222.0,213.0,208.95126,-1.0
97.0,115.0,202.30118,-1.0
97.0,92.0,108.721,-1.0
97.0,90.0,95.43375,-1.0
97.0,89.0,91.514175,-1.0
97.0,93.0,91.08785,-1.0
97.0,81.0,100.14071,-1.0
97.0,106.0,102.01444,-1.0
258.0,254.0,113.0903,-1.0
258.0,252.0,257.89032,-1.0
258.0,259.0,255.95125,-1.0
258.0,265.0,259.5316,-1.0
258.0,245.0,259.46875,-1.0
258.0,260.0,249.12784,-1.0
258.0,272.0,247.19244,-1.0
258.0,254.0,248.57219,-1.0
258.0,256.0,243.80472,-1.0
258.0,254.0,240.79355,-1.0
258.0,261.0,236.79086,-1.0
258.0,272.0,231.16533,-1.0
258.0,276.0,223.6245,-1.0
258.0,246.0,215.51865,-1.0
258.0,253.0,197.81357,-1.0
193.0,186.0,184.3884,-1.0
193.0,193.0,162.34808,-1.0
193.0,190.0,174.51038,-1.0
193.0,173.0,178.08832,-1.0
193.0,192.0,175.46373,-1.0
193.0,186.0,181.00159,-1.0
193.0,182.0,181.34476,-1.0
193.0,189.0,180.66042,-1.0
193.0,183.0,181.54669,-1.0
193.0,181.0,179.65623,-1.0
193.0,214.0,178.13603,-1.0
193.0,186.0,190.55289,-1.0
74.0,57.0,181.07748,-1.0
74.0,68.0,53.04744,-1.0
74.0,84.0,59.305878,-1.0
74.0,91.0,71.31513,-1.0
74.0,76.0,82.48856,-1.0
74.0,93.0,88.09084,-1.0
74.0,66.0,101.65894,-1.0
74.0,72.0,96.72601,-1.0
74.0,76.0,95.67377,-1.0
74.0,83.0,97.639206,-1.0
74.0,73.0,106.450066,-1.0
244.0,238.0,110.820404,-1.0
244.0,243.0,239.02997,-1.0
244.0,256.0,244.85602,-1.0
244.0,229.0,250.89374,-1.0
244.0,244.0,238.88113,-1.0
244.0,256.0,235.78207,-1.0
244.0,249.0,236.8536,-1.0
244.0,232.0,235.7218,-1.0
244.0,245.0,228.35373,-1.0
244.0,240.0,226.44485,-1.0
244.0,245.0,221.56995,-1.0
244.0,259.0,218.9165,-1.0
244.0,249.0,223.25647,-1.0
204.0,208.0,221.14934,-1.0
204.0,212.0,203.75989,-1.0
204.0,202.0,200.05518,-1.0
204.0,209.0,191.2471,-1.0
204.0,209.0,186.90982,-1.0
204.0,195.0,184.23875,-1.0
204.0,205.0,177.62277,-1.0
204.0,193.0,179.21153,-1.0
204.0,177.0,176.19144,-1.0
204.0,199.0,170.21506,-1.0
204.0,184.0,177.11227,-1.0
54.0,52.0,173.8477,-1.0
54.0,42.0,48.542404,-1.0
54.0,49.0,44.44813,-1.0
54.0,54.0,44.104076,-1.0
54.0,55.0,48.716682,-1.0
54.0,60.0,57.591797,-1.0
54.0,51.0,67.74256,-1.0
54.0,59.0,73.95986,-1.0
54.0,60.0,78.9229,-1.0
54.0,56.0,79.299286,-1.0
54.0,44.0,78.968994,-1.0
54.0,57.0,80.00175,-1.0
254.0,250.0,94.580986,-1.0
254.0,245.0,249.55862,-1.0
254.0,262.0,247.69357,-1.0
254.0,248.0,255.00111,-1.0
254.0,272.0,248.58563,-1.0
254.0,257.0,250.12,-1.0
254.0,242.0,245.67667,-1.0
254.0,265.0,239.9711,-1.0
254.0,242.0,240.88126,-1.0
103.0,90.0,236.28159,-1.0
103.0,93.0,86.8018,-1.0
103.0,107.0,90.37237,-1.0
103.0,103.0,98.9786,-1.0
103.0,109.0,105.33492,-1.0
239.0,243.0,114.29019,-1.0
239.0,257.0,247.25153,-1.0
239.0,221.0,256.8324,-1.0
239.0,244.0,237.5274,-1.0
239.0,249.0,238.54051,-1.0
239.0,254.0,238.34065,-1.0
239.0,237.0,238.9237,-1.0
239.0,238.0,233.70447,-1.0
310.0,317.0,229.5727,-1.0
310.0,312.0,298.6162,-1.0
310.0,312.0,315.16342,-1.0
310.0,306.0,318.21576,-1.0
310.0,303.0,315.17615,-1.0
310.0,300.0,308.682,-1.0
310.0,307.0,299.88257,-1.0
310.0,324.0,293.55423,-1.0
310.0,303.0,293.83,-1.0
310.0,304.0,284.4728,-1.0
310.0,322.0,278.66064,-1.0
310.0,304.0,276.78116,-1.0
310.0,311.0,268.61792,-1.0
310.0,310.0,254.60446,-1.0
87.0,83.0,215.8335,-1.0
87.0,81.0,83.54824,-1.0
87.0,90.0,85.40513,-1.0
87.0,93.0,88.93688,-1.0
87.0,90.0,94.91785,-1.0
87.0,91.0,104.1432,-1.0
87.0,87.0,109.269585,-1.0
87.0,79.0,110.960106,-1.0
87.0,73.0,111.55314,-1.0
87.0,94.0,113.35885,-1.0
87.0,83.0,125.425354,-1.0
87.0,103.0,136.02809,-1.0
87.0,79.0,149.54762,-1.0
312.0,326.0,160.23775,-1.0
312.0,304.0,295.72504,-1.0
312.0,314.0,310.86908,-1.0
312.0,323.0,314.59247,-1.0
312.0,321.0,315.31757,-1.0
191.0,180.0,312.38596,-1.0
191.0,178.0,183.46806,-1.0
191.0,190.0,179.22647,-1.0
191.0,188.0,182.46939,-1.0
191.0,190.0,185.56873,-1.0
191.0,197.0,185.9251,-1.0
191.0,208.0,185.87444,-1.0
191.0,191.0,187.368,-1.0
87.0,96.0,180.30807,-1.0
87.0,77.0,88.48806,-1.0
87.0,86.0,75.87768,-1.0
87.0,73.0,80.23964,-1.0
87.0,103.0,76.740166,-1.0
87.0,82.0,99.2371,-1.0
87.0,91.0,101.46361,-1.0
87.0,76.0,107.23162,-1.0
87.0,84.0,103.46268,-1.0
87.0,74.0,106.89561,-1.0
87.0,87.0,106.23431,-1.0
87.0,113.0,117.85175,-1.0
87.0,83.0,131.94193,-1.0
263.0,267.0,155.36398,-1.0
263.0,260.0,269.5779,-1.0
263.0,247.0,261.90796,-1.0
263.0,274.0,256.2883,-1.0
263.0,256.0,261.6848,-1.0
149.0,134.0,254.56755,-1.0
149.0,142.0,136.27615,-1.0
149.0,160.0,137.89749,-1.0
149.0,145.0,147.14847,-1.0
149.0,155.0,150.99377,-1.0
149.0,149.0,155.24577,-1.0
149.0,128.0,158.16522,-1.0
149.0,165.0,153.70982,-1.0
149.0,148.0,163.62842,-1.0
149.0,143.0,166.41914,-1.0
149.0,144.0,165.06404,-1.0
159.0,155.0,164.7758,-1.0
159.0,158.0,168.3492,-1.0
159.0,174.0,172.5498,-1.0
159.0,162.0,179.59717,-1.0
159.0,164.0,180.53992,-1.0
159.0,146.0,180.64395,-1.0
159.0,174.0,175.66243,-1.0
159.0,160.0,180.26288,-1.0
159.0,165.0,179.98814,-1.0
159.0,161.0,180.34734,-1.0
159.0,155.0,180.0752,-1.0
159.0,160.0,178.37628,-1.0
159.0,149.0,178.49025,-1.0
308.0,294.0,175.57043,-1.0
308.0,303.0,295.98505,-1.0
308.0,310.0,310.70294,-1.0
308.0,311.0,312.92657,-1.0
308.0,286.0,310.78738,-1.0
308.0,310.0,295.61334,-1.0
308.0,300.0,292.80237,-1.0
308.0,318.0,286.907,-1.0
204.0,228.0,288.40604,-1.0
204.0,198.0,248.64069,-1.0
204.0,195.0,208.65501,-1.0
204.0,212.0,197.74426,-1.0
204.0,190.0,198.61293,-1.0
204.0,194.0,189.64313,-1.0
204.0,208.0,185.40424,-1.0
204.0,210.0,187.42648,-1.0
204.0,206.0,188.06772,-1.0
204.0,215.0,185.84395,-1.0
72.0,82.0,188.12036,-1.0
72.0,55.0,75.73939,-1.0
72.0,81.0,60.321594,-1.0
72.0,56.0,65.77424,-1.0
72.0,59.0,62.840885,-1.0
72.0,87.0,71.25236,-1.0
72.0,68.0,91.99191,-1.0
72.0,64.0,93.3896,-1.0
72.0,67.0,89.784004,-1.0
72.0,82.0,88.256096,-1.0
72.0,62.0,100.656715,-1.0
72.0,92.0,102.71072,-1.0
205.0,195.0,118.95895,-1.0
205.0,199.0,193.71075,-1.0
205.0,206.0,195.65625,-1.0
205.0,198.0,196.69026,-1.0
205.0,204.0,192.89087,-1.0
205.0,213.0,190.74728,-1.0
205.0,194.0,193.38928,-1.0
205.0,202.0,185.99121,-1.0
205.0,212.0,183.32774,-1.0
205.0,197.0,185.06992,-1.0
205.0,204.0,178.517,-1.0
205.0,203.0,175.88281,-1.0
205.0,197.0,173.80354,-1.0
55.0,48.0,169.73459,-1.0
