distMean_true,outcome_true,outcome_pre,is_oddball
222.0,241.0,151.6272,-1.0
222.0,201.0,236.38869,-1.0
222.0,238.0,213.08409,-1.0
222.0,208.0,226.29857,-1.0
222.0,237.0,211.63043,-1.0
222.0,204.0,220.80121,-1.0
222.0,232.0,205.34154,-1.0
222.0,222.0,215.05185,-1.0
222.0,220.0,211.7819,-1.0
222.0,229.0,209.30257,-1.0
222.0,213.0,212.35878,-1.0
97.0,115.0,205.15631,-1.0
97.0,92.0,117.44265,-1.0
97.0,90.0,93.42636,-1.0
97.0,89.0,86.808205,-1.0
97.0,93.0,84.18709,-1.0
97.0,81.0,91.44383,-1.0
97.0,106.0,94.44437,-1.0
258.0,254.0,111.095665,-1.0
258.0,252.0,259.54538,-1.0
258.0,259.0,255.45094,-1.0
258.0,265.0,255.02928,-1.0
258.0,245.0,256.89108,-1.0
258.0,260.0,243.15825,-1.0
258.0,272.0,245.6309,-1.0
258.0,254.0,255.295,-1.0
258.0,256.0,246.79088,-1.0
258.0,254.0,242.89223,-1.0
258.0,261.0,238.79558,-1.0
258.0,272.0,240.35715,-1.0
258.0,276.0,248.80125,-1.0
258.0,246.0,256.671,-1.0
258.0,253.0,236.5958,-1.0
193.0,186.0,233.01825,-1.0
193.0,193.0,191.25801,-1.0
193.0,190.0,189.26335,-1.0
193.0,173.0,186.85124,-1.0
193.0,192.0,172.63173,-1.0
193.0,186.0,181.82297,-1.0
193.0,182.0,179.7637,-1.0
193.0,189.0,178.5942,-1.0
193.0,183.0,182.29753,-1.0
193.0,181.0,180.39307,-1.0
193.0,214.0,179.68707,-1.0
193.0,186.0,202.90016,-1.0
74.0,57.0,187.01097,-1.0
74.0,68.0,64.23429,-1.0
74.0,84.0,60.209167,-1.0
74.0,91.0,65.04175,-1.0
74.0,76.0,80.03935,-1.0
74.0,93.0,86.68283,-1.0
74.0,66.0,97.80605,-1.0
74.0,72.0,93.07427,-1.0
74.0,76.0,102.45785,-1.0
74.0,83.0,114.60955,-1.0
74.0,73.0,125.052284,-1.0
244.0,238.0,131.09906,-1.0
244.0,243.0,247.43127,-1.0
244.0,256.0,243.50716,-1.0
244.0,229.0,246.22234,-1.0
244.0,244.0,234.90836,-1.0
244.0,256.0,236.0185,-1.0
244.0,249.0,239.03552,-1.0
244.0,232.0,235.95169,-1.0
244.0,245.0,227.9792,-1.0
244.0,240.0,228.55553,-1.0
244.0,245.0,225.90115,-1.0
244.0,259.0,226.46399,-1.0
244.0,249.0,234.34312,-1.0
204.0,208.0,231.51146,-1.0
204.0,212.0,212.18582,-1.0
204.0,202.0,207.93796,-1.0
204.0,209.0,198.623,-1.0
204.0,209.0,198.67174,-1.0
204.0,195.0,197.1926,-1.0
204.0,205.0,190.18916,-1.0
204.0,193.0,192.99405,-1.0
204.0,177.0,188.45044,-1.0
204.0,199.0,176.81699,-1.0
204.0,184.0,189.39186,-1.0
54.0,52.0,181.50842,-1.0
54.0,42.0,54.22944,-1.0
54.0,49.0,42.38208,-1.0
54.0,54.0,44.85919,-1.0
54.0,55.0,51.334976,-1.0
54.0,60.0,59.883965,-1.0
54.0,51.0,71.34477,-1.0
54.0,59.0,74.32522,-1.0
54.0,60.0,80.6106,-1.0
54.0,56.0,86.08703,-1.0
54.0,44.0,93.83191,-1.0
54.0,57.0,100.04142,-1.0
254.0,250.0,112.37436,-1.0
254.0,245.0,256.95618,-1.0
254.0,262.0,251.54176,-1.0
254.0,248.0,254.3618,-1.0
254.0,272.0,244.09622,-1.0
254.0,257.0,255.09264,-1.0
254.0,242.0,249.19734,-1.0
254.0,265.0,237.03526,-1.0
254.0,242.0,244.40192,-1.0
103.0,90.0,233.88054,-1.0
103.0,93.0,99.99822,-1.0
103.0,107.0,92.88595,-1.0
103.0,103.0,96.55692,-1.0
103.0,109.0,97.107765,-1.0
239.0,243.0,106.30738,-1.0
239.0,257.0,234.90637,-1.0
239.0,221.0,250.19713,-1.0
239.0,244.0,234.56795,-1.0
239.0,249.0,241.54231,-1.0
239.0,254.0,241.33704,-1.0
239.0,237.0,241.60945,-1.0
239.0,238.0,234.93077,-1.0
310.0,317.0,231.8767,-1.0
310.0,312.0,296.66818,-1.0
310.0,312.0,308.21967,-1.0
310.0,306.0,309.93994,-1.0
310.0,303.0,303.69183,-1.0
310.0,300.0,296.35437,-1.0
310.0,307.0,289.07574,-1.0
310.0,324.0,284.47433,-1.0
310.0,303.0,284.16672,-1.0
310.0,304.0,275.02188,-1.0
310.0,322.0,270.22,-1.0
310.0,304.0,273.0628,-1.0
310.0,311.0,268.25305,-1.0
310.0,310.0,268.26926,-1.0
87.0,83.0,267.86554,-1.0
87.0,81.0,79.7942,-1.0
87.0,90.0,72.2415,-1.0
87.0,93.0,71.06127,-1.0
87.0,90.0,82.76204,-1.0
87.0,91.0,92.175385,-1.0
87.0,87.0,99.885475,-1.0
87.0,79.0,104.625145,-1.0
87.0,73.0,106.725914,-1.0
87.0,94.0,113.96978,-1.0
87.0,83.0,130.42458,-1.0
87.0,103.0,136.96927,-1.0
87.0,79.0,157.28285,-1.0
312.0,326.0,143.40019,-1.0
312.0,304.0,304.85068,-1.0
312.0,314.0,306.71494,-1.0
312.0,323.0,310.37268,-1.0
312.0,321.0,312.22763,-1.0
191.0,180.0,310.12772,-1.0
191.0,178.0,192.97935,-1.0
191.0,190.0,176.07297,-1.0
191.0,188.0,183.03697,-1.0
191.0,190.0,182.64629,-1.0
191.0,197.0,183.34575,-1.0
191.0,208.0,187.70781,-1.0
191.0,191.0,197.86919,-1.0
87.0,96.0,189.81694,-1.0
87.0,77.0,105.78373,-1.0
87.0,86.0,78.501434,-1.0
87.0,73.0,74.11079,-1.0
87.0,103.0,74.770065,-1.0
87.0,82.0,94.05424,-1.0
87.0,91.0,95.045586,-1.0
