distMean_true,outcome_true,outcome_pre,is_oddball
46.0,48.0,142.0988,-1.0
46.0,48.0,58.384464,-1.0
46.0,34.0,55.569546,-1.0
46.0,44.0,51.489002,-1.0
46.0,53.0,66.14868,-1.0
46.0,46.0,78.11496,-1.0
46.0,44.0,79.970856,-1.0
46.0,39.0,83.08646,-1.0
46.0,53.0,86.80847,-1.0
285.0,264.0,99.64021,-1.0
285.0,277.0,270.39813,-1.0
285.0,267.0,279.23975,-1.0
285.0,297.0,272.1775,-1.0
285.0,295.0,279.6898,-1.0
285.0,270.0,273.51077,-1.0
174.0,169.0,256.0338,-1.0
174.0,181.0,170.34517,-1.0
174.0,182.0,181.34766,-1.0
174.0,165.0,182.01514,-1.0
174.0,159.0,174.13449,-1.0
174.0,166.0,172.16302,-1.0
174.0,183.0,175.38359,-1.0
174.0,172.0,182.12886,-1.0
174.0,171.0,179.19069,-1.0
336.0,342.0,179.24341,-1.0
336.0,346.0,306.0369,-1.0
336.0,330.0,312.5966,-1.0
336.0,343.0,311.1694,-1.0
336.0,349.0,313.34897,-1.0
336.0,313.0,314.20026,-1.0
336.0,338.0,303.03827,-1.0
336.0,308.0,309.47824,-1.0
336.0,334.0,297.2582,-1.0
336.0,352.0,303.6372,-1.0
336.0,330.0,313.44022,-1.0
336.0,350.0,310.75458,-1.0
146.0,156.0,314.09067,-1.0
146.0,159.0,157.83994,-1.0
146.0,123.0,161.26378,-1.0
146.0,128.0,137.07436,-1.0
146.0,155.0,140.66142,-1.0
146.0,140.0,156.99512,-1.0
146.0,132.0,154.05504,-1.0
146.0,142.0,152.86581,-1.0
146.0,135.0,158.57234,-1.0
146.0,147.0,156.96358,-1.0
146.0,135.0,161.8904,-1.0
250.0,257.0,157.46852,-1.0
250.0,253.0,254.92632,-1.0
250.0,264.0,255.72314,-1.0
250.0,237.0,264.43594,-1.0
250.0,257.0,240.46149,-1.0
250.0,240.0,240.1801,-1.0
250.0,255.0,230.60472,-1.0
250.0,254.0,234.81627,-1.0
149.0,160.0,235.39047,-1.0
149.0,148.0,165.09776,-1.0
149.0,145.0,154.74413,-1.0
149.0,149.0,155.36726,-1.0
149.0,153.0,160.10458,-1.0
327.0,326.0,164.65129,-1.0
327.0,335.0,302.5692,-1.0
327.0,335.0,311.45016,-1.0
327.0,314.0,312.16623,-1.0
327.0,320.0,302.7041,-1.0
327.0,324.0,299.29788,-1.0
190.0,207.0,298.60632,-1.0
190.0,199.0,209.59654,-1.0
190.0,198.0,201.06404,-1.0
190.0,192.0,199.78862,-1.0
190.0,193.0,195.1363,-1.0
190.0,199.0,193.77724,-1.0
190.0,178.0,194.71707,-1.0
190.0,179.0,182.2347,-1.0
190.0,182.0,181.72981,-1.0
190.0,176.0,182.3223,-1.0
190.0,202.0,180.72243,-1.0
190.0,186.0,192.36302,-1.0
190.0,186.0,183.73976,-1.0
190.0,208.0,183.63036,-1.0
194.0,209.0,197.03145,-1.0
194.0,191.0,199.13316,-1.0
194.0,188.0,186.91609,-1.0
194.0,197.0,184.5874,-1.0
194.0,214.0,188.9919,-1.0
194.0,202.0,202.24294,-1.0
194.0,204.0,194.56895,-1.0
59.0,58.0,195.32451,-1.0
59.0,62.0,64.6127,-1.0
59.0,63.0,65.84102,-1.0
59.0,55.0,66.465576,-1.0
59.0,57.0,64.76489,-1.0
59.0,64.0,75.7626,-1.0
59.0,62.0,86.367096,-1.0
