distMean_true,outcome_true,outcome_pre,is_oddball
297.0,289.0,175.20544,0.0
303.0,321.0,281.96753,0.0
306.0,307.0,312.11887,0.0
298.0,297.0,312.09305,0.0
297.0,314.0,305.3746,0.0
292.0,437.0,311.51166,1.0
284.0,278.0,305.4007,0.0
283.0,286.0,300.432,0.0
281.0,277.0,297.22272,0.0
273.0,284.0,292.3788,0.0
265.0,267.0,289.64563,0.0
272.0,256.0,284.46042,0.0
273.0,274.0,280.03894,0.0
265.0,274.0,279.85477,0.0
269.0,257.0,279.86786,0.0
265.0,262.0,277.27063,0.0
255.0,237.0,275.87704,0.0
245.0,244.0,270.18182,0.0
235.0,232.0,263.58337,0.0
242.0,220.0,254.44383,0.0
235.0,361.0,242.34935,1.0
230.0,225.0,241.43288,0.0
235.0,241.0,234.05574,0.0
238.0,222.0,235.49562,0.0
239.0,248.0,231.04497,0.0
229.0,222.0,235.7476,0.0
222.0,345.0,231.99088,1.0
232.0,236.0,235.2074,0.0
230.0,247.0,231.84053,0.0
221.0,213.0,237.17125,0.0
229.0,245.0,230.5853,0.0
233.0,227.0,233.52342,0.0
226.0,221.0,231.8027,0.0
220.0,218.0,226.76671,0.0
217.0,224.0,221.9744,0.0
208.0,57.0,219.72276,1.0
218.0,217.0,199.38048,0.0
220.0,216.0,209.997,0.0
212.0,212.0,216.78407,0.0
211.0,219.0,214.34358,0.0
217.0,229.0,210.86293,0.0
226.0,226.0,214.2501,0.0
231.0,392.0,222.19484,1.0
223.0,219.0,243.09421,0.0
219.0,209.0,232.08778,0.0
211.0,210.0,223.49106,0.0
217.0,223.0,215.4214,0.0
219.0,210.0,212.24202,0.0
224.0,227.0,209.57283,0.0
224.0,232.0,212.43361,0.0
225.0,397.0,222.6074,1.0
228.0,218.0,248.94344,0.0
231.0,226.0,235.51299,0.0
230.0,222.0,230.22435,0.0
233.0,218.0,224.575,0.0
223.0,223.0,218.75784,0.0
213.0,230.0,215.44331,0.0
215.0,223.0,218.52534,0.0
208.0,221.0,223.17638,0.0
218.0,213.0,223.79407,0.0
224.0,221.0,219.37164,0.0
219.0,397.0,215.60774,1.0
228.0,240.0,228.24219,0.0
219.0,224.0,226.65724,0.0
217.0,244.0,225.72714,0.0
224.0,233.0,231.65562,0.0
231.0,230.0,235.05666,0.0
240.0,412.0,233.47632,1.0
249.0,249.0,251.2298,0.0
242.0,260.0,245.87926,0.0
244.0,248.0,252.26192,0.0
234.0,239.0,251.92471,0.0
233.0,215.0,245.95277,0.0
223.0,223.0,233.32257,0.0
217.0,223.0,225.63036,0.0
214.0,214.0,220.82399,0.0
217.0,39.0,215.19786,1.0
219.0,222.0,187.53838,0.0
221.0,216.0,204.14958,0.0
213.0,198.0,218.84933,0.0
210.0,203.0,214.88979,0.0
206.0,212.0,205.7346,0.0
207.0,218.0,201.39902,0.0
198.0,199.0,203.96721,0.0
191.0,182.0,204.21156,0.0
184.0,189.0,197.15782,0.0
185.0,203.0,192.50508,0.0
180.0,182.0,193.80379,0.0
183.0,214.0,188.49634,0.0
189.0,294.0,196.56471,1.0
192.0,209.0,200.67091,0.0
199.0,201.0,205.05324,0.0
190.0,191.0,207.83841,0.0
180.0,153.0,203.22487,0.0
179.0,308.0,188.12587,1.0
183.0,201.0,189.36824,0.0
183.0,185.0,184.60922,0.0
188.0,187.0,184.1501,0.0
194.0,188.0,186.07799,0.0
193.0,188.0,187.27242,0.0
197.0,185.0,187.28029,0.0
199.0,222.0,185.5369,0.0
206.0,207.0,197.79622,0.0
202.0,197.0,205.02364,0.0
200.0,210.0,205.40102,0.0
206.0,53.0,204.81187,1.0
216.0,233.0,190.04802,0.0
207.0,215.0,208.05626,0.0
199.0,209.0,221.34486,0.0
199.0,202.0,218.74323,0.0
199.0,198.0,210.36671,0.0
206.0,195.0,201.44417,0.0
205.0,210.0,195.71019,0.0
212.0,198.0,197.11287,0.0
220.0,203.0,196.77635,0.0
217.0,207.0,197.42305,0.0
222.0,220.0,200.00694,0.0
225.0,225.0,207.30568,0.0
232.0,113.0,216.48378,1.0
223.0,236.0,206.10913,0.0
227.0,233.0,221.64764,0.0
225.0,213.0,231.94978,0.0
225.0,225.0,226.2043,0.0
227.0,231.0,222.37224,0.0
231.0,406.0,222.75848,1.0
231.0,233.0,244.51402,0.0
228.0,219.0,234.1378,0.0
230.0,236.0,226.76128,0.0
234.0,227.0,226.18541,0.0
240.0,234.0,225.57057,0.0
239.0,232.0,227.98965,0.0
248.0,246.0,230.36517,0.0
255.0,262.0,237.04295,0.0
253.0,256.0,246.52425,0.0
250.0,364.0,252.59285,1.0
243.0,243.0,263.0307,0.0
239.0,247.0,257.16046,0.0
238.0,253.0,251.47914,0.0
229.0,227.0,249.4795,0.0
230.0,235.0,238.9584,0.0
240.0,247.0,233.00938,0.0
231.0,221.0,235.66801,0.0
237.0,255.0,229.10283,0.0
227.0,226.0,235.64336,0.0
218.0,211.0,233.32137,0.0
219.0,356.0,224.27875,1.0
217.0,221.0,225.58914,0.0
215.0,208.0,217.98631,0.0
211.0,215.0,211.26936,0.0
212.0,214.0,207.13808,0.0
222.0,217.0,206.15692,0.0
226.0,229.0,208.5372,0.0
233.0,239.0,217.12006,0.0
235.0,225.0,228.8478,0.0
235.0,227.0,231.3173,0.0
231.0,231.0,230.27873,0.0
231.0,262.0,229.77469,0.0
236.0,242.0,239.31143,0.0
245.0,259.0,243.70297,0.0
247.0,243.0,250.6678,0.0
254.0,128.0,249.85056,1.0
252.0,243.0,237.79283,0.0
252.0,259.0,241.59758,0.0
248.0,243.0,251.15761,0.0
243.0,255.0,249.43019,0.0
243.0,244.0,251.29898,0.0
248.0,427.0,248.17142,1.0
241.0,246.0,263.43005,0.0
241.0,248.0,257.92184,0.0
236.0,239.0,252.79138,0.0
234.0,224.0,246.30194,0.0
243.0,221.0,235.29985,0.0
240.0,238.0,226.51152,0.0
235.0,233.0,226.99179,0.0
243.0,259.0,229.43452,0.0
245.0,68.0,240.19038,1.0
236.0,234.0,220.87968,0.0
239.0,246.0,236.69206,0.0
244.0,239.0,246.48045,0.0
252.0,235.0,245.31575,0.0
243.0,418.0,240.16856,1.0
244.0,241.0,253.00618,0.0
242.0,254.0,245.09645,0.0
249.0,244.0,247.45918,0.0
245.0,261.0,245.31004,0.0
249.0,235.0,249.2705,0.0
247.0,241.0,243.51064,0.0
241.0,242.0,240.26915,0.0
243.0,113.0,238.8484,1.0
233.0,251.0,230.27667,0.0
242.0,253.0,246.36766,0.0
237.0,231.0,255.27327,0.0
229.0,226.0,246.52135,0.0
235.0,240.0,236.9022,0.0
240.0,252.0,234.85057,0.0
244.0,260.0,240.22314,0.0
242.0,223.0,248.196,0.0
245.0,245.0,239.62592,0.0
255.0,241.0,239.18925,0.0
246.0,243.0,238.71281,0.0
242.0,360.0,238.91565,1.0
252.0,249.0,240.02962,0.0
244.0,234.0,238.81508,0.0
236.0,241.0,236.88493,0.0
244.0,253.0,236.64326,0.0
244.0,241.0,242.48705,0.0
245.0,236.0,243.06819,0.0
245.0,235.0,239.55656,0.0
244.0,250.0,235.79622,0.0
243.0,356.0,239.2941,1.0
238.0,248.0,243.7214,0.0
238.0,237.0,241.6898,0.0
233.0,233.0,239.77194,0.0
236.0,238.0,235.39337,0.0
239.0,212.0,233.75711,0.0
235.0,242.0,225.18665,0.0
228.0,225.0,227.71501,0.0
238.0,231.0,228.01466,0.0
230.0,232.0,228.08583,0.0
239.0,241.0,228.97487,0.0
233.0,129.0,234.10838,1.0
223.0,227.0,227.2134,0.0
225.0,221.0,230.24501,0.0
229.0,229.0,227.36147,0.0
238.0,232.0,225.35088,0.0
246.0,258.0,226.12823,0.0
247.0,241.0,236.7356,0.0
238.0,238.0,242.44135,0.0
244.0,247.0,242.63469,0.0
243.0,98.0,244.85786,1.0
246.0,239.0,230.59102,0.0
247.0,270.0,240.87273,0.0
244.0,248.0,255.54462,0.0
234.0,218.0,255.50644,0.0
233.0,230.0,242.71071,0.0
240.0,241.0,234.8738,0.0
239.0,225.0,233.98509,0.0
249.0,246.0,228.76079,0.0
259.0,272.0,232.53505,0.0
251.0,242.0,243.87138,0.0
