distMean_true,outcome_true,outcome_pre,is_oddball
297.0,289.0,129.5968,0.0
303.0,321.0,249.52249,0.0
306.0,307.0,294.93332,0.0
298.0,297.0,309.257,0.0
297.0,314.0,308.152,0.0
292.0,437.0,309.3326,1.0
284.0,278.0,312.89868,0.0
283.0,286.0,312.16147,0.0
281.0,277.0,302.20898,0.0
273.0,284.0,285.43744,0.0
265.0,267.0,276.73343,0.0
272.0,256.0,268.87088,0.0
273.0,274.0,260.0789,0.0
265.0,274.0,258.09308,0.0
269.0,257.0,261.48184,0.0
265.0,262.0,260.0932,0.0
255.0,237.0,256.94144,0.0
245.0,244.0,250.5915,0.0
235.0,232.0,246.27621,0.0
242.0,220.0,241.32872,0.0
235.0,361.0,235.80504,1.0
230.0,225.0,240.22176,0.0
235.0,241.0,232.51521,0.0
238.0,222.0,233.62778,0.0
239.0,248.0,230.72227,0.0
229.0,222.0,233.27919,0.0
222.0,345.0,230.16995,1.0
232.0,236.0,235.33247,0.0
230.0,247.0,230.01164,0.0
221.0,213.0,232.63759,0.0
229.0,245.0,228.32306,0.0
233.0,227.0,230.57555,0.0
226.0,221.0,228.80263,0.0
220.0,218.0,226.0972,0.0
217.0,224.0,223.16994,0.0
208.0,57.0,222.15431,1.0
218.0,217.0,200.54462,0.0
220.0,216.0,215.23357,0.0
212.0,212.0,215.45134,0.0
211.0,219.0,212.72559,0.0
217.0,229.0,211.13411,0.0
226.0,226.0,213.6253,0.0
231.0,392.0,217.36066,1.0
223.0,219.0,233.41608,0.0
219.0,209.0,230.14503,0.0
211.0,210.0,224.27705,0.0
217.0,223.0,217.01741,0.0
219.0,210.0,214.0716,0.0
224.0,227.0,210.78354,0.0
224.0,232.0,212.29243,0.0
225.0,397.0,217.4642,1.0
228.0,218.0,235.3618,0.0
231.0,226.0,231.36224,0.0
230.0,222.0,228.93057,0.0
233.0,218.0,223.56152,0.0
223.0,223.0,218.13225,0.0
213.0,230.0,215.72682,0.0
215.0,223.0,217.34926,0.0
208.0,221.0,219.14412,0.0
218.0,213.0,219.6396,0.0
224.0,221.0,216.85612,0.0
219.0,397.0,215.758,1.0
228.0,240.0,228.088,0.0
219.0,224.0,229.95229,0.0
217.0,244.0,228.84297,0.0
224.0,233.0,230.82086,0.0
231.0,230.0,230.59656,0.0
240.0,412.0,228.1775,1.0
249.0,249.0,237.0326,0.0
242.0,260.0,238.42267,0.0
244.0,248.0,243.58594,0.0
234.0,239.0,243.90883,0.0
233.0,215.0,239.26166,0.0
223.0,223.0,229.26146,0.0
217.0,223.0,222.15266,0.0
214.0,214.0,217.43541,0.0
217.0,39.0,213.351,1.0
219.0,222.0,194.83977,0.0
221.0,216.0,213.32646,0.0
213.0,198.0,214.00066,0.0
210.0,203.0,207.84508,0.0
206.0,212.0,202.07817,0.0
207.0,218.0,200.19963,0.0
198.0,199.0,202.36343,0.0
191.0,182.0,201.73352,0.0
184.0,189.0,195.94365,0.0
185.0,203.0,191.18056,0.0
180.0,182.0,190.65186,0.0
183.0,214.0,187.57304,0.0
189.0,294.0,189.91481,1.0
192.0,209.0,197.46269,0.0
199.0,201.0,199.20715,0.0
190.0,191.0,201.95076,0.0
180.0,153.0,199.11848,0.0
179.0,308.0,188.97215,1.0
183.0,201.0,194.79222,0.0
183.0,185.0,188.0959,0.0
188.0,187.0,188.81822,0.0
194.0,188.0,188.18248,0.0
193.0,188.0,186.99002,0.0
197.0,185.0,184.99767,0.0
199.0,222.0,181.33554,0.0
206.0,207.0,187.26778,0.0
202.0,197.0,194.42116,0.0
200.0,210.0,197.41367,0.0
206.0,53.0,201.01352,1.0
216.0,233.0,192.21419,0.0
