distMean_true,outcome_true,outcome_pre,is_oddball
297.0,289.0,182.86426,0.0
303.0,321.0,278.92126,0.0
306.0,307.0,305.77682,0.0
298.0,297.0,311.1011,0.0
297.0,314.0,302.81232,0.0
292.0,437.0,305.4682,1.0
284.0,278.0,309.45612,0.0
283.0,286.0,299.00256,0.0
281.0,277.0,288.73367,0.0
273.0,284.0,280.1494,0.0
265.0,267.0,276.7917,0.0
272.0,256.0,271.58014,0.0
273.0,274.0,264.0208,0.0
265.0,274.0,261.88577,0.0
269.0,257.0,262.4137,0.0
265.0,262.0,257.82693,0.0
255.0,237.0,256.69998,0.0
245.0,244.0,248.09624,0.0
235.0,232.0,244.13974,0.0
242.0,220.0,237.50072,0.0
235.0,361.0,228.96848,1.0
230.0,225.0,233.78221,0.0
235.0,241.0,231.13092,0.0
238.0,222.0,234.70041,0.0
239.0,248.0,228.47183,0.0
229.0,222.0,235.57257,0.0
222.0,345.0,229.25475,1.0
232.0,236.0,232.67172,0.0
230.0,247.0,234.56792,0.0
221.0,213.0,238.83855,0.0
229.0,245.0,227.3412,0.0
233.0,227.0,233.19,0.0
226.0,221.0,229.56023,0.0
220.0,218.0,224.59424,0.0
217.0,224.0,220.34601,0.0
208.0,57.0,220.29991,1.0
218.0,217.0,216.32669,0.0
220.0,216.0,219.16478,0.0
212.0,212.0,217.70328,0.0
211.0,219.0,214.16107,0.0
217.0,229.0,214.40884,0.0
226.0,226.0,219.75676,0.0
231.0,392.0,222.45071,1.0
223.0,219.0,222.69028,0.0
219.0,209.0,220.14658,0.0
211.0,210.0,213.61275,0.0
217.0,223.0,209.93396,0.0
219.0,210.0,213.577,0.0
224.0,227.0,211.33359,0.0
224.0,232.0,216.58842,0.0
225.0,397.0,223.49194,1.0
228.0,218.0,225.6111,0.0
231.0,226.0,221.43408,0.0
230.0,222.0,221.91,0.0
233.0,218.0,220.81854,0.0
223.0,223.0,218.51508,0.0
213.0,230.0,219.18434,0.0
215.0,223.0,223.20883,0.0
208.0,221.0,222.7099,0.0
218.0,213.0,221.01201,0.0
224.0,221.0,216.43364,0.0
219.0,397.0,216.6135,1.0
228.0,240.0,217.56448,0.0
219.0,224.0,228.65173,0.0
217.0,244.0,225.92467,0.0
224.0,233.0,233.81926,0.0
231.0,230.0,233.39682,0.0
240.0,412.0,231.17139,1.0
249.0,249.0,231.91917,0.0
242.0,260.0,239.88739,0.0
244.0,248.0,248.45654,0.0
234.0,239.0,246.92996,0.0
233.0,215.0,242.02277,0.0
223.0,223.0,230.34856,0.0
217.0,223.0,225.40237,0.0
214.0,214.0,222.7238,0.0
217.0,39.0,217.71956,1.0
219.0,222.0,208.107,0.0
221.0,216.0,218.99646,0.0
213.0,198.0,217.95932,0.0
210.0,203.0,208.42198,0.0
206.0,212.0,204.14261,0.0
207.0,218.0,205.51392,0.0
198.0,199.0,208.99152,0.0
191.0,182.0,204.19308,0.0
184.0,189.0,194.01495,0.0
185.0,203.0,191.64124,0.0
180.0,182.0,196.94598,0.0
183.0,214.0,189.38986,0.0
189.0,294.0,199.54823,1.0
192.0,209.0,202.96313,0.0
199.0,201.0,206.247,0.0
190.0,191.0,204.05713,0.0
180.0,153.0,197.99536,0.0
179.0,308.0,181.07098,1.0
183.0,201.0,182.28516,0.0
183.0,185.0,195.80582,0.0
188.0,187.0,190.80466,0.0
194.0,188.0,188.88734,0.0
193.0,188.0,188.4274,0.0
197.0,185.0,188.26299,0.0
199.0,222.0,186.29826,0.0
206.0,207.0,199.0809,0.0
202.0,197.0,201.55704,0.0
200.0,210.0,198.95276,0.0
206.0,53.0,202.1365,1.0
216.0,233.0,201.33475,0.0
207.0,215.0,210.6915,0.0
199.0,209.0,210.88535,0.0
199.0,202.0,208.73499,0.0
199.0,198.0,204.40411,0.0
206.0,195.0,200.60823,0.0
