distMean_true,outcome_true,outcome_pre,is_oddball
297.0,289.0,182.25069,0.0
303.0,321.0,248.26434,0.0
306.0,307.0,278.18704,0.0
298.0,297.0,291.87674,0.0
297.0,314.0,295.4191,0.0
292.0,437.0,301.9504,1.0
284.0,278.0,302.6847,0.0
283.0,286.0,291.23782,0.0
281.0,277.0,284.0858,0.0
273.0,284.0,277.08997,0.0
265.0,267.0,275.40695,0.0
272.0,256.0,267.69476,0.0
273.0,274.0,260.58405,0.0
265.0,274.0,266.73734,0.0
269.0,257.0,269.17654,0.0
265.0,262.0,261.43027,0.0
255.0,237.0,260.977,0.0
245.0,244.0,247.73717,0.0
235.0,232.0,240.57349,0.0
242.0,220.0,233.08736,0.0
235.0,361.0,225.89455,1.0
230.0,225.0,245.24321,0.0
235.0,241.0,225.88617,0.0
238.0,222.0,231.93233,0.0
239.0,248.0,226.46588,0.0
229.0,222.0,236.74095,0.0
222.0,345.0,227.26967,1.0
232.0,236.0,247.00682,0.0
230.0,247.0,232.46169,0.0
221.0,213.0,237.1331,0.0
229.0,245.0,223.16267,0.0
233.0,227.0,235.02252,0.0
226.0,221.0,229.54982,0.0
220.0,218.0,225.60382,0.0
217.0,224.0,222.54861,0.0
208.0,57.0,224.73181,1.0
218.0,217.0,206.39043,0.0
220.0,216.0,208.79887,0.0
212.0,212.0,214.12968,0.0
211.0,219.0,220.10194,0.0
217.0,229.0,225.77608,0.0
226.0,226.0,230.67053,0.0
231.0,392.0,229.63492,1.0
223.0,219.0,246.83202,0.0
219.0,209.0,227.10083,0.0
211.0,210.0,217.06882,0.0
217.0,223.0,213.55238,0.0
219.0,210.0,220.3784,0.0
224.0,227.0,218.52357,0.0
224.0,232.0,225.51219,0.0
225.0,397.0,231.58723,1.0
228.0,218.0,247.7935,0.0
231.0,226.0,227.94035,0.0
230.0,222.0,223.5764,0.0
233.0,218.0,223.00714,0.0
223.0,223.0,222.12498,0.0
213.0,230.0,224.6794,0.0
215.0,223.0,229.8321,0.0
208.0,221.0,227.87268,0.0
218.0,213.0,225.29645,0.0
224.0,221.0,219.97054,0.0
219.0,397.0,221.50462,1.0
228.0,240.0,244.744,0.0
219.0,224.0,235.97658,0.0
217.0,244.0,227.68231,0.0
224.0,233.0,235.05421,0.0
231.0,230.0,232.75333,0.0
240.0,412.0,231.17552,1.0
249.0,249.0,248.34529,0.0
242.0,260.0,243.67615,0.0
244.0,248.0,248.17973,0.0
234.0,239.0,242.53807,0.0
233.0,215.0,237.59131,0.0
223.0,223.0,225.70534,0.0
217.0,223.0,223.69362,0.0
214.0,214.0,224.56999,0.0
217.0,39.0,220.60246,1.0
219.0,222.0,196.19801,0.0
221.0,216.0,206.59346,0.0
213.0,198.0,211.33505,0.0
210.0,203.0,209.88666,0.0
206.0,212.0,209.7075,0.0
207.0,218.0,214.22981,0.0
198.0,199.0,221.10118,0.0
191.0,182.0,213.03719,0.0
184.0,189.0,203.36635,0.0
185.0,203.0,195.91365,0.0
180.0,182.0,195.71431,0.0
183.0,214.0,189.17702,0.0
189.0,294.0,194.94019,1.0
192.0,209.0,210.6875,0.0
199.0,201.0,209.12021,0.0
190.0,191.0,209.92244,0.0
180.0,153.0,203.6959,0.0
179.0,308.0,190.7831,1.0
183.0,201.0,216.4011,0.0
183.0,185.0,203.43547,0.0
188.0,187.0,194.98842,0.0
194.0,188.0,188.24132,0.0
193.0,188.0,186.89546,0.0
197.0,185.0,187.75429,0.0
199.0,222.0,187.14055,0.0
206.0,207.0,191.61983,0.0
202.0,197.0,195.8503,0.0
200.0,210.0,198.34927,0.0
206.0,53.0,203.12123,1.0
216.0,233.0,175.44212,0.0
207.0,215.0,187.75604,0.0
199.0,209.0,191.41315,0.0
199.0,202.0,195.94965,0.0
199.0,198.0,199.68613,0.0
206.0,195.0,201.2924,0.0
205.0,210.0,199.75746,0.0
212.0,198.0,203.75095,0.0
220.0,203.0,203.71318,0.0
217.0,207.0,204.97658,0.0
222.0,220.0,208.09924,0.0
225.0,225.0,216.41069,0.0
232.0,113.0,227.5686,1.0
223.0,236.0,209.82797,0.0
227.0,233.0,220.52191,0.0
225.0,213.0,230.18625,0.0
225.0,225.0,223.81358,0.0
227.0,231.0,225.19247,0.0
231.0,406.0,230.03825,1.0
231.0,233.0,247.6952,0.0
228.0,219.0,234.62457,0.0
230.0,236.0,225.40965,0.0
234.0,227.0,230.37962,0.0
240.0,234.0,229.46645,0.0
239.0,232.0,232.39493,0.0
248.0,246.0,232.22896,0.0
255.0,262.0,236.89418,0.0
253.0,256.0,243.612,0.0
250.0,364.0,244.25652,1.0
243.0,243.0,257.57413,0.0
239.0,247.0,246.13445,0.0
238.0,253.0,241.32256,0.0
229.0,227.0,242.28642,0.0
230.0,235.0,231.85143,0.0
240.0,247.0,232.50728,0.0
231.0,221.0,237.1678,0.0
237.0,255.0,227.03624,0.0
227.0,226.0,240.49025,0.0
218.0,211.0,228.79504,0.0
219.0,356.0,220.17741,1.0
217.0,221.0,244.00896,0.0
215.0,208.0,223.12965,0.0
211.0,215.0,215.3221,0.0
212.0,214.0,215.36156,0.0
222.0,217.0,217.31801,0.0
226.0,229.0,220.60754,0.0
233.0,239.0,228.29008,0.0
235.0,225.0,234.44388,0.0
235.0,227.0,229.54301,0.0
231.0,231.0,228.72969,0.0
231.0,262.0,230.75551,0.0
236.0,242.0,242.73543,0.0
245.0,259.0,236.84491,0.0
247.0,243.0,243.16373,0.0
254.0,128.0,237.81755,1.0
252.0,243.0,216.8537,0.0
252.0,259.0,229.77733,0.0
248.0,243.0,240.03413,0.0
243.0,255.0,237.19594,0.0
243.0,244.0,241.2452,0.0
248.0,427.0,237.75208,1.0
241.0,246.0,252.1269,0.0
241.0,248.0,244.5936,0.0
236.0,239.0,241.56503,0.0
234.0,224.0,236.6808,0.0
243.0,221.0,229.07547,0.0
240.0,238.0,224.83098,0.0
235.0,233.0,232.35406,0.0
243.0,259.0,232.77051,0.0
245.0,68.0,241.84496,1.0
236.0,234.0,218.68526,0.0
239.0,246.0,225.74155,0.0
244.0,239.0,235.10722,0.0
252.0,235.0,235.42863,0.0
243.0,418.0,233.77916,1.0
244.0,241.0,249.48393,0.0
242.0,254.0,240.01053,0.0
249.0,244.0,243.00014,0.0
245.0,261.0,239.14667,0.0
249.0,235.0,244.94649,0.0
247.0,241.0,234.894,0.0
241.0,242.0,236.04979,0.0
243.0,113.0,236.263,1.0
233.0,251.0,215.212,0.0
242.0,253.0,232.93837,0.0
237.0,231.0,238.76817,0.0
229.0,226.0,232.18709,0.0
235.0,240.0,228.75868,0.0
240.0,252.0,234.30098,0.0
244.0,260.0,238.99191,0.0
242.0,223.0,243.59029,0.0
245.0,245.0,227.9251,0.0
255.0,241.0,236.03966,0.0
246.0,243.0,235.59811,0.0
242.0,360.0,236.41307,1.0
252.0,249.0,250.1796,0.0
244.0,234.0,243.7715,0.0
236.0,241.0,234.24062,0.0
244.0,253.0,235.59267,0.0
