distMean_true,outcome_true,outcome_pre,is_oddball
358.0,361.0,119.42433,0.0
353.0,350.0,274.6948,0.0
353.0,356.0,308.4436,0.0
356.0,364.0,315.78647,0.0
0.0,-7.0,317.4942,0.0
356.0,358.0,100.842255,0.0
357.0,347.0,235.57208,0.0
7.0,0.0,286.86887,0.0
14.0,19.0,103.38191,0.0
24.0,22.0,76.09413,0.0
25.0,30.0,67.470184,0.0
16.0,7.0,65.301254,0.0
13.0,-154.0,69.47493,1.0
16.0,13.0,62.633163,0.0
16.0,3.0,73.81084,0.0
24.0,24.0,75.39586,0.0
22.0,19.0,67.710815,0.0
15.0,26.0,66.353714,0.0
23.0,19.0,65.32774,0.0
24.0,22.0,65.502625,0.0
24.0,24.0,65.251366,0.0
26.0,-109.0,65.03903,1.0
34.0,39.0,68.26024,0.0
25.0,31.0,67.78635,0.0
25.0,41.0,65.303535,0.0
29.0,21.0,65.508026,0.0
35.0,23.0,64.99408,0.0
27.0,14.0,64.93132,0.0
30.0,20.0,66.10563,0.0
33.0,35.0,65.49261,0.0
41.0,-78.0,64.99123,1.0
38.0,50.0,69.45984,0.0
28.0,9.0,68.76041,0.0
37.0,49.0,69.66745,0.0
44.0,46.0,67.63905,0.0
54.0,56.0,66.27664,0.0
46.0,44.0,69.09981,0.0
43.0,28.0,65.46825,0.0
53.0,51.0,64.22861,0.0
50.0,45.0,66.61664,0.0
46.0,161.0,65.18011,1.0
46.0,40.0,102.617065,0.0
52.0,54.0,66.1928,0.0
57.0,51.0,66.687744,0.0
54.0,59.0,65.76446,0.0
51.0,51.0,69.11174,0.0
54.0,-95.0,65.991394,1.0
57.0,63.0,67.98616,0.0
48.0,40.0,73.65405,0.0
54.0,72.0,65.17667,0.0
52.0,41.0,79.455795,0.0
54.0,53.0,65.3085,0.0
47.0,36.0,67.74512,0.0
49.0,60.0,64.0874,0.0
55.0,48.0,70.53523,0.0
61.0,54.0,65.846436,0.0
65.0,58.0,67.75163,0.0
74.0,66.0,69.997375,0.0
78.0,78.0,75.90033,0.0
79.0,237.0,85.51584,1.0
