outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre,is_oddball
329.0,234.46127,274.10822,,,-1.0
342.0,274.10822,274.30402,13.0,0.1957999999999629,-1.0
341.0,274.30402,274.2997,-1.0,-0.004320000000006985,-1.0
340.0,274.2997,274.29605,-1.0,-0.0036499999999932697,-1.0
320.0,274.29605,274.02884,-20.0,-0.2672099999999773,-1.0
318.0,274.02884,273.95923,-2.0,-0.0696100000000115,-1.0
318.0,273.95923,273.95816,0.0,-0.0010699999999701504,-1.0
320.0,273.95816,274.02173,2.0,0.06356999999997015,-1.0
321.0,274.02173,274.05066,1.0,0.028930000000002565,-1.0
329.0,274.05066,274.20532,8.0,0.15465999999997848,-1.0
330.0,274.20532,274.2205,1.0,0.015180000000043492,-1.0
324.0,274.2205,274.12506,-6.0,-0.09543999999999642,-1.0
48.0,274.12506,62.922054,84.0,148.79699399999998,-1.0
52.0,62.922054,55.287266,4.0,-7.634788000000015,-1.0
51.0,55.287266,42.626354,-1.0,-12.660911999999996,-1.0
53.0,42.626354,63.20922,2.0,20.582866000000003,-1.0
64.0,63.20922,79.35663,11.0,16.147409999999994,-1.0
38.0,79.35663,35.266792,-26.0,-44.089837999999986,-1.0
38.0,35.266792,51.212044,0.0,15.945251999999996,-1.0
186.0,51.212044,182.41077,148.0,131.19872600000002,-1.0
199.0,182.41077,246.47076,13.0,64.05999,-1.0
184.0,246.47076,188.66406,-15.0,-57.80669999999998,-1.0
190.0,188.66406,195.83551,6.0,7.171449999999993,-1.0
172.0,195.83551,165.04524,-18.0,-30.790269999999964,-1.0
100.0,165.04524,114.9448,-72.0,-50.10043999999999,-1.0
65.0,114.9448,71.08205,-35.0,-43.862750000000005,-1.0
88.0,71.08205,73.556854,23.0,2.474804000000006,-1.0
84.0,73.556854,79.493256,-4.0,5.936402000000001,-1.0
78.0,79.493256,116.70108,-6.0,37.207824,-1.0
81.0,116.70108,115.296524,3.0,-1.4045560000000137,-1.0
77.0,115.296524,89.271805,-4.0,-26.024719000000005,-1.0
86.0,89.271805,116.00137,9.0,26.729564999999994,-1.0
61.0,116.00137,62.071823,-25.0,-53.929547000000014,-1.0
72.0,62.071823,85.53329,11.0,23.461466999999992,-1.0
76.0,85.53329,76.72916,4.0,-8.804129999999986,-1.0
226.0,76.72916,226.52612,150.0,149.79696,-1.0
221.0,226.52612,233.13626,-5.0,6.610140000000001,-1.0
217.0,233.13626,203.88309,-4.0,-29.253169999999955,-1.0
231.0,203.88309,220.54448,14.0,16.661389999999983,-1.0
212.0,220.54448,216.36528,-19.0,-4.17919999999998,-1.0
229.0,216.36528,200.71043,17.0,-15.65485000000001,-1.0
225.0,200.71043,201.73415,-4.0,1.0237199999999973,-1.0
222.0,201.73415,211.16293,-3.0,9.428779999999989,-1.0
233.0,211.16293,207.85603,11.0,-3.3068999999999846,-1.0
221.0,207.85603,203.09004,-12.0,-4.765989999999988,-1.0
46.0,203.09004,53.15376,-175.0,-149.93627999999998,-1.0
59.0,53.15376,67.525406,13.0,14.371646000000005,-1.0
51.0,67.525406,51.83771,-8.0,-15.687696000000017,-1.0
46.0,51.83771,51.88699,-5.0,0.049279999999995994,-1.0
38.0,51.88699,43.253136,-8.0,-8.633853999999985,-1.0
112.0,43.253136,124.075455,74.0,80.82231900000001,-1.0
