outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre
359.0,192.77461,277.79074,,
336.0,277.79074,280.91864,-23.0,3.127899999999954
333.0,280.91864,280.784,-3.0,-0.13463999999999032
326.0,280.784,280.62396,-7.0,-0.16003999999998086
300.0,280.62396,277.89984,-26.0,-2.7241200000000276
326.0,277.89984,280.70007,26.0,2.800229999999999
326.0,280.70007,280.6251,0.0,-0.07497000000000753
381.0,280.6251,281.01926,55.0,0.3941599999999994
338.0,281.01926,280.85425,-43.0,-0.16500999999999522
319.0,280.85425,280.32452,-19.0,-0.5297299999999723
531.0,280.32452,281.10406,-148.0,0.7795399999999972
340.0,281.10406,280.87326,169.0,-0.2307999999999879
357.0,280.87326,280.97556,17.0,0.10229999999995698
15.0,280.97556,30.857243,18.0,109.88168300000004
6.0,30.857243,-16.696447,-9.0,-47.55369000000002
346.0,-16.696447,273.76874,-20.0,-69.53481300000004
323.0,273.76874,280.48712,-23.0,6.718380000000025
320.0,280.48712,280.41183,-3.0,-0.07528999999999542
320.0,280.41183,280.40216,0.0,-0.009670000000028267
327.0,280.40216,280.66696,7.0,0.26480000000003656
317.0,280.66696,280.21628,-10.0,-0.45068000000003394
335.0,280.21628,280.83374,18.0,0.6174599999999941
326.0,280.83374,280.62146,-9.0,-0.21227999999996428
326.0,280.62146,280.6304,0.0,0.008939999999995507
313.0,280.6304,279.9132,-13.0,-0.7171999999999912
453.0,279.9132,281.07532,140.0,1.162119999999959
299.0,281.07532,277.51837,-154.0,-3.556949999999972
300.0,277.51837,278.2497,1.0,0.731330000000014
277.0,278.2497,265.83575,-23.0,-12.41395
285.0,265.83575,268.7162,8.0,2.880449999999996
299.0,268.7162,275.12952,14.0,6.413319999999999
290.0,275.12952,273.30182,-9.0,-1.827699999999993
308.0,273.30182,279.34116,18.0,6.0393399999999815
299.0,279.34116,277.69373,-9.0,-1.6474299999999857
278.0,277.69373,266.9452,-21.0,-10.748530000000017
267.0,266.9452,256.09988,-11.0,-10.845320000000015
443.0,256.09988,281.0393,176.0,24.93942000000004
277.0,281.0393,264.9087,-166.0,-16.130600000000015
247.0,264.9087,242.3562,-30.0,-22.55250000000001
243.0,242.3562,238.1614,-4.0,-4.1947999999999865
239.0,238.1614,232.70006,-4.0,-5.46133999999995
204.0,232.70006,209.63016,-35.0,-23.06990000000002
212.0,209.63016,206.49506,8.0,-3.135099999999966
176.0,206.49506,182.5104,-36.0,-23.984659999999963
187.0,182.5104,188.17651,11.0,5.666110000000003
188.0,188.17651,185.91196,1.0,-2.2645499999999856
180.0,185.91196,180.5791,-8.0,-5.332859999999982
176.0,180.5791,177.51215,-4.0,-3.06695000000002
354.0,177.51215,280.9328,178.0,103.42065
158.0,280.9328,153.818,164.0,-127.11479999999997
177.0,153.818,169.08136,19.0,15.263359999999977
201.0,169.08136,196.99283,24.0,27.91147000000001
216.0,196.99283,200.47061,15.0,3.4777799999999957
199.0,200.47061,196.51953,-17.0,-3.9510799999999904
199.0,196.51953,196.12604,0.0,-0.39349000000004253
205.0,196.12604,198.07483,6.0,1.9487900000000025
194.0,198.07483,194.36868,-11.0,-3.7061499999999796
367.0,194.36868,281.04626,173.0,86.67758
171.0,281.04626,166.0659,164.0,-114.98036000000002
169.0,166.0659,167.34439,-2.0,1.278490000000005
178.0,167.34439,181.50699,9.0,14.162599999999998
184.0,181.50699,180.6889,6.0,-0.8180899999999838
212.0,180.6889,197.08145,28.0,16.39255
195.0,197.08145,196.42606,-17.0,-0.6553900000000112
203.0,196.42606,198.44286,8.0,2.0167999999999893
205.0,198.44286,198.69513,2.0,0.25227000000001
216.0,198.69513,201.13179,11.0,2.436659999999989
224.0,201.13179,202.89581,8.0,1.7640200000000164
257.0,202.89581,223.06566,33.0,20.169849999999997
244.0,223.06566,229.09546,-13.0,6.0297999999999945
269.0,229.09546,252.0028,25.0,22.907340000000005
203.0,252.0028,205.52893,-66.0,-46.47387000000003
239.0,205.52893,229.86295,36.0,24.33402000000001
220.0,229.86295,218.8722,-19.0,-10.990750000000048
238.0,218.8722,225.6384,18.0,6.766199999999998
228.0,225.6384,221.4961,-10.0,-4.1422999999999774
207.0,221.4961,204.71136,-21.0,-16.78474
227.0,204.71136,206.07495,20.0,1.3635899999999879
233.0,206.07495,206.7356,6.0,0.660650000000004
218.0,206.7356,202.60033,-15.0,-4.135269999999991
203.0,202.60033,198.12106,-15.0,-4.479270000000042
203.0,198.12106,197.65225,0.0,-0.4688099999999622
204.0,197.65225,197.92047,1.0,0.26821999999998525
212.0,197.92047,200.11,8.0,2.189530000000019
203.0,200.11,197.93121,-9.0,-2.178790000000049
376.0,197.93121,281.0138,173.0,83.08259000000001
214.0,281.0138,204.15283,-162.0,-76.86097000000001
223.0,204.15283,224.35721,9.0,20.204380000000015
235.0,224.35721,228.06232,12.0,3.7051099999999906
232.0,228.06232,227.39983,-3.0,-0.6624899999999911
237.0,227.39983,230.07513,5.0,2.675299999999993
263.0,230.07513,245.11765,26.0,15.042519999999996
230.0,245.11765,233.45895,-33.0,-11.65870000000001
235.0,233.45895,231.83527,5.0,-1.623679999999979
356.0,231.83527,279.6219,121.0,47.786629999999974
226.0,279.6219,215.22827,-130.0,-64.39362999999997
207.0,215.22827,214.24,-19.0,-0.98827
198.0,214.24,200.83272,-9.0,-13.407280000000014
205.0,200.83272,199.24704,7.0,-1.5856800000000248
192.0,199.24704,,-13.0,
