outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre
352.0,192.77461,277.7715,,
338.0,277.7715,280.93344,-14.0,3.1619400000000155
357.0,280.93344,280.9745,19.0,0.04105999999995902
342.0,280.9745,280.89612,-15.0,-0.07837999999998146
375.0,280.89612,281.00955,33.0,0.11342999999999392
357.0,281.00955,280.97366,-18.0,-0.03588999999999487
362.0,280.97366,280.98706,5.0,0.013399999999990087
382.0,280.98706,281.0166,20.0,0.029539999999997235
426.0,281.0166,281.0508,44.0,0.034199999999998454
354.0,281.0508,280.96313,-72.0,-0.0876700000000028
359.0,280.96313,280.97992,5.0,0.016790000000014516
302.0,280.97992,278.2789,-57.0,-2.7010199999999713
285.0,278.2789,272.18,-17.0,-6.098900000000015
295.0,272.18,276.34955,10.0,4.169550000000015
451.0,276.34955,281.07483,156.0,4.725279999999998
298.0,281.07483,277.2409,-153.0,-3.8339300000000094
272.0,277.2409,261.72186,-26.0,-15.519040000000018
286.0,261.72186,267.36542,14.0,5.6435599999999795
303.0,267.36542,275.79727,17.0,8.431850000000054
313.0,275.79727,279.80234,10.0,4.005069999999989
297.0,279.80234,277.16095,-16.0,-2.6413900000000012
281.0,277.16095,269.4149,-16.0,-7.746050000000025
265.0,269.4149,254.77122,-16.0,-14.643680000000018
151.0,254.77122,146.5941,-114.0,-108.17712
168.0,146.5941,162.16605,17.0,15.571950000000015
166.0,162.16605,167.18617,-2.0,5.0201199999999915
288.0,167.18617,276.4007,122.0,109.21452999999997
256.0,276.4007,243.5165,-32.0,-32.884199999999964
272.0,243.5165,256.01083,16.0,12.49432999999999
266.0,256.01083,250.62076,-6.0,-5.390070000000037
257.0,250.62076,247.48119,-9.0,-3.139569999999992
262.0,247.48119,249.1525,5.0,1.6713100000000054
248.0,249.1525,242.6749,-14.0,-6.477599999999995
241.0,242.6749,236.47787,-7.0,-6.197030000000041
249.0,236.47787,237.63126,8.0,1.1533900000000017
251.0,237.63126,240.66913,2.0,3.037869999999998
80.0,240.66913,84.65781,-171.0,-156.01132
161.0,84.65781,153.22264,81.0,68.56483000000001
63.0,153.22264,69.95867,-98.0,-83.26397000000003
131.0,69.95867,126.29006,68.0,56.33139
137.0,126.29006,134.61438,6.0,8.324320000000014
147.0,134.61438,152.94156,10.0,18.32718
143.0,152.94156,143.88348,-4.0,-9.058080000000018
143.0,143.88348,149.31207,0.0,5.428590000000014
133.0,149.31207,146.68994,-10.0,-2.62212999999997
145.0,146.68994,153.13455,12.0,6.444609999999983
269.0,153.13455,266.35675,124.0,113.22219999999999
138.0,266.35675,138.07039,-131.0,-128.28635999999997
262.0,138.07039,245.20319,124.0,107.1328
269.0,245.20319,267.22015,7.0,22.016959999999983
258.0,267.22015,251.70451,-11.0,-15.515639999999962
259.0,251.70451,248.60406,1.0,-3.1004500000000235
387.0,248.60406,280.87134,128.0,32.26727999999997
262.0,280.87134,248.50024,-125.0,-32.371099999999956
256.0,248.50024,248.73428,-6.0,0.23404000000002156
248.0,248.73428,240.92252,-8.0,-7.811760000000049
264.0,240.92252,247.93613,16.0,7.01361
270.0,247.93613,253.10637,6.0,5.170240000000007
273.0,253.10637,255.33511,3.0,2.2287399999999877
250.0,255.33511,244.19647,-23.0,-11.13864000000001
266.0,244.19647,250.16792,16.0,5.971450000000004
273.0,250.16792,254.3948,7.0,4.226879999999994
256.0,254.3948,247.53934,-17.0,-6.855459999999994
92.0,247.53934,95.13245,-164.0,-152.40689
172.0,95.13245,158.12334,80.0,62.99089000000001
79.0,158.12334,80.98923,-93.0,-77.13411000000002
83.0,80.98923,89.13346,4.0,8.144229999999993
49.0,89.13346,63.766396,-34.0,-25.367064000000028
32.0,63.766396,67.82703,-17.0,4.060633999999993
41.0,67.82703,90.73671,9.0,22.90968000000001
61.0,90.73671,80.29841,20.0,-10.438300000000027
53.0,80.29841,76.1708,-8.0,-4.127610000000004
235.0,76.1708,225.06349,-178.0,148.89269000000002
42.0,225.06349,44.727455,167.0,179.663965
45.0,44.727455,46.012833,3.0,1.2853780000000015
49.0,46.012833,52.559605,4.0,6.546771999999997
50.0,52.559605,64.163284,1.0,11.603679000000007
55.0,64.163284,80.52037,5.0,16.357085999999995
103.0,80.52037,89.53725,48.0,9.01688
278.0,89.53725,254.0476,175.0,164.51035
298.0,254.0476,280.20135,20.0,26.153750000000002
275.0,280.20135,263.13202,-23.0,-17.06932999999998
270.0,263.13202,258.02692,-5.0,-5.105099999999993
269.0,258.02692,253.59198,-1.0,-4.434939999999983
293.0,253.59198,264.46527,24.0,10.873289999999969
281.0,264.46527,261.02277,-12.0,-3.4424999999999955
291.0,261.02277,266.4004,10.0,5.377630000000011
275.0,266.4004,258.05194,-16.0,-8.348459999999989
361.0,258.05194,280.8999,86.0,22.84796
293.0,280.8999,275.6125,-68.0,-5.287399999999991
211.0,275.6125,204.22142,-82.0,-71.39107999999999
218.0,204.22142,220.36627,7.0,16.14484999999999
208.0,220.36627,207.45123,-10.0,-12.915039999999976
214.0,207.45123,203.73233,6.0,-3.718900000000019
212.0,203.73233,200.76135,-2.0,-2.9709799999999973
197.0,200.76135,195.80058,-15.0,-4.960770000000025
366.0,195.80058,281.00964,169.0,85.20906
216.0,281.00964,205.72198,-150.0,-75.28765999999996
66.0,205.72198,69.314575,-150.0,-136.40740499999998
52.0,69.314575,,-14.0,
