outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre,is_oddball
96.0,234.46127,111.58687,,,0.0
95.0,111.58687,99.41791,-1.0,-12.16895999999997,0.0
104.0,99.41791,118.45929,9.0,19.04137999999999,0.0
97.0,118.45929,102.4266,-7.0,-16.032690000000002,0.0
95.0,102.4266,88.13432,-2.0,-14.292280000000005,0.0
119.0,88.13432,121.55545,24.0,33.42112999999999,0.0
180.0,121.55545,182.8654,61.0,61.30995,1.0
164.0,182.8654,161.79677,-16.0,-21.068629999999985,0.0
157.0,161.79677,168.65472,-7.0,6.857949999999988,0.0
178.0,168.65472,171.36191,21.0,2.707189999999997,0.0
165.0,171.36191,167.57513,-13.0,-3.7867800000000216,0.0
150.0,167.57513,148.44553,-15.0,-19.129599999999982,0.0
173.0,148.44553,166.08351,23.0,17.63798,0.0
170.0,166.08351,176.0213,-3.0,9.937790000000007,0.0
356.0,176.0213,264.20905,-174.0,88.18775,1.0
160.0,264.20905,166.76779,164.0,-97.44126,0.0
172.0,166.76779,162.8338,12.0,-3.9339899999999943,0.0
177.0,162.8338,161.35904,5.0,-1.4747600000000034,0.0
202.0,161.35904,193.39551,25.0,32.03647000000001,0.0
197.0,193.39551,205.68726,-5.0,12.291750000000008,0.0
347.0,205.68726,272.15717,150.0,66.46991,1.0
203.0,272.15717,207.19568,-144.0,-64.96149000000003,0.0
217.0,207.19568,212.78926,14.0,5.593580000000003,0.0
188.0,212.78926,182.03082,-29.0,-30.758440000000007,0.0
209.0,182.03082,213.47533,21.0,31.444510000000008,0.0
229.0,213.47533,218.5482,20.0,5.072869999999995,0.0
219.0,218.5482,207.93134,-10.0,-10.616859999999974,0.0
218.0,207.93134,196.28984,-1.0,-11.641500000000008,0.0
219.0,196.28984,201.2128,1.0,4.922959999999989,0.0
277.0,201.2128,252.70016,58.0,51.487360000000024,0.0
444.0,252.70016,271.43683,167.0,18.736669999999975,1.0
272.0,271.43683,264.42184,-172.0,-7.014990000000012,0.0
253.0,264.42184,250.31042,-19.0,-14.111419999999953,0.0
266.0,250.31042,253.62546,13.0,3.3150400000000104,0.0
297.0,253.62546,268.42487,31.0,14.799409999999995,0.0
500.0,268.42487,272.0373,-157.0,3.6124300000000176,1.0
283.0,272.0373,269.11328,143.0,-2.9240200000000414,0.0
318.0,269.11328,273.9051,35.0,4.79182000000003,0.0
314.0,273.9051,273.79236,-4.0,-0.1127400000000307,0.0
293.0,273.79236,271.31244,-21.0,-2.479919999999993,0.0
307.0,271.31244,273.31067,14.0,1.998230000000035,0.0
293.0,273.31067,271.30017,-14.0,-2.010500000000036,0.0
288.0,271.30017,270.00327,-5.0,-1.2968999999999937,0.0
303.0,270.00327,272.85416,15.0,2.8508899999999926,0.0
237.0,272.85416,235.68039,-66.0,-37.17376999999999,0.0
211.0,235.68039,208.06421,-26.0,-27.616179999999986,0.0
233.0,208.06421,207.10475,22.0,-0.9594600000000355,0.0
236.0,207.10475,233.09473,3.0,25.989980000000003,0.0
241.0,233.09473,229.17334,5.0,-3.921389999999974,0.0
412.0,229.17334,269.75613,171.0,40.58278999999999,1.0
222.0,269.75613,224.37183,170.0,-45.384299999999996,0.0
248.0,224.37183,241.84991,26.0,17.478080000000006,0.0
239.0,241.84991,234.44011,-9.0,-7.409800000000018,0.0
229.0,234.44011,224.17241,-10.0,-10.26769999999999,0.0
255.0,224.17241,233.18619,26.0,9.013779999999997,0.0
222.0,233.18619,225.87967,-33.0,-7.306519999999978,0.0
322.0,225.87967,265.99573,100.0,40.116059999999976,1.0
231.0,265.99573,234.44626,-91.0,-31.549469999999985,0.0
236.0,234.44626,225.09622,5.0,-9.350040000000035,0.0
251.0,225.09622,222.95668,15.0,-2.139540000000011,0.0
245.0,222.95668,243.53088,-6.0,20.57419999999999,0.0
260.0,243.53088,248.30707,15.0,4.776190000000014,0.0
261.0,248.30707,247.82083,1.0,-0.48624000000000933,0.0
255.0,247.82083,243.81259,-6.0,-4.008240000000001,0.0
245.0,243.81259,232.53369,-10.0,-11.278900000000021,0.0
251.0,232.53369,231.15005,6.0,-1.383640000000014,0.0
43.0,231.15005,56.282536,152.0,-174.867514,0.0
51.0,56.282536,56.02383,8.0,-0.25870600000001787,0.0
54.0,56.02383,46.793255,3.0,-9.230574999999988,0.0
54.0,46.793255,62.532745,0.0,15.739489999999996,0.0
159.0,62.532745,196.2566,105.0,133.723855,1.0
53.0,196.2566,93.07233,-106.0,-103.18426999999997,0.0
10.0,93.07233,-9.987001,-43.0,-103.05933099999999,0.0
24.0,-9.987001,127.20292,14.0,137.189921,0.0
16.0,127.20292,12.899526,-8.0,-114.30339400000003,0.0
41.0,12.899526,69.77362,25.0,56.87409399999999,0.0
14.0,69.77362,1.0188429,-27.0,-68.75477710000001,0.0
87.0,1.0188429,141.47581,73.0,140.45696709999999,1.0
0.0,141.47581,-55.664825,-87.0,162.859365,0.0
7.0,-55.664825,58.516495,7.0,114.18132,0.0
10.0,58.516495,48.43123,3.0,-10.085264999999993,0.0
3.0,48.43123,32.044502,-7.0,-16.386728000000005,0.0
13.0,32.044502,105.62025,10.0,73.575748,0.0
-8.0,105.62025,-59.928833,-21.0,-165.549083,0.0
13.0,-59.928833,73.63327,21.0,133.56210299999998,0.0
11.0,73.63327,65.9435,-2.0,-7.68977000000001,0.0
2.0,65.9435,-8.49924,-9.0,-74.44274000000001,0.0
298.0,-8.49924,249.71667,-64.0,-101.78408999999999,0.0
296.0,249.71667,273.06818,-2.0,23.35150999999999,0.0
292.0,273.06818,271.1294,-4.0,-1.9387800000000084,0.0
310.0,271.1294,273.53537,18.0,2.405970000000025,0.0
465.0,273.53537,273.15234,155.0,-0.3830300000000193,1.0
296.0,273.15234,272.1541,-169.0,-0.9982399999999529,0.0
281.0,272.1541,267.5334,-15.0,-4.620700000000056,0.0
294.0,267.5334,271.31522,13.0,3.781820000000039,0.0
312.0,271.31522,273.62463,18.0,2.309410000000014,0.0
306.0,273.62463,273.2518,-6.0,-0.37283000000002176,0.0
303.0,273.2518,272.94742,-3.0,-0.30437999999998056,0.0
292.0,272.94742,271.07758,-11.0,-1.8698400000000106,0.0
284.0,271.07758,268.6693,-8.0,-2.4082799999999907,0.0
432.0,268.6693,273.4956,148.0,4.826300000000003,1.0
287.0,273.4956,269.9848,-145.0,-3.5108000000000175,0.0
296.0,269.9848,271.91467,9.0,1.929869999999994,0.0
294.0,271.91467,271.48038,-2.0,-0.43428999999997586,0.0
262.0,271.48038,256.30966,-32.0,-15.170720000000017,0.0
290.0,256.30966,268.30392,28.0,11.994259999999997,0.0
390.0,268.30392,273.75974,100.0,5.455820000000017,1.0
247.0,273.75974,244.3548,-143.0,-29.40494000000001,0.0
251.0,244.3548,242.60616,4.0,-1.748640000000023,0.0
34.0,242.60616,44.451504,143.0,161.845344,0.0
48.0,44.451504,50.079285,14.0,5.627780999999999,0.0
61.0,50.079285,64.16855,13.0,14.089264999999997,0.0
44.0,64.16855,37.474556,-17.0,-26.693993999999975,0.0
17.0,37.474556,-6.793656,-27.0,-44.268212000000005,0.0
32.0,-6.793656,79.44682,15.0,86.240476,0.0
39.0,79.44682,168.10072,7.0,88.6539,0.0
45.0,168.10072,35.81531,6.0,-132.28541,0.0
43.0,35.81531,80.8517,-2.0,45.03639,0.0
48.0,80.8517,39.16297,5.0,-41.688729999999964,0.0
200.0,39.16297,171.62903,152.0,132.46606,1.0
52.0,171.62903,111.654526,-148.0,-59.974504000000024,0.0
158.0,111.654526,166.17978,106.0,54.52525399999999,0.0
182.0,166.17978,168.39655,24.0,2.216769999999997,0.0
186.0,168.39655,178.76283,4.0,10.366280000000017,0.0
244.0,178.76283,225.34799,58.0,46.58516,0.0
249.0,225.34799,250.15692,5.0,24.808930000000004,0.0
244.0,250.15692,241.83838,-5.0,-8.318539999999985,0.0
239.0,241.83838,225.91602,-5.0,-15.922360000000026,0.0
243.0,225.91602,219.14304,4.0,-6.772979999999961,0.0
349.0,219.14304,270.27676,106.0,51.13372000000001,1.0
253.0,270.27676,251.5086,-96.0,-18.768160000000023,0.0
245.0,251.5086,241.65381,-8.0,-9.85478999999998,0.0
251.0,241.65381,237.61574,6.0,-4.038070000000005,0.0
250.0,237.61574,236.23433,-1.0,-1.3814099999999598,0.0
409.0,236.23433,269.37805,159.0,33.14371999999997,1.0
253.0,269.37805,252.47534,-156.0,-16.902709999999956,0.0
187.0,252.47534,190.46187,-66.0,-62.013469999999984,0.0
184.0,190.46187,188.46158,-3.0,-2.000290000000007,0.0
179.0,188.46158,180.38794,-5.0,-8.073640000000012,0.0
185.0,180.38794,188.26614,6.0,7.878200000000021,0.0
186.0,188.26614,183.90454,1.0,-4.36160000000001,0.0
178.0,183.90454,180.73256,-8.0,-3.1719799999999623,0.0
172.0,180.73256,173.1652,-6.0,-7.567360000000008,0.0
186.0,173.1652,181.45587,14.0,8.290670000000006,0.0
197.0,181.45587,190.47968,11.0,9.023809999999997,0.0
470.0,190.47968,265.7517,-87.0,75.27202000000003,1.0
336.0,265.7517,274.1832,-134.0,8.431499999999971,0.0
307.0,274.1832,273.35864,-29.0,-0.8245600000000195,0.0
314.0,273.35864,273.7881,7.0,0.42946000000000595,0.0
300.0,273.7881,272.5741,-14.0,-1.2139999999999986,0.0
401.0,272.5741,274.00488,101.0,1.430780000000027,1.0
327.0,274.00488,274.18863,-74.0,0.183749999999975,0.0
343.0,274.18863,274.30225,16.0,0.11362000000002581,0.0
338.0,274.30225,274.2877,-5.0,-0.014550000000042473,0.0
320.0,274.2877,274.02838,-18.0,-0.2593199999999456,0.0
323.0,274.02838,274.10007,3.0,0.0716899999999896,0.0
308.0,274.10007,273.42798,-15.0,-0.6720900000000256,0.0
312.0,273.42798,273.6843,4.0,0.25632000000001653,0.0
137.0,273.6843,137.35449,-175.0,-136.32981,0.0
137.0,137.35449,129.57822,0.0,-7.776270000000011,0.0
142.0,129.57822,152.0131,5.0,22.43488000000002,0.0
266.0,152.0131,243.72145,124.0,91.70835,1.0
151.0,243.72145,155.83466,-115.0,-87.88679000000002,0.0
120.0,155.83466,131.83464,-31.0,-24.000020000000006,0.0
157.0,131.83464,167.62314,37.0,35.7885,0.0
145.0,167.62314,141.76205,-12.0,-25.86108999999999,0.0
153.0,141.76205,161.52588,8.0,19.763830000000013,0.0
137.0,161.52588,140.78267,-16.0,-20.743209999999976,0.0
284.0,140.78267,240.21788,147.0,99.43521000000001,1.0
223.0,240.21788,237.38826,-61.0,-2.829619999999977,0.0
226.0,237.38826,220.6044,3.0,-16.783860000000004,0.0
235.0,220.6044,220.48026,9.0,-0.12414000000001124,0.0
228.0,220.48026,228.004,-7.0,7.523740000000004,0.0
216.0,228.004,205.1486,-12.0,-22.85540000000003,0.0
232.0,205.1486,205.85432,16.0,0.7057200000000137,0.0
236.0,205.85432,224.28162,4.0,18.427300000000002,0.0
232.0,224.28162,215.79276,-4.0,-8.488860000000045,0.0
221.0,215.79276,201.50705,-11.0,-14.285709999999995,0.0
315.0,201.50705,260.8756,94.0,59.36855000000003,1.0
49.0,260.8756,65.542496,94.0,164.66689599999998,0.0
64.0,65.542496,71.79054,15.0,6.248043999999993,0.0
68.0,71.79054,68.93146,4.0,-2.859080000000006,0.0
67.0,68.93146,84.49533,-1.0,15.563869999999994,0.0
51.0,84.49533,80.8156,-16.0,-3.6797300000000064,0.0
67.0,80.8156,81.79959,16.0,0.9839899999999915,0.0
48.0,81.79959,76.66815,-19.0,-5.131439999999998,0.0
