outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre
366.0,220.0334,293.7027,,
352.0,293.7027,311.089,-14.0,17.386300000000006
354.0,311.089,311.45355,2.0,0.36455000000000837
363.0,311.45355,310.79294,9.0,-0.6606100000000197
354.0,310.79294,311.47726,-9.0,0.6843200000000138
346.0,311.47726,311.88727,-8.0,0.41000999999999976
352.0,311.88727,311.56592,6.0,-0.32134999999999536
348.0,311.56592,311.7939,-4.0,0.2279800000000023
359.0,311.7939,311.09366,11.0,-0.700240000000008
359.0,311.09366,311.12286,0.0,0.029200000000003
365.0,311.12286,310.641,6.0,-0.4818599999999833
301.0,310.641,310.0467,-64.0,-0.5943000000000325
286.0,310.0467,306.06436,-15.0,-3.982339999999965
283.0,306.06436,305.12146,-3.0,-0.9429000000000087
287.0,305.12146,307.49725,4.0,2.375789999999995
297.0,307.49725,310.24783,10.0,2.7505800000000136
297.0,310.24783,310.0736,0.0,-0.17423000000002276
302.0,310.0736,310.91782,5.0,0.8442200000000071
294.0,310.91782,309.26898,-8.0,-1.648840000000007
303.0,309.26898,311.0462,9.0,1.7772199999999998
299.0,311.0462,310.42053,-4.0,-0.6256700000000137
297.0,310.42053,310.01956,-2.0,-0.4009699999999725
288.0,310.01956,307.2288,-9.0,-2.7907600000000343
164.0,307.2288,182.96738,-124.0,-124.26141999999999
162.0,182.96738,152.80798,-2.0,-30.159400000000005
178.0,152.80798,170.42273,16.0,17.614750000000015
155.0,170.42273,178.81091,-23.0,8.388180000000006
246.0,178.81091,173.98714,91.0,-4.823769999999968
241.0,173.98714,194.60544,-5.0,20.618299999999977
253.0,194.60544,206.52847,12.0,11.923030000000011
248.0,206.52847,223.38364,-5.0,16.855170000000015
242.0,223.38364,233.99268,-6.0,10.609039999999993
267.0,233.99268,247.4381,25.0,13.445419999999984
230.0,247.4381,252.95337,-37.0,5.515270000000015
252.0,252.95337,269.23688,22.0,16.28350999999998
265.0,269.23688,288.7612,13.0,19.52431999999999
64.0,288.7612,161.00613,159.0,-127.75506999999996
60.0,161.00613,86.65596,-4.0,-74.35017000000005
65.0,86.65596,87.689835,5.0,1.033875000000009
153.0,87.689835,88.531006,88.0,0.8411710000000028
148.0,88.531006,108.0834,-5.0,19.552393999999993
154.0,108.0834,135.64334,6.0,27.559939999999997
158.0,135.64334,159.84984,4.0,24.206500000000005
151.0,159.84984,178.86606,-7.0,19.016220000000004
156.0,178.86606,177.44495,5.0,-1.4211099999999988
156.0,177.44495,179.08324,0.0,1.6382899999999836
150.0,179.08324,176.74294,-6.0,-2.3402999999999565
146.0,176.74294,173.71445,-4.0,-3.0284900000000334
248.0,173.71445,166.95749,102.0,-6.756959999999992
237.0,166.95749,190.9881,-11.0,24.030609999999996
260.0,190.9881,199.85376,23.0,8.865659999999991
278.0,199.85376,220.32907,18.0,20.475310000000007
272.0,220.32907,253.62242,-6.0,33.293350000000004
244.0,253.62242,270.3756,-28.0,16.753180000000015
268.0,270.3756,290.06042,24.0,19.684820000000002
268.0,290.06042,305.43518,0.0,15.37475999999998
262.0,305.43518,292.7469,-6.0,-12.68828000000002
254.0,292.7469,280.02707,-8.0,-12.719830000000002
267.0,280.02707,298.8354,13.0,18.808330000000012
262.0,298.8354,294.70953,-5.0,-4.12587000000002
278.0,294.70953,304.90778,16.0,10.19825000000003
249.0,304.90778,271.97943,-29.0,-32.92835000000002
267.0,271.97943,292.39526,18.0,20.415830000000028
90.0,292.39526,161.57108,-177.0,-130.82418
79.0,161.57108,87.414894,-11.0,-74.15618599999999
79.0,87.414894,92.37019,0.0,4.95529599999999
87.0,92.37019,97.59919,8.0,5.228999999999999
45.0,97.59919,92.08214,-42.0,-5.517049999999983
51.0,92.08214,81.55224,6.0,-10.529899999999998
46.0,81.55224,84.39131,-5.0,2.8390700000000066
36.0,84.39131,80.52176,-10.0,-3.869550000000004
41.0,80.52176,76.89821,5.0,-3.623550000000023
25.0,76.89821,79.64234,-16.0,2.7441299999999984
32.0,79.64234,74.6054,7.0,-5.0369400000000155
50.0,74.6054,71.21082,18.0,-3.394580000000019
48.0,71.21082,72.934784,-2.0,1.7239639999999952
43.0,72.934784,74.62627,-5.0,1.6914860000000118
34.0,74.62627,77.93546,-9.0,3.309190000000001
63.0,77.93546,73.16016,29.0,-4.775300000000016
289.0,73.16016,116.97252,-134.0,43.81236
289.0,116.97252,210.03348,0.0,93.06096
259.0,210.03348,298.0259,-30.0,87.99241999999998
267.0,298.0259,294.5711,8.0,-3.4547999999999774
274.0,294.5711,303.9477,7.0,9.376599999999996
259.0,303.9477,285.44727,-15.0,-18.500429999999994
299.0,285.44727,306.41223,40.0,20.96496000000002
286.0,306.41223,307.61252,-13.0,1.2002899999999954
287.0,307.61252,306.6427,1.0,-0.969820000000027
285.0,306.6427,306.27173,-2.0,-0.3709699999999998
298.0,306.27173,310.38626,13.0,4.114530000000002
207.0,310.38626,216.52798,-91.0,-93.85827999999998
219.0,216.52798,221.69879,12.0,5.170809999999989
219.0,221.69879,205.12366,0.0,-16.57513
208.0,205.12366,206.35,-11.0,1.2263399999999933
210.0,206.35,209.70197,2.0,3.3519699999999943
223.0,209.70197,215.66432,13.0,5.962350000000015
190.0,215.66432,203.56845,-33.0,-12.09586999999999
222.0,203.56845,209.42241,32.0,5.853960000000001
66.0,209.42241,147.74753,-156.0,-61.67488000000003
70.0,147.74753,,4.0,
