outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre,is_oddball
329.0,254.06195,312.25574,,,-1.0
342.0,312.25574,314.8092,13.0,2.5534599999999728,-1.0
341.0,314.8092,314.8651,-1.0,0.055900000000008276,-1.0
340.0,314.8651,314.87665,-1.0,0.011549999999999727,-1.0
320.0,314.87665,314.75146,-20.0,-0.12518999999997504,-1.0
318.0,314.75146,314.6817,-2.0,-0.06976000000003069,-1.0
318.0,314.6817,314.68298,0.0,0.0012800000000083855,-1.0
320.0,314.68298,314.75534,2.0,0.07236000000000331,-1.0
321.0,314.75534,314.78427,1.0,0.028930000000002565,-1.0
329.0,314.78427,314.91125,8.0,0.1269800000000032,-1.0
330.0,314.91125,314.91534,1.0,0.004090000000019245,-1.0
324.0,314.91534,314.85123,-6.0,-0.06411000000002787,-1.0
48.0,314.85123,177.05229,84.0,-137.79894,-1.0
52.0,177.05229,107.19414,4.0,-69.85815000000002,-1.0
51.0,107.19414,82.464165,-1.0,-24.729975000000024,-1.0
53.0,82.464165,61.111336,2.0,-21.352828999999986,-1.0
64.0,61.111336,56.362698,11.0,-4.748638000000028,-1.0
38.0,56.362698,50.083473,-26.0,-6.279224999999997,-1.0
38.0,50.083473,44.422462,0.0,-5.661010999999974,-1.0
186.0,44.422462,60.78311,148.0,16.360647999999998,-1.0
199.0,60.78311,74.732925,13.0,13.949814999999994,-1.0
184.0,74.732925,138.72427,-15.0,63.991344999999995,-1.0
190.0,138.72427,170.35068,6.0,31.62641000000002,-1.0
172.0,170.35068,187.01465,-18.0,16.663969999999978,-1.0
100.0,187.01465,144.09987,-72.0,-42.91477999999995,-1.0
65.0,144.09987,91.44273,-35.0,-52.65714000000003,-1.0
88.0,91.44273,74.209015,23.0,-17.233715000000018,-1.0
84.0,74.209015,82.576935,-4.0,8.367920000000012,-1.0
78.0,82.576935,82.68024,-6.0,0.10330499999999176,-1.0
81.0,82.68024,86.25986,3.0,3.5796200000000056,-1.0
77.0,86.25986,109.90883,-4.0,23.64896999999999,-1.0
86.0,109.90883,123.021706,9.0,13.112876,-1.0
61.0,123.021706,122.17226,-25.0,-0.8494460000000004,-1.0
72.0,122.17226,108.79204,11.0,-13.380220000000008,-1.0
76.0,108.79204,112.01585,4.0,3.2238100000000003,-1.0
226.0,112.01585,100.794495,150.0,-11.221355000000017,-1.0
221.0,100.794495,109.3542,-5.0,8.559705000000008,-1.0
217.0,109.3542,137.5369,-4.0,28.182699999999997,-1.0
231.0,137.5369,152.14464,14.0,14.607740000000007,-1.0
212.0,152.14464,162.35187,-19.0,10.207229999999981,-1.0
229.0,162.35187,168.58264,17.0,6.230770000000007,-1.0
225.0,168.58264,177.11848,-4.0,8.535840000000007,-1.0
222.0,177.11848,186.80927,-3.0,9.690789999999993,-1.0
233.0,186.80927,196.5903,11.0,9.781030000000015,-1.0
221.0,196.5903,209.52036,-12.0,12.930059999999997,-1.0
46.0,209.52036,142.27432,-175.0,-67.24604,-1.0
59.0,142.27432,87.248184,13.0,-55.02613600000001,-1.0
51.0,87.248184,61.552883,-8.0,-25.695300999999972,-1.0
