outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre
359.0,220.0334,295.37683,,
336.0,295.37683,311.79022,-23.0,16.413389999999993
333.0,311.79022,312.22656,-3.0,0.4363400000000297
326.0,312.22656,312.2694,-7.0,0.042840000000012424
300.0,312.2694,310.50586,-26.0,-1.7635400000000345
326.0,310.50586,312.17828,26.0,1.6724199999999882
326.0,312.17828,312.26855,0.0,0.09027000000003227
381.0,312.26855,309.19812,55.0,-3.0704299999999876
338.0,309.19812,312.12793,-43.0,2.929809999999975
319.0,312.12793,312.15015,-19.0,0.022220000000004347
531.0,312.15015,294.41864,-148.0,-17.731510000000014
340.0,294.41864,311.75073,169.0,17.332089999999994
357.0,311.75073,311.20282,17.0,-0.5479100000000017
15.0,311.20282,160.54309,18.0,-150.65972999999997
6.0,160.54309,89.44441,-9.0,-71.09868
346.0,89.44441,168.10397,-20.0,78.65956
323.0,168.10397,279.8676,-23.0,111.76362999999998
320.0,279.8676,311.79156,-3.0,31.923960000000022
320.0,311.79156,312.1572,0.0,0.36563999999998487
327.0,312.1572,312.26672,7.0,0.10952000000003181
317.0,312.26672,312.09848,-10.0,-0.1682400000000257
335.0,312.09848,312.185,18.0,0.08652000000000726
326.0,312.185,312.26825,-9.0,0.08325000000002092
326.0,312.26825,312.26993,0.0,0.0016799999999648207
313.0,312.26993,311.91855,-13.0,-0.351380000000006
453.0,311.91855,306.5089,140.0,-5.409649999999999
299.0,306.5089,307.73938,-154.0,1.23048
300.0,307.73938,310.30884,1.0,2.5694599999999923
277.0,310.30884,300.23822,-23.0,-10.070619999999963
285.0,300.23822,306.32138,8.0,6.083159999999964
299.0,306.32138,310.8668,14.0,4.5454200000000355
290.0,310.8668,308.01483,-9.0,-2.8519699999999943
308.0,308.01483,311.52478,18.0,3.5099500000000035
299.0,311.52478,310.40192,-9.0,-1.1228600000000029
278.0,310.40192,300.99515,-21.0,-9.406769999999995
267.0,300.99515,292.51715,-11.0,-8.478000000000009
443.0,292.51715,299.62537,176.0,7.10821999999996
277.0,299.62537,292.76416,-166.0,-6.861209999999971
247.0,292.76416,263.90097,-30.0,-28.86319000000003
243.0,263.90097,262.20264,-4.0,-1.6983299999999986
239.0,262.20264,239.24069,-4.0,-22.96195
204.0,239.24069,222.35938,-35.0,-16.881309999999985
212.0,222.35938,222.79645,8.0,0.4370700000000056
176.0,222.79645,191.0936,-36.0,-31.702850000000012
187.0,191.0936,190.17397,11.0,-0.9196299999999837
188.0,190.17397,191.84651,1.0,1.672539999999998
180.0,191.84651,194.95357,-8.0,3.1070600000000184
176.0,194.95357,190.34586,-4.0,-4.607709999999997
354.0,190.34586,174.21597,178.0,-16.12988999999999
158.0,174.21597,162.05124,164.0,-12.164729999999963
177.0,162.05124,162.23831,19.0,0.18707000000000562
201.0,162.23831,175.2953,24.0,13.056989999999985
216.0,175.2953,182.2073,15.0,6.912000000000006
199.0,182.2073,194.68921,-17.0,12.48191
199.0,194.68921,201.28943,0.0,6.600220000000007
205.0,201.28943,204.60197,6.0,3.3125399999999843
194.0,204.60197,203.72537,-11.0,-0.8765999999999963
367.0,203.72537,198.69455,173.0,-5.030820000000006
171.0,198.69455,179.71703,164.0,-18.977520000000027
169.0,179.71703,157.26843,-2.0,-22.4486
178.0,157.26843,171.74007,9.0,14.471640000000008
184.0,171.74007,183.53683,6.0,11.796760000000006
212.0,183.53683,191.50223,28.0,7.965399999999988
195.0,191.50223,198.08905,-17.0,6.586819999999989
203.0,198.08905,202.4161,8.0,4.327050000000014
205.0,202.4161,205.01672,2.0,2.600619999999992
216.0,205.01672,209.06935,11.0,4.0526299999999935
224.0,209.06935,215.0299,8.0,5.960550000000012
257.0,215.0299,221.78253,33.0,6.752630000000011
244.0,221.78253,232.31606,-13.0,10.533529999999985
269.0,232.31606,245.58563,25.0,13.269570000000016
203.0,245.58563,221.93976,-66.0,-23.645870000000002
239.0,221.93976,223.45169,36.0,1.5119300000000067
220.0,223.45169,231.92714,-19.0,8.475449999999995
238.0,231.92714,236.88756,18.0,4.960419999999999
228.0,236.88756,238.52774,-10.0,1.6401799999999866
207.0,238.52774,226.38794,-21.0,-12.139800000000037
227.0,226.38794,228.87044,20.0,2.482500000000016
233.0,228.87044,235.4439,6.0,6.573460000000011
218.0,235.4439,231.59708,-15.0,-3.8468199999999797
203.0,231.59708,222.07684,-15.0,-9.520240000000001
203.0,222.07684,220.62878,0.0,-1.4480599999999981
204.0,220.62878,221.04616,1.0,0.4173799999999801
212.0,221.04616,223.55043,8.0,2.5042700000000195
203.0,223.55043,220.3464,-9.0,-3.204029999999989
376.0,220.3464,241.4288,173.0,21.082400000000007
214.0,241.4288,257.11957,-162.0,15.690770000000015
223.0,257.11957,237.10878,9.0,-20.010790000000043
235.0,237.10878,238.74585,12.0,1.6370699999999943
232.0,238.74585,232.94377,-3.0,-5.8020799999999895
237.0,232.94377,241.74518,5.0,8.801410000000004
263.0,241.74518,259.98486,26.0,18.23968000000002
230.0,259.98486,262.33728,-33.0,2.352419999999995
235.0,262.33728,269.8468,5.0,7.509519999999952
356.0,269.8468,302.5384,121.0,32.69160000000005
226.0,302.5384,240.93336,-130.0,-61.60504000000003
207.0,240.93336,219.59694,-19.0,-21.336419999999976
198.0,219.59694,190.69319,-9.0,-28.903750000000002
205.0,190.69319,187.54707,7.0,-3.1461199999999963
192.0,187.54707,,-13.0,
