outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre
352.0,220.0334,296.92526,,
338.0,296.92526,311.8092,-14.0,14.883939999999996
357.0,311.8092,311.19067,19.0,-0.6185299999999643
342.0,311.19067,312.0426,-15.0,0.8519299999999816
375.0,312.0426,309.7257,33.0,-2.3168999999999755
357.0,309.7257,311.3086,-18.0,1.582899999999995
362.0,311.3086,310.87906,5.0,-0.42954000000003134
382.0,310.87906,309.21674,20.0,-1.6623199999999656
426.0,309.21674,307.36594,44.0,-1.8507999999999925
354.0,307.36594,311.52643,-72.0,4.160489999999982
359.0,311.52643,311.09927,5.0,-0.42716000000001486
302.0,311.09927,310.41614,-57.0,-0.6831300000000056
285.0,310.41614,305.5606,-17.0,-4.855539999999962
295.0,305.5606,309.63733,10.0,4.076729999999998
451.0,309.63733,306.23312,156.0,-3.4042100000000346
298.0,306.23312,307.32605,-153.0,1.092930000000024
272.0,307.32605,294.48984,-26.0,-12.836209999999994
286.0,294.48984,306.11978,14.0,11.629939999999976
303.0,306.11978,311.53143,17.0,5.411650000000009
313.0,311.53143,311.92773,10.0,0.39629999999999654
297.0,311.92773,309.9528,-16.0,-1.974929999999972
281.0,309.9528,303.32385,-16.0,-6.628950000000032
265.0,303.32385,289.64383,-16.0,-13.680020000000013
151.0,289.64383,175.24496,-114.0,-114.39886999999999
168.0,175.24496,155.42886,17.0,-19.816100000000006
166.0,155.42886,171.29605,-2.0,15.867190000000022
288.0,171.29605,158.33853,122.0,-12.957520000000045
256.0,158.33853,200.26407,-32.0,41.92554000000001
272.0,200.26407,219.03568,16.0,18.77161000000001
266.0,219.03568,249.06201,-6.0,30.026329999999973
257.0,249.06201,271.09354,-9.0,22.031530000000032
262.0,271.09354,287.4112,5.0,16.31765999999999
248.0,287.4112,291.34586,-14.0,3.934660000000008
241.0,291.34586,278.56653,-7.0,-12.779330000000016
249.0,278.56653,288.57874,8.0,10.012209999999982
251.0,288.57874,286.51843,2.0,-2.0603099999999586
80.0,286.51843,160.39705,-171.0,-126.12138000000002
161.0,160.39705,151.8536,81.0,-8.543450000000007
63.0,151.8536,124.30733,-98.0,-27.546269999999993
131.0,124.30733,107.03322,68.0,-17.274110000000007
137.0,107.03322,134.83011,6.0,27.79688999999999
147.0,134.83011,146.49696,10.0,11.66685000000001
143.0,146.49696,159.01422,-4.0,12.517259999999993
143.0,159.01422,173.92004,0.0,14.905820000000006
133.0,173.92004,164.59486,-10.0,-9.325179999999989
145.0,164.59486,166.48178,12.0,1.886919999999975
269.0,166.48178,160.73856,124.0,-5.743219999999951
138.0,160.73856,146.07823,-131.0,-14.660330000000044
262.0,146.07823,142.31917,124.0,-3.7590599999999768
269.0,142.31917,198.33185,7.0,56.01267999999999
258.0,198.33185,234.20633,-11.0,35.874480000000005
259.0,234.20633,257.63055,1.0,23.42422000000002
387.0,257.63055,290.37436,128.0,32.743809999999996
262.0,290.37436,282.1726,-125.0,-8.201760000000036
256.0,282.1726,271.51978,-6.0,-10.652819999999963
248.0,271.51978,272.68152,-8.0,1.161739999999952
264.0,272.68152,284.3872,16.0,11.70568000000003
270.0,284.3872,294.31705,6.0,9.929849999999988
273.0,294.31705,306.5235,3.0,12.206450000000018
250.0,306.5235,273.16803,-23.0,-33.355470000000025
266.0,273.16803,292.64465,16.0,19.476620000000025
273.0,292.64465,304.70386,7.0,12.059210000000007
256.0,304.70386,278.61774,-17.0,-26.086119999999994
92.0,278.61774,161.00113,-164.0,-117.61661000000004
172.0,161.00113,156.57962,80.0,-4.421510000000012
79.0,156.57962,129.6025,-93.0,-26.977120000000014
83.0,129.6025,82.47874,4.0,-47.123760000000004
49.0,82.47874,82.26862,-34.0,-0.21012000000001763
32.0,82.26862,76.18036,-17.0,-6.088259999999991
41.0,76.18036,72.639244,9.0,-3.541115999999988
61.0,72.639244,69.09522,20.0,-3.544024000000036
53.0,69.09522,75.52779,-8.0,6.432569999999998
235.0,75.52779,81.75815,-178.0,6.230360000000005
42.0,81.75815,48.251682,167.0,-33.506467999999984
45.0,48.251682,44.008812,3.0,-4.242869999999982
49.0,44.008812,45.41678,4.0,1.4079680000000039
50.0,45.41678,44.36408,1.0,-1.0527000000000157
55.0,44.36408,48.944637,5.0,4.580556999999999
103.0,48.944637,67.19159,48.0,18.246953000000005
278.0,67.19159,124.87174,175.0,57.68015
298.0,124.87174,255.62572,20.0,130.75398
275.0,255.62572,309.85333,-23.0,54.22761000000003
270.0,309.85333,291.82614,-5.0,-18.02719000000002
269.0,291.82614,295.61176,-1.0,3.7856199999999944
293.0,295.61176,310.54114,24.0,14.92937999999998
281.0,310.54114,303.78918,-12.0,-6.751959999999997
291.0,303.78918,308.55597,10.0,4.7667900000000145
275.0,308.55597,299.64795,-16.0,-8.908020000000022
361.0,299.64795,308.31342,86.0,8.665470000000028
293.0,308.31342,306.18594,-68.0,-2.1274799999999914
211.0,306.18594,221.25012,-82.0,-84.93582000000004
218.0,221.25012,223.3153,7.0,2.065179999999998
208.0,223.3153,195.88031,-10.0,-27.43498999999997
214.0,195.88031,194.0654,6.0,-1.8149099999999976
212.0,194.0654,201.03813,-2.0,6.972729999999984
197.0,201.03813,204.60744,-15.0,3.5693100000000015
366.0,204.60744,199.01814,169.0,-5.58929999999998
216.0,199.01814,240.9626,-150.0,41.94446000000002
66.0,240.9626,154.17589,-150.0,-86.78670999999997
52.0,154.17589,,-14.0,
