outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre,is_oddball
96.0,254.06195,188.68883,,,0.0
95.0,188.68883,113.33739,-1.0,-75.35144000000003,0.0
104.0,113.33739,104.15871,9.0,-9.178679999999986,0.0
97.0,104.15871,116.89255,-7.0,12.73384,0.0
95.0,116.89255,114.72444,-2.0,-2.168110000000013,0.0
119.0,114.72444,105.37683,24.0,-9.347610000000032,0.0
180.0,105.37683,125.15315,61.0,19.77632,1.0
164.0,125.15315,142.18771,-16.0,17.034560000000013,0.0
157.0,142.18771,162.05923,-7.0,19.871520000000004,0.0
178.0,162.05923,184.16566,21.0,22.10642999999999,0.0
165.0,184.16566,189.8336,-13.0,5.667939999999987,0.0
150.0,189.8336,180.60025,-15.0,-9.233349999999973,0.0
173.0,180.60025,184.54091,23.0,3.9406600000000083,0.0
170.0,184.54091,191.4674,-3.0,6.926490000000001,0.0
356.0,191.4674,173.46082,-174.0,-18.006579999999985,1.0
160.0,173.46082,160.88483,164.0,-12.575990000000047,0.0
172.0,160.88483,163.75575,12.0,2.8709200000000124,0.0
177.0,163.75575,174.8218,5.0,11.06604999999999,0.0
202.0,174.8218,183.54636,25.0,8.724559999999997,0.0
197.0,183.54636,195.18634,-5.0,11.639980000000008,0.0
347.0,195.18634,182.72336,150.0,-12.462980000000016,1.0
203.0,182.72336,194.62103,-144.0,11.897669999999977,0.0
217.0,194.62103,206.24774,14.0,11.626710000000003,0.0
188.0,206.24774,199.3468,-29.0,-6.900939999999991,0.0
209.0,199.3468,205.9075,21.0,6.560699999999997,0.0
229.0,205.9075,215.23972,20.0,9.332220000000007,0.0
219.0,215.23972,222.41235,-10.0,7.172629999999998,0.0
218.0,222.41235,226.74469,-1.0,4.332339999999988,0.0
219.0,226.74469,230.97392,1.0,4.229230000000001,0.0
277.0,230.97392,246.54376,58.0,15.56984,0.0
444.0,246.54376,259.1029,167.0,12.559139999999985,1.0
272.0,259.1029,297.48187,-172.0,38.37897000000004,0.0
253.0,297.48187,281.7481,-19.0,-15.733769999999993,0.0
266.0,281.7481,287.59644,13.0,5.848339999999951,0.0
297.0,287.59644,309.32422,31.0,21.727780000000052,0.0
500.0,309.32422,302.7227,-157.0,-6.6015200000000505,1.0
283.0,302.7227,305.8814,143.0,3.1587000000000103,0.0
318.0,305.8814,314.68973,35.0,8.808330000000012,0.0
314.0,314.68973,314.47513,-4.0,-0.21460000000001855,0.0
293.0,314.47513,310.68814,-21.0,-3.786990000000003,0.0
307.0,310.68814,314.00677,14.0,3.3186300000000415,0.0
293.0,314.00677,310.75592,-14.0,-3.250850000000014,0.0
288.0,310.75592,309.28052,-5.0,-1.4753999999999792,0.0
303.0,309.28052,313.54294,15.0,4.262419999999963,0.0
237.0,313.54294,262.06238,-66.0,-51.48055999999997,0.0
211.0,262.06238,227.33865,-26.0,-34.723730000000046,0.0
233.0,227.33865,234.05386,22.0,6.715209999999985,0.0
236.0,234.05386,253.84334,3.0,19.789480000000026,0.0
241.0,253.84334,259.4591,5.0,5.615759999999966,0.0
412.0,259.4591,282.30542,171.0,22.84632000000005,1.0
222.0,282.30542,249.44162,170.0,-32.863800000000026,0.0
248.0,249.44162,254.82416,26.0,5.382540000000006,0.0
239.0,254.82416,251.18777,-9.0,-3.636390000000006,0.0
229.0,251.18777,247.63284,-10.0,-3.554930000000013,0.0
255.0,247.63284,262.46985,26.0,14.83701000000002,0.0
222.0,262.46985,241.4408,-33.0,-21.029049999999984,0.0
322.0,241.4408,266.21246,100.0,24.771660000000026,1.0
231.0,266.21246,238.99214,-91.0,-27.220320000000015,0.0
236.0,238.99214,244.64157,5.0,5.649429999999995,0.0
251.0,244.64157,260.65295,15.0,16.011379999999974,0.0
245.0,260.65295,262.67075,-6.0,2.0178000000000225,0.0
260.0,262.67075,270.11826,15.0,7.4475100000000225,0.0
261.0,270.11826,273.8516,1.0,3.7333399999999983,0.0
255.0,273.8516,272.11804,-6.0,-1.7335600000000113,0.0
245.0,272.11804,263.34055,-10.0,-8.77749,0.0
251.0,263.34055,267.21683,6.0,3.8762800000000084,0.0
43.0,267.21683,169.28201,152.0,-97.93482,0.0
51.0,169.28201,102.04764,8.0,-67.23437000000001,0.0
54.0,102.04764,79.99472,3.0,-22.052919999999972,0.0
54.0,79.99472,62.89774,0.0,-17.09698000000003,0.0
159.0,62.89774,64.61521,105.0,1.7174700000000058,1.0
53.0,64.61521,40.859554,-106.0,-23.755655999999988,0.0
10.0,40.859554,43.007668,-43.0,2.1481139999999996,0.0
24.0,43.007668,39.724155,14.0,-3.283512999999971,0.0
16.0,39.724155,39.0428,-8.0,-0.6813549999999964,0.0
41.0,39.0428,36.141083,25.0,-2.901717000000019,0.0
14.0,36.141083,33.10322,-27.0,-3.0378630000000157,0.0
87.0,33.10322,56.86637,73.0,23.763150000000003,1.0
0.0,56.86637,33.780724,-87.0,-23.085645999999997,0.0
7.0,33.780724,36.71315,7.0,2.9324259999999995,0.0
10.0,36.71315,37.2533,3.0,0.5401500000000041,0.0
3.0,37.2533,43.012566,-7.0,5.759265999999997,0.0
13.0,43.012566,48.151024,10.0,5.138458,0.0
-8.0,48.151024,76.96648,-21.0,28.815456000000005,0.0
13.0,76.96648,97.26181,21.0,20.295329999999993,0.0
11.0,97.26181,97.31622,-2.0,0.05441000000000429,0.0
2.0,97.31622,99.18822,-9.0,1.8719999999999999,0.0
298.0,99.18822,121.980194,-64.0,22.791973999999996,0.0
296.0,121.980194,213.25876,-2.0,91.278566,0.0
292.0,213.25876,307.95023,-4.0,94.69146999999998,0.0
310.0,307.95023,314.2694,18.0,6.319170000000042,0.0
465.0,314.2694,309.50784,155.0,-4.761560000000031,1.0
296.0,309.50784,311.89685,-169.0,2.3890099999999848,0.0
281.0,311.89685,305.5373,-15.0,-6.359549999999956,0.0
294.0,305.5373,311.76752,13.0,6.230219999999974,0.0
312.0,311.76752,314.4136,18.0,2.6460799999999836,0.0
306.0,314.4136,313.7187,-6.0,-0.6948999999999614,0.0
303.0,313.7187,313.30676,-3.0,-0.4119400000000155,0.0
292.0,313.30676,310.50507,-11.0,-2.801690000000008,0.0
284.0,310.50507,307.42383,-8.0,-3.0812399999999798,0.0
432.0,307.42383,310.35773,148.0,2.933899999999994,1.0
287.0,310.35773,308.86884,-145.0,-1.4888900000000262,0.0
296.0,308.86884,312.13776,9.0,3.268920000000037,0.0
294.0,312.13776,311.32135,-2.0,-0.816410000000019,0.0
262.0,311.32135,289.5531,-32.0,-21.768250000000023,0.0
290.0,289.5531,309.4757,28.0,19.922600000000045,0.0
390.0,309.4757,312.71655,100.0,3.2408499999999663,1.0
247.0,312.71655,274.9792,-143.0,-37.73734999999999,0.0
251.0,274.9792,270.77274,4.0,-4.206459999999993,0.0
34.0,270.77274,166.02359,143.0,-104.74914999999999,0.0
48.0,166.02359,101.091225,14.0,-64.932365,0.0
61.0,101.091225,81.36257,13.0,-19.728655000000003,0.0
44.0,81.36257,71.4588,-17.0,-9.903770000000009,0.0
17.0,71.4588,78.290146,-27.0,6.831345999999996,0.0
32.0,78.290146,78.4521,15.0,0.1619540000000086,0.0
39.0,78.4521,81.022934,7.0,2.570834000000005,0.0
