outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre
366.0,222.98273,255.57558,,
352.0,255.57558,271.15756,-14.0,15.581979999999987
354.0,271.15756,269.56277,2.0,-1.594789999999989
363.0,269.56277,268.97653,9.0,-0.5862399999999752
354.0,268.97653,269.98755,-9.0,1.0110199999999736
346.0,269.98755,270.55432,-8.0,0.5667700000000195
352.0,270.55432,269.89447,6.0,-0.6598500000000058
348.0,269.89447,270.40027,-4.0,0.5057999999999652
359.0,270.40027,269.22467,11.0,-1.1755999999999744
359.0,269.22467,269.4502,0.0,0.22552999999999201
365.0,269.4502,268.76813,6.0,-0.6820700000000102
301.0,268.76813,272.71567,-64.0,3.9475400000000036
286.0,272.71567,272.02496,-15.0,-0.6907099999999673
283.0,272.02496,271.74042,-3.0,-0.28454000000004953
287.0,271.74042,272.04303,4.0,0.3026100000000156
297.0,272.04303,272.37747,10.0,0.33444000000002916
297.0,272.37747,272.4428,0.0,0.06532999999996036
302.0,272.4428,272.4319,5.0,-0.01089999999999236
294.0,272.4319,272.41382,-8.0,-0.018079999999997654
303.0,272.41382,272.39795,9.0,-0.015870000000006712
299.0,272.39795,272.47836,-4.0,0.08041000000002896
297.0,272.47836,272.4455,-2.0,-0.03286000000002787
288.0,272.4455,272.16174,-9.0,-0.2837599999999725
164.0,272.16174,167.47668,-124.0,-104.68506000000002
162.0,167.47668,169.6681,-2.0,2.191420000000022
178.0,169.6681,187.4599,16.0,17.791799999999995
155.0,187.4599,175.93066,-23.0,-11.529240000000016
246.0,175.93066,213.21353,91.0,37.28287
241.0,213.21353,254.79276,-5.0,41.579229999999995
253.0,254.79276,263.2342,12.0,8.44144
248.0,263.2342,255.11761,-5.0,-8.116589999999974
242.0,255.11761,248.41364,-6.0,-6.703970000000027
267.0,248.41364,255.16614,25.0,6.752500000000026
230.0,255.16614,235.23213,-37.0,-19.93401
252.0,235.23213,237.52213,22.0,2.289999999999992
265.0,237.52213,258.1856,13.0,20.663470000000018
64.0,258.1856,76.2368,159.0,178.0512
60.0,76.2368,93.83551,-4.0,17.598709999999997
65.0,93.83551,70.320175,5.0,-23.515334999999993
153.0,70.320175,113.38902,88.0,43.068844999999996
148.0,113.38902,135.9367,-5.0,22.54768
154.0,135.9367,152.74667,6.0,16.809969999999993
158.0,152.74667,166.71274,4.0,13.966070000000002
151.0,166.71274,169.47307,-7.0,2.7603300000000104
156.0,169.47307,178.09837,5.0,8.625299999999982
156.0,178.09837,203.3183,0.0,25.219930000000005
150.0,203.3183,196.9826,-6.0,-6.335699999999974
146.0,196.9826,185.01593,-4.0,-11.966670000000022
248.0,185.01593,212.53964,102.0,27.523709999999994
237.0,212.53964,250.06044,-11.0,37.52080000000001
260.0,250.06044,260.95148,23.0,10.891040000000004
278.0,260.95148,270.49896,18.0,9.547480000000007
272.0,270.49896,269.92642,-6.0,-0.5725400000000036
244.0,269.92642,249.33261,-28.0,-20.59381000000002
268.0,249.33261,261.17807,24.0,11.845460000000003
268.0,261.17807,268.87585,0.0,7.697780000000023
262.0,268.87585,266.39655,-6.0,-2.4793000000000234
254.0,266.39655,260.98273,-8.0,-5.413819999999987
267.0,260.98273,267.49734,13.0,6.514610000000005
262.0,267.49734,266.77267,-5.0,-0.7246700000000033
278.0,266.77267,270.84973,16.0,4.077060000000017
249.0,270.84973,255.06198,-29.0,-15.787750000000017
267.0,255.06198,265.2386,18.0,10.176620000000014
90.0,265.2386,105.75774,-177.0,-159.48086
79.0,105.75774,89.23451,-11.0,-16.523230000000012
79.0,89.23451,86.24806,0.0,-2.9864499999999907
87.0,86.24806,108.83508,8.0,22.58702000000001
45.0,108.83508,73.96298,-42.0,-34.87209999999999
51.0,73.96298,83.89023,6.0,9.92725
46.0,83.89023,74.83274,-5.0,-9.05749000000003
36.0,74.83274,63.069332,-10.0,-11.763408000000027
41.0,63.069332,67.25163,5.0,4.182298000000003
25.0,67.25163,46.66701,-16.0,-20.58462000000003
32.0,46.66701,78.07909,7.0,31.412079999999996
50.0,78.07909,67.48627,18.0,-10.59281999999996
48.0,67.48627,70.96052,-2.0,3.474249999999998
43.0,70.96052,69.93152,-5.0,-1.0289999999999964
34.0,69.93152,63.874474,-9.0,-6.057046000000014
63.0,63.874474,81.61842,29.0,17.743946
289.0,81.61842,186.5791,-134.0,104.96068000000001
289.0,186.5791,265.5376,0.0,78.95849999999999
259.0,265.5376,266.2821,-30.0,0.7445000000000164
267.0,266.2821,267.96655,8.0,1.6844499999999698
274.0,267.96655,270.3592,7.0,2.3926500000000033
259.0,270.3592,264.17596,-15.0,-6.183240000000012
299.0,264.17596,270.83118,40.0,6.6552200000000425
286.0,270.83118,272.0807,-13.0,1.2495199999999613
287.0,272.0807,272.05176,1.0,-0.028939999999977317
285.0,272.05176,271.92618,-2.0,-0.12558000000001357
298.0,271.92618,272.3569,13.0,0.430720000000008
207.0,272.3569,202.17235,-91.0,-70.18455
219.0,202.17235,211.66354,12.0,9.491190000000017
219.0,211.66354,224.3613,0.0,12.697759999999988
208.0,224.3613,216.1324,-11.0,-8.22890000000001
210.0,216.1324,211.46121,2.0,-4.671190000000024
223.0,211.46121,217.38692,13.0,5.925710000000009
190.0,217.38692,212.7966,-33.0,-4.59032000000002
222.0,212.7966,210.69322,32.0,-2.1033800000000156
66.0,210.69322,84.8249,-156.0,-125.86831999999998
70.0,84.8249,,4.0,
