outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre,is_oddball
329.0,231.60144,252.50497,,,-1.0
342.0,252.50497,255.35564,13.0,2.850670000000008,-1.0
341.0,255.35564,254.6919,-1.0,-0.6637399999999616,-1.0
340.0,254.6919,255.03224,-1.0,0.34033999999999764,-1.0
320.0,255.03224,255.8055,-20.0,0.7732599999999934,-1.0
318.0,255.8055,255.74164,-2.0,-0.06385999999997694,-1.0
318.0,255.74164,255.76514,0.0,0.023500000000012733,-1.0
320.0,255.76514,255.68889,2.0,-0.07625000000001592,-1.0
321.0,255.68889,255.6712,1.0,-0.01769000000001597,-1.0
329.0,255.6712,255.34624,8.0,-0.3249600000000328,-1.0
330.0,255.34624,255.38094,1.0,0.03470000000001505,-1.0
324.0,255.38094,255.61642,-6.0,0.23547999999999547,-1.0
48.0,255.61642,86.6112,84.0,-169.00522,-1.0
52.0,86.6112,84.41339,4.0,-2.197810000000004,-1.0
51.0,84.41339,52.38144,-1.0,-32.031949999999995,-1.0
53.0,52.38144,68.48074,2.0,16.0993,-1.0
64.0,68.48074,107.83785,11.0,39.357110000000006,-1.0
38.0,107.83785,52.812004,-26.0,-55.025846,-1.0
38.0,52.812004,103.41406,0.0,50.602056000000005,-1.0
186.0,103.41406,130.38606,148.0,26.97199999999998,-1.0
199.0,130.38606,170.01758,13.0,39.63152000000002,-1.0
184.0,170.01758,168.11157,-15.0,-1.9060100000000375,-1.0
190.0,168.11157,168.24878,6.0,0.13721000000001027,-1.0
172.0,168.24878,174.34303,-18.0,6.094249999999988,-1.0
100.0,174.34303,119.19797,-72.0,-55.14506,-1.0
65.0,119.19797,94.13437,-35.0,-25.063600000000008,-1.0
88.0,94.13437,93.924965,23.0,-0.20940500000000384,-1.0
84.0,93.924965,127.84831,-4.0,33.923345,-1.0
78.0,127.84831,115.90691,-6.0,-11.941399999999987,-1.0
81.0,115.90691,124.38417,3.0,8.477260000000001,-1.0
77.0,124.38417,124.6989,-4.0,0.3147299999999973,-1.0
86.0,124.6989,128.95868,9.0,4.259779999999992,-1.0
61.0,128.95868,119.14574,-25.0,-9.81293999999997,-1.0
72.0,119.14574,121.97014,11.0,2.824399999999997,-1.0
76.0,121.97014,130.28996,4.0,8.319820000000007,-1.0
226.0,130.28996,165.3079,150.0,35.01793999999998,-1.0
221.0,165.3079,236.50763,-5.0,71.19973000000002,-1.0
217.0,236.50763,239.17607,-4.0,2.668440000000004,-1.0
231.0,239.17607,239.30849,14.0,0.1324199999999962,-1.0
212.0,239.30849,227.16641,-19.0,-12.142079999999964,-1.0
229.0,227.16641,233.98538,17.0,6.818969999999979,-1.0
225.0,233.98538,245.65546,-4.0,11.670080000000013,-1.0
222.0,245.65546,234.08643,-3.0,-11.569029999999998,-1.0
233.0,234.08643,239.11963,11.0,5.033199999999994,-1.0
221.0,239.11963,238.48483,-12.0,-0.6348000000000411,-1.0
46.0,238.48483,83.84371,-175.0,-154.64112,-1.0
59.0,83.84371,90.10334,13.0,6.259630000000001,-1.0
51.0,90.10334,60.74946,-8.0,-29.353880000000004,-1.0
46.0,60.74946,59.811214,-5.0,-0.9382459999999924,-1.0
38.0,59.811214,95.04863,-8.0,35.237416,-1.0
112.0,95.04863,111.332275,74.0,16.283644999999993,-1.0
125.0,111.332275,149.14026,13.0,37.807985000000016,-1.0
103.0,149.14026,117.75363,-22.0,-31.386630000000025,-1.0
