outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre,is_oddball
257.0,231.60144,255.69388,,,0.0
243.0,255.69388,245.79596,-14.0,-9.89792,0.0
263.0,245.79596,251.15448,20.0,5.358519999999999,0.0
259.0,251.15448,251.7272,-4.0,0.5727200000000039,0.0
200.0,251.7272,199.5438,-59.0,-52.183400000000006,0.0
206.0,199.5438,199.21123,6.0,-0.33257000000003245,0.0
220.0,199.21123,234.94083,14.0,35.729600000000005,0.0
204.0,234.94083,217.7215,-16.0,-17.219330000000014,0.0
208.0,217.7215,203.76498,4.0,-13.956519999999955,0.0
175.0,203.76498,204.99792,-33.0,1.232939999999985,0.0
159.0,204.99792,196.96724,-16.0,-8.030679999999961,0.0
175.0,196.96724,206.99236,16.0,10.025119999999987,0.0
154.0,206.99236,212.74051,-21.0,5.74815000000001,0.0
165.0,212.74051,210.25853,11.0,-2.4819800000000214,0.0
250.0,210.25853,238.70883,85.0,28.4503,1.0
169.0,238.70883,183.98001,-81.0,-54.72882000000004,0.0
186.0,183.98001,194.4627,17.0,10.48269000000002,0.0
175.0,194.4627,210.26868,-11.0,15.805979999999977,0.0
161.0,210.26868,197.48312,-14.0,-12.785559999999975,0.0
150.0,197.48312,189.47397,-11.0,-8.009149999999977,0.0
278.0,189.47397,231.50827,128.0,42.0343,1.0
138.0,231.50827,164.38225,-140.0,-67.12602000000004,0.0
160.0,164.38225,173.53607,22.0,9.153819999999996,0.0
145.0,173.53607,176.85345,-15.0,3.317380000000014,0.0
129.0,176.85345,157.99225,-16.0,-18.861199999999997,0.0
138.0,157.99225,160.2651,9.0,2.272849999999977,0.0
146.0,160.2651,174.26282,8.0,13.997720000000015,0.0
149.0,174.26282,198.61162,3.0,24.348799999999983,0.0
158.0,198.61162,225.89389,9.0,27.28227000000001,0.0
132.0,225.89389,202.57597,-26.0,-23.31791999999996,0.0
130.0,202.57597,195.68503,-2.0,-6.8909400000000005,0.0
126.0,195.68503,186.01605,-4.0,-9.668980000000033,0.0
129.0,186.01605,180.4303,3.0,-5.585750000000019,0.0
143.0,180.4303,194.48499,14.0,14.054690000000022,0.0
158.0,194.48499,219.86646,15.0,25.38146999999998,0.0
291.0,219.86646,243.29568,133.0,23.429220000000015,1.0
156.0,243.29568,174.4915,-135.0,-68.80417999999997,0.0
165.0,174.4915,183.64804,9.0,9.156540000000007,0.0
166.0,183.64804,198.79193,1.0,15.143889999999999,0.0
172.0,198.79193,203.89362,6.0,5.101689999999991,0.0
172.0,203.89362,212.5101,0.0,8.616479999999996,0.0
179.0,212.5101,222.1532,7.0,9.643100000000004,0.0
201.0,222.1532,230.68365,22.0,8.530450000000002,0.0
226.0,230.68365,243.81902,25.0,13.135369999999995,0.0
193.0,243.81902,223.15237,-33.0,-20.666650000000004,0.0
223.0,223.15237,231.57672,30.0,8.424350000000004,0.0
302.0,231.57672,252.34427,79.0,20.76755,1.0
236.0,252.34427,242.42035,-66.0,-9.923919999999953,0.0
228.0,242.42035,226.14253,-8.0,-16.27782000000002,0.0
207.0,226.14253,204.48183,-21.0,-21.66070000000002,0.0
216.0,204.48183,212.943,9.0,8.46117000000001,0.0
414.0,212.943,234.07983,-162.0,21.136829999999975,1.0
232.0,234.07983,247.0277,178.0,12.947870000000023,0.0
211.0,247.0277,210.17572,-21.0,-36.851980000000026,0.0
205.0,210.17572,199.37976,-6.0,-10.795960000000036,0.0
196.0,199.37976,215.35767,-9.0,15.977910000000008,0.0
214.0,215.35767,229.66147,18.0,14.303799999999995,0.0
202.0,229.66147,222.87532,-12.0,-6.7861500000000206,0.0
212.0,222.87532,222.93367,10.0,0.058350000000018554,0.0
240.0,222.93367,248.18228,28.0,25.248609999999985,0.0
218.0,248.18228,229.55066,-22.0,-18.631619999999998,0.0
237.0,229.55066,233.64917,19.0,4.0985100000000045,0.0
239.0,233.64917,246.32726,2.0,12.678089999999997,0.0
261.0,246.32726,249.16135,22.0,2.8340900000000033,0.0
368.0,249.16135,248.35828,107.0,-0.8030699999999911,1.0
244.0,248.35828,248.76837,-124.0,0.41008999999999673,0.0
245.0,248.76837,244.53181,1.0,-4.236559999999997,0.0
193.0,244.53181,193.66837,-52.0,-50.86343999999997,0.0
210.0,193.66837,201.33844,17.0,7.670069999999981,0.0
366.0,201.33844,234.0304,156.0,32.691959999999995,1.0
225.0,234.0304,241.76657,-141.0,7.7361700000000155,0.0
233.0,241.76657,232.5426,8.0,-9.223970000000008,0.0
241.0,232.5426,234.00351,8.0,1.4609100000000126,0.0
207.0,234.00351,208.33514,-34.0,-25.66836999999998,0.0
218.0,208.33514,203.58145,11.0,-4.753690000000006,0.0
220.0,203.58145,230.51642,2.0,26.93497000000002,0.0
220.0,230.51642,231.31909,0.0,0.8026699999999778,0.0
209.0,231.31909,210.72495,-11.0,-20.59413999999998,0.0
205.0,210.72495,209.04675,-4.0,-1.678200000000004,0.0
224.0,209.04675,238.0759,19.0,29.029149999999987,0.0
235.0,238.0759,248.44447,11.0,10.368570000000005,0.0
221.0,248.44447,223.1821,-14.0,-25.262370000000033,0.0
416.0,223.1821,232.4198,-165.0,9.237700000000018,1.0
222.0,232.4198,239.79013,166.0,7.370329999999996,0.0
236.0,239.79013,234.71794,14.0,-5.072189999999978,0.0
216.0,234.71794,212.91512,-20.0,-21.802819999999997,0.0
225.0,212.91512,211.27203,9.0,-1.6430900000000292,0.0
307.0,211.27203,239.8144,82.0,28.542370000000005,1.0
271.0,239.8144,255.96426,-36.0,16.14985999999999,0.0
266.0,255.96426,254.69699,-5.0,-1.2672699999999963,0.0
272.0,254.69699,255.09265,6.0,0.39565999999999235,0.0
266.0,255.09265,254.45723,-6.0,-0.6354199999999537,0.0
259.0,254.45723,252.78793,-7.0,-1.669300000000021,0.0
260.0,252.78793,252.43318,1.0,-0.35474999999996726,0.0
253.0,252.43318,249.68735,-7.0,-2.7458299999999554,0.0
258.0,249.68735,249.95135,5.0,0.2639999999999816,0.0
265.0,249.95135,251.40878,7.0,1.4574300000000164,0.0
257.0,251.40878,249.75438,-8.0,-1.6544000000000096,0.0
414.0,249.75438,243.56036,157.0,-6.194020000000023,1.0
270.0,243.56036,255.73761,-144.0,12.177249999999987,0.0
254.0,255.73761,251.71387,-16.0,-4.023739999999975,0.0
239.0,251.71387,240.82523,-15.0,-10.88864000000001,0.0
247.0,240.82523,242.04889,8.0,1.2236599999999953,0.0
292.0,242.04889,251.27222,45.0,9.223330000000004,0.0
307.0,251.27222,255.81161,15.0,4.539389999999997,0.0
446.0,255.81161,244.32243,139.0,-11.489180000000033,1.0
271.0,244.32243,255.80023,-175.0,11.477800000000002,0.0
265.0,255.80023,254.47409,-6.0,-1.3261400000000094,0.0
248.0,254.47409,248.40842,-17.0,-6.065669999999955,0.0
254.0,248.40842,248.94987,6.0,0.5414499999999975,0.0
243.0,248.94987,242.17465,-11.0,-6.77521999999999,0.0
267.0,242.17465,246.92226,24.0,4.74760999999998,0.0
260.0,246.92226,248.58536,-7.0,1.6631000000000142,0.0
239.0,248.58536,236.40363,-21.0,-12.181730000000016,0.0
258.0,236.40363,239.95604,19.0,3.552410000000009,0.0
227.0,239.95604,227.01657,-31.0,-12.939470000000028,0.0
401.0,227.01657,233.35242,174.0,6.3358499999999935,1.0
220.0,233.35242,237.01254,179.0,3.6601200000000063,0.0
203.0,237.01254,200.49617,-17.0,-36.516369999999995,0.0
207.0,200.49617,199.93991,4.0,-0.5562600000000089,0.0
214.0,199.93991,228.12798,7.0,28.18807000000001,0.0
219.0,228.12798,232.97043,5.0,4.842449999999985,0.0
218.0,232.97043,220.13257,-1.0,-12.837859999999978,0.0
215.0,220.13257,219.15317,-3.0,-0.9793999999999983,0.0
227.0,219.15317,237.79831,12.0,18.645139999999998,0.0
216.0,237.79831,230.11832,-11.0,-7.679989999999975,0.0
230.0,230.11832,229.75156,14.0,-0.3667599999999993,0.0
241.0,229.75156,246.16006,11.0,16.408499999999975,0.0
258.0,246.16006,250.95917,17.0,4.799110000000013,0.0
321.0,250.95917,253.74226,63.0,2.783089999999987,1.0
240.0,253.74226,244.57677,-81.0,-9.165489999999977,0.0
258.0,244.57677,249.12495,18.0,4.548180000000002,0.0
264.0,249.12495,251.92941,6.0,2.8044599999999775,0.0
230.0,251.92941,229.63953,-34.0,-22.289879999999982,0.0
233.0,229.63953,224.48216,3.0,-5.157370000000014,0.0
233.0,224.48216,234.51735,0.0,10.03519,0.0
223.0,234.51735,226.41449,-10.0,-8.102859999999964,0.0
214.0,226.41449,212.3199,-9.0,-14.09459000000004,0.0
227.0,212.3199,225.33192,13.0,13.012020000000007,0.0
331.0,225.33192,245.80911,104.0,20.477190000000007,1.0
230.0,245.80911,238.98723,-101.0,-6.821879999999965,0.0
214.0,238.98723,209.97134,-16.0,-29.015890000000013,0.0
218.0,209.97134,207.6116,4.0,-2.359739999999988,0.0
209.0,207.6116,223.59355,-9.0,15.981949999999983,0.0
224.0,223.59355,227.81862,15.0,4.2250700000000165,0.0
237.0,227.81862,237.43979,13.0,9.621169999999978,0.0
348.0,237.43979,245.0507,111.0,7.610910000000018,1.0
229.0,245.0507,237.88281,-119.0,-7.16789,0.0
225.0,237.88281,221.22696,-4.0,-16.655849999999987,0.0
249.0,221.22696,229.62535,24.0,8.398390000000006,0.0
226.0,229.62535,232.21863,-23.0,2.593279999999993,0.0
200.0,232.21863,196.03928,-26.0,-36.17935,0.0
188.0,196.03928,185.99332,-12.0,-10.04595999999998,0.0
193.0,185.99332,210.12457,5.0,24.131249999999994,0.0
181.0,210.12457,211.82217,-12.0,1.6975999999999942,0.0
349.0,211.82217,232.23468,168.0,20.412509999999997,1.0
192.0,232.23468,205.51846,-157.0,-26.71622000000002,0.0
166.0,205.51846,174.63931,-26.0,-30.87914999999998,0.0
167.0,174.63931,180.63928,1.0,5.999970000000019,0.0
173.0,180.63928,193.73105,6.0,13.091769999999997,0.0
173.0,193.73105,199.43411,0.0,5.703059999999994,0.0
247.0,199.43411,233.29999,74.0,33.865880000000004,1.0
167.0,233.29999,185.27786,-80.0,-48.022130000000004,0.0
210.0,185.27786,208.48067,43.0,23.20281,0.0
193.0,208.48067,222.842,-17.0,14.36133000000001,0.0
215.0,222.842,212.95987,22.0,-9.882130000000018,0.0
253.0,212.95987,238.2175,38.0,25.257630000000006,0.0
222.0,238.2175,236.16913,-31.0,-2.048369999999977,0.0
230.0,236.16913,225.88214,8.0,-10.286990000000003,0.0
212.0,225.88214,213.51541,-18.0,-12.366729999999961,0.0
205.0,213.51541,207.60455,-7.0,-5.910860000000014,0.0
182.0,207.60455,206.93329,-23.0,-0.6712599999999611,0.0
184.0,206.93329,208.78995,2.0,1.856660000000005,0.0
168.0,208.78995,215.91855,-16.0,7.128600000000006,0.0
322.0,215.91855,234.73898,154.0,18.820429999999988,1.0
199.0,234.73898,211.10367,-123.0,-23.635310000000004,0.0
178.0,211.10367,180.63644,-21.0,-30.467229999999972,0.0
160.0,180.63644,177.72566,-18.0,-2.9107799999999884,0.0
171.0,177.72566,189.94077,11.0,12.215109999999981,0.0
190.0,189.94077,212.41875,19.0,22.477980000000002,0.0
190.0,212.41875,226.36562,0.0,13.946870000000018,0.0
201.0,226.36562,230.64685,11.0,4.281229999999994,0.0
218.0,230.64685,239.74512,17.0,9.098269999999985,0.0
190.0,239.74512,229.5048,-28.0,-10.240319999999997,0.0
185.0,229.5048,224.74811,-5.0,-4.756689999999992,0.0
211.0,224.74811,234.79437,26.0,10.04625999999999,0.0
256.0,234.79437,252.57603,45.0,17.781660000000016,1.0
167.0,252.57603,181.59796,-89.0,-70.97807,0.0
157.0,181.59796,181.64204,-10.0,0.04408000000000811,0.0
145.0,181.64204,182.41896,-12.0,0.7769199999999898,0.0
151.0,182.41896,176.29898,6.0,-6.119979999999998,0.0
164.0,176.29898,189.79547,13.0,13.496489999999994,0.0
149.0,189.79547,209.53377,-15.0,19.73830000000001,0.0
126.0,209.53377,200.11905,-23.0,-9.414719999999988,0.0
152.0,200.11905,212.10864,26.0,11.989590000000021,0.0
147.0,212.10864,220.37253,-5.0,8.263890000000004,0.0
213.0,220.37253,233.27716,66.0,12.904629999999997,1.0
141.0,233.27716,185.16124,-72.0,-48.11592000000002,0.0
121.0,185.16124,157.50372,-20.0,-27.657519999999977,0.0
140.0,157.50372,158.75317,19.0,1.2494500000000244,0.0
116.0,158.75317,149.75548,-24.0,-8.997690000000034,0.0
133.0,149.75548,151.83722,17.0,2.0817399999999964,0.0
327.0,151.83722,218.3407,-166.0,66.50348,1.0
182.0,218.3407,207.767,-145.0,-10.57370000000003,0.0
141.0,207.767,158.12914,-41.0,-49.63785999999999,0.0
158.0,158.12914,161.77536,17.0,3.6462199999999996,0.0
171.0,161.77536,171.26218,13.0,9.486819999999994,0.0
149.0,171.26218,163.47824,-22.0,-7.78394000000003,0.0
126.0,163.47824,153.18887,-23.0,-10.289369999999963,0.0
130.0,153.18887,157.17456,4.0,3.9856900000000053,0.0
150.0,157.17456,173.88768,20.0,16.713119999999975,0.0
165.0,173.88768,207.05095,15.0,33.16327000000001,0.0
229.0,207.05095,242.65291,64.0,35.60195999999999,1.0
161.0,242.65291,187.3559,-68.0,-55.29701,0.0
153.0,187.3559,181.6628,-8.0,-5.6930999999999585,0.0
135.0,181.6628,172.3211,-18.0,-9.341700000000003,0.0
127.0,172.3211,154.23862,-8.0,-18.082480000000032,0.0
148.0,154.23862,161.06752,21.0,6.828900000000004,0.0
152.0,161.06752,171.37808,4.0,10.31056000000001,0.0
134.0,171.37808,178.69287,-18.0,7.314789999999988,0.0
128.0,178.69287,194.46075,-6.0,15.767879999999991,0.0
133.0,194.46075,218.47607,5.0,24.015320000000003,0.0
152.0,218.47607,228.80045,19.0,10.32438000000002,0.0
157.0,228.80045,228.99265,5.0,0.1921999999999855,0.0
148.0,228.99265,210.7972,-9.0,-18.195449999999994,0.0
148.0,210.7972,197.68445,0.0,-13.112750000000005,0.0
296.0,197.68445,232.62001,148.0,34.93556000000001,1.0
138.0,232.62001,163.23134,-158.0,-69.38867000000005,0.0
125.0,163.23134,146.35553,-13.0,-16.87581,0.0
141.0,146.35553,153.66046,16.0,7.304930000000013,0.0
163.0,153.66046,160.20502,22.0,6.54455999999999,0.0
260.0,160.20502,215.74483,97.0,55.53981000000002,1.0
146.0,215.74483,169.64702,-114.0,-46.09780999999998,0.0
120.0,169.64702,146.54199,-26.0,-23.10503,0.0
136.0,146.54199,153.46184,16.0,6.919849999999997,0.0
144.0,153.46184,156.4476,8.0,2.985759999999999,0.0
180.0,156.4476,176.98909,36.0,20.54149000000001,0.0
153.0,176.98909,186.87415,-27.0,9.885059999999982,0.0
223.0,186.87415,222.9938,70.0,36.11965000000001,1.0
188.0,222.9938,221.29233,-35.0,-1.701469999999972,0.0
172.0,221.29233,188.48907,-16.0,-32.80326000000002,0.0
161.0,188.48907,183.31653,-11.0,-5.172540000000026,0.0
139.0,183.31653,181.67313,-22.0,-1.6434000000000424,0.0
157.0,181.67313,180.27408,18.0,-1.3990499999999884,0.0
171.0,180.27408,204.03813,14.0,23.764049999999997,0.0
153.0,204.03813,220.02979,-18.0,15.991659999999996,0.0
168.0,220.02979,224.56255,15.0,4.532759999999996,0.0
186.0,224.56255,228.94997,18.0,4.38742000000002,0.0
183.0,228.94997,228.04756,-3.0,-0.9024100000000317,0.0
197.0,228.04756,231.09167,14.0,3.044109999999989,0.0
185.0,231.09167,230.03735,-12.0,-1.0543199999999615,0.0
167.0,230.03735,219.5362,-18.0,-10.501149999999996,0.0
157.0,219.5362,205.9704,-10.0,-13.565799999999967,0.0
254.0,205.9704,234.47202,97.0,28.501619999999974,1.0
151.0,234.47202,172.26927,-103.0,-62.20274999999998,0.0
170.0,172.26927,183.90364,19.0,11.63436999999999,0.0
170.0,183.90364,201.83586,0.0,17.93222,0.0
180.0,201.83586,208.02713,10.0,6.191270000000003,0.0
167.0,208.02713,211.3912,-13.0,3.364069999999998,0.0
184.0,211.3912,218.98187,17.0,7.590669999999989,0.0
176.0,218.98187,222.8052,-8.0,3.823330000000027,0.0
176.0,222.8052,219.76784,0.0,-3.037360000000035,0.0
203.0,219.76784,227.10464,27.0,7.3367999999999824,0.0
199.0,227.10464,232.70546,-4.0,5.600819999999999,0.0
178.0,232.70546,225.2779,-21.0,-7.427559999999971,0.0
153.0,225.2779,204.1487,-25.0,-21.12919999999997,0.0
146.0,204.1487,187.07956,-7.0,-17.069140000000004,0.0
134.0,187.07956,173.65504,-12.0,-13.424519999999973,0.0
253.0,173.65504,227.10518,119.0,53.450139999999976,1.0
173.0,227.10518,192.37698,-80.0,-34.728200000000015,0.0
152.0,192.37698,173.67781,-21.0,-18.69916999999998,0.0
154.0,173.67781,176.0986,2.0,2.420790000000011,0.0
161.0,176.0986,178.2032,7.0,2.104600000000005,0.0
172.0,178.2032,188.29208,11.0,10.088879999999989,0.0
197.0,188.29208,224.7893,25.0,36.49722,0.0
167.0,224.7893,215.18657,-30.0,-9.602730000000008,0.0
149.0,215.18657,188.93661,-18.0,-26.249959999999987,0.0
163.0,188.93661,190.10953,14.0,1.1729200000000048,0.0
290.0,190.10953,232.10406,127.0,41.99453,1.0
163.0,232.10406,180.75024,-127.0,-51.35382000000004,0.0
136.0,180.75024,165.40128,-27.0,-15.348959999999977,0.0
141.0,165.40128,162.18549,5.0,-3.215790000000027,0.0
144.0,162.18549,157.33778,3.0,-4.847710000000006,0.0
207.0,157.33778,197.58185,63.0,40.244069999999994,1.0
107.0,197.58185,132.2015,-100.0,-65.38035000000002,0.0
105.0,132.2015,134.69476,-2.0,2.4932599999999923,0.0
98.0,134.69476,138.36635,-7.0,3.671590000000009,0.0
112.0,138.36635,141.89859,14.0,3.5322400000000016,0.0
