outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre,is_oddball
282.0,148.60608,149.76617,,,-1.0
283.0,149.76617,149.76624,1.0,7.000000002221896e-05,-1.0
285.0,149.76624,149.76628,2.0,3.9999999984274837e-05,-1.0
268.0,149.76628,149.76598,-17.0,-0.00029999999998153726,-1.0
285.0,149.76598,149.76628,17.0,0.00029999999998153726,-1.0
289.0,149.76628,149.76634,4.0,6.000000001904482e-05,-1.0
293.0,149.76634,149.76639,4.0,4.999999998744897e-05,-1.0
283.0,149.76639,149.76625,-10.0,-0.0001399999999875945,-1.0
276.0,149.76625,149.76613,-7.0,-0.00012000000003808964,-1.0
278.0,149.76613,149.76617,2.0,3.9999999984274837e-05,-1.0
287.0,149.76617,149.76631,9.0,0.0001400000000160162,-1.0
238.0,149.76631,149.7651,-49.0,-0.0012100000000145883,-1.0
236.0,149.7651,149.76503,-2.0,-6.999999999379725e-05,-1.0
245.0,149.76503,149.76538,9.0,0.00034999999999740794,-1.0
231.0,149.76538,149.76477,-14.0,-0.0006099999999946704,-1.0
233.0,149.76477,149.7649,2.0,0.00013000000001284207,-1.0
240.0,149.7649,149.7652,7.0,0.00029999999998153726,-1.0
240.0,149.7652,149.7652,0.0,0.0,-1.0
226.0,149.7652,149.76448,-14.0,-0.0007200000000011642,-1.0
232.0,149.76448,149.76483,6.0,0.00034999999999740794,-1.0
232.0,149.76483,149.76483,0.0,0.0,-1.0
230.0,149.76483,149.76471,-2.0,-0.00011999999998124622,-1.0
225.0,149.76471,149.7644,-5.0,-0.0003100000000131331,-1.0
231.0,149.7644,149.76477,6.0,0.0003700000000037562,-1.0
219.0,149.76477,149.76392,-12.0,-0.0008500000000140062,-1.0
122.0,149.76392,143.02795,-97.0,-6.735970000000009,-1.0
101.0,143.02795,124.19359,-21.0,-18.834360000000004,-1.0
103.0,124.19359,106.32041,2.0,-17.87317999999999,-1.0
120.0,106.32041,140.31807,17.0,33.99766000000001,-1.0
108.0,140.31807,133.80003,-12.0,-6.518040000000042,-1.0
150.0,133.80003,148.27484,42.0,14.47481000000002,-1.0
181.0,148.27484,149.74591,31.0,1.4710699999999974,-1.0
172.0,149.74591,149.71977,-9.0,-0.026139999999998054,-1.0
179.0,149.71977,149.7408,7.0,0.021029999999996107,-1.0
185.0,149.7408,149.75037,6.0,0.009569999999996526,-1.0
165.0,149.75037,149.67719,-20.0,-0.07317999999997937,-1.0
176.0,149.67719,149.73354,11.0,0.056350000000009004,-1.0
167.0,149.73354,149.69267,-9.0,-0.04087000000004082,-1.0
163.0,149.69267,149.65839,-4.0,-0.034279999999967004,-1.0
117.0,149.65839,138.56033,-46.0,-11.098060000000032,-1.0
117.0,138.56033,137.26855,0.0,-1.291780000000017,-1.0
122.0,137.26855,143.9332,5.0,6.664649999999995,-1.0
122.0,143.9332,142.08922,0.0,-1.8439799999999877,-1.0
108.0,142.08922,130.5326,-14.0,-11.55662000000001,-1.0
119.0,130.5326,125.794464,11.0,-4.738135999999997,-1.0
99.0,125.794464,136.34369,-20.0,10.549226000000004,-1.0
99.0,136.34369,103.69986,0.0,-32.64382999999998,-1.0
237.0,103.69986,142.5463,138.0,38.84644,-1.0
234.0,142.5463,149.76562,-3.0,7.21932000000001,-1.0
244.0,149.76562,149.76535,10.0,-0.00027000000000043656,-1.0
171.0,149.76535,149.71533,-73.0,-0.05002000000001772,-1.0
171.0,149.71533,149.71545,0.0,0.00012000000000966793,-1.0
179.0,149.71545,149.7408,8.0,0.025350000000003092,-1.0
286.0,149.7408,149.7663,107.0,0.02549999999999386,-1.0
300.0,149.7663,149.76646,14.0,0.00015999999999394277,-1.0
323.0,149.76646,149.76663,23.0,0.0001699999999971169,-1.0
302.0,149.76663,149.7665,-21.0,-0.00013000000001284207,-1.0
292.0,149.7665,149.76639,-10.0,-0.00011000000000649379,-1.0
308.0,149.76639,149.76654,16.0,0.00014999999999076863,-1.0
305.0,149.76654,149.76653,-3.0,-9.999999974752427e-06,-1.0
308.0,149.76653,149.76654,3.0,1.0000000003174137e-05,-1.0
315.0,149.76654,149.7666,7.0,6.000000001904482e-05,-1.0
308.0,149.7666,149.76654,-7.0,-6.000000001904482e-05,-1.0
326.0,149.76654,149.76663,18.0,9.000000000014552e-05,-1.0
307.0,149.76663,149.76654,-19.0,-9.000000000014552e-05,-1.0
322.0,149.76654,149.76663,15.0,9.000000000014552e-05,-1.0
315.0,149.76663,149.7666,-7.0,-2.99999999811007e-05,-1.0
178.0,149.7666,149.73856,-137.0,-0.028040000000032705,-1.0
195.0,149.73856,149.7583,17.0,0.019739999999984548,-1.0
182.0,149.7583,149.74625,-13.0,-0.012049999999987904,-1.0
192.0,149.74625,149.75659,10.0,0.010339999999985139,-1.0
189.0,149.75659,149.75438,-3.0,-0.0022099999999909414,-1.0
183.0,149.75438,149.74776,-6.0,-0.006619999999998072,-1.0
210.0,149.74776,149.76276,27.0,0.014999999999986358,-1.0
184.0,149.76276,149.74911,-26.0,-0.013649999999984175,-1.0
182.0,149.74911,149.74625,-2.0,-0.0028599999999983083,-1.0
177.0,149.74625,149.73618,-5.0,-0.010070000000041546,-1.0
188.0,149.73618,149.75351,11.0,0.01733000000001539,-1.0
302.0,149.75351,149.7665,114.0,0.012990000000002055,-1.0
300.0,149.7665,149.76646,-2.0,-4.0000000012696546e-05,-1.0
318.0,149.76646,149.76662,18.0,0.00015999999999394277,-1.0
339.0,149.76662,149.76662,21.0,0.0,-1.0
166.0,149.76662,149.6852,-173.0,-0.08141999999998006,-1.0
163.0,149.6852,149.6584,-3.0,-0.026799999999980173,-1.0
172.0,149.6584,149.71983,9.0,0.06143000000000143,-1.0
