outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre,is_oddball
218.0,88.7988,149.70456,,,0.0
211.0,149.70456,149.76297,-7.0,0.05841000000000918,0.0
223.0,149.76297,149.76425,12.0,0.0012800000000083855,0.0
202.0,149.76425,149.76099,-21.0,-0.003260000000011587,0.0
190.0,149.76099,149.75519,-12.0,-0.00580000000002201,0.0
190.0,149.75519,149.75519,0.0,0.0,0.0
198.0,149.75519,149.75964,8.0,0.004449999999991405,0.0
173.0,149.75964,149.7237,-25.0,-0.03593999999998232,0.0
230.0,149.7237,149.76471,57.0,0.04100999999999999,0.0
201.0,149.76471,149.7607,-29.0,-0.004009999999993852,0.0
221.0,149.7607,149.76408,20.0,0.003379999999992833,0.0
365.0,149.76408,149.76608,144.0,0.001999999999981128,1.0
166.0,149.76608,149.68521,161.0,-0.08087000000000444,0.0
188.0,149.68521,149.7535,22.0,0.06828999999999041,0.0
158.0,149.7535,149.58856,-30.0,-0.16494000000000142,0.0
140.0,149.58856,148.6109,-18.0,-0.9776600000000144,0.0
157.0,148.6109,149.56839,17.0,0.9574900000000071,0.0
147.0,149.56839,149.21207,-10.0,-0.35631999999998243,0.0
147.0,149.21207,149.21141,0.0,-0.0006600000000389628,0.0
141.0,149.21141,148.71997,-6.0,-0.4914400000000114,0.0
147.0,148.71997,149.20526,6.0,0.4852900000000204,0.0
115.0,149.20526,136.35007,-32.0,-12.855189999999993,0.0
145.0,136.35007,147.9402,30.0,11.590130000000016,0.0
119.0,147.9402,141.18028,-26.0,-6.7599199999999655,0.0
275.0,141.18028,149.76031,156.0,8.580029999999994,1.0
154.0,149.76031,149.49869,-121.0,-0.2616199999999935,0.0
136.0,149.49869,148.02014,-18.0,-1.478550000000041,0.0
130.0,148.02014,146.56073,-6.0,-1.4594099999999912,0.0
161.0,146.56073,149.62378,31.0,3.063050000000004,0.0
144.0,149.62378,149.00482,-17.0,-0.6189600000000155,0.0
145.0,149.00482,149.07959,1.0,0.07477000000000089,0.0
121.0,149.07959,142.42282,-24.0,-6.6567699999999945,0.0
147.0,142.42282,149.15482,26.0,6.731999999999999,0.0
135.0,149.15482,147.75946,-12.0,-1.3953599999999824,0.0
116.0,147.75946,138.01747,-19.0,-9.741989999999987,0.0
133.0,138.01747,145.69446,17.0,7.676989999999989,0.0
225.0,145.69446,149.76181,92.0,4.067350000000005,1.0
113.0,149.76181,133.85701,-112.0,-15.904800000000023,0.0
89.0,133.85701,107.91661,-24.0,-25.94040000000001,0.0
98.0,107.91661,115.91677,9.0,8.000159999999994,0.0
99.0,115.91677,103.33299,1.0,-12.58377999999999,0.0
73.0,103.33299,120.91806,-26.0,17.58507,0.0
87.0,120.91806,95.11937,14.0,-25.798689999999965,0.0
73.0,95.11937,84.614395,-14.0,-10.504975000000002,0.0
69.0,84.614395,75.02282,-4.0,-9.591575000000034,0.0
45.0,75.02282,59.344074,-24.0,-15.67874599999999,0.0
30.0,59.344074,30.614607,-15.0,-28.729467,0.0
71.0,30.614607,148.81563,41.0,118.20102299999999,0.0
73.0,148.81563,106.77756,2.0,-42.038070000000005,0.0
67.0,106.77756,83.59718,-6.0,-23.180380000000014,0.0
211.0,83.59718,129.94257,144.0,46.345389999999995,1.0
74.0,129.94257,128.21263,-137.0,-1.7299399999999991,0.0
33.0,128.21263,57.97143,-41.0,-70.24119999999999,0.0
37.0,57.97143,61.447445,4.0,3.476015000000004,0.0
34.0,61.447445,42.046814,-3.0,-19.400630999999976,0.0
18.0,42.046814,40.612694,-16.0,-1.4341200000000072,0.0
352.0,40.612694,140.4962,-26.0,99.88350599999998,0.0
17.0,140.4962,59.819874,25.0,-80.67632600000002,0.0
22.0,59.819874,70.39175,5.0,10.571876000000003,0.0
31.0,70.39175,58.845764,9.0,-11.54598599999997,0.0
21.0,58.845764,33.432007,-10.0,-25.413757000000032,0.0
37.0,33.432007,147.63066,16.0,114.19865300000001,0.0
34.0,147.63066,77.966286,-3.0,-69.66437400000001,0.0
184.0,77.966286,131.89261,150.0,53.926323999999994,1.0
2.0,131.89261,54.98866,178.0,-76.90395000000001,0.0
8.0,54.98866,53.93611,6.0,-1.0525499999999965,0.0
22.0,53.93611,65.03682,14.0,11.100710000000007,0.0
332.0,65.03682,136.68452,-50.0,71.64769999999999,0.0
10.0,136.68452,56.669563,38.0,-80.01495699999998,0.0
0.0,56.669563,50.904877,-10.0,-5.764685999999983,0.0
36.0,50.904877,111.48874,36.0,60.58386300000001,0.0
49.0,111.48874,74.51112,13.0,-36.97762,0.0
38.0,74.51112,37.945293,-11.0,-36.56582700000001,0.0
39.0,37.945293,137.52863,1.0,99.583337,0.0
50.0,137.52863,101.40528,11.0,-36.12334999999996,0.0
71.0,101.40528,80.19859,21.0,-21.20668999999998,0.0
61.0,80.19859,65.07909,-10.0,-15.119500000000016,0.0
82.0,65.07909,93.29145,21.0,28.212360000000004,0.0
262.0,93.29145,149.33249,180.0,56.04104000000001,1.0
83.0,149.33249,113.579605,-179.0,-35.75288499999999,0.0
97.0,113.579605,113.175064,14.0,-0.4045409999999947,0.0
115.0,113.175064,117.78468,18.0,4.609615999999988,0.0
132.0,117.78468,149.21344,17.0,31.428759999999997,0.0
129.0,149.21344,146.4356,-3.0,-2.7778399999999692,0.0
114.0,146.4356,136.32187,-15.0,-10.113730000000032,0.0
156.0,136.32187,148.95432,42.0,12.632450000000006,0.0
282.0,148.95432,149.76605,126.0,0.8117300000000114,1.0
137.0,149.76605,148.18188,-145.0,-1.5841699999999719,0.0
119.0,148.18188,141.02936,-18.0,-7.152519999999981,0.0
102.0,141.02936,123.44577,-17.0,-17.583590000000015,0.0
118.0,123.44577,123.91582,16.0,0.4700500000000005,0.0
137.0,123.91582,149.27614,19.0,25.36032,0.0
125.0,149.27614,144.81897,-12.0,-4.457170000000019,0.0
154.0,144.81897,149.50192,29.0,4.682950000000005,0.0
133.0,149.50192,147.38126,-21.0,-2.1206600000000435,0.0
150.0,147.38126,149.35661,17.0,1.9753499999999917,0.0
132.0,149.35661,147.13428,-18.0,-2.2223299999999995,0.0
106.0,147.13428,127.48584,-26.0,-19.648439999999994,0.0
141.0,127.48584,142.18262,35.0,14.69677999999999,0.0
118.0,142.18262,143.99066,-23.0,1.8080400000000054,0.0
112.0,143.99066,132.22925,-6.0,-11.761409999999955,0.0
205.0,132.22925,149.628,93.0,17.39874999999998,1.0
108.0,149.628,128.97481,-97.0,-20.653189999999995,0.0
113.0,128.97481,121.51392,5.0,-7.460890000000006,0.0
125.0,121.51392,145.15887,12.0,23.64495000000001,0.0
150.0,145.15887,149.41632,25.0,4.257450000000006,0.0
98.0,149.41632,121.18344,-52.0,-28.232880000000023,0.0
118.0,121.18344,129.57486,20.0,8.391419999999997,0.0
133.0,129.57486,148.80817,15.0,19.23330999999999,0.0
117.0,148.80817,138.46048,-16.0,-10.34769,0.0
118.0,138.46048,139.22632,1.0,0.7658399999999972,0.0
245.0,139.22632,149.75507,127.0,10.528750000000002,1.0
85.0,149.75507,114.002846,-160.0,-35.752223999999956,0.0
74.0,114.002846,96.498314,-11.0,-17.50453200000004,0.0
94.0,96.498314,94.37001,20.0,-2.128304000000014,0.0
101.0,94.37001,133.67314,7.0,39.303129999999996,0.0
110.0,133.67314,140.1348,9.0,6.461660000000023,0.0
109.0,140.1348,131.13615,-1.0,-8.998649999999998,0.0
125.0,131.13615,133.15877,16.0,2.0226200000000176,0.0
108.0,133.15877,141.56921,-17.0,8.410439999999994,0.0
100.0,141.56921,109.623184,-8.0,-31.946026000000018,0.0
114.0,109.623184,140.33319,14.0,30.710006000000007,0.0
195.0,140.33319,149.75877,81.0,9.425579999999997,1.0
137.0,149.75877,148.18285,-58.0,-1.5759199999999964,0.0
151.0,148.18285,149.39935,14.0,1.2164999999999964,0.0
161.0,149.39935,149.63437,10.0,0.23501999999999157,0.0
157.0,149.63437,149.57027,-4.0,-0.06409999999999627,0.0
155.0,149.57027,149.52597,-2.0,-0.0443000000000211,0.0
283.0,149.52597,149.76617,128.0,0.2401999999999873,1.0
175.0,149.76617,149.73051,-108.0,-0.03566000000000713,0.0
169.0,149.73051,149.70523,-6.0,-0.025280000000009295,0.0
204.0,149.70523,149.7615,35.0,0.05627000000001203,0.0
189.0,149.7615,149.7544,-15.0,-0.007100000000036744,0.0
161.0,149.7544,149.63461,-28.0,-0.11978999999996631,0.0
160.0,149.63461,149.62138,-1.0,-0.013230000000021391,0.0
151.0,149.62138,149.40247,-9.0,-0.21890999999999394,0.0
245.0,149.40247,149.76524,94.0,0.3627700000000118,1.0
159.0,149.76524,149.60538,-86.0,-0.15985999999998057,0.0
177.0,149.60538,149.73616,18.0,0.13078000000001566,0.0
175.0,149.73616,149.73059,-2.0,-0.00557000000003427,0.0
156.0,149.73059,149.5488,-19.0,-0.18178999999997814,0.0
180.0,149.5488,149.7427,24.0,0.1939000000000135,0.0
148.0,149.7427,149.26643,-32.0,-0.4762699999999995,0.0
243.0,149.26643,149.76512,95.0,0.4986899999999821,1.0
168.0,149.76512,149.69913,-75.0,-0.06598999999999933,0.0
152.0,149.69913,149.43805,-16.0,-0.26107999999999265,0.0
161.0,149.43805,149.63504,9.0,0.19698999999999955,0.0
174.0,149.63504,149.72736,13.0,0.09232000000000085,0.0
163.0,149.72736,149.65828,-11.0,-0.06907999999998538,0.0
178.0,149.65828,149.73859,15.0,0.08030999999999722,0.0
167.0,149.73859,149.69266,-11.0,-0.04592999999999847,0.0
176.0,149.69266,149.73352,9.0,0.04086000000000922,0.0
162.0,149.73352,149.64716,-14.0,-0.08636000000001332,0.0
172.0,149.64716,149.71983,10.0,0.07266999999998802,0.0
169.0,149.71983,149.70523,-3.0,-0.014599999999973079,0.0
155.0,149.70523,149.52556,-14.0,-0.17966999999998734,0.0
250.0,149.52556,149.76546,95.0,0.23989999999997735,1.0
206.0,149.76546,149.762,-44.0,-0.0034600000000182263,0.0
201.0,149.762,149.7607,-5.0,-0.0013000000000147338,0.0
206.0,149.7607,149.762,5.0,0.001299999999986312,0.0
211.0,149.762,149.76291,5.0,0.0009100000000046293,0.0
184.0,149.76291,149.74911,-27.0,-0.013800000000003365,0.0
203.0,149.74911,149.76126,19.0,0.012149999999991223,0.0
284.0,149.76126,149.76627,81.0,0.005009999999998627,1.0
230.0,149.76627,149.76471,-54.0,-0.0015599999999835745,0.0
237.0,149.76471,149.76508,7.0,0.0003700000000037562,0.0
241.0,149.76508,149.76523,4.0,0.00014999999999076863,0.0
266.0,149.76523,149.76593,25.0,0.0006999999999948159,0.0
244.0,149.76593,149.76535,-22.0,-0.0005800000000135697,0.0
238.0,149.76535,149.7651,-6.0,-0.0002500000000509317,0.0
242.0,149.7651,149.76526,4.0,0.00016000000002236447,0.0
233.0,149.76526,149.7649,-9.0,-0.0003600000000005821,0.0
