outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre,is_oddball
98.0,175.01859,92.94009,,,-1.0
87.0,92.94009,86.371376,-11.0,-6.568714,-1.0
91.0,86.371376,90.908714,4.0,4.537338000000005,-1.0
115.0,90.908714,118.357346,24.0,27.448632000000003,-1.0
103.0,118.357346,111.56052,-12.0,-6.79682600000001,-1.0
85.0,111.56052,97.83682,-18.0,-13.723700000000008,-1.0
108.0,97.83682,118.39286,23.0,20.556039999999996,-1.0
94.0,118.39286,104.635994,-14.0,-13.756866000000002,-1.0
107.0,104.635994,118.191025,13.0,13.555031,-1.0
117.0,118.191025,129.00578,10.0,10.814754999999991,-1.0
84.0,129.00578,95.75949,-33.0,-33.24628999999999,-1.0
279.0,95.75949,267.6852,-165.0,171.92571,-1.0
267.0,267.6852,272.36243,-12.0,4.677230000000009,-1.0
282.0,272.36243,275.94995,15.0,3.5875199999999836,-1.0
285.0,275.94995,276.62714,3.0,0.677189999999996,-1.0
283.0,276.62714,276.43683,-2.0,-0.19031000000001086,-1.0
282.0,276.43683,276.29837,-1.0,-0.13846000000000913,-1.0
275.0,276.29837,274.97614,-7.0,-1.3222299999999905,-1.0
287.0,274.97614,276.77838,12.0,1.8022400000000403,-1.0
261.0,276.77838,268.5671,-26.0,-8.211280000000045,-1.0
272.0,268.5671,271.49307,11.0,2.9259700000000066,-1.0
265.0,271.49307,268.08676,-7.0,-3.406309999999962,-1.0
137.0,268.08676,134.8252,-128.0,-133.26156000000003,-1.0
132.0,134.8252,129.12381,-5.0,-5.7013900000000035,-1.0
132.0,129.12381,128.29752,0.0,-0.8262899999999718,-1.0
150.0,128.29752,144.89717,18.0,16.599649999999997,-1.0
156.0,144.89717,151.5327,6.0,6.635530000000017,-1.0
117.0,151.5327,134.52191,-39.0,-17.010790000000043,-1.0
133.0,134.52191,144.97688,16.0,10.454970000000003,-1.0
141.0,144.97688,148.87099,8.0,3.894110000000012,-1.0
138.0,148.87099,150.60738,-3.0,1.73639,-1.0
143.0,150.60738,154.77936,5.0,4.171979999999991,-1.0
121.0,154.77936,145.05324,-22.0,-9.726120000000037,-1.0
127.0,145.05324,149.99207,6.0,4.938830000000024,-1.0
144.0,149.99207,157.68459,17.0,7.692519999999973,-1.0
137.0,157.68459,157.00858,-7.0,-0.6760100000000193,-1.0
129.0,157.00858,153.57562,-8.0,-3.43295999999998,-1.0
105.0,153.57562,127.09863,-24.0,-26.47699,-1.0
112.0,127.09863,136.19414,7.0,9.095510000000004,-1.0
112.0,136.19414,132.76466,0.0,-3.4294800000000123,-1.0
102.0,132.76466,118.28294,-10.0,-14.481719999999996,-1.0
106.0,118.28294,122.534134,4.0,4.251193999999998,-1.0
109.0,122.534134,123.854645,3.0,1.3205110000000104,-1.0
119.0,123.854645,132.0953,10.0,8.240655000000004,-1.0
137.0,132.0953,143.22694,18.0,11.131640000000004,-1.0
283.0,143.22694,268.7209,146.0,125.49395999999996,-1.0
297.0,268.7209,277.1709,14.0,8.450000000000045,-1.0
295.0,277.1709,277.36023,-2.0,0.189329999999984,-1.0
289.0,277.36023,277.0311,-6.0,-0.3291300000000206,-1.0
276.0,277.0311,275.28647,-13.0,-1.7446299999999724,-1.0
310.0,275.28647,277.7403,34.0,2.453829999999982,-1.0
301.0,277.7403,277.58145,-9.0,-0.15884999999997262,-1.0
299.0,277.58145,277.52133,-2.0,-0.06012000000004036,-1.0
316.0,277.52133,277.82,17.0,0.29867000000001553,-1.0
304.0,277.82,277.65408,-12.0,-0.16591999999997142,-1.0
293.0,277.65408,277.2799,-11.0,-0.37418000000002394,-1.0
291.0,277.2799,277.16086,-2.0,-0.11903999999998405,-1.0
311.0,277.16086,277.76526,20.0,0.6043999999999983,-1.0
266.0,277.76526,271.79254,-45.0,-5.972720000000038,-1.0
284.0,271.79254,276.18835,18.0,4.39581000000004,-1.0
274.0,276.18835,274.66797,-10.0,-1.5203799999999887,-1.0
310.0,274.66797,277.7362,36.0,3.0682299999999714,-1.0
283.0,277.7362,276.4832,-27.0,-1.252999999999986,-1.0
258.0,276.4832,266.16528,-25.0,-10.317920000000015,-1.0
