outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre,is_oddball
260.0,183.60953,238.54599,,,-1.0
245.0,238.54599,243.82594,-15.0,5.279950000000014,-1.0
248.0,243.82594,246.44897,3.0,2.62303,-1.0
243.0,246.44897,248.06847,-5.0,1.619499999999988,-1.0
261.0,248.06847,255.31586,18.0,7.247389999999996,-1.0
260.0,255.31586,259.5682,-1.0,4.252340000000004,-1.0
251.0,259.5682,255.34956,-9.0,-4.2186399999999935,-1.0
261.0,255.34956,259.81567,10.0,4.466110000000015,-1.0
265.0,259.81567,273.08337,4.0,13.26769999999999,-1.0
229.0,273.08337,248.53445,-36.0,-24.54892000000001,-1.0
210.0,248.53445,222.69447,-19.0,-25.83997999999997,-1.0
225.0,222.69447,225.94275,15.0,3.248279999999994,-1.0
219.0,225.94275,225.81175,-6.0,-0.1309999999999718,-1.0
215.0,225.81175,221.67462,-4.0,-4.1371299999999565,-1.0
222.0,221.67462,225.06444,7.0,3.389819999999986,-1.0
244.0,225.06444,241.11842,22.0,16.053979999999996,-1.0
209.0,241.11842,220.55795,-35.0,-20.56047000000001,-1.0
94.0,220.55795,127.34049,-115.0,-93.21746000000002,-1.0
110.0,127.34049,127.11085,16.0,-0.2296400000000176,-1.0
95.0,127.11085,124.80207,-15.0,-2.308780000000013,-1.0
116.0,124.80207,126.070305,21.0,1.2682350000000042,-1.0
111.0,126.070305,131.48491,-5.0,5.414605000000009,-1.0
132.0,131.48491,137.15912,21.0,5.674209999999988,-1.0
115.0,137.15912,134.0297,-17.0,-3.129419999999982,-1.0
106.0,134.0297,134.57098,-9.0,0.5412800000000004,-1.0
112.0,134.57098,135.18634,6.0,0.6153600000000097,-1.0
121.0,135.18634,135.50482,9.0,0.3184799999999939,-1.0
115.0,135.50482,135.00516,-6.0,-0.49966000000000577,-1.0
92.0,135.00516,132.78693,-23.0,-2.2182299999999486,-1.0
92.0,132.78693,132.25838,0.0,-0.5285499999999956,-1.0
83.0,132.25838,126.87085,-9.0,-5.38752999999997,-1.0
74.0,126.87085,113.89796,-9.0,-12.972890000000007,-1.0
72.0,113.89796,109.392395,-2.0,-4.50556499999999,-1.0
70.0,109.392395,101.0422,-2.0,-8.350194999999985,-1.0
89.0,101.0422,106.95138,19.0,5.909180000000006,-1.0
84.0,106.95138,106.833046,-5.0,-0.11833400000000438,-1.0
69.0,106.833046,90.51025,-15.0,-16.322795999999983,-1.0
70.0,90.51025,91.80907,1.0,1.2988200000000063,-1.0
86.0,91.80907,98.98466,16.0,7.17559,-1.0
73.0,98.98466,95.35316,-13.0,-3.631500000000017,-1.0
32.0,95.35316,49.371964,-41.0,-45.98119600000001,-1.0
21.0,49.371964,54.648594,-11.0,5.276630000000004,-1.0
22.0,54.648594,79.7237,1.0,25.07510599999999,-1.0
32.0,79.7237,89.11418,10.0,9.39048000000001,-1.0
34.0,89.11418,94.69828,2.0,5.584099999999992,-1.0
18.0,94.69828,107.274666,-16.0,12.576386,-1.0
65.0,107.274666,118.46167,47.0,11.187004000000002,-1.0
18.0,118.46167,77.37228,-47.0,-41.08938999999998,-1.0
24.0,77.37228,88.675766,6.0,11.303485999999992,-1.0
113.0,88.675766,153.75143,89.0,65.075664,-1.0
131.0,153.75143,152.3291,18.0,-1.422329999999988,-1.0
119.0,152.3291,141.80057,-12.0,-10.528530000000046,-1.0
138.0,141.80057,151.27397,19.0,9.473399999999998,-1.0
133.0,151.27397,151.67169,-5.0,0.39772000000002095,-1.0
214.0,151.67169,133.46838,81.0,-18.203309999999988,-1.0
218.0,133.46838,178.38242,4.0,44.91404,-1.0
224.0,178.38242,194.78593,6.0,16.40351000000001,-1.0
211.0,194.78593,201.89397,-13.0,7.108039999999988,-1.0
215.0,201.89397,201.88684,4.0,-0.007129999999961001,-1.0
224.0,201.88684,201.71216,9.0,-0.17467999999996664,-1.0
216.0,201.71216,203.89124,-8.0,2.179079999999999,-1.0
226.0,203.89124,204.59149,10.0,0.7002499999999827,-1.0
217.0,204.59149,207.4157,-9.0,2.8242099999999937,-1.0
55.0,207.4157,76.18385,-162.0,-131.23184999999998,-1.0
45.0,76.18385,57.44969,-10.0,-18.73416000000003,-1.0
50.0,57.44969,48.05646,5.0,-9.393230000000017,-1.0
40.0,48.05646,59.579815,-10.0,11.523355000000002,-1.0
45.0,59.579815,83.75106,5.0,24.171244999999992,-1.0
48.0,83.75106,95.19482,3.0,11.443760000000012,-1.0
221.0,95.19482,138.56918,173.0,43.37435999999998,-1.0
250.0,138.56918,188.11124,29.0,49.54206000000002,-1.0
221.0,188.11124,221.68793,-29.0,33.576689999999985,-1.0
247.0,221.68793,238.01852,26.0,16.33059,-1.0
167.0,238.01852,182.36252,-80.0,-55.656000000000006,-1.0
171.0,182.36252,187.61325,4.0,5.250730000000004,-1.0
195.0,187.61325,197.77948,24.0,10.166230000000013,-1.0
168.0,197.77948,195.89932,-27.0,-1.8801600000000462,-1.0
