outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre,is_oddball
70.0,192.01772,82.56513,,,0.0
82.0,82.56513,53.244663,12.0,-29.320467000000008,0.0
85.0,53.244663,92.31102,3.0,39.066356999999996,0.0
100.0,92.31102,128.67343,15.0,36.36241,0.0
91.0,128.67343,119.18592,-9.0,-9.487509999999986,0.0
258.0,119.18592,173.35835,167.0,54.172430000000006,1.0
101.0,173.35835,105.1622,-157.0,-68.19614999999999,0.0
108.0,105.1622,114.62125,7.0,9.459050000000005,0.0
94.0,114.62125,97.80968,-14.0,-16.811570000000017,0.0
93.0,97.80968,96.35015,-1.0,-1.4595299999999725,0.0
94.0,96.35015,102.00481,1.0,5.654660000000007,0.0
76.0,102.00481,94.33929,-18.0,-7.665520000000015,0.0
84.0,94.33929,101.81492,8.0,7.475629999999995,0.0
78.0,101.81492,101.32199,-6.0,-0.4929300000000012,0.0
60.0,101.32199,82.63259,-18.0,-18.689399999999978,0.0
81.0,82.63259,89.32292,21.0,6.690330000000003,0.0
81.0,89.32292,113.18915,0.0,23.86623,0.0
209.0,113.18915,166.69676,128.0,53.507610000000014,1.0
87.0,166.69676,91.12907,-122.0,-75.56769000000003,0.0
74.0,91.12907,82.025955,-13.0,-9.103115000000003,0.0
47.0,82.025955,55.208935,-27.0,-26.817020000000014,0.0
57.0,55.208935,41.522343,10.0,-13.686592000000019,0.0
53.0,41.522343,58.19283,-4.0,16.670487,0.0
57.0,58.19283,73.75045,4.0,15.55762,0.0
48.0,73.75045,83.25924,-9.0,9.508790000000005,0.0
46.0,83.25924,85.40208,-2.0,2.1428399999999925,0.0
170.0,85.40208,162.65137,124.0,77.24928999999999,1.0
58.0,162.65137,65.02854,-112.0,-97.62282999999996,0.0
70.0,65.02854,61.10203,12.0,-3.9265100000000075,0.0
52.0,61.10203,54.979816,-18.0,-6.122213999999985,0.0
67.0,54.979816,76.23849,15.0,21.258674,0.0
58.0,76.23849,87.18673,-9.0,10.948239999999998,0.0
76.0,87.18673,105.24742,18.0,18.060690000000008,0.0
58.0,105.24742,85.55637,-18.0,-19.69105000000002,0.0
77.0,85.55637,86.869194,19.0,1.312823999999992,0.0
94.0,86.869194,115.54303,17.0,28.67383600000001,0.0
77.0,115.54303,111.79109,-17.0,-3.7519399999999905,0.0
78.0,111.79109,112.557594,1.0,0.7665039999999976,0.0
211.0,112.557594,167.01707,133.0,54.459475999999995,1.0
94.0,167.01707,100.210724,-117.0,-66.80634599999996,0.0
105.0,100.210724,114.42694,11.0,14.216216000000003,0.0
106.0,114.42694,109.13575,1.0,-5.291190000000029,0.0
105.0,109.13575,107.342735,-1.0,-1.7930149999999685,0.0
101.0,107.342735,106.35093,-4.0,-0.9918049999999994,0.0
95.0,106.35093,108.55297,-6.0,2.2020399999999967,0.0
84.0,108.55297,107.52277,-11.0,-1.0302000000000362,0.0
103.0,107.52277,119.836,19.0,12.313230000000004,0.0
294.0,119.836,178.94066,-169.0,59.10466000000001,1.0
115.0,178.94066,119.847755,-179.0,-59.09290499999997,0.0
102.0,119.847755,110.396385,-13.0,-9.451369999999997,0.0
110.0,110.396385,111.414085,8.0,1.017700000000005,0.0
132.0,111.414085,124.22103,22.0,12.806944999999999,0.0
128.0,124.22103,130.27034,-4.0,6.0493100000000055,0.0
122.0,130.27034,133.88164,-6.0,3.6113,0.0
125.0,133.88164,141.6704,3.0,7.788759999999996,0.0
123.0,141.6704,147.49617,-2.0,5.825770000000006,0.0
131.0,147.49617,155.9171,8.0,8.420929999999998,0.0
147.0,155.9171,165.4495,16.0,9.532399999999996,0.0
140.0,165.4495,169.08896,-7.0,3.6394599999999855,0.0
123.0,169.08896,162.14648,-17.0,-6.942479999999989,0.0
309.0,162.14648,188.54347,-174.0,26.396990000000017,1.0
136.0,188.54347,145.38333,-173.0,-43.16014000000001,0.0
125.0,145.38333,132.34747,-11.0,-13.035860000000014,0.0
123.0,132.34747,129.11584,-2.0,-3.2316299999999956,0.0
130.0,129.11584,135.08151,7.0,5.965670000000017,0.0
152.0,135.08151,149.79152,22.0,14.710009999999983,0.0
148.0,149.79152,160.75533,-4.0,10.963809999999995,0.0
150.0,160.75533,168.7764,2.0,8.021070000000009,0.0
138.0,168.7764,169.29831,-12.0,0.5219099999999912,0.0
283.0,169.29831,188.21098,145.0,18.91267000000002,1.0
169.0,188.21098,189.54774,-114.0,1.3367599999999982,0.0
