distMean_true,outcome_true,outcome_pre,is_oddball
321.0,329.0,234.46127,-1.0
321.0,342.0,274.10822,-1.0
321.0,341.0,274.30402,-1.0
321.0,340.0,274.2997,-1.0
321.0,320.0,274.29605,-1.0
321.0,318.0,274.02884,-1.0
321.0,318.0,273.95923,-1.0
321.0,320.0,273.95816,-1.0
321.0,321.0,274.02173,-1.0
321.0,329.0,274.05066,-1.0
321.0,330.0,274.20532,-1.0
321.0,324.0,274.2205,-1.0
47.0,48.0,274.12506,-1.0
47.0,52.0,62.922054,-1.0
47.0,51.0,55.287266,-1.0
47.0,53.0,42.626354,-1.0
47.0,64.0,63.20922,-1.0
47.0,38.0,79.35663,-1.0
47.0,38.0,35.266792,-1.0
186.0,186.0,51.212044,-1.0
186.0,199.0,182.41077,-1.0
186.0,184.0,246.47076,-1.0
186.0,190.0,188.66406,-1.0
186.0,172.0,195.83551,-1.0
77.0,100.0,165.04524,-1.0
77.0,65.0,114.9448,-1.0
77.0,88.0,71.08205,-1.0
77.0,84.0,73.556854,-1.0
77.0,78.0,79.493256,-1.0
77.0,81.0,116.70108,-1.0
77.0,77.0,115.296524,-1.0
77.0,86.0,89.271805,-1.0
77.0,61.0,116.00137,-1.0
77.0,72.0,62.071823,-1.0
77.0,76.0,85.53329,-1.0
224.0,226.0,76.72916,-1.0
224.0,221.0,226.52612,-1.0
224.0,217.0,233.13626,-1.0
224.0,231.0,203.88309,-1.0
224.0,212.0,220.54448,-1.0
224.0,229.0,216.36528,-1.0
224.0,225.0,200.71043,-1.0
224.0,222.0,201.73415,-1.0
224.0,233.0,211.16293,-1.0
224.0,221.0,207.85603,-1.0
47.0,46.0,203.09004,-1.0
47.0,59.0,53.15376,-1.0
47.0,51.0,67.525406,-1.0
47.0,46.0,51.83771,-1.0
47.0,38.0,51.88699,-1.0
108.0,112.0,43.253136,-1.0
108.0,125.0,124.075455,-1.0
108.0,103.0,179.5304,-1.0
108.0,120.0,101.82561,-1.0
108.0,107.0,156.2378,-1.0
108.0,102.0,122.17452,-1.0
108.0,94.0,111.14048,-1.0
219.0,224.0,97.065575,-1.0
219.0,231.0,207.0373,-1.0
219.0,228.0,234.29457,-1.0
219.0,204.0,224.2095,-1.0
219.0,215.0,211.4139,-1.0
219.0,220.0,197.80202,-1.0
219.0,208.0,203.96542,-1.0
219.0,214.0,198.83707,-1.0
219.0,253.0,196.67973,-1.0
219.0,216.0,230.85776,-1.0
219.0,211.0,218.19455,-1.0
219.0,229.0,193.99457,-1.0
219.0,218.0,197.99149,-1.0
264.0,276.0,211.96265,-1.0
264.0,254.0,247.05063,-1.0
264.0,267.0,251.02405,-1.0
253.0,278.0,252.96909,-1.0
253.0,239.0,261.2152,-1.0
253.0,257.0,237.59047,-1.0
253.0,260.0,239.79242,-1.0
