distMean_true,outcome_true,outcome_pre,is_oddball
252.0,257.0,234.46127,0.0
248.0,243.0,271.9151,0.0
250.0,263.0,241.02878,0.0
237.0,259.0,248.70706,0.0
218.0,200.0,246.18834,0.0
221.0,206.0,193.86536,0.0
214.0,220.0,200.5788,0.0
212.0,204.0,210.85495,0.0
193.0,208.0,193.07681,0.0
180.0,175.0,192.22304,0.0
164.0,159.0,176.89519,0.0
174.0,175.0,161.61124,0.0
154.0,154.0,173.30563,0.0
161.0,165.0,157.82095,0.0
173.0,250.0,161.21684,1.0
155.0,169.0,223.47086,0.0
175.0,186.0,182.83276,0.0
166.0,175.0,180.5383,0.0
150.0,161.0,158.71928,0.0
156.0,150.0,169.37268,0.0
141.0,278.0,160.17374,1.0
154.0,138.0,258.34427,0.0
159.0,160.0,143.46274,0.0
150.0,145.0,151.80554,0.0
140.0,129.0,141.53218,0.0
141.0,138.0,141.8024,0.0
140.0,146.0,149.70013,0.0
150.0,149.0,152.89024,0.0
147.0,158.0,159.98137,0.0
140.0,132.0,164.92914,0.0
136.0,130.0,161.93556,0.0
121.0,126.0,147.40329,0.0
141.0,129.0,168.39874,0.0
157.0,143.0,150.47485,0.0
165.0,158.0,175.39163,0.0
164.0,291.0,176.06877,1.0
155.0,156.0,254.6412,0.0
159.0,165.0,166.70392,0.0
170.0,166.0,161.59004,0.0
159.0,172.0,153.85802,0.0
176.0,172.0,169.07141,0.0
192.0,179.0,169.41945,0.0
200.0,201.0,181.90253,0.0
216.0,226.0,197.93555,0.0
202.0,193.0,230.35532,0.0
220.0,223.0,199.92917,0.0
221.0,302.0,205.63716,1.0
237.0,236.0,256.5792,0.0
220.0,228.0,240.74066,0.0
213.0,207.0,221.18349,0.0
228.0,216.0,196.29663,0.0
218.0,414.0,204.40298,1.0
225.0,232.0,267.8529,0.0
228.0,211.0,234.50186,0.0
209.0,205.0,210.17136,0.0
200.0,196.0,193.27504,0.0
210.0,214.0,194.60175,0.0
200.0,202.0,199.78244,0.0
216.0,212.0,192.27942,0.0
225.0,240.0,199.94577,0.0
221.0,218.0,219.86945,0.0
231.0,237.0,211.32487,0.0
238.0,239.0,208.88503,0.0
250.0,261.0,209.5939,0.0
238.0,368.0,243.71252,1.0
245.0,244.0,272.07776,0.0
227.0,245.0,242.84192,0.0
208.0,193.0,237.80722,0.0
204.0,210.0,188.62332,0.0
218.0,366.0,205.68561,1.0
220.0,225.0,267.72128,0.0
239.0,233.0,227.49799,0.0
222.0,241.0,228.01166,0.0
217.0,207.0,222.33649,0.0
221.0,218.0,209.48013,0.0
214.0,220.0,193.2136,0.0
219.0,220.0,196.74124,0.0
215.0,209.0,209.72958,0.0
215.0,205.0,196.65504,0.0
228.0,224.0,192.06622,0.0
230.0,235.0,208.44847,0.0
227.0,221.0,219.14047,0.0
238.0,416.0,206.18845,1.0
238.0,222.0,266.29822,0.0
234.0,236.0,225.83066,0.0
216.0,216.0,230.24416,0.0
235.0,225.0,209.67657,0.0
250.0,307.0,221.83519,1.0
257.0,271.0,262.99615,0.0
263.0,266.0,264.53918,0.0
260.0,272.0,258.65363,0.0
278.0,266.0,260.8078,0.0
266.0,259.0,256.48312,0.0
271.0,260.0,249.96164,0.0
254.0,253.0,247.43759,0.0
258.0,258.0,241.1196,0.0
266.0,265.0,240.92624,0.0
258.0,257.0,247.61119,0.0
243.0,414.0,246.40187,1.0
253.0,270.0,271.0517,0.0
249.0,254.0,263.5448,0.0
245.0,239.0,251.14099,0.0
257.0,247.0,234.53813,0.0
277.0,292.0,227.09708,0.0
285.0,307.0,259.48383,0.0
267.0,446.0,273.0327,1.0
261.0,271.0,273.48413,0.0
262.0,265.0,262.79623,0.0
243.0,248.0,258.89255,0.0
248.0,254.0,243.74472,0.0
245.0,243.0,238.48782,0.0
265.0,267.0,229.96385,0.0
248.0,260.0,249.42273,0.0
252.0,239.0,249.80797,0.0
232.0,258.0,231.35234,0.0
226.0,227.0,236.32526,0.0
218.0,401.0,226.88168,1.0
224.0,220.0,268.72705,0.0
215.0,203.0,223.32877,0.0
200.0,207.0,203.87024,0.0
212.0,214.0,194.31119,0.0
205.0,219.0,209.75803,0.0
223.0,218.0,203.45052,0.0
209.0,215.0,198.2506,0.0
223.0,227.0,201.79613,0.0
218.0,216.0,208.25613,0.0
227.0,230.0,201.57294,0.0
237.0,241.0,207.69012,0.0
251.0,258.0,219.42175,0.0
250.0,321.0,238.58426,1.0
246.0,240.0,271.42908,0.0
246.0,258.0,239.15582,0.0
255.0,264.0,245.72688,0.0
241.0,230.0,246.9675,0.0
231.0,233.0,226.40381,0.0
233.0,233.0,219.55603,0.0
228.0,223.0,223.89816,0.0
219.0,214.0,215.51462,0.0
228.0,227.0,198.0978,0.0
246.0,331.0,204.48479,1.0
237.0,230.0,268.12772,0.0
227.0,214.0,232.04129,0.0
215.0,218.0,210.84442,0.0
203.0,209.0,199.84593,0.0
216.0,224.0,204.72281,0.0
233.0,237.0,199.66599,0.0
240.0,348.0,207.65509,1.0
222.0,229.0,269.3335,0.0
238.0,225.0,230.57718,0.0
244.0,249.0,220.07281,0.0
225.0,226.0,220.25879,0.0
205.0,200.0,230.67108,0.0
198.0,188.0,193.43994,0.0
184.0,193.0,184.65105,0.0
186.0,181.0,192.9544,0.0
188.0,349.0,182.16669,1.0
183.0,192.0,263.4652,0.0
167.0,166.0,198.75926,0.0
169.0,167.0,176.92856,0.0
169.0,173.0,161.34497,0.0
181.0,173.0,181.084,0.0
191.0,247.0,175.29822,1.0
182.0,167.0,243.87231,0.0
196.0,210.0,172.39374,0.0
200.0,193.0,196.09236,0.0
218.0,215.0,175.83018,0.0
234.0,253.0,222.74336,0.0
234.0,222.0,246.25717,0.0
228.0,230.0,216.97337,0.0
210.0,212.0,217.12221,0.0
196.0,205.0,208.26154,0.0
178.0,182.0,191.50056,0.0
182.0,184.0,176.55563,0.0
170.0,168.0,187.0451,0.0
170.0,322.0,169.55537,1.0
185.0,199.0,259.5148,0.0
191.0,178.0,206.12329,0.0
173.0,160.0,183.01865,0.0
182.0,171.0,155.00403,0.0
187.0,190.0,174.29004,0.0
180.0,190.0,186.32085,0.0
187.0,201.0,195.09264,0.0
206.0,218.0,202.18977,0.0
206.0,190.0,210.70862,0.0
187.0,185.0,184.68958,0.0
190.0,211.0,182.05661,0.0
181.0,256.0,204.85364,1.0
172.0,167.0,242.48674,0.0
156.0,157.0,170.8487,0.0
142.0,145.0,164.66756,0.0
158.0,151.0,144.32278,0.0
158.0,164.0,158.28323,0.0
151.0,149.0,159.32715,0.0
131.0,126.0,155.08853,0.0
151.0,152.0,156.57521,0.0
147.0,147.0,166.15562,0.0
154.0,213.0,165.51218,1.0
139.0,141.0,210.8592,0.0
142.0,121.0,161.6969,0.0
145.0,140.0,146.93394,0.0
131.0,116.0,169.65155,0.0
151.0,133.0,133.51108,0.0
169.0,327.0,157.09058,1.0
174.0,182.0,268.03162,0.0
165.0,141.0,189.85663,0.0
167.0,158.0,157.57367,0.0
171.0,171.0,168.8075,0.0
155.0,149.0,188.53494,0.0
139.0,126.0,162.42401,0.0
147.0,130.0,146.46895,0.0
162.0,150.0,156.00735,0.0
163.0,165.0,172.29178,0.0
165.0,229.0,169.17798,1.0
158.0,161.0,227.63345,0.0
144.0,153.0,171.98602,0.0
127.0,135.0,168.06982,0.0
125.0,127.0,152.37852,0.0
137.0,148.0,149.4591,0.0
156.0,152.0,167.12405,0.0
140.0,134.0,169.31592,0.0
130.0,128.0,167.56053,0.0
142.0,133.0,148.91663,0.0
152.0,152.0,172.19698,0.0
155.0,157.0,171.7038,0.0
144.0,148.0,174.21353,0.0
146.0,148.0,165.29599,0.0
131.0,296.0,174.62808,1.0
143.0,138.0,267.40454,0.0
131.0,125.0,139.6353,0.0
140.0,141.0,124.790726,0.0
156.0,163.0,156.97069,0.0
154.0,260.0,158.44807,1.0
151.0,146.0,228.09691,0.0
136.0,120.0,162.32272,0.0
140.0,136.0,131.57637,0.0
159.0,144.0,150.623,0.0
159.0,180.0,153.98349,0.0
158.0,153.0,174.87381,0.0
155.0,223.0,152.19537,1.0
172.0,188.0,210.46045,0.0
176.0,172.0,199.52293,0.0
163.0,161.0,171.5576,0.0
153.0,139.0,153.14783,0.0
162.0,157.0,154.96178,0.0
176.0,171.0,160.24582,0.0
166.0,153.0,178.07098,0.0
178.0,168.0,166.62717,0.0
194.0,186.0,177.2255,0.0
200.0,183.0,180.63947,0.0
198.0,197.0,193.19095,0.0
184.0,185.0,203.3292,0.0
170.0,167.0,188.84607,0.0
166.0,157.0,168.33672,0.0
160.0,254.0,162.28497,1.0
162.0,151.0,241.64789,0.0
165.0,170.0,166.61963,0.0
172.0,170.0,164.08774,0.0
182.0,180.0,156.42097,0.0
170.0,167.0,174.85457,0.0
180.0,184.0,169.32506,0.0
182.0,176.0,186.08667,0.0
188.0,176.0,176.23354,0.0
197.0,203.0,183.98515,0.0
189.0,199.0,198.11504,0.0
174.0,178.0,206.69069,0.0
159.0,153.0,181.29327,0.0
140.0,146.0,155.83774,0.0
128.0,134.0,151.72295,0.0
146.0,253.0,144.00334,1.0
166.0,173.0,240.42792,0.0
155.0,152.0,187.20883,0.0
169.0,154.0,160.94173,0.0
153.0,161.0,154.77682,0.0
172.0,172.0,168.05612,0.0
188.0,197.0,167.80476,0.0
168.0,167.0,197.03732,0.0
152.0,149.0,176.99133,0.0
166.0,163.0,162.14539,0.0
150.0,290.0,177.24411,1.0
152.0,163.0,268.71332,0.0
146.0,136.0,165.83102,0.0
143.0,141.0,144.35497,0.0
123.0,144.0,149.28148,0.0
107.0,207.0,157.4288,1.0
113.0,107.0,189.09511,0.0
113.0,105.0,113.3506,0.0
111.0,98.0,102.32854,0.0
112.0,112.0,105.19702,0.0
115.0,120.0,120.56443,0.0
123.0,114.0,119.86997,0.0
129.0,319.0,128.88057,1.0
123.0,129.0,253.90611,0.0
117.0,111.0,138.29805,0.0
136.0,142.0,114.561134,0.0
136.0,130.0,164.25703,0.0
155.0,158.0,123.63337,0.0
138.0,131.0,156.78523,0.0
130.0,137.0,142.86461,0.0
147.0,135.0,146.7751,0.0
140.0,146.0,136.4959,0.0
