distMean_true,outcome_true,outcome_pre,is_oddball
356.0,352.0,192.77461,0.0
356.0,338.0,277.7715,0.0
356.0,357.0,280.93344,0.0
356.0,342.0,280.9745,0.0
356.0,375.0,280.89612,0.0
356.0,357.0,281.00955,0.0
356.0,362.0,280.97366,0.0
356.0,382.0,280.98706,0.0
356.0,426.0,281.0166,1.0
356.0,354.0,281.0508,0.0
356.0,359.0,280.96313,0.0
290.0,302.0,280.97992,0.0
290.0,285.0,278.2789,0.0
290.0,295.0,272.18,0.0
290.0,451.0,276.34955,1.0
290.0,298.0,281.07483,0.0
290.0,272.0,277.2409,0.0
290.0,286.0,261.72186,0.0
290.0,303.0,267.36542,0.0
290.0,313.0,275.79727,0.0
290.0,297.0,279.80234,0.0
290.0,281.0,277.16095,0.0
290.0,265.0,269.4149,0.0
162.0,151.0,254.77122,0.0
162.0,168.0,146.5941,0.0
162.0,166.0,162.16605,0.0
162.0,288.0,167.18617,1.0
253.0,256.0,276.4007,0.0
253.0,272.0,243.5165,0.0
253.0,266.0,256.01083,0.0
253.0,257.0,250.62076,0.0
253.0,262.0,247.48119,0.0
253.0,248.0,249.1525,0.0
253.0,241.0,242.6749,0.0
253.0,249.0,236.47787,0.0
253.0,251.0,237.63126,0.0
72.0,80.0,240.66913,0.0
72.0,161.0,84.65781,1.0
72.0,63.0,153.22264,0.0
147.0,131.0,69.95867,0.0
147.0,137.0,126.29006,0.0
147.0,147.0,134.61438,0.0
147.0,143.0,152.94156,0.0
147.0,143.0,143.88348,0.0
147.0,133.0,149.31207,0.0
147.0,145.0,146.68994,0.0
147.0,269.0,153.13455,1.0
147.0,138.0,266.35675,0.0
261.0,262.0,138.07039,0.0
261.0,269.0,245.20319,0.0
261.0,258.0,267.22015,0.0
261.0,259.0,251.70451,0.0
261.0,387.0,248.60406,1.0
261.0,262.0,280.87134,0.0
261.0,256.0,248.50024,0.0
261.0,248.0,248.73428,0.0
261.0,264.0,240.92252,0.0
261.0,270.0,247.93613,0.0
261.0,273.0,253.10637,0.0
261.0,250.0,255.33511,0.0
261.0,266.0,244.19647,0.0
261.0,273.0,250.16792,0.0
261.0,256.0,254.3948,0.0
86.0,92.0,247.53934,0.0
86.0,172.0,95.13245,1.0
86.0,79.0,158.12334,0.0
86.0,83.0,80.98923,0.0
44.0,49.0,89.13346,0.0
44.0,32.0,63.766396,0.0
44.0,41.0,67.82703,0.0
44.0,61.0,90.73671,0.0
44.0,53.0,80.29841,0.0
44.0,235.0,76.1708,1.0
44.0,42.0,225.06349,0.0
44.0,45.0,44.727455,0.0
44.0,49.0,46.012833,0.0
44.0,50.0,52.559605,0.0
44.0,55.0,64.163284,0.0
44.0,103.0,80.52037,1.0
283.0,278.0,89.53725,0.0
283.0,298.0,254.0476,0.0
283.0,275.0,280.20135,0.0
283.0,270.0,263.13202,0.0
283.0,269.0,258.02692,0.0
283.0,293.0,253.59198,0.0
283.0,281.0,264.46527,0.0
283.0,291.0,261.02277,0.0
283.0,275.0,266.4004,0.0
283.0,361.0,258.05194,1.0
283.0,293.0,280.8999,0.0
210.0,211.0,275.6125,0.0
210.0,218.0,204.22142,0.0
210.0,208.0,220.36627,0.0
210.0,214.0,207.45123,0.0
210.0,212.0,203.73233,0.0
210.0,197.0,200.76135,0.0
210.0,366.0,195.80058,1.0
210.0,216.0,281.00964,0.0
67.0,66.0,205.72198,0.0
67.0,52.0,69.314575,0.0
