distMean_true,outcome_true,outcome_pre,is_oddball
356.0,366.0,220.0334,-1.0
356.0,352.0,293.7027,-1.0
356.0,354.0,311.089,-1.0
356.0,363.0,311.45355,-1.0
356.0,354.0,310.79294,-1.0
356.0,346.0,311.47726,-1.0
356.0,352.0,311.88727,-1.0
356.0,348.0,311.56592,-1.0
356.0,359.0,311.7939,-1.0
356.0,359.0,311.09366,-1.0
356.0,365.0,311.12286,-1.0
290.0,301.0,310.641,-1.0
290.0,286.0,310.0467,-1.0
290.0,283.0,306.06436,-1.0
290.0,287.0,305.12146,-1.0
290.0,297.0,307.49725,-1.0
290.0,297.0,310.24783,-1.0
290.0,302.0,310.0736,-1.0
290.0,294.0,310.91782,-1.0
290.0,303.0,309.26898,-1.0
290.0,299.0,311.0462,-1.0
290.0,297.0,310.42053,-1.0
290.0,288.0,310.01956,-1.0
162.0,164.0,307.2288,-1.0
162.0,162.0,182.96738,-1.0
162.0,178.0,152.80798,-1.0
162.0,155.0,170.42273,-1.0
253.0,246.0,178.81091,-1.0
253.0,241.0,173.98714,-1.0
253.0,253.0,194.60544,-1.0
253.0,248.0,206.52847,-1.0
253.0,242.0,223.38364,-1.0
253.0,267.0,233.99268,-1.0
253.0,230.0,247.4381,-1.0
253.0,252.0,252.95337,-1.0
253.0,265.0,269.23688,-1.0
72.0,64.0,288.7612,-1.0
72.0,60.0,161.00613,-1.0
72.0,65.0,86.65596,-1.0
147.0,153.0,87.689835,-1.0
147.0,148.0,88.531006,-1.0
147.0,154.0,108.0834,-1.0
147.0,158.0,135.64334,-1.0
147.0,151.0,159.84984,-1.0
147.0,156.0,178.86606,-1.0
147.0,156.0,177.44495,-1.0
147.0,150.0,179.08324,-1.0
147.0,146.0,176.74294,-1.0
261.0,248.0,173.71445,-1.0
261.0,237.0,166.95749,-1.0
261.0,260.0,190.9881,-1.0
261.0,278.0,199.85376,-1.0
261.0,272.0,220.32907,-1.0
261.0,244.0,253.62242,-1.0
261.0,268.0,270.3756,-1.0
261.0,268.0,290.06042,-1.0
261.0,262.0,305.43518,-1.0
261.0,254.0,292.7469,-1.0
261.0,267.0,280.02707,-1.0
261.0,262.0,298.8354,-1.0
261.0,278.0,294.70953,-1.0
261.0,249.0,304.90778,-1.0
261.0,267.0,271.97943,-1.0
86.0,90.0,292.39526,-1.0
86.0,79.0,161.57108,-1.0
86.0,79.0,87.414894,-1.0
86.0,87.0,92.37019,-1.0
44.0,45.0,97.59919,-1.0
44.0,51.0,92.08214,-1.0
44.0,46.0,81.55224,-1.0
44.0,36.0,84.39131,-1.0
44.0,41.0,80.52176,-1.0
44.0,25.0,76.89821,-1.0
44.0,32.0,79.64234,-1.0
44.0,50.0,74.6054,-1.0
44.0,48.0,71.21082,-1.0
44.0,43.0,72.934784,-1.0
44.0,34.0,74.62627,-1.0
44.0,63.0,77.93546,-1.0
283.0,289.0,73.16016,-1.0
283.0,289.0,116.97252,-1.0
283.0,259.0,210.03348,-1.0
283.0,267.0,298.0259,-1.0
283.0,274.0,294.5711,-1.0
283.0,259.0,303.9477,-1.0
283.0,299.0,285.44727,-1.0
283.0,286.0,306.41223,-1.0
283.0,287.0,307.61252,-1.0
283.0,285.0,306.6427,-1.0
283.0,298.0,306.27173,-1.0
210.0,207.0,310.38626,-1.0
210.0,219.0,216.52798,-1.0
210.0,219.0,221.69879,-1.0
210.0,208.0,205.12366,-1.0
210.0,210.0,206.35,-1.0
210.0,223.0,209.70197,-1.0
210.0,190.0,215.66432,-1.0
210.0,222.0,203.56845,-1.0
67.0,66.0,209.42241,-1.0
67.0,70.0,147.74753,-1.0
