distMean_true,outcome_true,outcome_pre,is_oddball
330.0,359.0,220.0334,0.0
329.0,336.0,295.37683,0.0
328.0,333.0,311.79022,0.0
319.0,326.0,312.22656,0.0
309.0,300.0,312.2694,0.0
329.0,326.0,310.50586,0.0
333.0,326.0,312.17828,0.0
352.0,381.0,312.26855,0.0
353.0,338.0,309.19812,0.0
337.0,319.0,312.12793,0.0
332.0,531.0,312.15015,1.0
343.0,340.0,294.41864,0.0
351.0,357.0,311.75073,0.0
11.0,15.0,311.20282,0.0
7.0,6.0,160.54309,0.0
352.0,346.0,89.44441,0.0
341.0,323.0,168.10397,0.0
331.0,320.0,279.8676,0.0
314.0,320.0,311.79156,0.0
326.0,327.0,312.1572,0.0
320.0,317.0,312.26672,0.0
339.0,335.0,312.09848,0.0
328.0,326.0,312.185,0.0
331.0,326.0,312.26825,0.0
335.0,313.0,312.26993,0.0
320.0,453.0,311.91855,1.0
303.0,299.0,306.5089,0.0
294.0,300.0,307.73938,0.0
281.0,277.0,310.30884,0.0
294.0,285.0,300.23822,0.0
309.0,299.0,306.32138,0.0
308.0,290.0,310.8668,0.0
308.0,308.0,308.01483,0.0
301.0,299.0,311.52478,0.0
289.0,278.0,310.40192,0.0
271.0,267.0,300.99515,0.0
268.0,443.0,292.51715,1.0
270.0,277.0,299.62537,0.0
252.0,247.0,292.76416,0.0
232.0,243.0,263.90097,0.0
222.0,239.0,262.20264,0.0
210.0,204.0,239.24069,0.0
205.0,212.0,222.35938,0.0
185.0,176.0,222.79645,0.0
190.0,187.0,191.0936,0.0
201.0,188.0,190.17397,0.0
188.0,180.0,191.84651,0.0
182.0,176.0,194.95357,0.0
172.0,354.0,190.34586,1.0
165.0,158.0,174.21597,0.0
184.0,177.0,162.05124,0.0
199.0,201.0,162.23831,0.0
216.0,216.0,175.2953,0.0
218.0,199.0,182.2073,0.0
198.0,199.0,194.68921,0.0
199.0,205.0,201.28943,0.0
208.0,194.0,204.60197,0.0
208.0,367.0,203.72537,1.0
193.0,171.0,198.69455,0.0
179.0,169.0,179.71703,0.0
175.0,178.0,157.26843,0.0
190.0,184.0,171.74007,0.0
208.0,212.0,183.53683,0.0
194.0,195.0,191.50223,0.0
189.0,203.0,198.08905,0.0
206.0,205.0,202.4161,0.0
218.0,216.0,205.01672,0.0
219.0,224.0,209.06935,0.0
232.0,257.0,215.0299,0.0
233.0,244.0,221.78253,0.0
213.0,269.0,232.31606,1.0
210.0,203.0,245.58563,0.0
230.0,239.0,221.93976,0.0
232.0,220.0,223.45169,0.0
243.0,238.0,231.92714,0.0
226.0,228.0,236.88756,0.0
209.0,207.0,238.52774,0.0
225.0,227.0,226.38794,0.0
226.0,233.0,228.87044,0.0
210.0,218.0,235.4439,0.0
197.0,203.0,231.59708,0.0
205.0,203.0,222.07684,0.0
208.0,204.0,220.62878,0.0
202.0,212.0,221.04616,0.0
191.0,203.0,223.55043,0.0
211.0,376.0,220.3464,1.0
215.0,214.0,241.4288,0.0
222.0,223.0,257.11957,0.0
235.0,235.0,237.10878,0.0
233.0,232.0,238.74585,0.0
248.0,237.0,232.94377,0.0
258.0,263.0,241.74518,0.0
245.0,230.0,259.98486,0.0
237.0,235.0,262.33728,0.0
252.0,356.0,269.8468,1.0
238.0,226.0,302.5384,0.0
218.0,207.0,240.93336,0.0
198.0,198.0,219.59694,0.0
215.0,205.0,190.69319,0.0
198.0,192.0,187.54707,0.0
