distMean_true,outcome_true,outcome_pre,is_oddball
101.0,96.0,254.06195,0.0
101.0,95.0,188.68883,0.0
101.0,104.0,113.33739,0.0
101.0,97.0,104.15871,0.0
101.0,95.0,116.89255,0.0
101.0,119.0,114.72444,0.0
101.0,180.0,105.37683,1.0
169.0,164.0,125.15315,0.0
169.0,157.0,142.18771,0.0
169.0,178.0,162.05923,0.0
169.0,165.0,184.16566,0.0
169.0,150.0,189.8336,0.0
169.0,173.0,180.60025,0.0
169.0,170.0,184.54091,0.0
169.0,356.0,191.4674,1.0
169.0,160.0,173.46082,0.0
169.0,172.0,160.88483,0.0
169.0,177.0,163.75575,0.0
209.0,202.0,174.8218,0.0
209.0,197.0,183.54636,0.0
209.0,347.0,195.18634,1.0
209.0,203.0,182.72336,0.0
209.0,217.0,194.62103,0.0
209.0,188.0,206.24774,0.0
209.0,209.0,199.3468,0.0
209.0,229.0,205.9075,0.0
209.0,219.0,215.23972,0.0
209.0,218.0,222.41235,0.0
209.0,219.0,226.74469,0.0
258.0,277.0,230.97392,0.0
258.0,444.0,246.54376,1.0
258.0,272.0,259.1029,0.0
258.0,253.0,297.48187,0.0
258.0,266.0,281.7481,0.0
300.0,297.0,287.59644,0.0
300.0,500.0,309.32422,1.0
300.0,283.0,302.7227,0.0
300.0,318.0,305.8814,0.0
300.0,314.0,314.68973,0.0
300.0,293.0,314.47513,0.0
300.0,307.0,310.68814,0.0
300.0,293.0,314.00677,0.0
300.0,288.0,310.75592,0.0
300.0,303.0,309.28052,0.0
229.0,237.0,313.54294,0.0
229.0,211.0,262.06238,0.0
229.0,233.0,227.33865,0.0
229.0,236.0,234.05386,0.0
229.0,241.0,253.84334,0.0
229.0,412.0,259.4591,1.0
229.0,222.0,282.30542,0.0
247.0,248.0,249.44162,0.0
247.0,239.0,254.82416,0.0
247.0,229.0,251.18777,0.0
247.0,255.0,247.63284,0.0
247.0,222.0,262.46985,0.0
247.0,322.0,241.4408,1.0
247.0,231.0,266.21246,0.0
247.0,236.0,238.99214,0.0
247.0,251.0,244.64157,0.0
247.0,245.0,260.65295,0.0
247.0,260.0,262.67075,0.0
247.0,261.0,270.11826,0.0
247.0,255.0,273.8516,0.0
247.0,245.0,272.11804,0.0
247.0,251.0,263.34055,0.0
54.0,43.0,267.21683,0.0
54.0,51.0,169.28201,0.0
54.0,54.0,102.04764,0.0
54.0,54.0,79.99472,0.0
54.0,159.0,62.89774,1.0
54.0,53.0,64.61521,0.0
12.0,10.0,40.859554,0.0
12.0,24.0,43.007668,0.0
12.0,16.0,39.724155,0.0
12.0,41.0,39.0428,0.0
12.0,14.0,36.141083,0.0
12.0,87.0,33.10322,1.0
12.0,0.0,56.86637,0.0
12.0,7.0,33.780724,0.0
12.0,10.0,36.71315,0.0
12.0,3.0,37.2533,0.0
