distMean_true,outcome_true,outcome_pre,is_oddball
356.0,366.0,222.98273,-1.0
356.0,352.0,255.57558,-1.0
356.0,354.0,271.15756,-1.0
356.0,363.0,269.56277,-1.0
356.0,354.0,268.97653,-1.0
356.0,346.0,269.98755,-1.0
356.0,352.0,270.55432,-1.0
356.0,348.0,269.89447,-1.0
356.0,359.0,270.40027,-1.0
356.0,359.0,269.22467,-1.0
356.0,365.0,269.4502,-1.0
290.0,301.0,268.76813,-1.0
290.0,286.0,272.71567,-1.0
290.0,283.0,272.02496,-1.0
290.0,287.0,271.74042,-1.0
290.0,297.0,272.04303,-1.0
290.0,297.0,272.37747,-1.0
290.0,302.0,272.4428,-1.0
290.0,294.0,272.4319,-1.0
290.0,303.0,272.41382,-1.0
290.0,299.0,272.39795,-1.0
290.0,297.0,272.47836,-1.0
290.0,288.0,272.4455,-1.0
162.0,164.0,272.16174,-1.0
162.0,162.0,167.47668,-1.0
162.0,178.0,169.6681,-1.0
162.0,155.0,187.4599,-1.0
253.0,246.0,175.93066,-1.0
253.0,241.0,213.21353,-1.0
253.0,253.0,254.79276,-1.0
253.0,248.0,263.2342,-1.0
253.0,242.0,255.11761,-1.0
253.0,267.0,248.41364,-1.0
253.0,230.0,255.16614,-1.0
253.0,252.0,235.23213,-1.0
253.0,265.0,237.52213,-1.0
72.0,64.0,258.1856,-1.0
72.0,60.0,76.2368,-1.0
72.0,65.0,93.83551,-1.0
147.0,153.0,70.320175,-1.0
147.0,148.0,113.38902,-1.0
147.0,154.0,135.9367,-1.0
147.0,158.0,152.74667,-1.0
147.0,151.0,166.71274,-1.0
147.0,156.0,169.47307,-1.0
147.0,156.0,178.09837,-1.0
147.0,150.0,203.3183,-1.0
147.0,146.0,196.9826,-1.0
261.0,248.0,185.01593,-1.0
261.0,237.0,212.53964,-1.0
261.0,260.0,250.06044,-1.0
261.0,278.0,260.95148,-1.0
261.0,272.0,270.49896,-1.0
261.0,244.0,269.92642,-1.0
261.0,268.0,249.33261,-1.0
261.0,268.0,261.17807,-1.0
261.0,262.0,268.87585,-1.0
261.0,254.0,266.39655,-1.0
261.0,267.0,260.98273,-1.0
261.0,262.0,267.49734,-1.0
261.0,278.0,266.77267,-1.0
261.0,249.0,270.84973,-1.0
261.0,267.0,255.06198,-1.0
86.0,90.0,265.2386,-1.0
86.0,79.0,105.75774,-1.0
86.0,79.0,89.23451,-1.0
86.0,87.0,86.24806,-1.0
44.0,45.0,108.83508,-1.0
44.0,51.0,73.96298,-1.0
44.0,46.0,83.89023,-1.0
44.0,36.0,74.83274,-1.0
44.0,41.0,63.069332,-1.0
44.0,25.0,67.25163,-1.0
44.0,32.0,46.66701,-1.0
44.0,50.0,78.07909,-1.0
44.0,48.0,67.48627,-1.0
44.0,43.0,70.96052,-1.0
44.0,34.0,69.93152,-1.0
44.0,63.0,63.874474,-1.0
283.0,289.0,81.61842,-1.0
283.0,289.0,186.5791,-1.0
283.0,259.0,265.5376,-1.0
283.0,267.0,266.2821,-1.0
283.0,274.0,267.96655,-1.0
283.0,259.0,270.3592,-1.0
283.0,299.0,264.17596,-1.0
283.0,286.0,270.83118,-1.0
283.0,287.0,272.0807,-1.0
283.0,285.0,272.05176,-1.0
283.0,298.0,271.92618,-1.0
210.0,207.0,272.3569,-1.0
210.0,219.0,202.17235,-1.0
210.0,219.0,211.66354,-1.0
210.0,208.0,224.3613,-1.0
210.0,210.0,216.1324,-1.0
210.0,223.0,211.46121,-1.0
210.0,190.0,217.38692,-1.0
210.0,222.0,212.7966,-1.0
67.0,66.0,210.69322,-1.0
67.0,70.0,84.8249,-1.0
