distMean_true,outcome_true,outcome_pre,is_oddball
330.0,359.0,222.98273,0.0
329.0,336.0,256.62146,0.0
328.0,333.0,272.14935,0.0
319.0,326.0,271.19592,0.0
309.0,300.0,271.82968,0.0
329.0,326.0,272.5556,0.0
333.0,326.0,271.4809,0.0
352.0,381.0,271.77997,0.0
353.0,338.0,266.50574,0.0
337.0,319.0,271.62442,0.0
332.0,531.0,272.1208,1.0
343.0,340.0,247.66376,0.0
351.0,357.0,272.5654,0.0
11.0,15.0,268.94418,0.0
7.0,6.0,57.6538,0.0
352.0,346.0,21.763088,0.0
341.0,323.0,207.41876,0.0
331.0,320.0,270.49554,0.0
314.0,320.0,271.89734,0.0
326.0,327.0,272.03793,0.0
320.0,317.0,271.61533,0.0
339.0,335.0,272.21136,0.0
328.0,326.0,271.00977,0.0
331.0,326.0,271.85803,0.0
335.0,313.0,271.71472,0.0
320.0,453.0,272.3469,1.0
303.0,299.0,257.18365,0.0
294.0,300.0,272.85486,0.0
281.0,277.0,272.4146,0.0
294.0,285.0,270.91614,0.0
309.0,299.0,271.84448,0.0
308.0,290.0,272.3648,0.0
308.0,308.0,272.27493,0.0
301.0,299.0,272.2539,0.0
289.0,278.0,272.50317,0.0
271.0,267.0,271.09253,0.0
268.0,443.0,268.16412,1.0
270.0,277.0,256.26996,0.0
252.0,247.0,270.81113,0.0
232.0,243.0,251.90067,0.0
222.0,239.0,247.09895,0.0
210.0,204.0,242.21912,0.0
205.0,212.0,219.10194,0.0
185.0,176.0,211.462,0.0
190.0,187.0,208.53723,0.0
201.0,188.0,204.13467,0.0
188.0,180.0,209.44394,0.0
182.0,176.0,207.21817,0.0
172.0,354.0,203.52116,1.0
165.0,158.0,220.00253,0.0
184.0,177.0,174.16597,0.0
199.0,201.0,200.56274,0.0
216.0,216.0,219.40056,0.0
218.0,199.0,215.53113,0.0
198.0,199.0,214.7294,0.0
199.0,205.0,211.6182,0.0
208.0,194.0,213.65906,0.0
208.0,367.0,213.12318,1.0
193.0,171.0,222.31564,0.0
179.0,169.0,183.0089,0.0
175.0,178.0,196.35263,0.0
190.0,184.0,209.0143,0.0
208.0,212.0,206.95982,0.0
194.0,195.0,211.99652,0.0
189.0,203.0,214.47015,0.0
206.0,205.0,211.5856,0.0
218.0,216.0,214.46677,0.0
219.0,224.0,215.14911,0.0
232.0,257.0,218.54333,0.0
233.0,244.0,233.77634,0.0
213.0,269.0,250.74828,1.0
210.0,203.0,262.0644,0.0
230.0,239.0,201.65868,0.0
232.0,220.0,215.77168,0.0
243.0,238.0,230.88318,0.0
226.0,228.0,228.37234,0.0
209.0,207.0,231.03413,0.0
225.0,227.0,215.2871,0.0
226.0,233.0,214.17352,0.0
210.0,218.0,225.8355,0.0
197.0,203.0,222.94934,0.0
205.0,203.0,213.00327,0.0
208.0,204.0,212.69586,0.0
202.0,212.0,214.0908,0.0
191.0,203.0,214.64905,0.0
211.0,376.0,215.06522,1.0
215.0,214.0,223.50665,0.0
222.0,223.0,217.64226,0.0
235.0,235.0,215.28162,0.0
233.0,232.0,227.20953,0.0
248.0,237.0,230.33395,0.0
258.0,263.0,232.25629,0.0
245.0,230.0,244.9683,0.0
237.0,235.0,233.7375,0.0
252.0,356.0,225.69241,1.0
238.0,226.0,236.31653,0.0
218.0,207.0,228.4904,0.0
198.0,198.0,200.30247,0.0
215.0,205.0,201.55154,0.0
198.0,192.0,214.3304,0.0
