distMean_true,outcome_true,outcome_pre,is_oddball
356.0,352.0,222.98273,0.0
356.0,338.0,257.6678,0.0
356.0,357.0,271.98083,0.0
356.0,342.0,269.08582,0.0
356.0,375.0,271.05762,0.0
356.0,357.0,267.348,0.0
356.0,362.0,269.9348,0.0
356.0,382.0,268.9922,0.0
356.0,426.0,266.9007,1.0
356.0,354.0,261.23804,0.0
356.0,359.0,270.72067,0.0
290.0,302.0,269.14838,0.0
290.0,285.0,272.70703,0.0
290.0,295.0,271.94864,0.0
290.0,451.0,272.33295,1.0
290.0,298.0,257.23227,0.0
290.0,272.0,272.82663,0.0
290.0,286.0,269.7242,0.0
290.0,303.0,271.8183,0.0
290.0,313.0,272.34723,0.0
290.0,297.0,272.2125,0.0
290.0,281.0,272.5009,0.0
290.0,265.0,271.53348,0.0
162.0,151.0,267.2357,0.0
162.0,168.0,158.35573,0.0
162.0,166.0,161.30576,0.0
162.0,288.0,169.60385,1.0
253.0,256.0,210.82817,0.0
253.0,272.0,264.17224,0.0
253.0,266.0,270.48282,0.0
253.0,257.0,267.7311,0.0
253.0,262.0,263.06802,0.0
253.0,248.0,266.15848,0.0
253.0,241.0,256.54413,0.0
253.0,249.0,247.968,0.0
253.0,251.0,247.75162,0.0
72.0,80.0,254.59854,0.0
72.0,161.0,99.55918,1.0
72.0,63.0,131.32922,0.0
147.0,131.0,68.981026,0.0
147.0,137.0,117.45034,0.0
147.0,147.0,151.34259,0.0
147.0,143.0,154.85843,0.0
147.0,143.0,160.9891,0.0
147.0,133.0,168.3996,0.0
147.0,145.0,178.40456,0.0
147.0,269.0,191.55879,1.0
147.0,138.0,223.03683,0.0
261.0,262.0,161.39526,0.0
261.0,269.0,220.14366,0.0
261.0,258.0,267.9018,0.0
261.0,259.0,264.8213,0.0
261.0,387.0,264.20297,1.0
261.0,262.0,261.4829,0.0
261.0,256.0,264.6668,0.0
261.0,248.0,261.24936,0.0
261.0,264.0,255.50298,0.0
261.0,270.0,263.41946,0.0
261.0,273.0,269.49463,0.0
261.0,250.0,270.2362,0.0
261.0,266.0,256.29318,0.0
261.0,273.0,265.47012,0.0
261.0,256.0,270.2791,0.0
86.0,92.0,262.0923,0.0
86.0,172.0,107.94133,1.0
86.0,79.0,132.51462,0.0
86.0,83.0,99.58856,0.0
44.0,49.0,94.53181,0.0
44.0,32.0,81.24612,0.0
44.0,41.0,62.390217,0.0
44.0,61.0,66.40623,0.0
44.0,53.0,81.66141,0.0
44.0,235.0,83.9614,1.0
44.0,42.0,154.92068,0.0
44.0,45.0,53.613613,0.0
44.0,49.0,78.78372,0.0
44.0,50.0,62.76555,0.0
44.0,55.0,70.48868,0.0
44.0,103.0,78.522064,1.0
283.0,278.0,104.13637,0.0
283.0,298.0,182.33629,0.0
283.0,275.0,260.66522,0.0
283.0,270.0,271.49768,0.0
283.0,269.0,269.08038,0.0
283.0,293.0,269.01276,0.0
283.0,281.0,271.97037,0.0
283.0,291.0,271.54987,0.0
283.0,275.0,272.20062,0.0
283.0,361.0,270.5252,1.0
283.0,293.0,267.5711,0.0
210.0,211.0,272.55627,0.0
210.0,218.0,206.2238,0.0
210.0,208.0,211.92407,0.0
210.0,214.0,219.63202,0.0
210.0,212.0,215.13976,0.0
210.0,197.0,215.71143,0.0
210.0,366.0,213.78944,1.0
210.0,216.0,222.47414,0.0
67.0,66.0,220.17696,0.0
67.0,52.0,88.29728,0.0
