distMean_true,outcome_true,outcome_pre,is_oddball
266.0,263.0,142.298582562038,0.0
271.0,258.0,-106.36649928444005,0.0
272.0,280.0,-103.63961525314481,0.0
266.0,266.0,-95.57229755691662,0.0
269.0,271.0,-95.24741603175912,0.0
260.0,278.0,-94.34855221339095,0.0
267.0,281.0,-92.01561669630283,0.0
277.0,278.0,-88.94652475997003,0.0
273.0,267.0,-87.11292198446235,0.0
275.0,380.0,-88.85217453842112,1.0
278.0,280.0,-80.11994533730551,0.0
271.0,264.0,-90.18725109419032,0.0
279.0,301.0,-90.84496321193824,0.0
273.0,275.0,-77.14435858801374,0.0
282.0,304.0,-80.40103661291897,0.0
276.0,280.0,-72.33450189762101,0.0
269.0,261.0,-74.93338433160083,0.0
259.0,265.0,-83.00944170078888,0.0
268.0,405.0,-90.48744376332107,1.0
265.0,282.0,-83.59714732573778,0.0
272.0,273.0,-93.73624317377501,0.0
267.0,259.0,-88.56178969287622,0.0
275.0,286.0,-93.33213382277391,0.0
283.0,280.0,-87.51783682808492,0.0
290.0,305.0,-85.76350730389542,0.0
288.0,392.0,-76.80022809433956,1.0
287.0,291.0,-62.22851480634796,0.0
280.0,288.0,-73.57053661231994,0.0
274.0,288.0,-71.05997271269912,0.0
279.0,282.0,-72.46005993283241,0.0
279.0,289.0,-74.81082886649247,0.0
281.0,277.0,-74.8139564394578,0.0
286.0,284.0,-77.99931256724805,0.0
283.0,279.0,-78.68410878882894,0.0
283.0,290.0,-80.51608382560421,0.0
286.0,278.0,-78.13547242229093,0.0
277.0,272.0,-79.58942334945021,0.0
287.0,296.0,-82.81498842152737,0.0
289.0,293.0,-78.31258258651758,0.0
280.0,291.0,-74.65842269938636,0.0
286.0,417.0,-72.05426884365436,1.0
296.0,286.0,-66.83557771501852,0.0
286.0,273.0,-81.29421984483251,0.0
289.0,285.0,-82.74375977158456,0.0
289.0,285.0,-79.48657462318019,0.0
295.0,294.0,-78.36327655708473,0.0
297.0,294.0,-74.91353677779894,0.0
295.0,441.0,-72.01884008431958,1.0
287.0,286.0,-65.81393886230305,0.0
283.0,284.0,-78.70262826102477,0.0
282.0,268.0,-76.59219248165289,0.0
278.0,273.0,-83.92347645903098,0.0
280.0,278.0,-85.42350713073729,0.0
277.0,273.0,-85.87537276488709,0.0
270.0,276.0,-87.17659825838031,0.0
270.0,257.0,-87.23195516133002,0.0
277.0,267.0,-92.98970183173513,0.0
273.0,267.0,-95.15552587437449,0.0
266.0,257.0,-96.44674187828878,0.0
261.0,416.0,-99.89235388756664,1.0
263.0,256.0,-96.71145874392148,0.0
273.0,279.0,-109.65115186047763,0.0
274.0,261.0,-95.86264438340223,0.0
280.0,287.0,-98.66407226791917,0.0
284.0,285.0,-88.88572025427837,0.0
277.0,296.0,-84.30752411758182,0.0
267.0,274.0,-77.41927932157056,0.0
259.0,275.0,-79.41009224836084,0.0
254.0,394.0,-82.04724621029084,1.0
254.0,249.0,-73.0018013497704,0.0
256.0,261.0,-106.88395189754841,0.0
260.0,276.0,-102.9632096934848,0.0
263.0,274.0,-96.19155828148669,0.0
254.0,252.0,-93.20989800972086,0.0
264.0,258.0,-97.96597851903617,0.0
270.0,281.0,-101.79854240831168,0.0
268.0,256.0,-96.81614330864384,0.0
272.0,285.0,-100.0004042513802,0.0
272.0,396.0,-92.67701147961796,1.0
280.0,258.0,-83.740566100473,0.0
280.0,274.0,-104.22257054024364,0.0
282.0,272.0,-94.25690167823002,0.0
276.0,280.0,-93.23190655062228,0.0
285.0,284.0,-88.80641477285769,0.0
285.0,294.0,-85.11275336252876,0.0
286.0,296.0,-79.25782262617503,0.0
289.0,289.0,-73.96095140309646,0.0
299.0,473.0,-72.33362206540893,1.0
303.0,299.0,-66.41042034603845,0.0
294.0,298.0,-70.37582102067596,0.0
298.0,297.0,-65.62725974311388,0.0
298.0,291.0,-65.45301318341009,0.0
305.0,318.0,-65.94982411524764,0.0
297.0,293.0,-58.88883109750253,0.0
293.0,300.0,-60.20336444677363,0.0
293.0,285.0,-60.34156117539571,0.0
283.0,292.0,-65.79123466294774,0.0
273.0,405.0,-68.07875595683292,1.0
263.0,269.0,-57.83107090270449,0.0
268.0,272.0,-88.80016562983582,0.0
273.0,268.0,-88.09902212229632,0.0
273.0,292.0,-91.27350592831148,0.0
273.0,395.0,-84.33895601667137,1.0
266.0,260.0,-69.22336573035592,0.0
266.0,270.0,-96.56298518744987,0.0
262.0,283.0,-93.818733313867,0.0
259.0,263.0,-87.90763037456014,0.0
255.0,406.0,-91.586995377048,1.0
264.0,269.0,-80.26994970782312,0.0
266.0,271.0,-100.53770304117121,0.0
257.0,261.0,-94.41276366670783,0.0
265.0,252.0,-96.7412228452249,0.0
258.0,249.0,-100.72918623228723,0.0
259.0,273.0,-105.82809026858948,0.0
260.0,410.0,-102.97342648043094,1.0
251.0,260.0,-94.95052143341908,0.0
242.0,253.0,-107.00013895898955,0.0
243.0,227.0,-107.42548310439032,0.0
251.0,245.0,-118.00166358266817,0.0
259.0,271.0,-118.91818924594334,0.0
251.0,234.0,-112.03037086946829,0.0
256.0,259.0,-116.95161964961875,0.0
249.0,243.0,-114.00710360137418,0.0
255.0,262.0,-117.18326626238495,0.0
256.0,243.0,-112.69791897720543,0.0
261.0,268.0,-115.46773293460478,0.0
255.0,256.0,-109.83927487572248,0.0
253.0,279.0,-109.01307991969408,0.0
263.0,249.0,-101.13256720627174,0.0
257.0,384.0,-105.1949950459976,1.0
259.0,258.0,-101.15651899897897,0.0
265.0,256.0,-112.92228092980517,0.0
269.0,284.0,-108.38805290439024,0.0
265.0,273.0,-94.29129990558121,0.0
255.0,256.0,-92.09561731556954,0.0
264.0,265.0,-96.20029916041781,0.0
262.0,261.0,-98.07459471198064,0.0
256.0,243.0,-100.44914996725959,0.0
247.0,247.0,-106.89061361459615,0.0
246.0,243.0,-111.60995011442522,0.0
252.0,247.0,-115.58193559795518,0.0
252.0,367.0,-116.9625674585924,1.0
252.0,258.0,-113.79109646909627,0.0
259.0,281.0,-115.10120868710585,0.0
255.0,249.0,-94.13417155236726,0.0
255.0,256.0,-104.91639972060003,0.0
254.0,246.0,-105.7422950996392,0.0
264.0,262.0,-111.41975787836934,0.0
273.0,260.0,-109.38104152416697,0.0
263.0,261.0,-107.61606990267398,0.0
264.0,257.0,-105.79702908112844,0.0
270.0,269.0,-105.83223027591981,0.0
262.0,259.0,-102.60470508329429,0.0
253.0,378.0,-102.9825680803599,1.0
250.0,246.0,-98.63719315272319,0.0
250.0,254.0,-115.98056117731834,0.0
249.0,252.0,-111.44749059995908,0.0
241.0,242.0,-112.51614567479423,0.0
241.0,246.0,-115.74771423841325,0.0
235.0,243.0,-117.45846404840873,0.0
243.0,238.0,-119.26474094518147,0.0
249.0,219.0,-121.85616293903192,0.0
242.0,253.0,-128.71126219828503,0.0
234.0,236.0,-125.45514810687797,0.0
236.0,249.0,-126.19272068407129,0.0
233.0,240.0,-123.25742923533744,0.0
235.0,247.0,-123.45394342816572,0.0
241.0,355.0,-122.10743150788258,1.0
249.0,239.0,-117.98483874120576,0.0
253.0,240.0,-126.78709320939663,0.0
262.0,262.0,-124.66960313678058,0.0
252.0,252.0,-114.97055181691357,0.0
249.0,243.0,-114.08774625582865,0.0
253.0,234.0,-116.25000891405513,0.0
255.0,280.0,-121.11668412487246,0.0
259.0,263.0,-111.61300067872696,0.0
269.0,283.0,-106.65637181922098,0.0
274.0,437.0,-96.82126471674908,1.0
272.0,279.0,-87.12743169705004,0.0
270.0,251.0,-91.88218947247888,0.0
271.0,276.0,-100.3671221689959,0.0
278.0,285.0,-91.12141328629673,0.0
275.0,285.0,-86.36349588528721,0.0
284.0,278.0,-83.2163173674505,0.0
293.0,422.0,-82.69776455469936,1.0
293.0,302.0,-75.16104369868573,0.0
283.0,270.0,-77.48171354232008,0.0
279.0,281.0,-81.80058842744283,0.0
273.0,273.0,-79.42183405438516,0.0
268.0,272.0,-82.7594845642581,0.0
273.0,271.0,-85.69549808224629,0.0
282.0,304.0,-88.45354329502328,0.0
284.0,281.0,-80.69235912548358,0.0
284.0,288.0,-79.61015493337445,0.0
275.0,272.0,-76.40706895467166,0.0
273.0,271.0,-80.63617438951817,0.0
266.0,263.0,-84.83861758084622,0.0
276.0,265.0,-91.08180306766644,0.0
269.0,245.0,-94.7469120256924,0.0
269.0,384.0,-102.93523577103764,1.0
274.0,274.0,-99.80251145233998,0.0
275.0,268.0,-103.425242018176,0.0
275.0,266.0,-95.91437814451865,0.0
273.0,264.0,-95.23020854919547,0.0
274.0,424.0,-96.16444361999531,1.0
271.0,271.0,-89.99722943352597,0.0
278.0,273.0,-99.86708870805153,0.0
278.0,286.0,-93.35243176465055,0.0
270.0,282.0,-85.05028723223458,0.0
276.0,256.0,-82.23371794482678,0.0
284.0,280.0,-87.92755188476931,0.0
293.0,307.0,-87.81955757087891,0.0
293.0,296.0,-78.8450981267336,0.0
289.0,437.0,-72.69794487193369,1.0
293.0,292.0,-65.1417274894837,0.0
292.0,293.0,-76.06987575596663,0.0
288.0,294.0,-70.48460174301306,0.0
281.0,290.0,-69.37864062005306,0.0
284.0,279.0,-69.1184467739857,0.0
294.0,290.0,-72.63177224986774,0.0
303.0,304.0,-73.28869587898537,0.0
301.0,308.0,-69.11245736334746,0.0
295.0,281.0,-63.378318848653414,0.0
296.0,295.0,-66.93583681803574,0.0
294.0,288.0,-67.20526604695796,0.0
301.0,307.0,-70.02696899840191,0.0
297.0,404.0,-65.55881945113234,1.0
300.0,299.0,-55.30712456247495,0.0
310.0,301.0,-67.49934813771381,0.0
302.0,308.0,-61.461799517190016,0.0
297.0,299.0,-58.39943817925437,0.0
291.0,282.0,-58.96448131559969,0.0
295.0,287.0,-64.45516368517467,0.0
303.0,320.0,-69.26182859327349,0.0
313.0,320.0,-62.254610125996635,0.0
313.0,323.0,-53.90120039540813,0.0
310.0,316.0,-46.92920738685965,0.0
309.0,313.0,-45.37500551705117,0.0
307.0,296.0,-46.1956093349683,0.0
306.0,293.0,-52.05969700099025,0.0
