distMean_true,outcome_true,outcome_pre,is_oddball
327.0,307.0,169.32617,-1.0
327.0,338.0,310.90182,-1.0
327.0,310.0,329.16586,-1.0
327.0,344.0,324.7203,-1.0
327.0,307.0,326.71042,-1.0
327.0,6.0,317.215,-1.0
327.0,330.0,42.74042,-1.0
207.0,184.0,275.08292,-1.0
207.0,203.0,206.75783,-1.0
207.0,185.0,206.89029,-1.0
207.0,226.0,196.73875,-1.0
207.0,174.0,214.21208,-1.0
207.0,229.0,180.64478,-1.0
150.0,135.0,217.61806,-1.0
150.0,138.0,129.92072,-1.0
150.0,163.0,137.80956,-1.0
150.0,139.0,151.40504,-1.0
150.0,181.0,151.06696,-1.0
150.0,107.0,179.1756,-1.0
150.0,139.0,118.12106,-1.0
150.0,202.0,140.1931,-1.0
150.0,140.0,204.37794,-1.0
150.0,171.0,164.73405,-1.0
60.0,84.0,171.37773,-1.0
60.0,34.0,84.818825,-1.0
60.0,47.0,44.105022,-1.0
60.0,63.0,44.98402,-1.0
60.0,19.0,51.194958,-1.0
60.0,40.0,40.01068,-1.0
60.0,47.0,54.250614,-1.0
60.0,50.0,61.29913,-1.0
60.0,59.0,65.55013,-1.0
28.0,16.0,71.9261,-1.0
28.0,23.0,59.586773,-1.0
28.0,359.0,58.33739,-1.0
28.0,31.0,287.6871,-1.0
28.0,26.0,29.749567,-1.0
28.0,6.0,18.398584,-1.0
28.0,27.0,16.791395,-1.0
28.0,24.0,18.325811,-1.0
28.0,54.0,20.887722,-1.0
237.0,208.0,45.198025,-1.0
237.0,273.0,219.57361,-1.0
237.0,186.0,269.4324,-1.0
237.0,235.0,207.68457,-1.0
237.0,245.0,224.01457,-1.0
96.0,111.0,227.97095,-1.0
96.0,42.0,103.75096,-1.0
96.0,81.0,53.491444,-1.0
96.0,122.0,64.531845,-1.0
96.0,105.0,93.42711,-1.0
96.0,90.0,104.61072,-1.0
96.0,99.0,108.35379,-1.0
72.0,85.0,112.88417,-1.0
72.0,73.0,115.62001,-1.0
72.0,119.0,117.43808,-1.0
72.0,54.0,127.49463,-1.0
72.0,82.0,84.88984,-1.0
162.0,157.0,108.44124,-1.0
162.0,183.0,153.93452,-1.0
313.0,303.0,175.8321,-1.0
313.0,343.0,301.40118,-1.0
313.0,332.0,325.19672,-1.0
313.0,312.0,327.03677,-1.0
313.0,318.0,317.8833,-1.0
313.0,308.0,312.78357,-1.0
4.0,359.0,306.84662,-1.0
4.0,342.0,312.35864,-1.0
4.0,337.0,310.0399,-1.0
4.0,343.0,305.91397,-1.0
4.0,2.0,300.3165,-1.0
4.0,344.0,33.40661,-1.0
4.0,25.0,268.28323,-1.0
4.0,351.0,29.393545,-1.0
274.0,293.0,267.11313,-1.0
274.0,274.0,309.1058,-1.0
274.0,289.0,296.4345,-1.0
274.0,264.0,293.97885,-1.0
274.0,283.0,274.6823,-1.0
274.0,266.0,273.5097,-1.0
274.0,282.0,268.21582,-1.0
195.0,137.0,267.30713,-1.0
195.0,205.0,134.01788,-1.0
195.0,178.0,181.28636,-1.0
195.0,197.0,180.56223,-1.0
30.0,12.0,184.11603,-1.0
30.0,26.0,24.200846,-1.0
30.0,54.0,18.28982,-1.0
30.0,20.0,30.732279,-1.0
30.0,16.0,25.601278,-1.0
30.0,36.0,24.773878,-1.0
30.0,16.0,42.308643,-1.0
11.0,16.0,43.27208,-1.0
11.0,353.0,42.38275,-1.0
11.0,0.0,280.52768,-1.0
11.0,0.0,25.77212,-1.0
11.0,319.0,16.920576,-1.0
298.0,307.0,260.36615,-1.0
298.0,283.0,316.66226,-1.0
298.0,302.0,304.66296,-1.0
298.0,276.0,305.8634,-1.0
298.0,347.0,286.5512,-1.0
298.0,289.0,301.78897,-1.0
298.0,296.0,285.61954,-1.0
298.0,298.0,280.32474,-1.0
1.0,29.0,277.77914,-1.0
1.0,4.0,36.265026,-1.0
1.0,354.0,19.465445,-1.0
1.0,345.0,261.79846,-1.0
1.0,346.0,323.64276,-1.0
129.0,138.0,330.39893,-1.0
129.0,147.0,134.29347,-1.0
129.0,174.0,130.92146,-1.0
129.0,96.0,160.87018,-1.0
