distMean_true,outcome_true,outcome_pre,is_oddball
261.4828347,259.0,169.32617,0.0
262.1986741,250.0,262.92337,0.0
235.4495626,230.0,257.00662,0.0
252.0300692,268.0,250.21935,0.0
264.0958601,252.0,262.06644,0.0
278.8451019,174.0,258.08426,1.0
256.8134028,272.0,243.16125,0.0
232.459875,204.0,253.24835,0.0
225.8546417,209.0,228.88264,0.0
227.5008983,244.0,218.1536,0.0
221.1105203,218.0,228.81667,0.0
216.9072342,189.0,225.34016,0.0
204.6779111,223.0,210.71729,0.0
197.0615946,187.0,213.71455,0.0
190.5635628,219.0,204.07259,0.0
182.1991328,176.0,209.6029,0.0
199.8802759,196.0,197.7053,0.0
203.2112911,226.0,197.0934,0.0
192.5766279,189.0,209.58626,0.0
187.2824792,356.0,204.87671,1.0
181.0916049,180.0,214.20943,0.0
172.5647632,158.0,199.31555,0.0
171.6176815,169.0,181.85365,0.0
159.2364453,150.0,169.73256,0.0
150.0946885,158.0,157.43199,0.0
129.6477377,129.0,157.59071,0.0
124.295207,74.0,144.64494,0.0
128.9999116,124.0,137.31459,0.0
122.3693736,119.0,127.15223,0.0
118.8651351,147.0,124.59033,0.0
113.3518867,84.0,139.33992,0.0
122.4847738,107.0,119.19064,0.0
123.5798634,305.0,114.28242,1.0
125.7043071,141.0,128.24246,0.0
118.0168201,143.0,133.44046,0.0
118.1173394,139.0,138.30347,0.0
118.2287968,86.0,137.85194,0.0
111.0715457,96.0,122.6145,0.0
123.8039309,146.0,110.19917,0.0
119.0277092,117.0,132.51086,0.0
125.719947,85.0,124.79363,1.0
126.3399571,106.0,111.77156,0.0
123.9735673,147.0,110.05449,0.0
114.356169,118.0,132.36546,0.0
98.80251852,96.0,124.88712,0.0
110.9787604,131.0,114.66509,0.0
119.4085056,68.0,124.38649,1.0
125.9331368,122.0,104.02539,0.0
113.5794788,135.0,115.05554,0.0
120.4888909,135.0,128.11319,0.0
116.1097475,105.0,131.5674,0.0
113.5196373,144.0,120.349396,0.0
122.678201,142.0,133.32588,0.0
104.3547091,27.0,135.65395,1.0
83.5331812,94.0,136.0158,0.0
77.8459016,94.0,102.0989,0.0
75.11492345,98.0,94.85307,0.0
79.34604173,54.0,97.14508,0.0
82.17635271,94.0,72.96007,0.0
71.07817848,48.0,83.70628,0.0
102.8008369,75.0,59.50146,0.0
89.66834256,122.0,61.636616,0.0
98.75859045,101.0,88.05754,0.0
85.36560416,43.0,98.37986,1.0
61.40188257,34.0,71.16284,0.0
62.45671024,63.0,43.023895,0.0
89.69516889,99.0,44.26063,0.0
91.51338405,73.0,66.834984,0.0
91.3270218,91.0,71.31642,0.0
84.26311787,94.0,85.7784,0.0
90.32864089,101.0,92.235794,0.0
93.77228935,65.0,97.495316,0.0
92.57310198,94.0,78.53642,0.0
92.46726854,63.0,87.44795,0.0
93.76269691,46.0,71.673645,1.0
89.84503382,89.0,51.420708,0.0
90.38458695,119.0,66.28049,0.0
91.45598581,87.0,91.44175,0.0
81.5518833,51.0,91.56148,0.0
101.7085545,116.0,68.55574,0.0
103.995474,100.0,93.70243,0.0
96.77953483,113.0,97.31125,0.0
103.4568285,1.0,106.28435,1.0
87.25263654,77.0,101.89183,0.0
102.1282993,82.0,79.95252,0.0
121.3760399,129.0,78.14648,0.0
107.4923896,110.0,102.93816,0.0
116.5417302,106.0,107.31677,0.0
110.7746505,87.0,106.95223,0.0
115.6356033,55.0,97.11597,1.0
94.18206545,92.0,71.713036,0.0
105.1813961,103.0,79.58123,0.0
92.47027186,124.0,94.44238,0.0
109.6133809,100.0,110.708694,0.0
116.0205829,119.0,104.85617,0.0
128.6540644,146.0,112.032684,0.0
107.1199446,280.0,129.35979,1.0
116.26532,111.0,128.84114,0.0
102.5564477,129.0,115.07904,0.0
128.4048447,153.0,120.73816,0.0
130.7684702,135.0,136.96404,0.0
140.3532793,150.0,132.5371,0.0
140.997808,135.0,139.75523,0.0
145.8595529,342.0,134.42091,1.0
144.101706,142.0,151.76624,0.0
144.1879841,143.0,141.59554,0.0
147.1702015,130.0,138.15584,0.0
139.8385785,123.0,131.84453,0.0
144.0817276,161.0,127.56026,0.0
137.7242159,129.0,146.15385,0.0
119.502859,132.0,135.02907,0.0
115.5449968,108.0,132.7593,0.0
137.0431218,128.0,122.732834,0.0
132.6548633,144.0,125.99402,0.0
126.8809074,128.0,136.2104,0.0
118.9515173,113.0,131.44621,0.0
117.8437616,127.0,123.85535,0.0
128.1307972,141.0,125.88333,0.0
123.7297939,152.0,134.00356,0.0
135.3948043,36.0,142.69267,1.0
350.4856815,3.0,143.80504,0.0
352.1993837,4.0,88.74669,0.0
9.244938491,23.0,37.340687,0.0
11.84641837,28.0,24.638014,0.0
12.63576711,189.0,22.725115,1.0
20.74344306,31.0,35.181484,0.0
7.961575412,332.0,30.665813,0.0
12.9255457,21.0,181.6364,0.0
354.8629074,170.0,93.380325,1.0
341.2130718,352.0,96.376724,0.0
348.8746125,342.0,242.78609,0.0
355.6278109,345.0,305.6152,0.0
355.3133229,18.0,319.0082,0.0
5.691858584,109.0,135.83527,1.0
341.4559723,326.0,54.47417,0.0
330.7383754,347.0,199.5201,0.0
328.8115316,356.0,312.67404,0.0
324.6163396,14.0,322.5214,1.0
324.8419955,333.0,131.09978,0.0
327.2369229,349.0,219.94093,0.0
321.4190717,353.0,308.52435,0.0
325.0611703,321.0,313.0293,0.0
315.862092,204.0,328.81183,1.0
317.842616,320.0,329.43372,0.0
308.41508,305.0,326.89267,0.0
308.2699368,315.0,315.5776,0.0
311.9615905,323.0,313.73325,0.0
305.1030354,310.0,315.18158,0.0
305.4089049,289.0,312.01956,0.0
296.0457561,287.0,300.67606,0.0
304.087262,324.0,290.55484,0.0
317.2530404,294.0,298.46762,0.0
320.2746253,185.0,295.44077,1.0
320.5704634,309.0,294.78537,0.0
329.005275,350.0,297.895,0.0
329.578588,320.0,306.53787,0.0
331.2978394,351.0,312.98697,1.0
319.0825601,352.0,318.6805,0.0
301.967459,305.0,322.65494,0.0
300.245155,310.0,315.08197,0.0
301.713196,295.0,311.79483,0.0
294.3149417,278.0,304.226,0.0
289.6752605,294.0,289.8693,0.0
295.891994,305.0,287.91653,0.0
298.3755698,312.0,293.59732,1.0
283.3974308,270.0,301.9014,0.0
283.276472,304.0,283.98343,0.0
279.5308726,294.0,289.11188,0.0
275.2039788,247.0,290.16476,0.0
280.3338388,356.0,271.3714,1.0
275.5992522,247.0,268.06686,0.0
284.2715328,299.0,261.1658,0.0
278.5307113,318.0,276.03583,0.0
262.8154538,285.0,289.92026,0.0
