distMean_true,outcome_true,outcome_pre,is_oddball
278.0,318.0,192.77461,-1.0
278.0,276.0,277.6692,-1.0
278.0,279.0,267.73047,-1.0
278.0,269.0,264.82007,-1.0
278.0,306.0,254.84952,-1.0
278.0,305.0,273.02893,-1.0
278.0,293.0,277.96414,-1.0
278.0,299.0,275.61133,-1.0
278.0,296.0,277.87463,-1.0
278.0,288.0,276.92865,-1.0
341.0,3.0,273.69357,-1.0
341.0,27.0,19.634407,-1.0
341.0,324.0,30.31699,-1.0
341.0,345.0,276.1007,-1.0
341.0,353.0,280.99084,-1.0
337.0,332.0,280.96045,-1.0
337.0,332.0,280.76495,-1.0
337.0,342.0,280.7713,-1.0
337.0,340.0,280.90027,-1.0
337.0,350.0,280.8792,-1.0
24.0,353.0,280.9493,-1.0
24.0,30.0,280.96097,-1.0
24.0,30.0,47.36042,-1.0
24.0,21.0,39.980824,-1.0
24.0,55.0,26.69631,-1.0
222.0,226.0,108.51552,-1.0
222.0,195.0,225.57988,-1.0
222.0,212.0,198.09398,-1.0
222.0,236.0,202.28754,-1.0
222.0,219.0,205.97794,-1.0
222.0,232.0,202.49255,-1.0
222.0,205.0,205.16432,-1.0
222.0,222.0,198.85646,-1.0
192.0,179.0,202.17227,-1.0
192.0,182.0,184.97113,-1.0
192.0,188.0,184.99277,-1.0
192.0,224.0,184.02043,-1.0
280.0,279.0,211.4968,-1.0
280.0,258.0,264.60068,-1.0
280.0,264.0,249.47922,-1.0
280.0,314.0,250.99695,-1.0
280.0,297.0,274.9469,-1.0
280.0,312.0,276.04135,-1.0
280.0,249.0,279.85938,-1.0
30.0,14.0,234.80984,-1.0
30.0,33.0,23.50356,-1.0
30.0,38.0,34.53167,-1.0
30.0,38.0,28.97498,-1.0
30.0,45.0,26.712227,-1.0
33.0,55.0,43.482906,-1.0
33.0,28.0,49.554977,-1.0
33.0,28.0,23.794018,-1.0
33.0,34.0,51.432076,-1.0
33.0,41.0,65.68933,-1.0
33.0,31.0,95.59838,-1.0
33.0,30.0,80.31476,-1.0
33.0,16.0,107.551155,-1.0
33.0,28.0,23.772467,-1.0
33.0,21.0,129.39638,-1.0
343.0,2.0,5.187412,-1.0
119.0,134.0,7.272232,-1.0
119.0,119.0,246.5289,-1.0
119.0,129.0,124.92287,-1.0
119.0,124.0,124.331474,-1.0
119.0,107.0,147.80438,-1.0
119.0,108.0,125.9877,-1.0
119.0,122.0,126.741516,-1.0
79.0,82.0,128.0928,-1.0
79.0,65.0,107.622406,-1.0
79.0,82.0,103.15203,-1.0
79.0,89.0,100.13446,-1.0
251.0,247.0,96.75771,-1.0
251.0,225.0,234.4396,-1.0
251.0,250.0,238.82173,-1.0
251.0,272.0,241.67102,-1.0
327.0,319.0,251.73398,-1.0
327.0,292.0,277.87854,-1.0
327.0,304.0,274.74847,-1.0
327.0,316.0,278.8684,-1.0
340.0,337.0,280.1969,-1.0
340.0,321.0,280.85858,-1.0
340.0,356.0,280.42657,-1.0
340.0,318.0,280.9781,-1.0
340.0,327.0,280.25574,-1.0
169.0,141.0,280.67236,-1.0
169.0,201.0,136.15164,-1.0
169.0,198.0,180.0097,-1.0
169.0,149.0,197.4747,-1.0
169.0,167.0,154.77753,-1.0
4.0,327.0,168.14607,-1.0
4.0,347.0,280.70416,-1.0
4.0,340.0,280.92963,-1.0
4.0,314.0,280.8786,-1.0
217.0,232.0,279.97748,-1.0
217.0,207.0,219.21342,-1.0
217.0,223.0,214.91574,-1.0
217.0,209.0,216.0062,-1.0
217.0,229.0,203.62267,-1.0
217.0,213.0,205.38644,-1.0
217.0,223.0,201.05066,-1.0
