distMean_true,outcome_true,outcome_pre,is_oddball
278.0,318.0,169.32617,-1.0
278.0,276.0,315.07437,-1.0
278.0,279.0,300.80368,-1.0
278.0,269.0,293.72803,-1.0
278.0,306.0,279.87387,-1.0
278.0,305.0,285.36484,-1.0
278.0,293.0,285.53403,-1.0
278.0,299.0,280.83115,-1.0
278.0,296.0,278.9171,-1.0
278.0,288.0,275.24353,-1.0
341.0,3.0,269.48062,-1.0
341.0,27.0,26.40553,-1.0
341.0,324.0,18.532993,-1.0
341.0,345.0,264.94943,-1.0
341.0,353.0,324.6702,-1.0
337.0,332.0,331.77664,-1.0
337.0,332.0,331.4222,-1.0
337.0,342.0,330.00546,-1.0
337.0,340.0,328.228,-1.0
337.0,350.0,324.18546,-1.0
24.0,353.0,321.2997,-1.0
24.0,30.0,318.14413,-1.0
24.0,30.0,51.34188,-1.0
24.0,21.0,28.146215,-1.0
24.0,55.0,20.826479,-1.0
222.0,226.0,36.590446,-1.0
222.0,195.0,225.21275,-1.0
222.0,212.0,212.71953,-1.0
222.0,236.0,212.2841,-1.0
222.0,219.0,221.53035,-1.0
222.0,232.0,216.8239,-1.0
222.0,205.0,217.46022,-1.0
222.0,222.0,209.67136,-1.0
192.0,179.0,208.71931,-1.0
192.0,182.0,189.17892,-1.0
192.0,188.0,184.57246,-1.0
192.0,224.0,181.36137,-1.0
280.0,279.0,206.98788,-1.0
280.0,258.0,282.78534,-1.0
280.0,264.0,270.0707,-1.0
280.0,314.0,269.89163,-1.0
280.0,297.0,288.9563,-1.0
280.0,312.0,281.20474,-1.0
280.0,249.0,282.22958,-1.0
30.0,14.0,261.62885,-1.0
30.0,33.0,25.392889,-1.0
30.0,38.0,20.469917,-1.0
30.0,38.0,24.99668,-1.0
30.0,45.0,32.091763,-1.0
33.0,55.0,52.09998,-1.0
33.0,28.0,62.964848,-1.0
33.0,28.0,58.792744,-1.0
33.0,34.0,55.776814,-1.0
33.0,41.0,56.829586,-1.0
33.0,31.0,63.001762,-1.0
33.0,30.0,69.71613,-1.0
33.0,16.0,89.07732,-1.0
33.0,28.0,117.04637,-1.0
33.0,21.0,158.81142,-1.0
343.0,2.0,161.7018,-1.0
119.0,134.0,88.10303,-1.0
119.0,119.0,144.67929,-1.0
119.0,129.0,139.16829,-1.0
119.0,124.0,139.11049,-1.0
119.0,107.0,140.04631,-1.0
119.0,108.0,140.25829,-1.0
119.0,122.0,140.36252,-1.0
79.0,82.0,140.58882,-1.0
79.0,65.0,128.55446,-1.0
79.0,82.0,95.86818,-1.0
79.0,89.0,95.7036,-1.0
251.0,247.0,103.04245,-1.0
251.0,225.0,250.96077,-1.0
251.0,250.0,240.6347,-1.0
251.0,272.0,245.37177,-1.0
327.0,319.0,255.48293,-1.0
327.0,292.0,292.70456,-1.0
327.0,304.0,284.54987,-1.0
327.0,316.0,285.32602,-1.0
340.0,337.0,286.88138,-1.0
340.0,321.0,291.32474,-1.0
340.0,356.0,288.3107,-1.0
340.0,318.0,295.35434,-1.0
340.0,327.0,288.27048,-1.0
169.0,141.0,284.53143,-1.0
169.0,201.0,145.27272,-1.0
169.0,198.0,177.11922,-1.0
169.0,149.0,185.53258,-1.0
169.0,167.0,165.11307,-1.0
4.0,327.0,172.41008,-1.0
4.0,347.0,315.4404,-1.0
4.0,340.0,332.5252,-1.0
4.0,314.0,333.9503,-1.0
217.0,232.0,329.50766,-1.0
217.0,207.0,254.95062,-1.0
217.0,223.0,214.39307,-1.0
217.0,209.0,218.83557,-1.0
217.0,229.0,214.90678,-1.0
217.0,213.0,217.67442,-1.0
217.0,223.0,213.51591,-1.0
217.0,231.0,210.26672,-1.0
217.0,181.0,210.25157,-1.0
217.0,187.0,185.84917,-1.0
217.0,217.0,185.22285,-1.0
217.0,233.0,193.9472,-1.0
217.0,216.0,212.91269,-1.0
217.0,206.0,208.78868,-1.0
217.0,188.0,201.30849,-1.0
217.0,220.0,191.3704,-1.0
52.0,35.0,195.88675,-1.0
52.0,47.0,36.52041,-1.0
52.0,30.0,37.72477,-1.0
52.0,63.0,33.49706,-1.0
52.0,31.0,47.930843,-1.0
52.0,63.0,50.146427,-1.0
52.0,86.0,65.0362,-1.0
224.0,223.0,83.68857,-1.0
224.0,220.0,227.18266,-1.0
224.0,235.0,226.41878,-1.0
224.0,230.0,229.29396,-1.0
309.0,318.0,226.40971,-1.0
309.0,324.0,318.09085,-1.0
309.0,275.0,325.62137,-1.0
309.0,289.0,301.53293,-1.0
309.0,300.0,292.12216,-1.0
309.0,294.0,286.12253,-1.0
309.0,317.0,280.62936,-1.0
249.0,254.0,282.98434,-1.0
249.0,241.0,266.96936,-1.0
249.0,253.0,244.46819,-1.0
249.0,228.0,238.74016,-1.0
249.0,255.0,232.01833,-1.0
249.0,227.0,231.80936,-1.0
249.0,251.0,226.56165,-1.0
249.0,234.0,224.6467,-1.0
249.0,254.0,218.86433,-1.0
303.0,297.0,218.99413,-1.0
303.0,305.0,288.71573,-1.0
303.0,301.0,309.3689,-1.0
303.0,284.0,309.48517,-1.0
303.0,308.0,298.45898,-1.0
42.0,37.0,297.41464,-1.0
42.0,30.0,48.640575,-1.0
42.0,51.0,31.001934,-1.0
42.0,32.0,40.394966,-1.0
42.0,32.0,35.98409,-1.0
42.0,38.0,44.24303,-1.0
42.0,17.0,56.45283,-1.0
42.0,20.0,51.598797,-1.0
42.0,24.0,50.088223,-1.0
42.0,37.0,51.225056,-1.0
42.0,16.0,58.12853,-1.0
192.0,178.0,61.37859,-1.0
192.0,195.0,189.52853,-1.0
192.0,182.0,194.45123,-1.0
192.0,151.0,187.82954,-1.0
192.0,203.0,176.60855,-1.0
29.0,23.0,190.9133,-1.0
29.0,30.0,25.719069,-1.0
29.0,32.0,20.765799,-1.0
29.0,38.0,23.191065,-1.0
29.0,32.0,30.366646,-1.0
29.0,20.0,41.1957,-1.0
29.0,39.0,44.36722,-1.0
29.0,17.0,52.721874,-1.0
29.0,45.0,48.65201,-1.0
29.0,56.0,55.06717,-1.0
29.0,35.0,64.957504,-1.0
29.0,7.0,69.10809,-1.0
29.0,36.0,80.96213,-1.0
165.0,148.0,112.69966,-1.0
165.0,156.0,154.76967,-1.0
165.0,158.0,153.68988,-1.0
