distMean_true,outcome_true,outcome_pre,is_oddball
323.555728,332.0,181.94133,0.0
325.9007134,327.0,315.92236,0.0
316.258948,295.0,326.73294,0.0
309.1625468,136.0,315.38986,1.0
297.9914456,281.0,302.29575,0.0
294.6482706,313.0,289.49747,0.0
283.4006303,288.0,289.92203,0.0
273.8787881,325.0,287.74948,1.0
260.1361496,251.0,297.0425,0.0
249.4311545,239.0,275.47238,0.0
249.2958756,273.0,260.68845,0.0
244.4970806,256.0,264.08948,0.0
233.2644019,101.0,261.27713,1.0
228.8809655,229.0,259.3413,0.0
226.7081039,253.0,241.18962,0.0
247.7117437,244.0,247.04362,0.0
236.1565934,238.0,245.8627,0.0
224.4856837,216.0,241.30602,0.0
231.143479,248.0,228.91357,0.0
231.5540637,261.0,237.36577,1.0
222.6087174,205.0,246.87779,0.0
216.2967979,215.0,227.36961,0.0
194.4034355,146.0,220.145,0.0
195.9525089,214.0,216.10841,1.0
198.008238,208.0,212.74869,0.0
183.0859404,209.0,211.44145,0.0
174.0946299,170.0,211.31529,0.0
168.9424465,150.0,194.3467,0.0
181.0854333,145.0,173.96312,0.0
193.8730915,139.0,156.4154,0.0
183.2029609,195.0,147.2451,0.0
201.4292502,200.0,171.56607,0.0
210.3150236,202.0,189.03285,0.0
208.780938,204.0,197.11021,0.0
195.871327,187.0,200.61238,0.0
190.4000932,192.0,195.4453,0.0
190.5183717,183.0,194.84404,0.0
189.5666214,183.0,191.28368,0.0
200.5018047,163.0,189.6063,0.0
203.4290496,204.0,177.11726,0.0
193.1206003,204.0,193.37212,0.0
186.4393076,98.0,199.17708,1.0
206.1478924,223.0,199.34816,0.0
201.6484196,194.0,211.33534,0.0
215.6676543,237.0,203.2245,0.0
222.4515475,243.0,215.3691,0.0
198.4530286,82.0,228.98958,1.0
201.5239981,193.0,226.8331,0.0
200.6724371,198.0,208.57738,0.0
214.8684514,198.0,202.73474,0.0
227.7971729,240.0,201.37283,0.0
235.7707999,172.0,213.7642,0.0
230.8924819,203.0,197.17921,1.0
224.9435579,209.0,198.93886,0.0
241.9835142,215.0,203.9251,0.0
263.0635519,237.0,208.88495,0.0
247.9163747,211.0,221.45183,0.0
268.3121249,273.0,218.24266,0.0
264.4492347,301.0,230.2664,0.0
253.1347627,221.0,240.99118,0.0
162.3640633,324.0,227.7518,1.0
163.1847124,169.0,230.54333,0.0
163.1963645,149.0,212.10686,0.0
172.0891399,187.0,185.25676,0.0
186.0289802,192.0,182.06084,0.0
199.4050498,220.0,189.51158,0.0
193.6788089,318.0,202.71138,1.0
182.8626245,149.0,203.05222,0.0
184.0384306,161.0,190.13187,0.0
189.7567645,217.0,168.88591,0.0
194.6720358,203.0,192.27203,0.0
202.4095745,205.0,199.3184,0.0
199.9393242,215.0,202.68283,0.0
195.419666,192.0,207.67207,0.0
180.3245348,158.0,201.87987,0.0
186.8138695,167.0,183.10991,0.0
189.0604695,183.0,172.50609,1.0
189.9078908,209.0,180.33018,0.0
181.9750003,192.0,196.11641,0.0
190.0743394,197.0,195.94841,0.0
162.9594557,213.0,197.64563,1.0
162.3568078,151.0,204.10532,0.0
158.0102988,157.0,182.96693,0.0
160.5647089,172.0,165.62222,0.0
128.0789696,55.0,167.7081,1.0
119.5018426,118.0,173.18535,0.0
99.93534452,85.0,133.88744,0.0
81.06564253,89.0,109.23454,0.0
76.13292787,84.0,101.79995,0.0
63.42800216,60.0,94.84779,1.0
58.08890764,85.0,77.55107,0.0
54.70431599,35.0,81.18347,0.0
52.30561593,40.0,55.129704,0.0
54.84837512,42.0,39.498753,0.0
53.42146739,290.0,36.161083,1.0
48.95845501,55.0,133.02766,0.0
40.43325507,56.0,66.58509,0.0
55.65519847,43.0,44.124554,0.0
59.05177149,54.0,41.047295,0.0
68.41761157,102.0,43.155666,0.0
65.76231085,79.0,65.810974,1.0
71.28830593,42.0,76.57013,0.0
66.70728787,69.0,59.47784,0.0
78.7377364,87.0,59.842205,0.0
47.63633581,27.0,74.77583,0.0
39.33174986,44.0,51.65224,0.0
32.97382634,27.0,41.974884,0.0
16.29294069,21.0,32.287724,0.0
17.59187958,78.0,25.158823,1.0
354.0666261,5.0,47.476326,0.0
359.9112023,1.0,41.207115,0.0
23.05216119,20.0,42.74091,0.0
32.38492596,43.0,27.060686,0.0
15.22072006,334.0,28.652018,0.0
31.88557712,0.0,192.83205,1.0
26.49476797,8.0,127.70723,0.0
12.2517526,16.0,36.19036,0.0
13.62220858,44.0,23.48722,0.0
26.05713872,46.0,24.310877,0.0
46.3296039,133.0,30.840359,1.0
252.0323486,273.0,34.744007,0.0
259.5733416,278.0,156.06346,0.0
263.2155914,267.0,248.85762,0.0
274.8343876,261.0,274.4656,0.0
284.4382625,319.0,273.2512,1.0
286.4576382,342.0,274.77982,0.0
267.5295845,262.0,281.1943,0.0
265.6286709,258.0,272.03152,0.0
277.6813484,274.0,266.2649,0.0
280.7645417,35.0,266.468,1.0
277.9045618,279.0,230.61278,0.0
286.4676102,289.0,257.94284,0.0
292.2873781,285.0,272.0657,0.0
315.7017576,327.0,278.5804,0.0
308.5704009,287.0,287.1239,0.0
316.6465669,208.0,284.98874,1.0
300.7734814,259.0,267.10703,0.0
304.612132,327.0,259.2697,0.0
306.0689195,315.0,262.895,0.0
300.0006376,265.0,285.05283,0.0
298.3861896,275.0,275.04196,0.0
297.2621018,281.0,272.37778,0.0
