distMean,outcome,pred,is_oddball
149.0,139.0,67.81330729105765,-1.0
149.0,144.0,126.17544736480149,-1.0
149.0,151.0,141.70243823758491,-1.0
149.0,148.0,148.1767054126945,-1.0
149.0,134.0,150.262472940822,-1.0
149.0,127.0,145.43905975532243,-1.0
343.0,7.0,137.3468731815336,-1.0
343.0,350.0,23.551050714245658,-1.0
343.0,294.0,353.1296769070822,-1.0
343.0,340.0,304.3357596026149,-1.0
343.0,341.0,320.4414404020727,-1.0
343.0,315.0,332.93151759594207,-1.0
343.0,359.0,319.17860618736444,-1.0
343.0,288.0,359.98939249183746,-1.0
343.0,334.0,291.6170695974878,-1.0
343.0,337.0,310.2935935784145,-1.0
343.0,346.0,327.0876086922928,-1.0
343.0,350.0,339.7227905609239,-1.0
343.0,331.0,344.1603194756942,-1.0
74.0,69.0,332.6431130212065,-1.0
74.0,60.0,52.738426495250806,-1.0
74.0,71.0,56.837177617933676,-1.0
74.0,67.0,65.14161485269241,-1.0
260.0,262.0,67.20330621397056,-1.0
260.0,271.0,266.3371491363569,-1.0
260.0,256.0,266.74672124162356,-1.0
260.0,239.0,262.3578656521887,-1.0
260.0,242.0,246.93753120837286,-1.0
145.0,133.0,243.45154993771337,-1.0
145.0,147.0,128.14084609436478,-1.0
145.0,118.0,141.75083071549665,-1.0
145.0,124.0,123.21827959807456,-1.0
171.0,178.0,128.2637629318547,-1.0
171.0,180.0,176.61614288740995,-1.0
171.0,164.0,178.02686079035334,-1.0
171.0,204.0,170.94435521812179,-1.0
171.0,159.0,184.97513904726668,-1.0
94.0,93.0,155.63286666948935,-1.0
94.0,114.0,104.61018603422461,-1.0
94.0,115.0,110.52071531946912,-1.0
94.0,94.0,114.2520319472207,-1.0
94.0,123.0,104.4413790159228,-1.0
94.0,112.0,119.44436639680701,-1.0
56.0,58.0,115.79233230712302,-1.0
56.0,82.0,68.58673737794233,-1.0
56.0,37.0,72.07946525461256,-1.0
56.0,66.0,49.00174906702389,-1.0
56.0,52.0,58.044296506174035,-1.0
56.0,27.0,55.27825261635375,-1.0
56.0,31.0,38.705452251409504,-1.0
56.0,70.0,30.542481510558932,-1.0
56.0,78.0,58.17143473291018,-1.0
56.0,61.0,71.51615177975853,-1.0
56.0,54.0,66.41149134191357,-1.0
56.0,87.0,60.58154178468888,-1.0
56.0,73.0,67.47994750245898,-1.0
212.0,210.0,76.79373969520552,-1.0
212.0,188.0,208.04844156842512,-1.0
212.0,213.0,194.61803147385103,-1.0
212.0,206.0,205.00909907532076,-1.0
315.0,316.0,204.64898680737824,-1.0
315.0,329.0,303.48513149688534,-1.0
315.0,288.0,316.97294025980636,-1.0
315.0,312.0,294.64851575237367,-1.0
315.0,275.0,300.69368660474646,-1.0
315.0,299.0,289.4332642462627,-1.0
315.0,254.0,290.33905090773123,-1.0
315.0,266.0,287.5761681613335,-1.0
228.0,233.0,270.94441016703894,-1.0
228.0,207.0,244.21896270430022,-1.0
228.0,234.0,215.37435737105076,-1.0
228.0,253.0,220.5956895191217,-1.0
24.0,44.0,236.61614216678385,-1.0
24.0,20.0,47.1137882667834,-1.0
24.0,69.0,27.11155390849824,-1.0
24.0,12.0,71.59460739894078,-1.0
24.0,27.0,23.115394258155693,-1.0
24.0,26.0,25.000377880283857,-1.0
350.0,357.0,23.565111332913734,-1.0
350.0,313.0,1.7268591671983735,-1.0
350.0,322.0,324.17926560491696,-1.0
350.0,31.0,319.253180473016,-1.0
350.0,334.0,21.40919173259375,-1.0
350.0,355.0,341.9394680909211,-1.0
350.0,351.0,348.03987398545195,-1.0
350.0,327.0,346.2031147040981,-1.0
350.0,308.0,328.44776372142826,-1.0
350.0,8.0,316.99955584215996,-1.0
294.0,300.0,17.463103030201776,-1.0
294.0,298.0,307.99528211815414,-1.0
294.0,299.0,300.88781859581576,-1.0
294.0,300.0,298.46782514946693,-1.0
285.0,266.0,298.4632962920827,-1.0
285.0,290.0,283.98111392122644,-1.0
285.0,302.0,286.6249719187618,-1.0
285.0,284.0,292.3408843751332,-1.0
1.0,11.0,291.12114949967935,-1.0
1.0,34.0,17.762407071888223,-1.0
1.0,11.0,25.64402876633344,-1.0
1.0,7.0,13.957419312922523,-1.0
1.0,300.0,10.619581256774875,-1.0
1.0,12.0,307.38487715372855,-1.0
67.0,76.0,20.97171829631577,-1.0
67.0,57.0,81.02249727766772,-1.0
67.0,31.0,65.98731211974236,-1.0
67.0,68.0,42.81991032116363,-1.0
67.0,69.0,61.49917969751476,-1.0
67.0,42.0,65.97434481316971,-1.0
67.0,79.0,48.79874899964266,-1.0
351.0,355.0,67.05146040688145,-1.0
351.0,324.0,15.342979307624955,-1.0
351.0,359.0,328.5750244710596,-1.0
351.0,290.0,355.23290856201015,-1.0
351.0,360.0,294.84696086743264,-1.0
351.0,356.0,9.162689208936822,-1.0
351.0,332.0,352.96972824883676,-1.0
351.0,354.0,335.38216497815733,-1.0
351.0,347.0,342.1825214363213,-1.0
351.0,349.0,345.3055504137164,-1.0
351.0,324.0,344.73316174281865,-1.0
246.0,260.0,327.1690971613228,-1.0
246.0,257.0,281.6313101124561,-1.0
246.0,213.0,267.8580291864764,-1.0
246.0,216.0,222.2265976524149,-1.0
59.0,54.0,216.99737692308994,-1.0
59.0,62.0,65.9011947409319,-1.0
59.0,27.0,63.239611041896616,-1.0
59.0,60.0,37.991548687936074,-1.0
59.0,75.0,53.47059099999228,-1.0
59.0,77.0,63.58028276438962,-1.0
59.0,63.0,73.19814829676885,-1.0
297.0,321.0,67.89686145310023,-1.0
297.0,293.0,319.9011765327334,-1.0
297.0,263.0,299.8959999558039,-1.0
297.0,294.0,281.9349158553651,-1.0
41.0,65.0,289.2286643382321,-1.0
41.0,51.0,63.273736738210495,-1.0
41.0,35.0,54.273262958783185,-1.0
41.0,40.0,42.30270982713695,-1.0
41.0,82.0,39.61061481784551,-1.0
41.0,38.0,65.81806118648909,-1.0
74.0,87.0,47.281142035216874,-1.0
74.0,76.0,68.19410232322764,-1.0
74.0,93.0,78.23907450250343,-1.0
74.0,110.0,78.08184838554776,-1.0
74.0,59.0,93.06113894608207,-1.0
74.0,103.0,70.27576725369474,-1.0
74.0,37.0,81.97166068388393,-1.0
74.0,60.0,49.78223521008612,-1.0
74.0,79.0,53.59098336767567,-1.0
278.0,292.0,67.00017347373638,-1.0
278.0,284.0,295.4522727673599,-1.0
278.0,263.0,284.4204084263639,-1.0
278.0,254.0,276.013341313751,-1.0
278.0,264.0,268.8646679388577,-1.0
295.0,294.0,264.3706295421262,-1.0
295.0,301.0,281.65950425485136,-1.0
295.0,271.0,294.02665314979697,-1.0
295.0,280.0,285.05264829869463,-1.0
295.0,268.0,284.6077199637302,-1.0
295.0,317.0,276.5873961155463,-1.0
127.0,124.0,302.80431842171583,-1.0
127.0,114.0,130.4679107995184,-1.0
127.0,169.0,118.95824898921994,-1.0
127.0,115.0,165.61811131767922,-1.0
127.0,144.0,124.757141680618,-1.0
127.0,126.0,140.77510845134725,-1.0
127.0,136.0,135.0010694077596,-1.0
191.0,218.0,140.08530806840014,-1.0
191.0,207.0,212.94023420682655,-1.0
191.0,187.0,211.06975886639862,-1.0
191.0,176.0,193.74100052519134,-1.0
191.0,220.0,179.4788227411173,-1.0
191.0,215.0,212.6476497903633,-1.0
191.0,161.0,215.99227599039958,-1.0
191.0,196.0,158.80906986118447,-1.0
191.0,191.0,186.64571024791726,-1.0
191.0,208.0,190.42264976485387,-1.0
158.0,131.0,197.87012635367856,-1.0
158.0,151.0,138.19107285982457,-1.0
349.0,15.0,151.31925442013994,-1.0
349.0,17.0,32.24582892804211,-1.0
349.0,359.0,14.703775042750555,-1.0
349.0,327.0,1.103044993655778,-1.0
349.0,333.0,329.76725039143463,-1.0
349.0,318.0,327.50425657081604,-1.0
57.0,54.0,321.5804550600259,-1.0
57.0,70.0,43.02561681299079,-1.0
57.0,60.0,57.75253774692732,-1.0
57.0,35.0,60.38347651897597,-1.0
57.0,68.0,41.19109991513627,-1.0
57.0,79.0,57.89892079922388,-1.0
57.0,81.0,71.02809346956795,-1.0
57.0,59.0,77.40482585729758,-1.0
57.0,65.0,67.65448255146879,-1.0
57.0,40.0,65.6074650577931,-1.0
57.0,77.0,47.484769044433854,-1.0
274.0,254.0,65.59066469274427,-1.0
274.0,279.0,261.76993488083303,-1.0
274.0,302.0,269.68761545223833,-1.0
274.0,288.0,288.5404135918013,-1.0
274.0,258.0,291.62957107676317,-1.0
274.0,278.0,280.7555388897021,-1.0
274.0,231.0,280.23149419317957,-1.0
274.0,250.0,239.06616877658513,-1.0
274.0,294.0,245.2242950740424,-1.0
274.0,272.0,274.2560710326791,-1.0
274.0,285.0,276.7171889413773,-1.0
25.0,29.0,281.7971741680939,-1.0
25.0,340.0,31.21005027038231,-1.0
25.0,51.0,345.6312994157671,-1.0
25.0,46.0,42.9638462416675,-1.0
25.0,39.0,44.3040771831112,-1.0
25.0,353.0,40.74713644731505,-1.0
323.0,311.0,352.68437737325917,-1.0
323.0,286.0,320.46328372519304,-1.0
323.0,278.0,293.3573288091608,-1.0
323.0,349.0,284.14762401314874,-1.0
323.0,332.0,324.8122074001417,-1.0
323.0,322.0,328.8305926504079,-1.0
165.0,174.0,322.6117760174746,-1.0
165.0,166.0,183.9176607043,-1.0
165.0,148.0,173.47613264025452,-1.0
165.0,170.0,166.66371909477687,-1.0
165.0,170.0,170.92730028316498,-1.0
165.0,141.0,173.69088805507553,-1.0
165.0,169.0,156.75046520579096,-1.0
165.0,177.0,170.0707193099674,-1.0
236.0,244.0,175.62184894613284,-1.0
236.0,240.0,245.6243814370198,-1.0
236.0,223.0,247.2955007422284,-1.0
236.0,296.0,231.45923263710145,-1.0
24.0,22.0,273.3944648686866,-1.0
24.0,38.0,27.683523362318063,-1.0
24.0,5.0,30.30085254275042,-1.0
24.0,8.0,16.063014922968794,-1.0
24.0,42.0,13.325746845975342,-1.0
24.0,20.0,34.25054301076923,-1.0
315.0,339.0,22.95803852725443,-1.0
315.0,305.0,348.6797120921356,-1.0
