distMean,outcome,pred,is_oddball
300.0,266.0,16.31202453634549,-1.0
300.0,310.0,292.4846744104899,-1.0
300.0,319.0,310.7884618401648,-1.0
300.0,288.0,310.79210564888086,-1.0
341.0,346.0,300.9311900230237,-1.0
341.0,340.0,336.76550502464335,-1.0
341.0,330.0,336.07326083227264,-1.0
341.0,340.0,335.9318064704694,-1.0
341.0,358.0,336.07346411462663,-1.0
341.0,334.0,350.6961593749274,-1.0
341.0,304.0,336.06888667773495,-1.0
341.0,332.0,315.58051175105714,-1.0
341.0,11.0,336.0246453430605,-1.0
341.0,341.0,1.583256371417997,-1.0
341.0,335.0,336.0864156708121,-1.0
341.0,311.0,336.0748613550562,-1.0
341.0,352.0,320.23472958401675,-1.0
341.0,345.0,335.46057183993224,-1.0
347.0,1.0,336.89956612781907,-1.0
347.0,303.0,350.18841355068605,-1.0
347.0,358.0,314.63490158807053,-1.0
347.0,320.0,351.6920029654176,-1.0
347.0,350.0,317.9919792904753,-1.0
293.0,301.0,337.8335577908137,-1.0
293.0,286.0,307.33795148774516,-1.0
293.0,284.0,296.08137264288695,-1.0
293.0,281.0,289.62800710675714,-1.0
234.0,262.0,281.90123156681017,-1.0
234.0,241.0,267.8055831577302,-1.0
234.0,221.0,242.98240393295424,-1.0
234.0,216.0,231.58395355306396,-1.0
234.0,223.0,224.0587526757149,-1.0
93.0,98.0,225.13760882926047,-1.0
93.0,86.0,147.61668322398003,-1.0
93.0,98.0,89.07023548389876,-1.0
93.0,104.0,98.12660079389293,-1.0
348.0,348.0,104.00714425962207,-1.0
348.0,311.0,18.771069092696983,-1.0
348.0,351.0,319.20809095760194,-1.0
348.0,3.0,336.5758871380941,-1.0
348.0,328.0,353.966989844701,-1.0
348.0,5.0,335.52723496442565,-1.0
348.0,355.0,351.00350744832815,-1.0
348.0,26.0,351.1142358488019,-1.0
348.0,332.0,11.355070870920489,-1.0
78.0,53.0,336.04044521118215,-1.0
78.0,86.0,20.559007585926604,-1.0
78.0,75.0,73.31521180975115,-1.0
78.0,57.0,78.04796020332452,-1.0
78.0,81.0,70.11509195831357,-1.0
78.0,77.0,80.38119722786459,-1.0
78.0,88.0,82.26390451658736,-1.0
78.0,106.0,85.28375434653594,-1.0
78.0,45.0,100.73746877600999,-1.0
78.0,55.0,76.72947843171261,-1.0
346.0,346.0,68.51243715894135,-1.0
346.0,343.0,340.9811912885739,-1.0
346.0,329.0,336.1735868982048,-1.0
346.0,328.0,335.7921701777026,-1.0
346.0,330.0,335.5249345987121,-1.0
277.0,267.0,335.9307161763397,-1.0
277.0,263.0,294.2064617478487,-1.0
277.0,257.0,273.7625756377228,-1.0
277.0,254.0,257.4615871144921,-1.0
277.0,281.0,250.85196866682745,-1.0
277.0,296.0,264.4322912779508,-1.0
277.0,276.0,277.3337434052915,-1.0
