distMean,outcome,pred,is_oddball
300.0,266.0,103.78715436166947,-1.0
300.0,310.0,264.10873395305595,-1.0
300.0,319.0,299.1545264062852,-1.0
300.0,288.0,313.6520817435518,-1.0
341.0,346.0,302.0054021507505,-1.0
341.0,340.0,327.5842096653997,-1.0
341.0,330.0,331.2207065802296,-1.0
341.0,340.0,328.0589602677105,-1.0
341.0,358.0,335.48431036963115,-1.0
341.0,334.0,340.5410967711581,-1.0
341.0,304.0,337.263556367081,-1.0
341.0,332.0,321.84989716621214,-1.0
341.0,11.0,326.7554692270848,-1.0
341.0,341.0,355.8981628185336,-1.0
341.0,335.0,343.31771305255074,-1.0
341.0,311.0,339.88920414976985,-1.0
341.0,352.0,327.3091863152636,-1.0
341.0,345.0,336.3745322182666,-1.0
347.0,1.0,340.41632834548403,-1.0
347.0,303.0,346.0801028673849,-1.0
347.0,358.0,313.0482833763842,-1.0
347.0,320.0,348.8375860475763,-1.0
347.0,350.0,326.8423026856742,-1.0
293.0,301.0,338.0205409053566,-1.0
293.0,286.0,315.90500767555596,-1.0
293.0,284.0,299.7863760014678,-1.0
293.0,281.0,294.61419225786824,-1.0
234.0,262.0,292.1257192153638,-1.0
234.0,241.0,283.1996366932013,-1.0
234.0,221.0,264.82097438230136,-1.0
234.0,216.0,239.31132348721988,-1.0
234.0,223.0,227.37752999329143,-1.0
93.0,98.0,225.99570671746628,-1.0
93.0,86.0,95.83113826653934,-1.0
93.0,98.0,90.73289344151489,-1.0
93.0,104.0,93.21280225625807,-1.0
348.0,348.0,96.2399079458694,-1.0
348.0,311.0,338.9088075823942,-1.0
348.0,351.0,319.11893937188074,-1.0
348.0,3.0,335.1307183520153,-1.0
348.0,328.0,347.2939684218727,-1.0
348.0,5.0,334.2916771795501,-1.0
348.0,355.0,353.5396849063848,-1.0
348.0,26.0,354.0469526135253,-1.0
348.0,332.0,16.259683815346985,-1.0
78.0,53.0,343.4593468179739,-1.0
78.0,86.0,44.12103139686489,-1.0
78.0,75.0,73.74813459199463,-1.0
78.0,57.0,73.3399505597118,-1.0
78.0,81.0,65.25859362984401,-1.0
78.0,77.0,72.7831190831081,-1.0
78.0,88.0,73.83932954248327,-1.0
78.0,106.0,77.05067562579681,-1.0
78.0,45.0,82.62125620753358,-1.0
78.0,55.0,64.79535382054094,-1.0
346.0,346.0,62.35879049166163,-1.0
346.0,343.0,341.7035983597363,-1.0
346.0,329.0,344.5030554728097,-1.0
346.0,328.0,334.9792815969305,-1.0
346.0,330.0,331.7813740815379,-1.0
277.0,267.0,330.39841565331585,-1.0
277.0,263.0,280.91845982507994,-1.0
277.0,257.0,272.6795015569568,-1.0
277.0,254.0,265.85637457131577,-1.0
277.0,281.0,260.96915662091914,-1.0
277.0,296.0,266.11743316863084,-1.0
277.0,276.0,281.6724682108645,-1.0
277.0,282.0,278.21027600407734,-1.0
277.0,282.0,282.02369285535013,-1.0
236.0,210.0,284.00582906543514,-1.0
236.0,247.0,206.31697641667773,-1.0
236.0,237.0,245.76816655774672,-1.0
236.0,219.0,241.71469269935594,-1.0
236.0,238.0,231.71648892071238,-1.0
236.0,244.0,230.50705371353922,-1.0
236.0,242.0,231.08479312577052,-1.0
236.0,237.0,232.1974600162306,-1.0
236.0,219.0,232.90188948561035,-1.0
308.0,312.0,228.08009832619297,-1.0
308.0,318.0,305.89174239673036,-1.0
308.0,303.0,316.4988747349876,-1.0
308.0,295.0,313.57735002950056,-1.0
308.0,336.0,307.7497533189441,-1.0
308.0,296.0,316.56364279374,-1.0
308.0,293.0,306.90929015590103,-1.0
308.0,314.0,302.65926301307684,-1.0
308.0,294.0,305.7744483397622,-1.0
308.0,281.0,301.95820542343745,-1.0
308.0,342.0,299.26570714648335,-1.0
308.0,338.0,327.241968856788,-1.0
308.0,333.0,325.60752109972736,-1.0
308.0,319.0,325.747271881968,-1.0
321.0,308.0,323.6927821098919,-1.0
321.0,318.0,318.9919629217384,-1.0
321.0,299.0,319.67091881034554,-1.0
321.0,356.0,313.29914681585757,-1.0
55.0,29.0,335.21963080929885,-1.0
55.0,76.0,30.97974925991881,-1.0
55.0,50.0,63.56507566967292,-1.0
55.0,67.0,48.33881163792745,-1.0
55.0,77.0,61.202602563868446,-1.0
55.0,75.0,65.34587995765364,-1.0
55.0,57.0,69.01650604156697,-1.0
55.0,64.0,64.64490082523538,-1.0
55.0,81.0,67.25027573464104,-1.0
55.0,89.0,69.43857805813778,-1.0
205.0,180.0,74.49517230673459,-1.0
205.0,184.0,185.72071600705985,-1.0
205.0,212.0,185.92688705896,-1.0
205.0,203.0,193.7906060091127,-1.0
205.0,239.0,194.16771535400642,-1.0
205.0,191.0,223.86241437556853,-1.0
205.0,174.0,198.63031002566677,-1.0
49.0,71.0,187.170768080275,-1.0
49.0,47.0,71.28618134977442,-1.0
49.0,32.0,54.528150798817784,-1.0
49.0,41.0,49.220842814962296,-1.0
180.0,152.0,46.02347154800609,-1.0
180.0,175.0,157.98595022736464,-1.0
180.0,178.0,166.7892586352189,-1.0
91.0,123.0,172.3530232091382,-1.0
91.0,73.0,135.14444729252733,-1.0
91.0,84.0,77.97568431656124,-1.0
91.0,105.0,80.6985629107495,-1.0
91.0,85.0,84.32286508475673,-1.0
91.0,65.0,88.7492879237529,-1.0
91.0,111.0,81.60312833968979,-1.0
111.0,111.0,85.94036743845521,-1.0
111.0,122.0,97.21919740606253,-1.0
111.0,105.0,109.93086535167132,-1.0
111.0,116.0,112.31547799395199,-1.0
201.0,177.0,115.44996622180226,-1.0
201.0,214.0,175.725406301548,-1.0
201.0,208.0,201.77436066557988,-1.0
201.0,209.0,205.35125761260522,-1.0
266.0,248.0,206.16226487225308,-1.0
266.0,244.0,232.3684651432014,-1.0
266.0,223.0,233.12726866030889,-1.0
266.0,285.0,230.15585032656284,-1.0
266.0,277.0,278.0461262980685,-1.0
122.0,161.0,279.5750060298019,-1.0
122.0,120.0,156.24020310054675,-1.0
122.0,124.0,133.8386070313072,-1.0
122.0,140.0,129.48195338778248,-1.0
331.0,358.0,136.88399411728187,-1.0
331.0,346.0,2.2698892339585375,-1.0
331.0,335.0,343.21939346081086,-1.0
331.0,309.0,337.9292241812905,-1.0
331.0,298.0,323.76210735478367,-1.0
331.0,18.0,313.2632989763564,-1.0
331.0,332.0,20.83583366025746,-1.0
303.0,311.0,330.8033463419745,-1.0
303.0,275.0,320.0608194707295,-1.0
303.0,311.0,294.074242008193,-1.0
303.0,306.0,305.491944524408,-1.0
195.0,250.0,305.77787888020504,-1.0
195.0,208.0,270.95463509680496,-1.0
195.0,213.0,207.80609669366856,-1.0
195.0,190.0,209.20995741320306,-1.0
195.0,209.0,202.4357029269025,-1.0
195.0,173.0,202.20059581231015,-1.0
195.0,178.0,188.51717506808112,-1.0
36.0,58.0,182.7899300227678,-1.0
36.0,41.0,57.94225307600322,-1.0
36.0,21.0,48.30264001008865,-1.0
36.0,47.0,41.683702548108144,-1.0
36.0,20.0,43.49648231096627,-1.0
36.0,33.0,37.5795686216002,-1.0
36.0,51.0,37.293074093304476,-1.0
36.0,43.0,39.822794696776036,-1.0
36.0,356.0,41.128624894382874,-1.0
36.0,20.0,15.419115066449578,-1.0
36.0,29.0,28.02698139936174,-1.0
36.0,25.0,28.872787799061516,-1.0
36.0,353.0,28.05895196817086,-1.0
36.0,62.0,12.600427900877254,-1.0
36.0,66.0,51.57187173372926,-1.0
36.0,50.0,58.42329680663845,-1.0
36.0,66.0,53.17481309459022,-1.0
36.0,55.0,61.02656614032417,-1.0
106.0,96.0,55.74207049726203,-1.0
106.0,57.0,71.15260335128171,-1.0
106.0,110.0,64.7582026202869,-1.0
106.0,115.0,83.28688891055033,-1.0
143.0,119.0,98.2268005566647,-1.0
143.0,141.0,110.28433935973841,-1.0
143.0,144.0,125.39381194698748,-1.0
143.0,154.0,133.4322842086359,-1.0
143.0,153.0,140.39033483446585,-1.0
297.0,314.0,145.90733722184862,-1.0
297.0,258.0,313.09138740753747,-1.0
297.0,297.0,266.51193624728,-1.0
297.0,317.0,292.70727926401787,-1.0
297.0,308.0,305.7395474661103,-1.0
297.0,282.0,307.7783799952378,-1.0
297.0,290.0,298.65425681060424,-1.0
297.0,299.0,298.29103923126814,-1.0
297.0,266.0,296.43034305631954,-1.0
236.0,213.0,287.15086711674024,-1.0
236.0,243.0,212.6531562113872,-1.0
236.0,263.0,241.47508812691825,-1.0
236.0,246.0,257.9432701893777,-1.0
183.0,154.0,250.35299456507374,-1.0
183.0,184.0,149.60176669133756,-1.0
183.0,182.0,172.43489064244375,-1.0
183.0,246.0,177.7194325549431,-1.0
184.0,172.0,237.8572645326393,-1.0
184.0,173.0,172.67282430174896,-1.0
184.0,198.0,174.6684142914447,-1.0
184.0,171.0,182.80664508119688,-1.0
99.0,100.0,178.10575397279757,-1.0
99.0,113.0,95.39175961937482,-1.0
99.0,103.0,101.70663560436608,-1.0
99.0,118.0,103.43876282121394,-1.0
99.0,66.0,108.64914480642268,-1.0
208.0,196.0,83.67650550208963,-1.0
208.0,225.0,200.16415993276,-1.0
208.0,222.0,215.55174932519802,-1.0
208.0,191.0,220.2642145811804,-1.0
208.0,200.0,204.02059623480574,-1.0
208.0,232.0,204.65143114925442,-1.0
208.0,195.0,215.91247727975912,-1.0
208.0,208.0,201.50629847256994,-1.0
208.0,201.0,204.16289574732673,-1.0
208.0,222.0,200.8600048612088,-1.0
208.0,191.0,206.01342964171457,-1.0
204.0,190.0,199.84065620332902,-1.0
204.0,193.0,195.76436880968285,-1.0
204.0,196.0,192.60950749947784,-1.0
204.0,229.0,188.60540437953003,-1.0
204.0,198.0,211.85607329634303,-1.0
204.0,194.0,199.5996341404358,-1.0
241.0,177.0,197.10323958121637,-1.0
241.0,266.0,190.17500017507197,-1.0
241.0,240.0,267.36084934383234,-1.0
241.0,253.0,247.6376257613074,-1.0
241.0,242.0,248.7157889201805,-1.0
129.0,143.0,245.97971657185337,-1.0
129.0,112.0,141.47935899968311,-1.0
129.0,124.0,120.53350525407403,-1.0
291.1049013150203,288.0,136.71346010609025,0.0
288.6663393287017,269.0,290.2618025928497,1.0
269.4673672118228,256.0,280.6575364542024,0.0
282.4226658527924,309.0,267.67734505213707,0.0
273.3216698199638,272.0,278.7696067602201,0.0
261.8925815342314,270.0,279.9048571694881,0.0
259.0471002490145,247.0,276.31307737825364,0.0
256.2481484020987,278.0,261.8842020920811,0.0
269.7662995670455,278.0,269.8572089715676,0.0
276.05629007661173,302.0,274.5057924294062,0.0
261.17745437811186,271.0,283.52778201498916,0.0
250.03750454648105,242.0,278.7702462667037,0.0
238.7554966647677,186.0,262.84637461483044,1.0
228.0855287495193,250.0,248.82397360114197,0.0
225.7142446244868,200.0,250.15461079077943,0.0
221.9811010639412,227.0,230.64220747315366,0.0
224.27307198758444,54.0,230.33255733534696,1.0
222.0200424108804,230.0,232.60765042100752,0.0
224.69085478506247,215.0,229.55431134990712,0.0
214.3104102664433,211.0,224.2016736652277,0.0
226.90480693965424,218.0,217.5266298140514,0.0
226.6871685839029,351.0,218.30420067713854,1.0
230.7377459545879,252.0,218.84908786551813,0.0
230.60907947353925,266.0,235.51337753607666,0.0
238.043909959064,235.0,253.02821662774136,0.0
249.37865316310464,253.0,243.91348497401796,0.0
248.88888212345893,143.0,248.2497998282667,1.0
248.8555808063892,224.0,253.2254850412432,0.0
242.07031023149813,286.0,234.38236243729892,0.0
247.94356086697388,285.0,253.86144894201908,0.0
255.36765030521303,238.0,270.004229339402,0.0
274.8663550027343,318.0,252.48292961086761,0.0
275.364794166688,273.0,267.54505612945377,0.0
265.2624743020874,281.0,273.221855066883,0.0
273.0174219528185,265.0,278.31984279747076,0.0
268.6776190250565,121.0,272.36514870913663,1.0
266.6164580078886,257.0,274.771057349078,0.0
262.32314703958326,243.0,262.6653918197124,0.0
261.9404048295269,284.0,254.11098932588328,0.0
273.2576302652295,283.0,267.1925264164596,0.0
274.01482320357354,98.0,275.72925201740077,1.0
272.11410482592566,284.0,276.1522342812327,0.0
265.81968930014574,232.0,278.9084315007725,0.0
250.9034312702166,273.0,264.05744380515034,0.0
247.61757813208587,247.0,268.4365474123041,0.0
271.20821519948413,268.0,258.565103833523,0.0
269.4928983239951,261.0,263.0595306231295,0.0
258.9392038758604,234.0,262.89040415429633,0.0
249.2957762369924,239.0,248.60833494393182,0.0
266.61397688255647,268.0,244.09936373844343,0.0
266.1727894169149,233.0,256.2736317880576,0.0
268.18996581698724,247.0,244.48511067822386,0.0
264.5400562928501,298.0,244.66467177905088,0.0
