distMean,outcome,pred,is_oddball
210.0,196.0,125.4058464506815,-1.0
210.0,227.0,194.44865390541827,-1.0
210.0,205.0,212.05226291275386,-1.0
210.0,217.0,208.01799916744142,-1.0
210.0,181.0,208.15566506196092,-1.0
210.0,216.0,195.92131545407946,-1.0
210.0,163.0,200.94448633959823,-1.0
210.0,233.0,169.8074700787585,-1.0
210.0,192.0,215.8351184758098,-1.0
135.0,145.0,194.4434478077523,-1.0
135.0,120.0,148.34436112371634,-1.0
135.0,125.0,135.25927404843964,-1.0
135.0,97.0,133.19900300370452,-1.0
135.0,115.0,119.67940661865597,-1.0
135.0,151.0,120.9892561742799,-1.0
135.0,145.0,139.62158564507143,-1.0
135.0,155.0,142.40986282831895,-1.0
135.0,149.0,148.08465414131575,-1.0
135.0,155.0,149.80565582434696,-1.0
135.0,128.0,151.9591100985883,-1.0
135.0,104.0,149.44129331041614,-1.0
135.0,169.0,122.65914764692313,-1.0
135.0,117.0,160.649180254515,-1.0
135.0,139.0,130.51059546614113,-1.0
135.0,136.0,140.30112295105533,-1.0
135.0,130.0,140.5810597742023,-1.0
135.0,153.0,139.92757105324378,-1.0
135.0,147.0,144.96359046669895,-1.0
135.0,136.0,146.85062189038754,-1.0
135.0,126.0,147.41288023682353,-1.0
186.0,201.0,146.59678716504297,-1.0
186.0,189.0,195.4424163820358,-1.0
186.0,206.0,194.062868427659,-1.0
186.0,164.0,197.34203805932125,-1.0
186.0,168.0,179.43304866329999,-1.0
186.0,227.0,174.64030213908754,-1.0
186.0,162.0,213.08430953699587,-1.0
186.0,188.0,168.13807398550054,-1.0
151.0,149.0,176.71570421653647,-1.0
151.0,195.0,161.55310058751243,-1.0
151.0,105.0,179.95813226174624,-1.0
151.0,162.0,108.95332053404157,-1.0
151.0,142.0,163.81211784788286,-1.0
214.0,198.0,149.13968367262433,-1.0
214.0,182.0,188.1383572800325,-1.0
214.0,192.0,183.82193541082296,-1.0
214.0,222.0,186.1648744199476,-1.0
214.0,230.0,200.85795259192818,-1.0
214.0,212.0,215.2323150241857,-1.0
214.0,197.0,212.22265604876517,-1.0
214.0,217.0,205.89821419875372,-1.0
165.0,147.0,205.19995035016115,-1.0
165.0,158.0,136.9936772732968,-1.0
165.0,168.0,149.87708289248465,-1.0
165.0,169.0,156.975752223562,-1.0
165.0,187.0,159.39185324415416,-1.0
165.0,205.0,167.0514941908181,-1.0
165.0,196.0,182.55767271948594,-1.0
283.0,290.0,187.87044886777738,-1.0
283.0,274.0,289.6268943838803,-1.0
35.0,14.0,282.18506658511814,-1.0
35.0,46.0,21.751069266180057,-1.0
35.0,37.0,39.08881209854572,-1.0
35.0,17.0,39.362992999596955,-1.0
35.0,29.0,30.44456658396955,-1.0
247.0,253.0,30.039365015658763,-1.0
247.0,250.0,247.64179269792209,-1.0
247.0,270.0,254.08397486790895,-1.0
247.0,236.0,262.02933344074,-1.0
247.0,271.0,251.19865752673635,-1.0
247.0,229.0,261.012344206536,-1.0
247.0,239.0,244.94023567120382,-1.0
247.0,222.0,242.23770623122064,-1.0
247.0,224.0,235.7044541862598,-1.0
247.0,218.0,232.1602887052623,-1.0
247.0,250.0,227.2507243316307,-1.0
247.0,253.0,232.86838269262742,-1.0
247.0,247.0,235.93279704508598,-1.0
0.0,9.0,235.519282542371,-1.0
0.0,6.0,14.420149115422507,-1.0
0.0,321.0,3.711502091908177,-1.0
0.0,322.0,333.4318431753241,-1.0
89.0,106.0,326.90019468677616,-1.0
89.0,60.0,105.63013116835656,-1.0
89.0,83.0,77.72837693494577,-1.0
89.0,96.0,81.5148178170345,-1.0
314.0,281.0,86.92896683366382,-1.0
314.0,317.0,276.93332004902635,-1.0
314.0,323.0,301.36404745866264,-1.0
314.0,296.0,311.540793573659,-1.0
314.0,310.0,305.63522870932565,-1.0
314.0,313.0,307.5224132975301,-1.0
6.0,356.0,308.8750882173367,-1.0
6.0,0.0,330.3984551413732,-1.0
6.0,11.0,336.4088952026449,-1.0
6.0,349.0,354.4433563338028,-1.0
6.0,24.0,347.70647003807215,-1.0
6.0,52.0,7.924758887032867,-1.0
35.0,34.0,33.871922604070114,-1.0
35.0,47.0,35.97642619152479,-1.0
35.0,30.0,39.34512479846254,-1.0
35.0,52.0,37.739865892308515,-1.0
35.0,29.0,39.786158911688545,-1.0
35.0,36.0,38.685665441634725,-1.0
35.0,20.0,36.245436481620004,-1.0
35.0,35.0,31.15714786038112,-1.0
91.0,89.0,31.383658506756994,-1.0
91.0,110.0,56.82739408493704,-1.0
91.0,96.0,103.11869158226872,-1.0
91.0,96.0,97.37831045688448,-1.0
91.0,74.0,97.03985355686274,-1.0
245.0,254.0,87.92372215031216,-1.0
245.0,274.0,250.50053038828105,-1.0
245.0,259.0,264.24651093830386,-1.0
245.0,268.0,263.87527721103095,-1.0
245.0,248.0,265.92518546622983,-1.0
245.0,250.0,260.59711412449593,-1.0
138.0,148.0,258.3433538171272,-1.0
138.0,135.0,137.79272941476998,-1.0
138.0,142.0,143.60265392563997,-1.0
67.0,89.0,144.15889395915286,-1.0
67.0,80.0,111.14283770175878,-1.0
67.0,81.0,90.55307890837925,-1.0
67.0,92.0,86.13681041086996,-1.0
282.0,297.0,87.85369327296179,-1.0
282.0,262.0,292.1897281492764,-1.0
282.0,288.0,278.9737550401309,-1.0
282.0,272.0,282.21183872305517,-1.0
282.0,314.0,280.9771596573926,-1.0
282.0,274.0,292.0167001070114,-1.0
282.0,272.0,285.8673327715229,-1.0
282.0,273.0,283.63799447845577,-1.0
282.0,276.0,282.7942596455622,-1.0
282.0,279.0,282.6679165948518,-1.0
282.0,291.0,283.03905479436446,-1.0
282.0,277.0,284.4822305802296,-1.0
282.0,294.0,286.0709303990296,-1.0
282.0,270.0,286.4025548429789,-1.0
282.0,284.0,287.41371586747476,-1.0
282.0,289.0,286.15762804864846,-1.0
282.0,318.0,287.1492392436636,-1.0
282.0,246.0,294.59815015900483,-1.0
201.0,206.0,281.80309524346796,-1.0
201.0,191.0,197.93672575834242,-1.0
201.0,216.0,189.89806752715165,-1.0
